year,regtyp,rentown,pet_othrodent,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,Urban regions,Owner,Yes,0.01306,87,3771,0.00944,0.01669
2016,Urban regions,Owner,No,0.98694,3684,3771,0.98331,0.99056
2016,Urban regions,Tenant,Yes,0.01433,141,5605,0.01122,0.01744
2016,Urban regions,Tenant,No,0.98567,5464,5605,0.98256,0.98878
2016,Rural regions,Owner,Yes,0.02153,81,2531,0.01587,0.02718
2016,Rural regions,Owner,No,0.97847,2450,2531,0.97282,0.98413
2016,Rural regions,Tenant,Yes,0.02356,82,2394,0.01749,0.02964
2016,Rural regions,Tenant,No,0.97644,2312,2394,0.97036,0.98251
2021,Urban regions,Owner,Yes,0.01044,67,3126,0.00688,0.01401
2021,Urban regions,Owner,No,0.98956,3059,3126,0.98599,0.99312
2021,Urban regions,Tenant,Yes,0.01710,89,4279,0.01321,0.02098
2021,Urban regions,Tenant,No,0.98290,4190,4279,0.97902,0.98679
2021,Rural regions,Owner,Yes,0.01373,48,1954,0.00857,0.01889
2021,Rural regions,Owner,No,0.98627,1906,1954,0.98111,0.99143
2021,Rural regions,Tenant,Yes,0.02004,39,1691,0.01336,0.02673
2021,Rural regions,Tenant,No,0.97996,1652,1691,0.97327,0.98664
