year,regtyp,pet_othrodent,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,Urban regions,Yes,0.01378,228,9377,0.01142,0.01614
2016,Urban regions,No,0.98622,9149,9377,0.98386,0.98858
2016,Rural regions,Yes,0.02249,163,4925,0.01835,0.02664
2016,Rural regions,No,0.97751,4762,4925,0.97336,0.98165
2021,Urban regions,Yes,0.01411,156,7409,0.01142,0.01679
2021,Urban regions,No,0.98589,7253,7409,0.98321,0.98858
2021,Rural regions,Yes,0.01672,87,3646,0.01256,0.02088
2021,Rural regions,No,0.98328,3559,3646,0.97912,0.98744
