year,bula_h,quintil_oecd_hh,pet_othrodent,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,Schleswig-Holstein,1st Quintile,No,0.93975,121,121,0.89717,0.98232
2016,Schleswig-Holstein,2nd Quintile,No,0.96694,106,106,0.93274,1.00114
2016,Schleswig-Holstein,3rd Quintile,No,0.97431,93,93,0.94198,1.00664
2016,Schleswig-Holstein,4th Quintile,No,0.98388,86,86,0.95711,1.01065
2016,Schleswig-Holstein,5th Quintile,No,0.98605,80,80,0.96018,1.01191
2016,Hamburg,2nd Quintile,No,0.97350,50,50,0.92853,1.01847
2016,Hamburg,4th Quintile,No,0.99784,58,58,0.98578,1.00990
2016,Hamburg,5th Quintile,No,0.99845,65,65,0.98883,1.00808
2016,Lower Saxony,1st Quintile,No,0.97205,298,298,0.95330,0.99079
2016,Lower Saxony,2nd Quintile,No,0.97928,241,241,0.96125,0.99730
2016,Lower Saxony,3rd Quintile,No,0.96980,232,232,0.94773,0.99187
2016,Lower Saxony,4th Quintile,No,0.98442,269,269,0.96959,0.99924
2016,Lower Saxony,5th Quintile,No,0.99863,269,269,0.99420,1.00306
2016,Bremen,1st Quintile,No,0.97997,36,36,0.93356,1.02639
2016,North Rhine-Westphalia,1st Quintile,No,0.98795,663,663,0.97964,0.99626
2016,North Rhine-Westphalia,2nd Quintile,No,0.98876,553,553,0.97997,0.99756
2016,North Rhine-Westphalia,3rd Quintile,No,0.97710,512,512,0.96413,0.99007
2016,North Rhine-Westphalia,4th Quintile,No,0.98705,529,529,0.97741,0.99670
2016,North Rhine-Westphalia,5th Quintile,No,0.99127,574,574,0.98365,0.99889
2016,Hesse,1st Quintile,No,0.99340,190,190,0.98185,1.00494
2016,Hesse,2nd Quintile,No,0.96426,182,182,0.93722,0.99131
2016,Hesse,3rd Quintile,No,0.99313,162,162,0.98037,1.00589
2016,Hesse,4th Quintile,No,0.97981,174,174,0.95885,1.00077
2016,Hesse,5th Quintile,No,0.99553,250,250,0.98724,1.00382
2016,"Rhineland-Palatinate, Saarland",1st Quintile,No,0.97077,188,188,0.94663,0.99491
2016,"Rhineland-Palatinate, Saarland",2nd Quintile,No,0.98916,187,187,0.97427,1.00404
2016,"Rhineland-Palatinate, Saarland",3rd Quintile,No,0.97833,153,153,0.95518,1.00148
2016,"Rhineland-Palatinate, Saarland",4th Quintile,No,0.99959,149,149,0.99633,1.00285
2016,Baden-Wuerttemberg,1st Quintile,No,0.99171,221,221,0.97973,1.00369
2016,Baden-Wuerttemberg,2nd Quintile,No,0.97502,286,286,0.95690,0.99314
2016,Baden-Wuerttemberg,3rd Quintile,No,0.99330,325,325,0.98442,1.00218
2016,Baden-Wuerttemberg,4th Quintile,No,0.98453,346,346,0.97151,0.99755
2016,Baden-Wuerttemberg,5th Quintile,No,0.98586,406,406,0.97437,0.99736
2016,Bavaria,1st Quintile,No,0.98614,358,358,0.97401,0.99827
2016,Bavaria,2nd Quintile,No,0.98393,481,481,0.97268,0.99518
2016,Bavaria,3rd Quintile,No,0.98567,436,436,0.97450,0.99684
2016,Bavaria,4th Quintile,No,0.98032,454,454,0.96752,0.99311
2016,Bavaria,5th Quintile,No,0.99546,513,513,0.98964,1.00128
2016,Berlin,1st Quintile,No,0.98821,147,147,0.97070,1.00572
2016,Berlin,2nd Quintile,No,0.99392,109,109,0.97926,1.00858
2016,Berlin,3rd Quintile,No,0.99506,115,115,0.98219,1.00793
2016,Berlin,4th Quintile,No,0.98778,122,122,0.96821,1.00736
2016,Berlin,5th Quintile,No,0.98941,103,103,0.96954,1.00927
2016,Brandenburg,1st Quintile,No,0.94845,126,126,0.90968,0.98721
2016,Brandenburg,2nd Quintile,No,0.98968,145,145,0.97317,1.00619
2016,Brandenburg,3rd Quintile,No,0.98283,126,126,0.96006,1.00560
2016,Brandenburg,4th Quintile,No,0.97741,74,74,0.94333,1.01150
2016,Brandenburg,5th Quintile,No,0.99671,71,71,0.98330,1.01012
2016,Mecklenburg-Western Pomerania,1st Quintile,No,0.94641,96,96,0.90112,0.99170
2016,Mecklenburg-Western Pomerania,2nd Quintile,No,0.99536,78,78,0.98018,1.01054
2016,Mecklenburg-Western Pomerania,3rd Quintile,No,0.98281,66,66,0.95121,1.01441
2016,Mecklenburg-Western Pomerania,4th Quintile,No,0.97029,41,41,0.91767,1.02291
2016,Mecklenburg-Western Pomerania,5th Quintile,No,0.99948,33,33,0.99162,1.00735
2016,Saxony,1st Quintile,No,0.95273,207,207,0.92376,0.98171
2016,Saxony,2nd Quintile,No,0.97266,223,223,0.95120,0.99411
2016,Saxony,3rd Quintile,No,0.94478,197,197,0.91280,0.97676
2016,Saxony,4th Quintile,No,0.96446,123,123,0.93161,0.99731
2016,Saxony,5th Quintile,No,0.97044,79,79,0.93285,1.00803
2016,Saxony-Anhalt,1st Quintile,No,0.97211,155,155,0.94610,0.99812
2016,Saxony-Anhalt,2nd Quintile,No,0.97876,130,130,0.95388,1.00364
2016,Saxony-Anhalt,3rd Quintile,No,0.98718,97,97,0.96467,1.00968
2016,Saxony-Anhalt,4th Quintile,No,0.98433,69,69,0.95481,1.01385
2016,Saxony-Anhalt,5th Quintile,No,0.99522,45,45,0.97483,1.01560
2016,Thuringa,1st Quintile,No,0.99355,139,139,0.98020,1.00691
2016,Thuringa,2nd Quintile,No,0.97424,138,138,0.94771,1.00077
2016,Thuringa,3rd Quintile,No,0.96666,110,110,0.93295,1.00036
2016,Thuringa,4th Quintile,No,0.98255,88,88,0.95504,1.01007
2016,Thuringa,5th Quintile,No,0.94907,52,52,0.88873,1.00941
2021,Schleswig-Holstein,2nd Quintile,No,0.95917,83,83,0.91634,1.00201
2021,Schleswig-Holstein,3rd Quintile,No,0.99127,75,75,0.97008,1.01246
2021,Schleswig-Holstein,5th Quintile,No,0.94552,98,98,0.90035,0.99069
2021,Hamburg,1st Quintile,No,0.94348,50,50,0.87883,1.00814
2021,Hamburg,2nd Quintile,No,0.94747,48,48,0.88369,1.01125
2021,Hamburg,4th Quintile,No,0.91742,46,46,0.83699,0.99784
2021,Hamburg,5th Quintile,No,0.98997,75,75,0.96726,1.01267
2021,Lower Saxony,1st Quintile,No,0.96555,188,188,0.93941,0.99169
2021,Lower Saxony,2nd Quintile,No,0.97525,210,210,0.95418,0.99631
2021,Lower Saxony,3rd Quintile,No,0.99800,194,194,0.99169,1.00431
2021,Lower Saxony,4th Quintile,No,0.97982,196,196,0.96008,0.99956
2021,Lower Saxony,5th Quintile,No,0.99875,251,251,0.99436,1.00313
2021,North Rhine-Westphalia,1st Quintile,No,0.98371,442,442,0.97190,0.99553
2021,North Rhine-Westphalia,2nd Quintile,No,0.96975,435,435,0.95364,0.98587
2021,North Rhine-Westphalia,3rd Quintile,No,0.99272,386,386,0.98423,1.00121
2021,North Rhine-Westphalia,4th Quintile,No,0.98967,407,407,0.97984,0.99951
2021,North Rhine-Westphalia,5th Quintile,No,0.99342,561,561,0.98672,1.00012
2021,Hesse,2nd Quintile,No,0.99780,99,99,0.98851,1.00708
2021,Hesse,3rd Quintile,No,0.98965,126,126,0.97190,1.00739
2021,Hesse,4th Quintile,No,0.99638,127,127,0.98590,1.00687
2021,Hesse,5th Quintile,No,0.99399,213,213,0.98358,1.00439
2021,"Rhineland-Palatinate, Saarland",1st Quintile,No,0.98944,100,100,0.96930,1.00958
2021,"Rhineland-Palatinate, Saarland",2nd Quintile,No,0.95772,107,107,0.91941,0.99603
2021,"Rhineland-Palatinate, Saarland",3rd Quintile,No,0.99223,106,106,0.97543,1.00903
2021,"Rhineland-Palatinate, Saarland",4th Quintile,No,0.99629,92,92,0.98379,1.00878
2021,"Rhineland-Palatinate, Saarland",5th Quintile,No,0.99684,115,115,0.98653,1.00714
2021,Baden-Wuerttemberg,1st Quintile,No,0.99614,165,165,0.98665,1.00563
2021,Baden-Wuerttemberg,2nd Quintile,No,0.94182,187,187,0.90818,0.97546
2021,Baden-Wuerttemberg,3rd Quintile,No,0.99572,216,216,0.98700,1.00445
2021,Baden-Wuerttemberg,4th Quintile,No,0.98681,249,249,0.97261,1.00101
2021,Baden-Wuerttemberg,5th Quintile,No,0.98518,369,369,0.97283,0.99753
2021,Bavaria,1st Quintile,No,0.97633,233,233,0.95676,0.99589
2021,Bavaria,2nd Quintile,No,0.98592,340,340,0.97338,0.99846
2021,Bavaria,3rd Quintile,No,0.99694,307,307,0.99076,1.00313
2021,Bavaria,4th Quintile,No,0.97739,368,368,0.96218,0.99260
2021,Bavaria,5th Quintile,No,0.98406,459,459,0.97260,0.99553
2021,Berlin,1st Quintile,No,0.99160,117,117,0.97499,1.00821
2021,Berlin,3rd Quintile,No,0.99907,93,93,0.99285,1.00529
2021,Berlin,5th Quintile,No,0.99887,144,144,0.99336,1.00438
2021,Brandenburg,2nd Quintile,No,0.97863,102,102,0.95043,1.00683
2021,Brandenburg,3rd Quintile,No,0.97346,82,82,0.93846,1.00846
2021,Brandenburg,5th Quintile,No,0.99823,87,87,0.98936,1.00711
2021,Mecklenburg-Western Pomerania,1st Quintile,No,0.99938,66,66,0.99336,1.00541
2021,Mecklenburg-Western Pomerania,3rd Quintile,No,0.99535,43,43,0.97476,1.01593
2021,Saxony,1st Quintile,No,0.97567,152,152,0.95110,1.00024
2021,Saxony,2nd Quintile,No,0.98526,169,169,0.96703,1.00348
2021,Saxony,3rd Quintile,No,0.97480,159,159,0.95037,0.99924
2021,Saxony,4th Quintile,No,0.92865,108,108,0.87988,0.97743
2021,Saxony,5th Quintile,No,0.96813,112,112,0.93545,1.00081
2021,Saxony-Anhalt,1st Quintile,No,0.98672,90,90,0.96294,1.01050
2021,Saxony-Anhalt,2nd Quintile,No,0.98794,86,86,0.96473,1.01115
2021,Saxony-Anhalt,3rd Quintile,No,0.99645,73,73,0.98270,1.01019
2021,Saxony-Anhalt,4th Quintile,No,0.93824,56,56,0.87462,1.00186
2021,Thuringa,1st Quintile,No,0.99099,92,92,0.97158,1.01040
2021,Thuringa,3rd Quintile,No,0.95310,63,63,0.90047,1.00573
2021,Thuringa,4th Quintile,No,0.99961,63,63,0.99470,1.00452
2021,Thuringa,5th Quintile,No,0.99826,61,61,0.98771,1.00881
