"beruf","year","alter_gr","sex","n","percent","lower_confidence","upper_confidence"
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1984","16-34 Jahre alt","maennlich","490","0.161485384747541","0.146351115586784","0.176619653908297"
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1984","16-34 Jahre alt","weiblich","548","0.197342009444889","0.181209539026913","0.213474479862865"
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1984","35-65 Jahre alt","maennlich","961","0.19056022414092","0.176988627019364","0.204131821262476"
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1984","35-65 Jahre alt","weiblich","852","0.220848207204005","0.206290319002963","0.235406095405047"
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1984","66 und älter","maennlich","","","",""
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1984","66 und älter","weiblich","","","",""
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","1984","16-34 Jahre alt","maennlich","708","0.34410459209418","0.324565604676141","0.36364357951222"
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","1984","16-34 Jahre alt","weiblich","402","0.214264463480166","0.197632669021267","0.230896257939064"
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","1984","35-65 Jahre alt","maennlich","1206","0.418015021842289","0.400970909324783","0.435059134359794"
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","1984","35-65 Jahre alt","weiblich","361","0.131539922935152","0.119678299718584","0.14340154615172"
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","1984","66 und älter","maennlich","","","",""
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","1984","66 und älter","weiblich","","","",""
"Selbstständige/ManagerInnen","1984","16-34 Jahre alt","maennlich","101","0.04771656334379","0.0389494379574742","0.0564836887301057"
"Selbstständige/ManagerInnen","1984","16-34 Jahre alt","weiblich","57","0.0194647747820543","0.0138648508308958","0.0250646987332128"
"Selbstständige/ManagerInnen","1984","35-65 Jahre alt","maennlich","335","0.121716222263148","0.110417893093526","0.13301455143277"
"Selbstständige/ManagerInnen","1984","35-65 Jahre alt","weiblich","142","0.0526422046645608","0.0448049410524116","0.06047946827671"
