"beruf","year","bula_h","sampreg","n","percent","lower_confidence","upper_confidence"
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1984","Schleswig-Holstein","Westdeutschland, alte Bundeslaender","71","0.155905710562805","0.11976313471785","0.192048286407761"
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1984","Schleswig-Holstein","Ostdeutschland, neue Bundeslaender","","","",""
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1984","Hamburg","Westdeutschland, alte Bundeslaender","65","0.112124643435612","0.0770579808112378","0.147191306059987"
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1984","Hamburg","Ostdeutschland, neue Bundeslaender","","","",""
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1984","Niedersachsen","Westdeutschland, alte Bundeslaender","214","0.130986257321475","0.112169672563431","0.149802842079519"
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1984","Niedersachsen","Ostdeutschland, neue Bundeslaender","","","",""
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1984","Bremen","Westdeutschland, alte Bundeslaender","","","",""
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1984","Bremen","Ostdeutschland, neue Bundeslaender","","","",""
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1984","Nordrhein-Westfalen","Westdeutschland, alte Bundeslaender","714","0.152578872705288","0.140258090286873","0.164899655123703"
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1984","Nordrhein-Westfalen","Ostdeutschland, neue Bundeslaender","","","",""
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1984","Hessen","Westdeutschland, alte Bundeslaender","311","0.167292599159715","0.146585208590216","0.187999989729214"
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1984","Hessen","Ostdeutschland, neue Bundeslaender","","","",""
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1984","Rheinland-Pfalz,Saarland","Westdeutschland, alte Bundeslaender","171","0.15106095042185","0.127043134196579","0.175078766647121"
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1984","Rheinland-Pfalz,Saarland","Ostdeutschland, neue Bundeslaender","","","",""
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1984","Baden-Wuerttemberg","Westdeutschland, alte Bundeslaender","694","0.201540842651843","0.185027681506928","0.218054003796758"
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1984","Baden-Wuerttemberg","Ostdeutschland, neue Bundeslaender","","","",""
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1984","Bayern","Westdeutschland, alte Bundeslaender","480","0.170032320128024","0.153980600919109","0.18608403933694"
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1984","Bayern","Ostdeutschland, neue Bundeslaender","","","",""
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1984","Saarland","Westdeutschland, alte Bundeslaender","","","",""
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1984","Saarland","Ostdeutschland, neue Bundeslaender","","","",""
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1984","Berlin","Westdeutschland, alte Bundeslaender","125","0.223887173807118","0.183636188084775","0.264138159529462"
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1984","Berlin","Ostdeutschland, neue Bundeslaender","","","",""
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1984","Brandenburg","Westdeutschland, alte Bundeslaender","","","",""
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1984","Brandenburg","Ostdeutschland, neue Bundeslaender","","","",""
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1984","Mecklenburg-Vorpommern","Westdeutschland, alte Bundeslaender","","","",""
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1984","Mecklenburg-Vorpommern","Ostdeutschland, neue Bundeslaender","","","",""
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1984","Sachsen","Westdeutschland, alte Bundeslaender","","","",""
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1984","Sachsen","Ostdeutschland, neue Bundeslaender","","","",""
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1984","Sachsen-Anhalt","Westdeutschland, alte Bundeslaender","","","",""
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1984","Sachsen-Anhalt","Ostdeutschland, neue Bundeslaender","","","",""
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1984","Thueringen","Westdeutschland, alte Bundeslaender","","","",""
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1984","Thueringen","Ostdeutschland, neue Bundeslaender","","","",""
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","1984","Schleswig-Holstein","Westdeutschland, alte Bundeslaender","100","0.257011676170007","0.213474522783935","0.300548829556078"
