"beruf","year","regtyp","sex","n","percent","lower_confidence","upper_confidence"
"Angestellte, einfache Tätigkeiten","1985","Staedtischer Raum","männlich","900","0.132369937050811","0.122176513429758","0.142563360671864"
"Angestellte, einfache Tätigkeiten","1985","Staedtischer Raum","weiblich","1009","0.174467085030192","0.16324070394995","0.185693466110435"
"Angestellte, einfache Tätigkeiten","1985","Laendlicher Raum","männlich","190","0.122810521547865","0.103906321427371","0.141714721668358"
"Angestellte, einfache Tätigkeiten","1985","Laendlicher Raum","weiblich","254","0.16908389173797","0.147973041431327","0.190194742044614"
"Angestellte, qualifizierte Tätigkeiten","1985","Staedtischer Raum","männlich","1509","0.364035066018735","0.349562474955624","0.378507657081846"
"Angestellte, qualifizierte Tätigkeiten","1985","Staedtischer Raum","weiblich","613","0.151001134405273","0.140409585134177","0.16159268367637"
"Angestellte, qualifizierte Tätigkeiten","1985","Laendlicher Raum","männlich","359","0.290700834016348","0.264547222119115","0.31685444591358"
"Angestellte, qualifizierte Tätigkeiten","1985","Laendlicher Raum","weiblich","139","0.11012141396722","0.0924904000987437","0.127752427835696"
"Arbeitslose","1985","Staedtischer Raum","männlich","203","0.0410751512097665","0.035105623562838","0.047044678856695"
"Arbeitslose","1985","Staedtischer Raum","weiblich","177","0.0328449985350163","0.027572718187307","0.0381172788827257"
"Arbeitslose","1985","Laendlicher Raum","männlich","77","0.0660852356778024","0.0517765529656935","0.0803939183899113"
"Arbeitslose","1985","Laendlicher Raum","weiblich","46","0.0303452289767171","0.020684057327817","0.0400064006256172"
"Beamte","1985","Staedtischer Raum","männlich","268","0.0762782350895308","0.0682940793015427","0.0842623908775189"
"Beamte","1985","Staedtischer Raum","weiblich","74","0.0181462720526236","0.0141977648331568","0.0220947792720903"
"Beamte","1985","Laendlicher Raum","männlich","102","0.089598336920708","0.0731485488619235","0.106048124979492"
"Beamte","1985","Laendlicher Raum","weiblich","","","",""
"In Ausbildung","1985","Staedtischer Raum","männlich","500","0.113378775317468","0.103842186921116","0.12291536371382"
"In Ausbildung","1985","Staedtischer Raum","weiblich","365","0.0789098746279163","0.0709348401221557","0.0868849091336768"
"In Ausbildung","1985","Laendlicher Raum","männlich","129","0.112083386510616","0.093913570714639","0.130253202306593"
"In Ausbildung","1985","Laendlicher Raum","weiblich","103","0.0834115836751545","0.0678384366019164","0.0989847307483926"
"In Rente oder Pension","1985","Staedtischer Raum","männlich","500","0.184199937508749","0.172540040818118","0.195859834199381"
"In Rente oder Pension","1985","Staedtischer Raum","weiblich","687","0.260157638702573","0.247179759751496","0.273135517653649"
"In Rente oder Pension","1985","Laendlicher Raum","männlich","162","0.192755490124924","0.170035939367489","0.215475040882359"
"In Rente oder Pension","1985","Laendlicher Raum","weiblich","243","0.296615281401947","0.270889460327438","0.322341102476455"
"Selbstständige/ManagerInnen","1985","Staedtischer Raum","männlich","287","0.0734991071223737","0.0656499676023696","0.0813482466423777"
"Selbstständige/ManagerInnen","1985","Staedtischer Raum","weiblich","151","0.0342906290361428","0.0289075992893815","0.0396736587829041"
"Selbstständige/ManagerInnen","1985","Laendlicher Raum","männlich","115","0.106739769678607","0.0889550943441396","0.124524445013075"
"Selbstständige/ManagerInnen","1985","Laendlicher Raum","weiblich","56","0.0419584175915395","0.0306662387004713","0.0532505964826076"
"Sonstige Nichterwerbspersonen","1985","Staedtischer Raum","männlich","79","0.0151637906825653","0.0114880574019813","0.0188395239631493"
"Sonstige Nichterwerbspersonen","1985","Staedtischer Raum","weiblich","1314","0.250182367610263","0.237370217909924","0.262994517310601"
"Sonstige Nichterwerbspersonen","1985","Laendlicher Raum","männlich","","","",""
"Sonstige Nichterwerbspersonen","1985","Laendlicher Raum","weiblich","347","0.250324741744137","0.225926164793489","0.274723318694785"
"Angestellte, einfache Tätigkeiten","1986","Staedtischer Raum","männlich","901","0.134202437946372","0.123792681297842","0.144612194594902"
"Angestellte, einfache Tätigkeiten","1986","Staedtischer Raum","weiblich","928","0.164275996773231","0.153055517590941","0.175496475955521"
"Angestellte, einfache Tätigkeiten","1986","Laendlicher Raum","männlich","200","0.134852196632017","0.114676497225025","0.155027896039008"
"Angestellte, einfache Tätigkeiten","1986","Laendlicher Raum","weiblich","236","0.162344986671557","0.141087045007128","0.183602928335986"
"Angestellte, qualifizierte Tätigkeiten","1986","Staedtischer Raum","männlich","1413","0.362661048185966","0.347978958178641","0.377343138193291"
"Angestellte, qualifizierte Tätigkeiten","1986","Staedtischer Raum","weiblich","628","0.159996963559275","0.148895270668902","0.171098656449648"
"Angestellte, qualifizierte Tätigkeiten","1986","Laendlicher Raum","männlich","328","0.283759302098576","0.257130049179305","0.310388555017847"
"Angestellte, qualifizierte Tätigkeiten","1986","Laendlicher Raum","weiblich","152","0.131423741132155","0.111947279302539","0.150900202961771"
"Arbeitslose","1986","Staedtischer Raum","männlich","174","0.0344212153459027","0.0288537291009915","0.0399887015908138"
"Arbeitslose","1986","Staedtischer Raum","weiblich","175","0.032640815104436","0.0272597618725055","0.0380218683363664"
"Arbeitslose","1986","Laendlicher Raum","männlich","56","0.0515881743953839","0.0385226155152066","0.0646537332755611"
"Arbeitslose","1986","Laendlicher Raum","weiblich","56","0.0421300180925724","0.0305497589403095","0.0537102772448353"
"Beamte","1986","Staedtischer Raum","männlich","258","0.0748208132069423","0.0667859898353036","0.0828556365785809"
"Beamte","1986","Staedtischer Raum","weiblich","67","0.0173000588343183","0.0133516040786497","0.0212485135899869"
"Beamte","1986","Laendlicher Raum","männlich","97","0.0895405336770178","0.0726752139551941","0.106405853398842"
"Beamte","1986","Laendlicher Raum","weiblich","","","",""
"In Ausbildung","1986","Staedtischer Raum","männlich","500","0.113360306956229","0.1036785029535","0.123042110958958"
"In Ausbildung","1986","Staedtischer Raum","weiblich","373","0.0752880692664831","0.0672978403595881","0.0832782981733781"
"In Ausbildung","1986","Laendlicher Raum","männlich","128","0.109093917017619","0.0906789620419571","0.12750887199328"
"In Ausbildung","1986","Laendlicher Raum","weiblich","93","0.0742454176413352","0.0591323739990917","0.0893584612835786"
"In Rente oder Pension","1986","Staedtischer Raum","männlich","497","0.187939060944449","0.176008660204024","0.199869461684873"
"In Rente oder Pension","1986","Staedtischer Raum","weiblich","647","0.266072874057694","0.252690915487489","0.279454832627899"
"In Rente oder Pension","1986","Laendlicher Raum","männlich","157","0.198058837192617","0.174517951583814","0.22159972280142"
"In Rente oder Pension","1986","Laendlicher Raum","weiblich","213","0.281088003482825","0.255174376989445","0.307001629976206"
