"beruf","year","bildungsniveau","n","percent","lower_confidence","upper_confidence"
"Angestellte, einfache Tätigkeiten","1984","(noch) kein Abschluss","567","0.264518802263979","0.24034600665694","0.288691597871017"
"Angestellte, einfache Tätigkeiten","1984","Hauptschule","1907","0.202194767750125","0.192942627673374","0.211446907826876"
"Angestellte, einfache Tätigkeiten","1984","Realschule","173","0.0868676904913945","0.0741433795303025","0.0995920014524866"
"Angestellte, einfache Tätigkeiten","1984","(Fach-)Abitur","131","0.0882635264740776","0.0693371273126175","0.107189925635538"
"Angestellte, einfache Tätigkeiten","1984","AkademikerIn","","","",""
"Angestellte, qualifizierte Tätigkeiten","1984","(noch) kein Abschluss","56","0.0281015517834411","0.019044467391746","0.0371586361751362"
"Angestellte, qualifizierte Tätigkeiten","1984","Hauptschule","1564","0.210116187587683","0.200731492524834","0.219500882650532"
"Angestellte, qualifizierte Tätigkeiten","1984","Realschule","587","0.300516469743262","0.279802603510981","0.321230335975542"
"Angestellte, qualifizierte Tätigkeiten","1984","(Fach-)Abitur","184","0.211159121987908","0.183929455579077","0.238388788396739"
"Angestellte, qualifizierte Tätigkeiten","1984","AkademikerIn","266","0.330166973105039","0.297332120207593","0.363001826002485"
"Selbstständige/ManagerInnen","1984","(noch) kein Abschluss","","","",""
"Selbstständige/ManagerInnen","1984","Hauptschule","338","0.0472521306751564","0.0423643861944639","0.052139875155849"
"Selbstständige/ManagerInnen","1984","Realschule","129","0.067407227495607","0.0560796371019906","0.0787348178892235"
"Selbstständige/ManagerInnen","1984","(Fach-)Abitur","52","0.05653090141484","0.041122787216512","0.0719390156131679"
"Selbstständige/ManagerInnen","1984","AkademikerIn","118","0.141494196396643","0.117159501055451","0.165828891737834"
"In Ausbildung","1984","(noch) kein Abschluss","218","0.429096896642898","0.401971774187339","0.456222019098456"
"In Ausbildung","1984","Hauptschule","301","0.0314843852424336","0.0274617586055189","0.0355070118793483"
"In Ausbildung","1984","Realschule","335","0.15991201147208","0.143352740527537","0.176471282416623"
"In Ausbildung","1984","(Fach-)Abitur","258","0.323618119163374","0.29240371204493","0.354832526281818"
"In Ausbildung","1984","AkademikerIn","","","",""
"In Rente oder Pension","1984","(noch) kein Abschluss","37","0.0519664944130326","0.0398022154148642","0.064130773411201"
"In Rente oder Pension","1984","Hauptschule","1339","0.274000618771603","0.263726307955324","0.284274929587883"
"In Rente oder Pension","1984","Realschule","236","0.172749466342715","0.155670359055409","0.189828573630022"
"In Rente oder Pension","1984","(Fach-)Abitur","64","0.116307225293872","0.0949179193383623","0.137696531249382"
"In Rente oder Pension","1984","AkademikerIn","81","0.144515502056004","0.119965684308307","0.169065319803702"
"Arbeitslose","1984","(noch) kein Abschluss","76","0.0507212077070289","0.0386956700963785","0.0627467453176793"
"Arbeitslose","1984","Hauptschule","268","0.0316519130613055","0.0276189473069281","0.0356848788156829"
"Arbeitslose","1984","Realschule","43","0.0213567142464252","0.0148251423711487","0.0278882861217017"
"Arbeitslose","1984","(Fach-)Abitur","30","0.0340959502105529","0.0219882659873285","0.0462036344337772"
"Arbeitslose","1984","AkademikerIn","","","",""
"Sonstige Nichterwerbspersonen","1984","(noch) kein Abschluss","305","0.165607025227585","0.145234844688771","0.185979205766399"
"Sonstige Nichterwerbspersonen","1984","Hauptschule","1393","0.183666975381337","0.174747115693447","0.192586835069226"
"Sonstige Nichterwerbspersonen","1984","Realschule","261","0.13154849554762","0.116277969074916","0.146819022020323"
"Sonstige Nichterwerbspersonen","1984","(Fach-)Abitur","107","0.114521958319934","0.0932760171768935","0.135767899462975"
"Sonstige Nichterwerbspersonen","1984","AkademikerIn","52","0.0583180568627796","0.0419559725506138","0.0746801411749453"
"Beamte","1984","(noch) kein Abschluss","","","",""
"Beamte","1984","Hauptschule","129","0.0196330215303566","0.0164370955560038","0.0228289475047093"
"Beamte","1984","Realschule","118","0.0596419246608965","0.0489424923491984","0.0703413569725946"
"Beamte","1984","(Fach-)Abitur","37","0.055503197135441","0.0402274683359745","0.0707789259349075"
"Beamte","1984","AkademikerIn","207","0.259500449005845","0.228893753787059","0.290107144224631"
"Angestellte, einfache Tätigkeiten","1985","(noch) kein Abschluss","409","0.221101575789158","0.196431547330038","0.245771604248279"
"Angestellte, einfache Tätigkeiten","1985","Hauptschule","1601","0.190793261432416","0.181191463179347","0.200395059685485"
"Angestellte, einfache Tätigkeiten","1985","Realschule","169","0.085536741606802","0.0726593330077556","0.0984141502058484"
"Angestellte, einfache Tätigkeiten","1985","(Fach-)Abitur","115","0.0943458429242348","0.0738321728380212","0.114859513010448"
"Angestellte, einfache Tätigkeiten","1985","AkademikerIn","","","",""
"Angestellte, qualifizierte Tätigkeiten","1985","(noch) kein Abschluss","81","0.044885804403094","0.032577011200895","0.0571945976052931"
"Angestellte, qualifizierte Tätigkeiten","1985","Hauptschule","1498","0.217967591423342","0.207878555845251","0.228056627001434"
"Angestellte, qualifizierte Tätigkeiten","1985","Realschule","581","0.308761465455383","0.2874901420041","0.330032788906666"
"Angestellte, qualifizierte Tätigkeiten","1985","(Fach-)Abitur","166","0.215424395365194","0.186573079125303","0.244275711605086"
"Angestellte, qualifizierte Tätigkeiten","1985","AkademikerIn","273","0.346757369879799","0.312763491806438","0.38075124795316"
"Selbstständige/ManagerInnen","1985","(noch) kein Abschluss","","","",""
"Selbstständige/ManagerInnen","1985","Hauptschule","318","0.0503415126125461","0.0449984757230124","0.0556845495020797"
"Selbstständige/ManagerInnen","1985","Realschule","117","0.0637486272387704","0.0524999709533807","0.0749972835241602"
"Selbstständige/ManagerInnen","1985","(Fach-)Abitur","48","0.062114631308367","0.0451762218921911","0.0790530407245429"
"Selbstständige/ManagerInnen","1985","AkademikerIn","99","0.127889820807084","0.104036202252476","0.151743439361692"
