"beruf","year","bildungsniveau","regtyp","n","percent","lower_confidence","upper_confidence"
"Angestellte, einfache Tätigkeiten","1985","(noch) kein Abschluss","Staedtischer Raum","363","0.24497317076741","0.217509214843079","0.27243712669174"
"Angestellte, einfache Tätigkeiten","1985","(noch) kein Abschluss","Laendlicher Raum","46","0.130355542829922","0.0755531264886131","0.185157959171231"
"Angestellte, einfache Tätigkeiten","1985","Hauptschule","Staedtischer Raum","1258","0.194872202440312","0.18374629196335","0.205998112917273"
"Angestellte, einfache Tätigkeiten","1985","Hauptschule","Laendlicher Raum","343","0.179933317054885","0.160895809276225","0.198970824833545"
"Angestellte, einfache Tätigkeiten","1985","Realschule","Staedtischer Raum","131","0.0843541016423662","0.0698168798455308","0.0988913234392017"
"Angestellte, einfache Tätigkeiten","1985","Realschule","Laendlicher Raum","38","0.0894297850632908","0.0617402398269716","0.11711933029961"
"Angestellte, einfache Tätigkeiten","1985","(Fach-)Abitur","Staedtischer Raum","106","0.103702249364501","0.0806171934271764","0.126787305301825"
"Angestellte, einfache Tätigkeiten","1985","(Fach-)Abitur","Laendlicher Raum","","","",""
"Angestellte, einfache Tätigkeiten","1985","AkademikerIn","Staedtischer Raum","","","",""
"Angestellte, einfache Tätigkeiten","1985","AkademikerIn","Laendlicher Raum","","","",""
"Angestellte, qualifizierte Tätigkeiten","1985","(noch) kein Abschluss","Staedtischer Raum","77","0.0547348117248139","0.0402093051925011","0.0692603182571268"
"Angestellte, qualifizierte Tätigkeiten","1985","(noch) kein Abschluss","Laendlicher Raum","","","",""
"Angestellte, qualifizierte Tätigkeiten","1985","Hauptschule","Staedtischer Raum","1176","0.229834924442614","0.21801735602346","0.241652492861767"
"Angestellte, qualifizierte Tätigkeiten","1985","Hauptschule","Laendlicher Raum","322","0.186371504044423","0.167072604434724","0.205670403654122"
"Angestellte, qualifizierte Tätigkeiten","1985","Realschule","Staedtischer Raum","465","0.321174606474647","0.29675075347038","0.345598459478913"
"Angestellte, qualifizierte Tätigkeiten","1985","Realschule","Laendlicher Raum","116","0.26789958113493","0.224927206385313","0.310871955884548"
"Angestellte, qualifizierte Tätigkeiten","1985","(Fach-)Abitur","Staedtischer Raum","141","0.221838584686809","0.190378196361188","0.25329897301243"
"Angestellte, qualifizierte Tätigkeiten","1985","(Fach-)Abitur","Laendlicher Raum","","","",""
"Angestellte, qualifizierte Tätigkeiten","1985","AkademikerIn","Staedtischer Raum","244","0.377883540074441","0.340052503163117","0.415714576985764"
"Angestellte, qualifizierte Tätigkeiten","1985","AkademikerIn","Laendlicher Raum","","","",""
"Selbstständige/ManagerInnen","1985","(noch) kein Abschluss","Staedtischer Raum","","","",""
"Selbstständige/ManagerInnen","1985","(noch) kein Abschluss","Laendlicher Raum","","","",""
"Selbstständige/ManagerInnen","1985","Hauptschule","Staedtischer Raum","203","0.0413010830495421","0.0357118780052707","0.0468902880938134"
"Selbstständige/ManagerInnen","1985","Hauptschule","Laendlicher Raum","115","0.0744111331373753","0.0614047142525588","0.0874175520221917"
"Selbstständige/ManagerInnen","1985","Realschule","Staedtischer Raum","88","0.0630755312126958","0.0503596258780123","0.0757914365473793"
"Selbstständige/ManagerInnen","1985","Realschule","Laendlicher Raum","","","",""
"Selbstständige/ManagerInnen","1985","(Fach-)Abitur","Staedtischer Raum","39","0.058695744848917","0.0408974248924564","0.0764940648053775"
"Selbstständige/ManagerInnen","1985","(Fach-)Abitur","Laendlicher Raum","","","",""
"Selbstständige/ManagerInnen","1985","AkademikerIn","Staedtischer Raum","84","0.130569579351344","0.104280714742353","0.156858443960335"
"Selbstständige/ManagerInnen","1985","AkademikerIn","Laendlicher Raum","","","",""
"In Ausbildung","1985","(noch) kein Abschluss","Staedtischer Raum","156","0.419468339644745","0.38795567062794","0.450981008661549"
"In Ausbildung","1985","(noch) kein Abschluss","Laendlicher Raum","43","0.524731108626166","0.443447647084844","0.606014570167488"
"In Ausbildung","1985","Hauptschule","Staedtischer Raum","209","0.0298934573298868","0.0251101752407411","0.0346767394190324"
