"beruf","year","bula_h","regtyp","n","percent","lower_confidence","upper_confidence"
"Angestellte, qualifizierte Tätigkeiten","1985","Niedersachsen","Staedtischer Raum","122","0.250558130047253","0.212986428236434","0.288129831858073"
"Angestellte, qualifizierte Tätigkeiten","1985","Niedersachsen","Laendlicher Raum","127","0.19851749512894","0.166493804767934","0.230541185489945"
"Angestellte, qualifizierte Tätigkeiten","1985","Bremen","Staedtischer Raum","","","",""
"Angestellte, qualifizierte Tätigkeiten","1985","Bremen","Laendlicher Raum","","","",""
"Angestellte, qualifizierte Tätigkeiten","1985","Nordrhein-Westfalen","Staedtischer Raum","682","0.243975461528081","0.228295603619982","0.25965531943618"
"Angestellte, qualifizierte Tätigkeiten","1985","Nordrhein-Westfalen","Laendlicher Raum","","","",""
"Angestellte, qualifizierte Tätigkeiten","1985","Hessen","Staedtischer Raum","248","0.261826647314983","0.234217390487369","0.289435904142596"
"Angestellte, qualifizierte Tätigkeiten","1985","Hessen","Laendlicher Raum","","","",""
"Angestellte, qualifizierte Tätigkeiten","1985","Rheinland-Pfalz,Saarland","Staedtischer Raum","151","0.234102511993694","0.201063901729002","0.267141122258385"
"Angestellte, qualifizierte Tätigkeiten","1985","Rheinland-Pfalz,Saarland","Laendlicher Raum","","","",""
"Angestellte, qualifizierte Tätigkeiten","1985","Baden-Württemberg","Staedtischer Raum","410","0.246186735789995","0.225962896287905","0.266410575292085"
"Angestellte, qualifizierte Tätigkeiten","1985","Baden-Württemberg","Laendlicher Raum","52","0.186099570371431","0.141688073907244","0.230511066835618"
"Angestellte, qualifizierte Tätigkeiten","1985","Bayern","Staedtischer Raum","282","0.283749564927915","0.255423142826759","0.312075987029072"
"Angestellte, qualifizierte Tätigkeiten","1985","Bayern","Laendlicher Raum","203","0.196792505833499","0.171088045563859","0.222496966103138"
"Angestellte, qualifizierte Tätigkeiten","1985","Saarland","Staedtischer Raum","","","",""
"Angestellte, qualifizierte Tätigkeiten","1985","Saarland","Laendlicher Raum","","","",""
"Angestellte, qualifizierte Tätigkeiten","1985","Berlin","Staedtischer Raum","87","0.236602198785127","0.192942348743613","0.280262048826641"
"Angestellte, qualifizierte Tätigkeiten","1985","Berlin","Laendlicher Raum","","","",""
"Angestellte, qualifizierte Tätigkeiten","1985","Brandenburg","Staedtischer Raum","","","",""
"Angestellte, qualifizierte Tätigkeiten","1985","Brandenburg","Laendlicher Raum","","","",""
"Angestellte, qualifizierte Tätigkeiten","1985","Mecklenburg-Vorpommern","Staedtischer Raum","","","",""
"Angestellte, qualifizierte Tätigkeiten","1985","Mecklenburg-Vorpommern","Laendlicher Raum","","","",""
"Angestellte, qualifizierte Tätigkeiten","1985","Sachsen","Staedtischer Raum","","","",""
"Angestellte, qualifizierte Tätigkeiten","1985","Sachsen","Laendlicher Raum","","","",""
"Angestellte, qualifizierte Tätigkeiten","1985","Sachsen-Anhalt","Staedtischer Raum","","","",""
"Angestellte, qualifizierte Tätigkeiten","1985","Sachsen-Anhalt","Laendlicher Raum","","","",""
"Angestellte, qualifizierte Tätigkeiten","1985","Thüringen","Staedtischer Raum","","","",""
"Angestellte, qualifizierte Tätigkeiten","1985","Thüringen","Laendlicher Raum","","","",""
"Selbstständige/ManagerInnen","1985","Schleswig-Holstein","Staedtischer Raum","","","",""
"Selbstständige/ManagerInnen","1985","Schleswig-Holstein","Laendlicher Raum","","","",""
"Selbstständige/ManagerInnen","1985","Hamburg","Staedtischer Raum","","","",""
"Selbstständige/ManagerInnen","1985","Hamburg","Laendlicher Raum","","","",""
"Selbstständige/ManagerInnen","1985","Niedersachsen","Staedtischer Raum","","","",""
"Selbstständige/ManagerInnen","1985","Niedersachsen","Laendlicher Raum","48","0.070665105239822","0.0500913490746291","0.0912388614050149"
"Selbstständige/ManagerInnen","1985","Bremen","Staedtischer Raum","","","",""
"Selbstständige/ManagerInnen","1985","Bremen","Laendlicher Raum","","","",""
"Selbstständige/ManagerInnen","1985","Nordrhein-Westfalen","Staedtischer Raum","148","0.0533413731349252","0.0451372929409028","0.0615454533289476"
"Selbstständige/ManagerInnen","1985","Nordrhein-Westfalen","Laendlicher Raum","","","",""
"Selbstständige/ManagerInnen","1985","Hessen","Staedtischer Raum","49","0.0493980128268609","0.0357891226054207","0.0630069030483012"
"Selbstständige/ManagerInnen","1985","Hessen","Laendlicher Raum","","","",""
"Selbstständige/ManagerInnen","1985","Rheinland-Pfalz,Saarland","Staedtischer Raum","","","",""
