"beruf","year","n","percent","lower_confidence","upper_confidence"
"Angestellte, einfache Tätigkeiten","1984","2826","0.162700826321829","0.156135774064819","0.169265878578839"
"Angestellte, qualifizierte Tätigkeiten","1984","2676","0.228191554907043","0.220726938006807","0.235656171807279"
"Arbeitslose","1984","434","0.0295983776390794","0.0265838956930071","0.0326128595851517"
"Beamte","1984","492","0.0459721924054808","0.0422471510269396","0.0496972337840219"
"In Ausbildung","1984","1146","0.0904670595887608","0.0853648601527638","0.0955692590247579"
"In Rente oder Pension","1984","1765","0.2263557712302","0.218912404657576","0.233799137802824"
"Selbstständige/ManagerInnen","1984","662","0.0568547073313483","0.0527358619264296","0.060973552736267"
"Sonstige Nichterwerbspersonen","1984","2141","0.159859510576259","0.153341003009812","0.166378018142706"
"Angestellte, einfache Tätigkeiten","1985","2353","0.152839453185201","0.146116599395722","0.159562306974681"
"Angestellte, qualifizierte Tätigkeiten","1985","2620","0.237343234776838","0.22939435259978","0.245292116953895"
"Arbeitslose","1985","503","0.0393065259538015","0.0356759308435994","0.0429371210640037"
"Beamte","1985","467","0.047052114078429","0.0430959234149463","0.0510083047419118"
"In Ausbildung","1985","1097","0.0955671237512254","0.0900743021299795","0.101059945372471"
"In Rente oder Pension","1985","1592","0.230184642629305","0.222319899810351","0.23804938544826"
"Selbstständige/ManagerInnen","1985","609","0.0576190512057802","0.0532654427515005","0.06197265966006"
"Sonstige Nichterwerbspersonen","1985","1764","0.14008785441942","0.133603296839338","0.146572411999502"
"Angestellte, einfache Tätigkeiten","1986","2265","0.149888850511863","0.14308216224977","0.156695538773956"
"Angestellte, qualifizierte Tätigkeiten","1986","2521","0.243024043127885","0.234845442452303","0.251202643803467"
"Arbeitslose","1986","461","0.0366786755301774","0.0330943639957575","0.0402629870645973"
"Beamte","1986","447","0.0465262283544026","0.0425100162592861","0.0505424404495192"
"In Ausbildung","1986","1094","0.0926555520367144","0.087126697583127","0.0981844064903018"
"In Rente oder Pension","1986","1514","0.232253329482427","0.224201338395706","0.240305320569147"
"Selbstständige/ManagerInnen","1986","592","0.0581171913023758","0.0536558640203305","0.062578518584421"
"Sonstige Nichterwerbspersonen","1986","1671","0.140856129654155","0.134222760548119","0.147489498760192"
"Angestellte, einfache Tätigkeiten","1987","2282","0.15838128001595","0.151374547241549","0.16538801279035"
"Angestellte, qualifizierte Tätigkeiten","1987","2493","0.247363535175032","0.239082847506589","0.255644222843474"
"Arbeitslose","1987","471","0.0370056913281714","0.0333828271045531","0.0406285555517896"
"Beamte","1987","443","0.0471400593643082","0.0430726720114759","0.0512074467171405"
"In Ausbildung","1987","1083","0.0844424902759752","0.0791063250584875","0.0897786554934629"
"In Rente oder Pension","1987","1487","0.230181985084047","0.222103393786719","0.238260576381374"
"Selbstständige/ManagerInnen","1987","578","0.0577236831539394","0.0532478685216086","0.0621994977862702"
"Sonstige Nichterwerbspersonen","1987","1593","0.137761275602578","0.131146984932123","0.144375566273033"
"Angestellte, einfache Tätigkeiten","1988","2092","0.148592459176916","0.141604344252394","0.155580574101439"
"Angestellte, qualifizierte Tätigkeiten","1988","2465","0.259498019059893","0.25088564184847","0.268110396271315"
"Arbeitslose","1988","457","0.0383997259345416","0.0346244016735319","0.0421750501955513"
"Beamte","1988","410","0.0470152436138316","0.0428565662385685","0.0511739209890947"
"In Ausbildung","1988","993","0.0827601793420151","0.0773470915682724","0.0881732671157577"
"In Rente oder Pension","1988","1451","0.231930868594137","0.223638619488087","0.240223117700187"
"Selbstständige/ManagerInnen","1988","548","0.0577697414384509","0.053185983841988","0.0623534990349138"
"Sonstige Nichterwerbspersonen","1988","1536","0.134033762840215","0.127340305616201","0.14072722006423"
"Angestellte, einfache Tätigkeiten","1989","2166","0.157168795474603","0.149904090315151","0.164433500634055"
"Angestellte, qualifizierte Tätigkeiten","1989","2383","0.261422722153678","0.252652023997369","0.270193420309988"
"Arbeitslose","1989","324","0.028973755559317","0.0256257790100077","0.0323217321086263"
"Beamte","1989","384","0.045649168971602","0.0414830180996403","0.0498153198435638"
"In Ausbildung","1989","926","0.0836649889728168","0.0781383188045862","0.0891916591410475"
"In Rente oder Pension","1989","1438","0.23475024438345","0.226290267939968","0.243210220826931"
"Selbstständige/ManagerInnen","1989","523","0.0558878596040707","0.0513029048184931","0.0604728143896483"
"Sonstige Nichterwerbspersonen","1989","1498","0.132482464880462","0.125715672396245","0.13924925736468"
"Angestellte, einfache Tätigkeiten","1990","2711","0.152609935369351","0.146618095359098","0.158601775379604"
"Angestellte, qualifizierte Tätigkeiten","1990","4857","0.31823852896658","0.310477492453295","0.325999565479866"
"Arbeitslose","1990","316","0.0223308897963367","0.0198689576360845","0.024792821956589"
"Beamte","1990","377","0.0378422756049304","0.0346629216656058","0.0410216295442549"
"In Ausbildung","1990","1135","0.075783057462568","0.0713734478277277","0.0801926670974083"
"In Rente oder Pension","1990","2111","0.226382012902064","0.219409146271893","0.233354879532235"
"Selbstständige/ManagerInnen","1990","695","0.0533187605266858","0.049575336457359","0.0570621845960126"
"Sonstige Nichterwerbspersonen","1990","1635","0.113494539371484","0.108209413787504","0.118779664955464"
"Angestellte, einfache Tätigkeiten","1991","2859","0.164549336804515","0.158308041016621","0.170790632592409"
"Angestellte, qualifizierte Tätigkeiten","1991","4183","0.292520610502129","0.284862856256523","0.300178364747735"
"Arbeitslose","1991","612","0.0350518957331605","0.0319560876689465","0.0381477037973746"
"Beamte","1991","411","0.038554004015561","0.035313120030852","0.04179488800027"
"In Ausbildung","1991","1136","0.0728656719603693","0.0684904598657876","0.0772408840549511"
"In Rente oder Pension","1991","2142","0.235070406605157","0.227932415477247","0.242208397733068"
"Selbstständige/ManagerInnen","1991","697","0.0542902322137518","0.0504760092197526","0.058104455207751"
"Sonstige Nichterwerbspersonen","1991","1517","0.107097842165356","0.101892388446434","0.112303295884278"
"Angestellte, einfache Tätigkeiten","1992","2601","0.15287734901317","0.146760665986983","0.158994032039357"
"Angestellte, qualifizierte Tätigkeiten","1992","3910","0.281983513395977","0.274335470352737","0.289631556439218"
"Arbeitslose","1992","855","0.0497565375982163","0.0460606923553358","0.0534523828410968"
"Beamte","1992","386","0.0361286056896866","0.0329568012477259","0.0393004101316473"
"In Ausbildung","1992","1179","0.0746558789526498","0.0701884783528885","0.0791232795524111"
"In Rente oder Pension","1992","2268","0.246021677505792","0.238701234323275","0.253342120688309"
"Selbstständige/ManagerInnen","1992","697","0.0557773381623767","0.0518766847908721","0.0596779915338813"
"Sonstige Nichterwerbspersonen","1992","1401","0.102799099682131","0.0976371857077553","0.107961013656507"
"Angestellte, einfache Tätigkeiten","1993","2577","0.158591373989365","0.152332380664078","0.164850367314652"
"Angestellte, qualifizierte Tätigkeiten","1993","3649","0.266982706184504","0.259402868540031","0.274562543828977"
"Arbeitslose","1993","912","0.0560865572990905","0.0521441934423649","0.060028921155816"
"Beamte","1993","411","0.0394040585400914","0.0360705461087654","0.0427375709714174"
"In Ausbildung","1993","1155","0.0741390568672937","0.0696499738385378","0.0786281398960497"
"In Rente oder Pension","1993","2308","0.247748989206096","0.240352109376735","0.255145869035457"
"Selbstständige/ManagerInnen","1993","715","0.0584505243984341","0.0544309783683782","0.0624700704284899"
"Sonstige Nichterwerbspersonen","1993","1358","0.0985967335151257","0.0934887197980238","0.103704747232228"
"Angestellte, einfache Tätigkeiten","1994","2292","0.14525474090014","0.139165537733907","0.151343944066374"
"Angestellte, qualifizierte Tätigkeiten","1994","3673","0.269862482685972","0.26219150809308","0.277533457278865"
"Arbeitslose","1994","1035","0.0658773830381937","0.0615904463548225","0.0701643197215648"
"Beamte","1994","429","0.041556495462402","0.0381076028405102","0.0450053880842939"
"In Ausbildung","1994","1071","0.0682663735530649","0.0639079818674326","0.0726247652386973"
"In Rente oder Pension","1994","2291","0.250571794869388","0.243083066724917","0.258060523013859"
"Selbstständige/ManagerInnen","1994","704","0.0570896127992484","0.0530801082096234","0.0610991173888734"
"Sonstige Nichterwerbspersonen","1994","1368","0.101521116691591","0.0963018548344078","0.106740378548773"
"Angestellte, einfache Tätigkeiten","1995","2479","0.148039974206805","0.141997314976123","0.154082633437487"
"Angestellte, qualifizierte Tätigkeiten","1995","3770","0.268598601174725","0.261057083372347","0.276140118977103"
"Arbeitslose","1995","995","0.0641390170523496","0.0599703633913676","0.0683076707133316"
"Beamte","1995","429","0.0400936156724591","0.0367556563064909","0.0434315750384274"
"In Ausbildung","1995","1162","0.0719440525871676","0.06754748734668","0.0763406178276552"
"In Rente oder Pension","1995","2323","0.252727385179744","0.245333125824277","0.260121644535211"
"Selbstständige/ManagerInnen","1995","705","0.0550383958749198","0.0511580632157085","0.0589187285341311"
"Sonstige Nichterwerbspersonen","1995","1406","0.0994189582518302","0.0943277015097584","0.104510214993902"
"Angestellte, einfache Tätigkeiten","1996","2268","0.141593332361349","0.135606774854618","0.14757988986808"
"Angestellte, qualifizierte Tätigkeiten","1996","3790","0.272445063769492","0.264799991702159","0.280090135836824"
"Arbeitslose","1996","994","0.0649208898200448","0.060690059331041","0.0691517203090486"
"Beamte","1996","413","0.0381211641416289","0.0348330076544833","0.0414093206287746"
"In Ausbildung","1996","1118","0.0694260450721681","0.0650614307276439","0.0737906594166924"
"In Rente oder Pension","1996","2341","0.257656333049526","0.250146468036068","0.265166198062983"
"Selbstständige/ManagerInnen","1996","722","0.0584337537837984","0.0544059662829275","0.0624615412846693"
"Sonstige Nichterwerbspersonen","1996","1382","0.0974034180019935","0.0923119483802772","0.10249488762371"
"Angestellte, einfache Tätigkeiten","1997","2160","0.138025768230839","0.132052421753758","0.14399911470792"
"Angestellte, qualifizierte Tätigkeiten","1997","3613","0.263370567837631","0.255742779526912","0.27099835614835"
"Arbeitslose","1997","1038","0.0700811937652161","0.0656602627407339","0.0745021247896983"
"Beamte","1997","430","0.0391950474598693","0.035834394306886","0.0425557006128527"
"In Ausbildung","1997","1135","0.0713969141212185","0.0669378341614707","0.0758559940809663"
"In Rente oder Pension","1997","2387","0.26388847245706","0.256255872558798","0.271521072355322"
"Selbstständige/ManagerInnen","1997","718","0.0578488789425319","0.0538059301897638","0.0618918276952999"
"Sonstige Nichterwerbspersonen","1997","1328","0.0961931571856347","0.0910869270981375","0.101299387273132"
"Angestellte, einfache Tätigkeiten","1998","2359","0.141816790241628","0.136083669982235","0.147549910501022"
"Angestellte, qualifizierte Tätigkeiten","1998","3944","0.261008754447851","0.253791294158229","0.268226214737473"
"Arbeitslose","1998","1093","0.0661524818178425","0.0620678936522418","0.0702370699834431"
"Beamte","1998","481","0.037458525093586","0.0343380387822672","0.0405790114049047"
"In Ausbildung","1998","1262","0.0753378450763366","0.071000386326938","0.0796753038257352"
"In Rente oder Pension","1998","2791","0.263399882240955","0.256161176886084","0.270638587595827"
"Selbstständige/ManagerInnen","1998","822","0.0590316987520029","0.0551585216429266","0.0629048758610792"
"Sonstige Nichterwerbspersonen","1998","1472","0.0957940223297974","0.0909574230061141","0.100630621653481"
"Angestellte, einfache Tätigkeiten","1999","2287","0.146575441067257","0.140646284859265","0.152504597275249"
"Angestellte, qualifizierte Tätigkeiten","1999","3978","0.269870823590043","0.262429374100872","0.277312273079213"
"Arbeitslose","1999","886","0.056056049908403","0.0521998097899137","0.0599122900268924"
"Beamte","1999","453","0.0359062510405169","0.0327871863359698","0.039025315745064"
"In Ausbildung","1999","1188","0.0735717728933884","0.0691951289197605","0.0779484168670163"
"In Rente oder Pension","1999","2728","0.266878728740857","0.259463499022836","0.274293958458879"
"Selbstständige/ManagerInnen","1999","833","0.0630604793331693","0.0589856058234981","0.0671353528428405"
"Sonstige Nichterwerbspersonen","1999","1316","0.0880804534263655","0.083329314250633","0.092831592602098"
"Angestellte, einfache Tätigkeiten","2000","3821","0.151802235443151","0.147267791589404","0.156336679296897"
"Angestellte, qualifizierte Tätigkeiten","2000","6747","0.271983461197467","0.266360329509512","0.277606592885423"
"Arbeitslose","2000","1409","0.049170061164081","0.046437699510791","0.0519024228173711"
"Beamte","2000","843","0.0326359926047818","0.030390664777417","0.0348813204321467"
"In Ausbildung","2000","1920","0.0687022123420269","0.0655057762167385","0.0718986484673153"
"In Rente oder Pension","2000","5262","0.263817663617029","0.258248614927328","0.269386712306729"
"Selbstständige/ManagerInnen","2000","1557","0.0667157372489271","0.0635624938181115","0.0698689806797427"
"Sonstige Nichterwerbspersonen","2000","2497","0.0951726363825367","0.091464332665996","0.0988809400990775"
"Angestellte, einfache Tätigkeiten","2001","3437","0.149184816637613","0.144464138828752","0.153905494446475"
"Angestellte, qualifizierte Tätigkeiten","2001","6210","0.272060253004091","0.266163611870075","0.277956894138106"
"Arbeitslose","2001","1315","0.0544136776075101","0.0514080922755129","0.0574192629395073"
"Beamte","2001","780","0.0340526194960299","0.0316494941194327","0.0364557448726271"
"In Ausbildung","2001","1808","0.0707738634294649","0.0673758773729238","0.074171849486006"
"In Rente oder Pension","2001","4925","0.269044318571226","0.263168317477719","0.274920319664734"
"Selbstständige/ManagerInnen","2001","1362","0.0644551350926478","0.0612013751864612","0.0677088949988344"
"Sonstige Nichterwerbspersonen","2001","2043","0.0860153161614173","0.0823001196845002","0.0897305126383344"
"Angestellte, einfache Tätigkeiten","2002","3385","0.155700349084685","0.15101349806507","0.160387200104301"
"Angestellte, qualifizierte Tätigkeiten","2002","6383","0.258342428959743","0.252684107233","0.264000750686485"
"Arbeitslose","2002","1310","0.0602223754563192","0.0571471317225555","0.0632976191900829"
"Beamte","2002","1080","0.0315869401581925","0.0293260880798963","0.0338477922364886"
"In Ausbildung","2002","1965","0.0736773593943809","0.0703003193030074","0.0770543994857544"
