"beruf","year","bula_h","n","percent","lower_confidence","upper_confidence"
"Angestellte, einfache Tätigkeiten","1984","Schleswig-Holstein","71","0.156018816161345","0.119818754526053","0.192218877796637"
"Angestellte, einfache Tätigkeiten","1984","Hamburg","63","0.110325517407851","0.0753936015833894","0.145257433232313"
"Angestellte, einfache Tätigkeiten","1984","Niedersachsen","213","0.13081026594843","0.111973893330714","0.149646638566146"
"Angestellte, einfache Tätigkeiten","1984","Bremen","","","",""
"Angestellte, einfache Tätigkeiten","1984","Nordrhein-Westfalen","706","0.1526830891967","0.140321018332447","0.165045160060953"
"Angestellte, einfache Tätigkeiten","1984","Hessen","308","0.167130438214286","0.14638948088905","0.187871395539522"
"Angestellte, einfache Tätigkeiten","1984","Rheinland-Pfalz,Saarland","168","0.150053647629878","0.126031419795068","0.174075875464687"
"Angestellte, einfache Tätigkeiten","1984","Baden-Württemberg","681","0.200795930125497","0.184232401934415","0.217359458316579"
"Angestellte, einfache Tätigkeiten","1984","Bayern","473","0.16987073305612","0.153752137262364","0.185989328849877"
"Angestellte, einfache Tätigkeiten","1984","Saarland","","","",""
"Angestellte, einfache Tätigkeiten","1984","Berlin","124","0.225313496625613","0.184774349461881","0.265852643789346"
"Angestellte, einfache Tätigkeiten","1984","Brandenburg","","","",""
"Angestellte, einfache Tätigkeiten","1984","Mecklenburg-Vorpommern","","","",""
"Angestellte, einfache Tätigkeiten","1984","Sachsen","","","",""
"Angestellte, einfache Tätigkeiten","1984","Sachsen-Anhalt","","","",""
"Angestellte, einfache Tätigkeiten","1984","Thüringen","","","",""
"Angestellte, qualifizierte Tätigkeiten","1984","Schleswig-Holstein","100","0.25734960312929","0.213737362578965","0.300961843679614"
"Angestellte, qualifizierte Tätigkeiten","1984","Hamburg","85","0.285904424574817","0.235524506074165","0.336284343075468"
"Angestellte, qualifizierte Tätigkeiten","1984","Niedersachsen","263","0.216948096281783","0.193923487420632","0.239972705142933"
"Angestellte, qualifizierte Tätigkeiten","1984","Bremen","","","",""
"Angestellte, qualifizierte Tätigkeiten","1984","Nordrhein-Westfalen","689","0.225897198011724","0.211524855306475","0.240269540716972"
"Angestellte, qualifizierte Tätigkeiten","1984","Hessen","283","0.236052700810856","0.212445270651866","0.259660130969845"
"Angestellte, qualifizierte Tätigkeiten","1984","Rheinland-Pfalz,Saarland","170","0.200420174358287","0.173492684089613","0.22734766462696"
"Angestellte, qualifizierte Tätigkeiten","1984","Baden-Württemberg","486","0.237454054587709","0.219859861341465","0.255048247833953"
"Angestellte, qualifizierte Tätigkeiten","1984","Bayern","481","0.228675519802755","0.210648519898594","0.246702519706916"
"Angestellte, qualifizierte Tätigkeiten","1984","Saarland","","","",""
"Angestellte, qualifizierte Tätigkeiten","1984","Berlin","99","0.246875869017422","0.205035971519513","0.28871576651533"
"Angestellte, qualifizierte Tätigkeiten","1984","Brandenburg","","","",""
"Angestellte, qualifizierte Tätigkeiten","1984","Mecklenburg-Vorpommern","","","",""
"Angestellte, qualifizierte Tätigkeiten","1984","Sachsen","","","",""
"Angestellte, qualifizierte Tätigkeiten","1984","Sachsen-Anhalt","","","",""
"Angestellte, qualifizierte Tätigkeiten","1984","Thüringen","","","",""
"Selbstständige/ManagerInnen","1984","Schleswig-Holstein","","","",""
