year,sex,plj0078,proportion,n,lower_confidence,upper_confidence
1984,maennlich,Gar nicht,0.2546583850931677,16099,0.24792841248619396,0.2613883577001414
1984,weiblich,Gar nicht,0.24292615596963424,16099,0.2363015068379181,0.2495508051013504
1984,maennlich,In mancher Beziehung,0.14596273291925466,16099,0.14050872172041448,0.15141674411809483
1984,weiblich,In mancher Beziehung,0.1007591442374051,16099,0.09610931641860197,0.10540897205620824
1984,maennlich,Kaum,0.0873015873015873,16099,0.08294113702169645,0.09166203758147815
1984,weiblich,Kaum,0.0748792270531401,16099,0.07081351596712297,0.07894493813915722
1984,maennlich,Ueberwiegend,0.03554175293305728,16099,0.032681741570825436,0.038401764295289124
1984,weiblich,Ueberwiegend,0.023809523809523808,16099,0.021454478543153774,0.026164569075893842
1984,maennlich,Voll und ganz,0.018633540372670808,16099,0.01654462947311307,0.020722451272228545
1984,weiblich,Voll und ganz,0.015527950310559006,16099,0.013618029403633075,0.017437871217484937
1985,maennlich,Gar nicht,0.24146341463414633,14443,0.23448364159661567,0.248443187671677
1985,weiblich,Gar nicht,0.2394308943089431,14443,0.23247125392031853,0.24639053469756766
1985,maennlich,In mancher Beziehung,0.1654471544715447,14443,0.15938699660105188,0.17150731234203753
1985,weiblich,In mancher Beziehung,0.10040650406504065,14443,0.09550497658045208,0.10530803154962921
1985,maennlich,Kaum,0.08455284552845528,14443,0.08001543453229173,0.08909025652461883
1985,weiblich,Kaum,0.07804878048780488,14443,0.0736739180864973,0.08242364288911246
1985,maennlich,Ueberwiegend,0.03699186991869919,14443,0.03391367947796774,0.04007006035943064
1985,weiblich,Ueberwiegend,0.026422764227642278,14443,0.023806981330876997,0.02903854712440756
1985,maennlich,Voll und ganz,0.014227642276422764,14443,0.012296198136422446,0.01615908641642308
1985,weiblich,Voll und ganz,0.013008130081300813,14443,0.011160174240548605,0.01485608592205302
1986,maennlich,Gar nicht,0.2334330910645575,13742,0.22636035676058866,0.24050582536852635
1986,weiblich,Gar nicht,0.2261650277896537,13742,0.21917034537092753,0.23315971020837986
1986,maennlich,In mancher Beziehung,0.1778537836682343,13742,0.1714603055243715,0.18424726181209708
1986,weiblich,In mancher Beziehung,0.11115861479264642,13742,0.10590310564806651,0.11641412393722633
1986,maennlich,Kaum,0.08764429243266353,13742,0.08291631913046409,0.09237226573486297
1986,weiblich,Kaum,0.07952116289012398,13742,0.07499761320870303,0.08404471257154493
1986,maennlich,Ueberwiegend,0.02864471996579735,13742,0.025855758959048264,0.03143368097254644
1986,weiblich,Ueberwiegend,0.026934587430525864,13742,0.02422778049220951,0.02964139436884222
1986,maennlich,Voll und ganz,0.01795639162035058,13742,0.015736120447557903,0.020176662793143254
1986,weiblich,Voll und ganz,0.010688328345446772,13742,0.008969024798678307,0.012407631892215238
1987,weiblich,Gar nicht,0.22037510656436488,13496,0.21338187912294856,0.2273683340057812
1987,maennlich,Gar nicht,0.21696504688832055,13496,0.21001097784730705,0.22391911592933406
1987,maennlich,In mancher Beziehung,0.17476555839727195,13496,0.16835833106000844,0.18117278573453546
1987,weiblich,In mancher Beziehung,0.11125319693094629,13496,0.10594803295293052,0.11655836090896206
1987,maennlich,Kaum,0.0988917306052856,13496,0.0938553097605847,0.10392815144998649
1987,weiblich,Kaum,0.08184143222506395,13496,0.07721656794459525,0.08646629650553264
1987,maennlich,Ueberwiegend,0.0392156862745098,13496,0.03594079867832486,0.04249057387069475
1987,weiblich,Ueberwiegend,0.028985507246376812,13496,0.026155048398730514,0.03181596609402311
1987,maennlich,Voll und ganz,0.01577152600170503,13496,0.013669498676698574,0.017873553326711485
1987,weiblich,Voll und ganz,0.011935208866155157,13496,0.01010305788172917,0.013767359850581145
1989,weiblich,Gar nicht,0.20770593445527016,12393,0.200563677008043,0.21484819190249732
1989,maennlich,Gar nicht,0.18910540301151463,12393,0.18221091503458534,0.19599989098844392
1989,maennlich,In mancher Beziehung,0.18821966341895482,12393,0.18133758516680265,0.195101741671107
1989,weiblich,In mancher Beziehung,0.12798937112488928,12393,0.12210749751167418,0.13387124473810438
1989,maennlich,Kaum,0.09521700620017715,12393,0.090049305860683,0.1003847065396713
1989,weiblich,Kaum,0.08680248007085917,12393,0.0818455102472593,0.09175944989445903
1989,maennlich,Ueberwiegend,0.037643932683790966,12393,0.034292864727835416,0.040995000639746516
1989,weiblich,Ueberwiegend,0.0283436669619132,12393,0.025421855371507953,0.03126547855231845
1989,maennlich,Voll und ganz,0.022586359610274578,12393,0.019970405245007435,0.02520231397554172
1989,weiblich,Voll und ganz,0.016386182462356066,12393,0.014150968764491527,0.018621396160220603
1991,weiblich,Gar nicht,0.20136674259681092,17756,0.1954681137371379,0.20726537145648394
1991,maennlich,Gar nicht,0.18132118451025056,17756,0.17565403652830017,0.18698833249220095
