year,quintil_oecd,sampreg,plj0078,proportion,n,proportion_lower_confidence,proportion_upper_confidence
1984,1st Quintile,West,Gar nicht,0.5120370370370371,16099,0.5043155536935603,0.5197585203805138
1984,1st Quintile,West,In mancher Beziehung,0.2439814814814815,16099,0.2373470873228939,0.2506158756400691
1984,1st Quintile,West,Kaum,0.1574074074074074,16099,0.15178168857830782,0.163033126236507
1984,1st Quintile,West,Ueberwiegend,0.05462962962962963,16099,0.05111910727804638,0.05814015198121288
1984,1st Quintile,West,Voll und ganz,0.03194444444444444,16099,0.029227977455345524,0.034660911433543364
1984,2nd Quintile,West,Gar nicht,0.44755244755244755,16099,0.4398713352228364,0.4552335598820587
1984,2nd Quintile,West,In mancher Beziehung,0.26048951048951047,16099,0.25370960077974775,0.2672694201992732
1984,2nd Quintile,West,Kaum,0.17832167832167833,16099,0.1724086547915628,0.18423470185179386
1984,2nd Quintile,West,Ueberwiegend,0.07167832167832168,16099,0.06769358358800551,0.07566305976863785
1984,2nd Quintile,West,Voll und ganz,0.04195804195804196,16099,0.038860932942093286,0.04505515097399063
1984,3rd Quintile,West,Gar nicht,0.49606299212598426,16099,0.4883395097135457,0.5037864745384228
1984,3rd Quintile,West,In mancher Beziehung,0.2283464566929134,16099,0.22186212925820825,0.23483078412761854
1984,3rd Quintile,West,Kaum,0.16535433070866143,16099,0.15961560483155382,0.17109305658576904
1984,3rd Quintile,West,Ueberwiegend,0.07874015748031496,16099,0.07457965456096441,0.08290066039966551
1984,3rd Quintile,West,Voll und ganz,0.031496062992125984,16099,0.028798103333384974,0.03419402265086699
1984,4th Quintile,West,Gar nicht,0.5217391304347826,16099,0.5140227123402984,0.5294555485292668
1984,4th Quintile,West,Kaum,0.17391304347826086,16099,0.16805792643114575,0.17976816052537598
1984,4th Quintile,West,In mancher Beziehung,0.17391304347826086,16099,0.16805792643114575,0.17976816052537598
1984,4th Quintile,West,Voll und ganz,0.08695652173913043,16099,0.08260387490874098,0.09130916856951989
1984,4th Quintile,West,Ueberwiegend,0.043478260869565216,16099,0.040328046373987604,0.04662847536514283
1984,5th Quintile,West,In mancher Beziehung,0.375,16099,0.3675215384741104,0.3824784615258896
1984,5th Quintile,West,Gar nicht,0.3125,16099,0.3053399182108005,0.3196600817891995
1984,5th Quintile,West,Kaum,0.1875,16099,0.1814706715617544,0.1935293284382456
1984,5th Quintile,West,Ueberwiegend,0.125,16099,0.11989123819593908,0.13010876180406092
1985,1st Quintile,West,Gar nicht,0.49452954048140046,14443,0.4863755279382577,0.5026835530245433
1985,1st Quintile,West,In mancher Beziehung,0.25328227571115974,14443,0.24618963442848837,0.26037491699383114
1985,1st Quintile,West,Kaum,0.16794310722100655,14443,0.16184654558163575,0.17403966886037736
1985,1st Quintile,West,Ueberwiegend,0.061269146608315096,14443,0.0573578673272956,0.06518042588933459
1985,1st Quintile,West,Voll und ganz,0.022975929978118162,14443,0.020532406327876146,0.025419453628360178
1985,2nd Quintile,West,Gar nicht,0.45041322314049587,14443,0.44229892297407875,0.458527523306913
1985,2nd Quintile,West,In mancher Beziehung,0.2975206611570248,14443,0.2900647159348092,0.3049766063792404
1985,2nd Quintile,West,Kaum,0.15702479338842976,14443,0.15109118497539556,0.16295840180146395
1985,2nd Quintile,West,Ueberwiegend,0.05578512396694215,14443,0.052042105358630075,0.059528142575254225
1985,2nd Quintile,West,Voll und ganz,0.03925619834710744,14443,0.03608892693378287,0.04242346976043201
1985,3rd Quintile,West,Gar nicht,0.39416058394160586,14443,0.3861908701612897,0.402130297721922
1985,3rd Quintile,West,In mancher Beziehung,0.3284671532846715,14443,0.32080753778784765,0.3361267687814954
1985,3rd Quintile,West,Ueberwiegend,0.12408759124087591,14443,0.11871081600318004,0.1294643664785718
1985,3rd Quintile,West,Kaum,0.10948905109489052,14443,0.10439653578352903,0.114581566406252
1985,3rd Quintile,West,Voll und ganz,0.043795620437956206,14443,0.040458145050812924,0.04713309582509949
1985,4th Quintile,West,Gar nicht,0.5714285714285714,14443,0.5633577089235807,0.5794994339335621
