year,pgisced97,plj0078,proportion,n,lower_confidence,upper_confidence
1987,inadequately,Ueberwiegend,0.01050328227571116,13496,0.008783302920281226,0.012223261631141093
1987,middle vocational,Voll und ganz,0.010065645514223195,13496,0.008381507997773008,0.011749783030673382
1987,vocational + Abi,Kaum,0.0087527352297593,13496,0.007181227819705344,0.010324242639813255
1987,higher education,Gar nicht,0.00612691466083151,13496,0.004810356901168707,0.007443472420494313
1987,higher education,Kaum,0.00437636761487965,13496,0.0032626937380149683,0.005490041491744331
1987,higher vocational,In mancher Beziehung,0.00350109409190372,13496,0.0025045561444767203,0.00449763203933072
1987,vocational + Abi,Ueberwiegend,0.00262582056892779,13496,0.0017624144544100963,0.0034892266834454836
1987,in school,In mancher Beziehung,0.002188183807439825,13496,0.0013998325624187393,0.0029765350524609104
1987,higher vocational,Gar nicht,0.002188183807439825,13496,0.0013998325624187393,0.0029765350524609104
1987,higher education,Ueberwiegend,0.00175054704595186,13496,0.001045269641107228,0.002455824450796492
1987,in school,Ueberwiegend,0.00175054704595186,13496,0.001045269641107228,0.002455824450796492
1987,inadequately,Voll und ganz,0.00175054704595186,13496,0.001045269641107228,0.002455824450796492
1987,vocational + Abi,Voll und ganz,0.00175054704595186,13496,0.001045269641107228,0.002455824450796492
1987,higher vocational,Kaum,0.00175054704595186,13496,0.001045269641107228,0.002455824450796492
1987,in school,Voll und ganz,0.00087527352297593,13496,0.00037634850029663787,0.001374198545655222
1987,higher vocational,Voll und ganz,0.00087527352297593,13496,0.00037634850029663787,0.001374198545655222
1987,in school,Kaum,0.000437636761487965,13496,8.476623782722949e-05,0.0007905072851487005
1987,higher vocational,Ueberwiegend,0.000437636761487965,13496,8.476623782722949e-05,0.0007905072851487005
1989,general elemantary,Gar nicht,0.14701866181156123,12393,0.14078384290022902,0.15325348072289344
1989,inadequately,Gar nicht,0.1297223486572599,12393,0.12380667560247907,0.13563802171204073
1989,general elemantary,In mancher Beziehung,0.12016385980883022,12393,0.11443912095708138,0.12588859866057905
1989,middle vocational,In mancher Beziehung,0.11288120163859809,12393,0.10730973480486547,0.11845266847233071
1989,middle vocational,Gar nicht,0.09786071916249431,12393,0.09262942857798202,0.1030920097470066
1989,general elemantary,Kaum,0.06645425580336822,12393,0.06206897863685274,0.0708395329698837
1989,inadequately,Kaum,0.05507510241238052,12393,0.05105863590938073,0.05909156891538031
1989,inadequately,In mancher Beziehung,0.0541647701411015,12393,0.05017971769038283,0.058149822591820166
1989,middle vocational,Kaum,0.04961310878470642,12393,0.045790003258093216,0.053436214311319626
1989,middle vocational,Ueberwiegend,0.027309968138370506,12393,0.02444040572029362,0.030179530556447395
1989,general elemantary,Ueberwiegend,0.021847974510696404,12393,0.019274163727725106,0.024421785293667703
1989,middle vocational,Voll und ganz,0.015930814747382796,12393,0.013726367774149697,0.018135261720615893
1989,general elemantary,Voll und ganz,0.015475648611743286,12393,0.013302419531096985,0.017648877692389587
1989,vocational + Abi,In mancher Beziehung,0.015020482476103778,12393,0.012878956297282694,0.01716200865492486
1989,vocational + Abi,Gar nicht,0.015020482476103778,12393,0.012878956297282694,0.01716200865492486
1989,inadequately,Ueberwiegend,0.01137915339098771,12393,0.009511751886421355,0.013246554895554066
