year,plj0078,sampreg,proportion,n,lower_confidence,upper_confidence
1984,Voll und ganz,West,1.0,16099,1.0,1.0
1984,Ueberwiegend,West,1.0,16099,1.0,1.0
1984,In mancher Beziehung,West,1.0,16099,1.0,1.0
1984,Kaum,West,1.0,16099,1.0,1.0
1984,Gar nicht,West,1.0,16099,1.0,1.0
1985,Voll und ganz,West,1.0,14443,1.0,1.0
1985,Ueberwiegend,West,1.0,14443,1.0,1.0
1985,In mancher Beziehung,West,1.0,14443,1.0,1.0
1985,Kaum,West,1.0,14443,1.0,1.0
1985,Gar nicht,West,1.0,14443,1.0,1.0
1986,Voll und ganz,West,1.0,13742,1.0,1.0
1986,Ueberwiegend,West,1.0,13742,1.0,1.0
1986,In mancher Beziehung,West,1.0,13742,1.0,1.0
1986,Kaum,West,1.0,13742,1.0,1.0
1986,Gar nicht,West,1.0,13742,1.0,1.0
1987,Voll und ganz,West,1.0,13496,1.0,1.0
1987,Ueberwiegend,West,1.0,13496,1.0,1.0
1987,In mancher Beziehung,West,1.0,13496,1.0,1.0
1987,Kaum,West,1.0,13496,1.0,1.0
1987,Gar nicht,West,1.0,13496,1.0,1.0
1989,Voll und ganz,West,1.0,12393,1.0,1.0
1989,Ueberwiegend,West,1.0,12393,1.0,1.0
1989,In mancher Beziehung,West,1.0,12393,1.0,1.0
1989,Kaum,West,1.0,12393,1.0,1.0
1989,Gar nicht,West,1.0,12393,1.0,1.0
1991,Voll und ganz,West,1.0,17756,1.0,1.0
1991,Ueberwiegend,West,1.0,17756,1.0,1.0
1991,In mancher Beziehung,West,1.0,17756,1.0,1.0
1991,Kaum,West,1.0,17756,1.0,1.0
1991,Gar nicht,West,1.0,17756,1.0,1.0
1993,Voll und ganz,West,1.0,16993,1.0,1.0
1993,Ueberwiegend,West,1.0,16993,1.0,1.0
1993,In mancher Beziehung,West,1.0,16993,1.0,1.0
1993,Kaum,West,1.0,16993,1.0,1.0
1993,Gar nicht,West,1.0,16993,1.0,1.0
1995,Voll und ganz,West,1.0,17246,1.0,1.0
1995,Ueberwiegend,West,1.0,17246,1.0,1.0
1995,In mancher Beziehung,West,1.0,17246,1.0,1.0
1995,Kaum,West,1.0,17246,1.0,1.0
1995,Gar nicht,West,1.0,17246,1.0,1.0
1997,Voll und ganz,West,0.996078431372549,16487,0.9951244015950458,0.9970324611500523
1997,Voll und ganz,East,0.00392156862745098,16487,0.002967538849947715,0.004875598404954246
1997,Ueberwiegend,West,1.0,16487,1.0,1.0
1997,In mancher Beziehung,West,0.9952681388012619,16487,0.9942205971462847,0.996315680456239
1997,In mancher Beziehung,East,0.00473186119873817,16487,0.003684319543761092,0.005779402853715249
1997,Kaum,West,0.9933774834437086,16487,0.9921393885437629,0.9946155783436542
1997,Kaum,East,0.006622516556291391,16487,0.00538442165634577,0.007860611456237012
1997,Gar nicht,West,0.9944341372912802,16487,0.9932985003549627,0.9955697742275976
1997,Gar nicht,East,0.0055658627087198514,16487,0.0044302257724024,0.006701499645037303
1999,Voll und ganz,West,1.0,17396,1.0,1.0
1999,Ueberwiegend,West,0.9880597014925373,17396,0.9864456010470584,0.9896738019380162
1999,Ueberwiegend,East,0.011940298507462687,17396,0.010326198061983757,0.013554398952941617
1999,In mancher Beziehung,West,1.0,17396,1.0,1.0
1999,Kaum,West,0.9897172236503856,17396,0.9882180838616222,0.991216363439149
1999,Kaum,East,0.010282776349614395,17396,0.00878363656085106,0.011781916138377731
1999,Gar nicht,West,0.9946808510638298,17396,0.9935999291391473,0.9957617729885122
1999,Gar nicht,East,0.005319148936170213,17396,0.004238227011487716,0.006400070860852709
2001,Voll und ganz,West,0.995575221238938,27798,0.9947949742237293,0.9963554682541468
2001,Voll und ganz,East,0.004424778761061947,27798,0.0036445317458531578,0.005205025776270736
2001,Ueberwiegend,West,0.9867424242424242,27798,0.9853978547435931,0.9880869937412553
2001,Ueberwiegend,East,0.013257575757575758,27798,0.01191300625874465,0.014602145256406867
2001,In mancher Beziehung,West,0.9890776699029126,27798,0.9878558079450271,0.990299531860798
2001,In mancher Beziehung,East,0.010922330097087379,27798,0.009700468139201937,0.012144192054972821
2001,Kaum,West,0.9978991596638656,27798,0.9973609033310878,0.9984374159966433
2001,Kaum,East,0.0021008403361344537,27798,0.001562584003356776,0.0026390966689121315
2001,Gar nicht,West,0.9968944099378882,27798,0.9962403072397609,0.9975485126360156
2001,Gar nicht,East,0.003105590062111801,27798,0.0024514873639844338,0.0037596927602391683
2003,Voll und ganz,West,0.9765342960288809,27727,0.9747524705115612,0.9783161215462005
2003,Voll und ganz,East,0.023465703971119134,27727,0.021683878453799522,0.025247529488438746
2003,Ueberwiegend,West,0.9823943661971831,27727,0.9808463575087224,0.9839423748856438
2003,Ueberwiegend,East,0.017605633802816902,27727,0.016057625114356232,0.019153642491277573
2003,In mancher Beziehung,West,0.9889958734525447,27727,0.9877679263520146,0.9902238205530748
2003,In mancher Beziehung,East,0.011004126547455296,27727,0.009776179446925184,0.012232073647985408
2003,Kaum,West,0.9880952380952381,27727,0.9868186100223664,0.9893718661681099
2003,Kaum,East,0.011904761904761904,27727,0.01062813383189016,0.013181389977633648
2003,Gar nicht,West,0.9966101694915255,27727,0.9959260116967058,0.9972943272863452
2003,Gar nicht,East,0.003389830508474576,27727,0.0027056727136548636,0.004073988303294289
2010,Voll und ganz,West,0.9557522123893806,35837,0.9536230504977575,0.9578813742810036
2010,Voll und ganz,East,0.04424778761061947,35837,0.04211862571899642,0.04637694950224252
2010,Ueberwiegend,West,0.979002624671916,35837,0.9775181777219153,0.9804870716219167
2010,Ueberwiegend,East,0.02099737532808399,35837,0.019512928378083303,0.022481822278084675
2010,In mancher Beziehung,West,0.9828431372549019,35837,0.9814986667123585,0.9841876077974453
2010,In mancher Beziehung,East,0.01715686274509804,35837,0.01581239220255462,0.01850133328764146
2010,Kaum,West,0.9874476987447699,35837,0.9862950181659864,0.9886003793235534
2010,Kaum,East,0.012552301255230125,35837,0.011399620676446624,0.013704981834013627
2010,Gar nicht,West,0.99375,35837,0.9929340400784838,0.9945659599215162
