year,bula_h,regtyp,overyn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1986,Schleswig-Holstein,Urban regions,Yes,0.35463,31,95,0.25792,0.45134
1986,Schleswig-Holstein,Urban regions,No,0.64537,64,95,0.54866,0.74208
1986,Schleswig-Holstein,Rural regions,Yes,0.39932,36,96,0.30083,0.49781
1986,Schleswig-Holstein,Rural regions,No,0.60068,60,96,0.50219,0.69917
1986,Hamburg,Urban regions,Yes,0.39808,46,139,0.31641,0.47976
1986,Hamburg,Urban regions,No,0.60192,93,139,0.52024,0.68359
1986,Lower Saxony,Urban regions,Yes,0.39402,99,283,0.33699,0.45105
1986,Lower Saxony,Urban regions,No,0.60598,184,283,0.54895,0.66301
1986,Lower Saxony,Rural regions,Yes,0.32013,101,314,0.26844,0.37181
1986,Lower Saxony,Rural regions,No,0.67987,213,314,0.62819,0.73156
1986,Bremen,Urban regions,No,0.78070,35,35,0.64161,0.91978
1986,North Rhine-Westphalia,Urban regions,Yes,0.30683,427,1532,0.28373,0.32993
1986,North Rhine-Westphalia,Urban regions,No,0.69317,1105,1532,0.67007,0.71627
1986,North Rhine-Westphalia,Rural regions,No,0.83346,32,32,0.70231,0.96461
1986,Hesse,Urban regions,Yes,0.37352,170,546,0.33290,0.41413
1986,Hesse,Urban regions,No,0.62648,376,546,0.58587,0.66710
1986,Hesse,Rural regions,No,0.67113,47,47,0.53536,0.80689
1986,"Rhineland-Palatinate, Saarland",Urban regions,Yes,0.31116,107,354,0.26286,0.35945
1986,"Rhineland-Palatinate, Saarland",Urban regions,No,0.68884,247,354,0.64055,0.73714
1986,"Rhineland-Palatinate, Saarland",Rural regions,No,0.82416,51,51,0.71864,0.92968
1986,Baden-Wuerttemberg,Urban regions,Yes,0.33578,322,1082,0.30763,0.36394
1986,Baden-Wuerttemberg,Urban regions,No,0.66422,760,1082,0.63606,0.69237
1986,Baden-Wuerttemberg,Rural regions,Yes,0.42564,72,190,0.35515,0.49613
1986,Baden-Wuerttemberg,Rural regions,No,0.57436,118,190,0.50387,0.64485
1986,Bavaria,Urban regions,Yes,0.37389,194,577,0.33438,0.41340
1986,Bavaria,Urban regions,No,0.62611,383,577,0.58660,0.66562
1986,Bavaria,Rural regions,Yes,0.25009,125,500,0.21209,0.28809
1986,Bavaria,Rural regions,No,0.74991,375,500,0.71191,0.78791
1986,Berlin,Urban regions,Yes,0.31682,58,218,0.25492,0.37872
1986,Berlin,Urban regions,No,0.68318,160,218,0.62128,0.74508
1988,Schleswig-Holstein,Urban regions,No,0.65318,61,61,0.53274,0.77361
1988,Schleswig-Holstein,Rural regions,Yes,0.41764,39,96,0.31847,0.51681
1988,Schleswig-Holstein,Rural regions,No,0.58236,57,96,0.48319,0.68153
1988,Hamburg,Urban regions,Yes,0.56818,51,113,0.47644,0.65992
1988,Hamburg,Urban regions,No,0.43182,62,113,0.34008,0.52356
1988,Lower Saxony,Urban regions,Yes,0.35947,99,290,0.30415,0.41480
1988,Lower Saxony,Urban regions,No,0.64053,191,290,0.58520,0.69585
1988,Lower Saxony,Rural regions,Yes,0.29204,89,297,0.24024,0.34384
1988,Lower Saxony,Rural regions,No,0.70796,208,297,0.65616,0.75976
1988,North Rhine-Westphalia,Urban regions,Yes,0.33807,458,1459,0.31378,0.36235
1988,North Rhine-Westphalia,Urban regions,No,0.66193,1001,1459,0.63765,0.68622
1988,Hesse,Urban regions,Yes,0.31203,128,516,0.27201,0.35205
1988,Hesse,Urban regions,No,0.68797,388,516,0.64795,0.72799
1988,Hesse,Rural regions,No,0.61086,42,42,0.46162,0.76010
1988,"Rhineland-Palatinate, Saarland",Urban regions,Yes,0.36115,109,326,0.30893,0.41337
1988,"Rhineland-Palatinate, Saarland",Urban regions,No,0.63885,217,326,0.58663,0.69107
1988,"Rhineland-Palatinate, Saarland",Rural regions,No,0.82742,48,48,0.71939,0.93546
1988,Baden-Wuerttemberg,Urban regions,Yes,0.35533,339,1041,0.32624,0.38442
1988,Baden-Wuerttemberg,Urban regions,No,0.64467,702,1041,0.61558,0.67376
1988,Baden-Wuerttemberg,Rural regions,Yes,0.38690,53,154,0.30973,0.46408
1988,Baden-Wuerttemberg,Rural regions,No,0.61310,101,154,0.53592,0.69027
1988,Bavaria,Urban regions,Yes,0.35463,181,551,0.31464,0.39461
1988,Bavaria,Urban regions,No,0.64537,370,551,0.60539,0.68536
