year,overyn,age_gr,sex,proportion,n,lower_confidence,upper_confidence
1986,Yes,30-45 y.,male,0.31650380021715524,13742,0.308727220722965,0.3242803797113455
1986,Yes,46-65 y.,male,0.2285559174809989,13742,0.221535231309396,0.2355766036526018
1986,Yes,18-29 y.,male,0.18132464712269272,13742,0.17488272637505778,0.18776656787032767
1986,Yes,18-29 y.,female,0.11889250814332247,13742,0.11348094424651677,0.12430407204012818
1986,Yes,30-45 y.,female,0.09554831704668838,13742,0.09063318368668973,0.10046345040668704
1986,Yes,46-65 y.,female,0.059174809989142235,13742,0.05522974643748786,0.06311987354079661
1986,No,30-45 y.,male,0.20197507641664708,13742,0.1952625158479448,0.20868763698534937
1986,No,46-65 y.,male,0.198448154244063,13742,0.1917797727058322,0.2051165357822938
1986,No,30-45 y.,female,0.1718786738772631,13742,0.16557071169690507,0.17818663605762114
1986,No,18-29 y.,male,0.15965201034563836,13742,0.15352783132001319,0.16577618937126354
1986,No,18-29 y.,female,0.14060663061368445,13742,0.13479457181608773,0.14641868941128117
1986,No,46-65 y.,female,0.1206207383023748,13742,0.1151753331216911,0.1260661434830585
1986,No,66 and older,male,0.0037620503174229957,13742,0.0027384628970774033,0.004785637737768588
1986,No,66 and older,female,0.003056665882906184,13742,0.002133690068421219,0.003979641697391149
1988,Yes,30-45 y.,male,0.29983525535420097,12817,0.2919028600797585,0.3077676506286434
1988,Yes,46-65 y.,male,0.21801208127402527,12817,0.2108637745134218,0.22516038803462873
1988,Yes,18-29 y.,male,0.17737506864360242,12817,0.1707618923347743,0.18398824495243055
1988,Yes,18-29 y.,female,0.1312465678198792,12817,0.12540061745763037,0.13709251818212803
1988,Yes,30-45 y.,female,0.09939593629873696,12817,0.0942161225402029,0.10457575005727102
1988,Yes,46-65 y.,female,0.07248764415156507,12817,0.06799859124601214,0.076976697057118
1988,Yes,66 and older,male,0.001098297638660077,12817,0.000524862527899518,0.0016717327494206358
1988,Yes,66 and older,female,0.0005491488193300384,12817,0.00014355752245032638,0.0009547401162097505
1988,No,46-65 y.,male,0.20146612740141556,12817,0.19452211368661906,0.20841014111621206
1988,No,30-45 y.,male,0.19843276036400403,12817,0.19152814412000857,0.2053373766079995
1988,No,30-45 y.,female,0.16936299292214357,12817,0.16286950888613297,0.17585647695815418
1988,No,18-29 y.,male,0.16253791708796764,12817,0.1561505364030794,0.16892529777285586
1988,No,46-65 y.,female,0.1306875631951466,12817,0.1248521991419395,0.1365229272483537
1988,No,18-29 y.,female,0.12967644084934277,12817,0.12386031506744163,0.1354925666312439
1988,No,66 and older,male,0.004802831142568251,12817,0.003605908441020027,0.005999753844116475
1988,No,66 and older,female,0.003033367037411527,12817,0.002081304070465192,0.003985430004357862
1989,Yes,30-45 y.,male,0.29050865233350814,12393,0.28251544765088443,0.29850185701613186
1989,Yes,46-65 y.,male,0.2118510749868904,12393,0.20465679515516874,0.21904535481861206
1989,Yes,18-29 y.,male,0.17881489250131097,12393,0.1720682107911957,0.18556157421142624
1989,Yes,18-29 y.,female,0.14315679077084426,12393,0.13699049285687093,0.14932308868481758
1989,Yes,30-45 y.,female,0.11012060828526482,12393,0.10460913480573257,0.11563208176479707
1989,Yes,46-65 y.,female,0.06502359727320399,12393,0.060682458515226176,0.0693647360311818
1989,Yes,66 and older,male,0.0005243838489774515,12393,0.00012131558800011462,0.0009274521099547884
1989,No,46-65 y.,male,0.1942257217847769,12393,0.18726061276614636,0.20119083080340744
1989,No,30-45 y.,male,0.19396325459317584,12393,0.1870017197967364,0.20092478938961528
1989,No,18-29 y.,male,0.1700787401574803,12393,0.16346402257513692,0.1766934577398237
1989,No,30-45 y.,female,0.16929133858267717,12393,0.1626888207125295,0.17589385645282485
1989,No,18-29 y.,female,0.1335958005249344,12393,0.12760583222305671,0.13958576882681206
1989,No,46-65 y.,female,0.1304461942257218,12393,0.12451650704121894,0.13637588141022464
1989,No,66 and older,male,0.0049868766404199474,12393,0.0037466628288816296,0.006227090451958265
1989,No,66 and older,female,0.0034120734908136482,12393,0.002385394096891401,0.0044387528847358955
1990,Yes,30-45 y.,male,0.2846280991735537,18165,0.2780659938717035,0.2911902044754039
1990,Yes,46-65 y.,male,0.20330578512396694,18165,0.19745304729580557,0.2091585229521283
1990,Yes,18-29 y.,male,0.16231404958677687,18165,0.15695167630375206,0.16767642286980167
1990,Yes,30-45 y.,female,0.14413223140495868,18165,0.1390245680988581,0.14923989471105925
1990,Yes,18-29 y.,female,0.11867768595041323,18165,0.11397452016165001,0.12338085173917644
1990,Yes,46-65 y.,female,0.0859504132231405,18165,0.08187429067000987,0.09002653577627112
1990,Yes,66 and older,female,0.0006611570247933885,18165,0.0002873503407925251,0.0010349637087942519
1990,Yes,66 and older,male,0.00033057851239669424,18165,6.621355653566214e-05,0.0005949434682577263
1990,No,30-45 y.,male,0.19286680189317107,18165,0.1871290770816516,0.19860452670469053
1990,No,30-45 y.,female,0.1926977687626775,18165,0.18696195832861248,0.1984335791967425
1990,No,46-65 y.,male,0.18069641649763354,18165,0.1751009594360741,0.186291873559193
1990,No,18-29 y.,male,0.14993238674780257,18165,0.14474064797201106,0.1551241255235941
1990,No,46-65 y.,female,0.14080459770114942,18165,0.13574643539933662,0.14586276000296222
1990,No,18-29 y.,female,0.13556457065584854,18165,0.13058630863700238,0.1405428326746947
1990,No,66 and older,male,0.004732927653820149,18165,0.003734829801082494,0.005731025506557803
1990,No,66 and older,female,0.002704530087897228,18165,0.001949270578599129,0.0034597895971953266
1991,Yes,30-45 y.,male,0.29542302357836336,17756,0.2887122915604866,0.3021337555962401
1991,Yes,46-65 y.,male,0.19174757281553398,17756,0.1859569943683225,0.19753815126274546
1991,Yes,18-29 y.,male,0.16955617198335646,17756,0.16403672665910674,0.17507561730760618
1991,Yes,30-45 y.,female,0.15117891816920942,17756,0.14590980897803127,0.15644802736038757
1991,Yes,18-29 y.,female,0.11997226074895978,17756,0.11519287476741337,0.12475164673050619
1991,Yes,46-65 y.,female,0.0717753120665742,17756,0.06797868792064794,0.07557193621250045
1991,Yes,66 and older,male,0.00034674063800277393,17756,7.289201069590886e-05,0.000620589265309639
1991,No,30-45 y.,female,0.19960686204431738,17756,0.19372759867873462,0.20548612540990013
1991,No,30-45 y.,male,0.19835596854896353,17756,0.19249057818473955,0.20422135891318752
1991,No,46-65 y.,male,0.17709077912794854,17756,0.17147567981579206,0.18270587844010502
1991,No,18-29 y.,male,0.1501072194424589,17756,0.1448535062135941,0.15536093267132367
1991,No,46-65 y.,female,0.14027877055039314,17756,0.13517068333038063,0.14538685777040566
1991,No,18-29 y.,female,0.12812723373838455,17756,0.12321101968141868,0.13304344779535043
1991,No,66 and older,male,0.003931379556826304,17756,0.003010928671121118,0.00485183044253149
1991,No,66 and older,female,0.0025017869907076485,17756,0.001766994462880867,0.00323657951853443
1992,Yes,30-45 y.,male,0.2890995260663507,17350,0.2823537111163317,0.2958453410163697
1992,Yes,46-65 y.,male,0.1838185511171293,17350,0.17805494410843387,0.18958215812582474
1992,Yes,18-29 y.,male,0.16790792146242384,17350,0.1623459645729883,0.17346987835185937
1992,Yes,30-45 y.,female,0.16147596479350035,17350,0.15600053728370758,0.16695139230329312
1992,Yes,18-29 y.,female,0.12728503723764387,17350,0.12232561346116923,0.13224446101411852
1992,Yes,46-65 y.,female,0.07041299932295193,17350,0.06660604404709683,0.07421995459880704
1992,No,30-45 y.,male,0.20887728459530025,17350,0.20282841996240117,0.21492614922819933
1992,No,30-45 y.,female,0.19763004619401486,17350,0.1917046124474017,0.20355547994062803
1992,No,46-65 y.,male,0.17714400482024503,17350,0.17146291729753538,0.1828250923429547
1992,No,18-29 y.,male,0.1502309700743121,17350,0.14491433910001345,0.15554760104861076
1992,No,46-65 y.,female,0.13737698332998594,17350,0.13225457918241348,0.1424993874775584
1992,No,18-29 y.,female,0.12392046595701948,17350,0.11901760453561398,0.12882332737842497
1992,No,66 and older,male,0.0032134966860815424,17350,0.002371333341985925,0.00405566003017716
1992,No,66 and older,female,0.0016067483430407712,17350,0.0010107691736521848,0.0022027275124293574
1993,Yes,30-45 y.,male,0.2898293029871977,16993,0.2830079022608938,0.29665070371350166
1993,Yes,46-65 y.,male,0.1770981507823613,16993,0.171358280535979,0.18283802102874358
1993,Yes,18-29 y.,male,0.16536273115220484,16993,0.1597768878611971,0.1709485744432126
1993,Yes,30-45 y.,female,0.15967283072546232,16993,0.15416525144279247,0.16518041000813216
1993,Yes,18-29 y.,female,0.12695590327169273,16993,0.12195019445963289,0.13196161208375257
1993,Yes,46-65 y.,female,0.08108108108108109,16993,0.07697696718698786,0.08518519497517431
1993,No,30-45 y.,male,0.2160670482420278,16993,0.20987898459332213,0.22225511189073346
1993,No,30-45 y.,female,0.2027800490596893,16993,0.1967346811843432,0.2088254169350354
1993,No,46-65 y.,male,0.17375306623058054,16993,0.1680561188029595,0.17945001365820157
1993,No,18-29 y.,male,0.14513491414554375,16993,0.13983881894894143,0.15043100934214607
1993,No,46-65 y.,female,0.1293949304987735,16993,0.12434843059472078,0.13444143040282625
1993,No,18-29 y.,female,0.12755519215044972,16993,0.12253940504646331,0.13257097925443612
1993,No,66 and older,male,0.003475061324611611,16993,0.0025902587758454545,0.004359863873377767
1993,No,66 and older,female,0.001839738348323794,16993,0.0011954219106120765,0.0024840547860355113
1994,Yes,30-45 y.,male,0.2956521739130435,16642,0.2887189146568763,0.30258543316921066
1994,Yes,46-65 y.,male,0.17495652173913043,16642,0.16918411668370753,0.18072892679455332
1994,Yes,30-45 y.,female,0.1631304347826087,16642,0.15751672836572195,0.16874414119949543
1994,Yes,18-29 y.,male,0.15895652173913044,16642,0.15340129599486543,0.16451174748339545
1994,Yes,18-29 y.,female,0.12347826086956522,16642,0.11847987350035515,0.12847664823877528
1994,Yes,46-65 y.,female,0.08382608695652174,16642,0.07961560442302075,0.08803656949002274
1994,No,30-45 y.,male,0.21656050955414013,16642,0.21030236379177203,0.22281865531650824
1994,No,30-45 y.,female,0.20316274983527344,16642,0.19704966858998815,0.20927583108055872
1994,No,46-65 y.,male,0.17658686580276742,16642,0.1707933605268444,0.18238037107869043
1994,No,18-29 y.,male,0.1377113990775313,16642,0.13247582172690345,0.14294697642815915
1994,No,46-65 y.,female,0.1337579617834395,16642,0.12858626848446425,0.13892965508241473
1994,No,18-29 y.,female,0.12672962881616517,16642,0.12167526200710718,0.13178399562522317
1994,No,66 and older,male,0.0037338018888644848,16642,0.0028071499349001452,0.004660453842828824
1994,No,66 and older,female,0.0017570832418185812,16642,0.00112077492529225,0.0023933915583449123
1995,Yes,30-45 y.,male,0.30403276622558284,17246,0.29716735631420665,0.310898176136959
1995,Yes,30-45 y.,female,0.17800882167611845,17246,0.17229974045621507,0.18371790289602183
1995,Yes,46-65 y.,male,0.17328292375551355,17246,0.1676339674154253,0.1789318800956018
1995,Yes,18-29 y.,male,0.15374921235034655,17246,0.14836567323058927,0.15913275147010383
1995,Yes,18-29 y.,female,0.11562696912413359,17246,0.11085432341284282,0.12039961483542436
1995,Yes,46-65 y.,female,0.07529930686830498,17246,0.07136101443234964,0.07923759930426032
1995,No,30-45 y.,male,0.21711394632644082,17246,0.21096068982240218,0.22326720283047946
1995,No,30-45 y.,female,0.20567531896172458,17246,0.19964275411910762,0.21170788380434155
1995,No,46-65 y.,male,0.1779586449626045,17246,0.17225019420851595,0.18366709571669304
1995,No,46-65 y.,female,0.13902331720193578,17246,0.13385973138912952,0.14418690301474205
1995,No,18-29 y.,male,0.13022437307523096,17246,0.125201390923951,0.13524735522651093
1995,No,18-29 y.,female,0.12318521777386714,17246,0.11828014890085821,0.12809028664687605
1995,No,66 and older,male,0.004179498460184778,17246,0.0032166354636311676,0.005142361456738388
1995,No,66 and older,female,0.0026396832380114386,17246,0.0018738859394254316,0.0034054805365974455
1996,Yes,30-45 y.,male,0.31714377613380507,16862,0.3101196183045456,0.32416793396306454
1996,Yes,30-45 y.,female,0.17754905114184624,16862,0.17178117787076252,0.18331692441292996
1996,Yes,46-65 y.,male,0.1707944676744934,16862,0.16511419055438145,0.17647474479460537
1996,Yes,18-29 y.,male,0.13637825667417175,16862,0.13119818367326122,0.14155832967508228
1996,Yes,18-29 y.,female,0.11450627211321969,16862,0.10969999384445624,0.11931255038198314
1996,Yes,46-65 y.,female,0.0829848825989064,16862,0.07882108827840023,0.08714867691941258
1996,Yes,66 and older,male,0.000321646831778707,16862,5.0988555335545636e-05,0.0005923051082218683
1996,Yes,66 and older,female,0.000321646831778707,16862,5.0988555335545636e-05,0.0005923051082218683
1996,No,30-45 y.,male,0.2222726241778181,16862,0.21599698146146826,0.22854826689416793
1996,No,30-45 y.,female,0.21320027217056023,16862,0.20701829343640404,0.2193822509047164
1996,No,46-65 y.,male,0.16987979133590383,16862,0.16421162114737972,0.17554796152442795
1996,No,46-65 y.,female,0.14152869131322296,16862,0.13626746883662713,0.1467899137898188
1996,No,18-29 y.,male,0.12928101610342482,16862,0.12421685032713607,0.13434518187971356
1996,No,18-29 y.,female,0.115672488092538,16862,0.11084497860815538,0.1204999975769206
1996,No,66 and older,male,0.005897028804717623,16862,0.00474135880532227,0.0070526988041129755
1996,No,66 and older,female,0.0022680880018144706,16862,0.0015500649107565933,0.002986111092872348
1997,Yes,30-45 y.,male,0.3101347017318794,16487,0.30307408587405754,0.31719531758970126
1997,Yes,30-45 y.,female,0.18216805644644002,16487,0.17627618313979537,0.18805992975308466
1997,Yes,46-65 y.,male,0.17382937780628607,16487,0.1680446661754909,0.17961408943708124
1997,Yes,18-29 y.,male,0.12732520846696602,16487,0.12223695583628606,0.13241346109764598
1997,Yes,18-29 y.,female,0.11128928800513149,16487,0.10648872535543438,0.1160898506548286
1997,Yes,46-65 y.,female,0.0946119307248236,16487,0.09014431728653792,0.09907954416310928
1997,Yes,66 and older,female,0.00032071840923669016,16487,4.739455094795043e-05,0.0005940422675254299
1997,Yes,66 and older,male,0.00032071840923669016,16487,4.739455094795043e-05,0.0005940422675254299
1997,No,30-45 y.,male,0.2656800563777308,16487,0.25893776695193554,0.27242234580352603
1997,No,30-45 y.,female,0.20014094432699084,16487,0.19403349379954052,0.20624839485444116
1997,No,46-65 y.,male,0.1649048625792812,16487,0.15924025328217511,0.17056947187638727
1997,No,18-29 y.,male,0.15503875968992248,16487,0.14951386774090386,0.1605636516389411
1997,No,18-29 y.,female,0.11768851303735024,16487,0.11276966668478966,0.12260735938991082
1997,No,46-65 y.,female,0.09654686398872446,16487,0.09203862269039119,0.10105510528705773
1998,Yes,30-45 y.,male,0.318246920653108,18147,0.31146973612148837,0.32502410518472763
1998,Yes,30-45 y.,female,0.18476081352048124,18147,0.17911403039633064,0.19040759664463183
1998,Yes,46-65 y.,male,0.17187052420509882,18147,0.16638139474122288,0.17735965366897477
1998,Yes,18-29 y.,male,0.12403322830134632,18147,0.11923736835778853,0.1288290882449041
1998,Yes,18-29 y.,female,0.10455456889143512,18147,0.10010267584677615,0.10900646193609409
1998,Yes,46-65 y.,female,0.09596104268118018,18147,0.09167560973899974,0.10024647562336061
1998,Yes,66 and older,male,0.0005729017473503294,18147,0.00022474943381662596,0.0009210540608840329
1998,No,30-45 y.,male,0.26136363636363635,18147,0.2549708296179942,0.2677564431092785
1998,No,30-45 y.,female,0.20655080213903743,18147,0.20066064803463765,0.2124409562434372
1998,No,46-65 y.,male,0.1711229946524064,18147,0.16564334384944665,0.17660264545536616
1998,No,18-29 y.,male,0.14304812834224598,18147,0.13795396393076015,0.1481422927537318
1998,No,46-65 y.,female,0.11697860962566844,18147,0.11230241593745517,0.12165480331388172
1998,No,18-29 y.,female,0.09959893048128342,18147,0.09524181580638716,0.10395604515617968
1998,No,66 and older,female,0.001336898395721925,18147,0.0008052648769811576,0.0018685319144626925
1999,Yes,30-45 y.,male,0.3198392190640253,17396,0.3129081053642867,0.3267703327637639
1999,Yes,30-45 y.,female,0.1929371231696813,17396,0.18707313673819762,0.198801109601165
1999,Yes,46-65 y.,male,0.16824576514498996,17396,0.16268671037355167,0.17380481991642824
1999,Yes,18-29 y.,male,0.12029859316681023,17396,0.11546434112461694,0.12513284520900353
1999,Yes,18-29 y.,female,0.10508182601205857,17396,0.10052474403407015,0.10963890799004698
1999,Yes,46-65 y.,female,0.09244903818547229,17396,0.0881445840851272,0.09675349228581738
1999,Yes,66 and older,male,0.0005742176284811944,17396,0.00021822180173238138,0.0009302134552300074
1999,Yes,66 and older,female,0.0005742176284811944,17396,0.00021822180173238138,0.0009302134552300074
1999,No,30-45 y.,male,0.27376697641172265,17396,0.26714084723339876,0.28039310559004654
1999,No,30-45 y.,female,0.21300929235167976,17396,0.20692492469712265,0.21909366000623687
1999,No,46-65 y.,male,0.1579699785561115,17396,0.15255018880405885,0.16338976830816415
1999,No,18-29 y.,male,0.1401000714796283,17396,0.1349421526099781,0.1452579903492785
1999,No,46-65 y.,female,0.11794138670478914,17396,0.1131483229109448,0.12273445049863348
1999,No,18-29 y.,female,0.09506790564689063,17396,0.09070921214832275,0.09942659914545851
1999,No,66 and older,male,0.002144388849177984,17396,0.001456977031802953,0.0028318006665530152
2000,Yes,30-45 y.,male,0.33422555317630265,30607,0.32894074685054503,0.33951035950206027
2000,Yes,30-45 y.,female,0.1887937187723055,30607,0.18440936982023967,0.19317806772437132
2000,Yes,46-65 y.,male,0.1809421841541756,30607,0.176629249449352,0.1852551188589992
2000,Yes,46-65 y.,female,0.10278372591006424,30607,0.09938155255325933,0.10618589926686915
2000,Yes,18-29 y.,male,0.10260528194147038,30607,0.09920572513095405,0.10600483875198671
2000,Yes,18-29 y.,female,0.08957887223411849,30607,0.08637946406999297,0.09277828039824401
2000,Yes,66 and older,male,0.0008922198429693076,30607,0.0005577262535674658,0.0012267134323711495
2000,Yes,66 and older,female,0.00017844396859386153,30607,2.8800462775221026e-05,0.00032808747441250203
2000,No,30-45 y.,male,0.26887734718337997,30607,0.26391007546896333,0.2738446188977966
2000,No,30-45 y.,female,0.21574111066719937,30607,0.2111327987211132,0.22034942261328552
2000,No,46-65 y.,male,0.18937275269676387,30607,0.18498325288904818,0.19376225250447957
2000,No,46-65 y.,female,0.13144226927686775,30607,0.1276568624691273,0.1352276760846082
2000,No,18-29 y.,male,0.10986815821014782,30607,0.1063646044963633,0.11337171192393235
2000,No,18-29 y.,female,0.08389932081502198,30607,0.08079335612109803,0.08700528550894593
2000,No,66 and older,female,0.00039952057530962844,30607,0.00017563377344297098,0.000623407377176286
2000,No,66 and older,male,0.00039952057530962844,30607,0.00017563377344297098,0.000623407377176286
2001,Yes,30-45 y.,male,0.315719696969697,27798,0.31025561564902115,0.3211837782903728
2001,Yes,30-45 y.,female,0.2018939393939394,27798,0.1971750343156574,0.20661284447222142
2001,Yes,46-65 y.,male,0.18541666666666667,27798,0.1808479792976637,0.18998535403566966
2001,Yes,46-65 y.,female,0.11174242424242424,27798,0.10803879247362126,0.11544605601122722
2001,Yes,18-29 y.,male,0.09678030303030304,27798,0.0933046254315578,0.10025598062904827
2001,Yes,18-29 y.,female,0.0875,27798,0.08417822846555342,0.09082177153444657
2001,Yes,66 and older,male,0.0007575757575757576,27798,0.00043413275302088344,0.0010810187621306316
2001,Yes,66 and older,female,0.0001893939393939394,27798,2.7626465209871164e-05,0.0003511614135780076
2002,Yes,30-45 y.,male,0.292621776504298,28961,0.2873818106272668,0.2978617423813292
2002,Yes,46-65 y.,male,0.20898997134670488,28961,0.20430719934997402,0.21367274334343575
2002,Yes,30-45 y.,female,0.19878223495702005,28961,0.19418588207257148,0.20337858784146862
2002,Yes,46-65 y.,female,0.13073065902578795,28961,0.12684812562134795,0.13461319243022796
2002,Yes,18-29 y.,male,0.08434813753581662,28961,0.08114738399309238,0.08754889107854086
2002,Yes,18-29 y.,female,0.08345272206303725,28961,0.08026744668865951,0.08663799743741499
2002,Yes,66 and older,male,0.0008954154727793697,28961,0.0005509330493047372,0.0012398978962540022
2002,Yes,66 and older,female,0.00017908309455587392,28961,2.4970653722751414e-05,0.0003331955353889964
2002,No,30-45 y.,male,0.2534364261168385,28961,0.2484266627761643,0.25844618945751263
2002,No,30-45 y.,female,0.2190721649484536,28961,0.21430842170225498,0.22383590819465224
2002,No,46-65 y.,male,0.20575601374570446,28961,0.20110012567833307,0.21041190181307584
2002,No,46-65 y.,female,0.1404639175257732,28961,0.13646204049811195,0.14446579455343445
2002,No,18-29 y.,male,0.10395189003436427,28961,0.10043684289500114,0.10746693717372739
2002,No,18-29 y.,female,0.07603092783505154,28961,0.07297830494153407,0.07908355072856901
2002,No,66 and older,male,0.001288659793814433,28961,0.0008754806184417432,0.0017018389691871227
2003,Yes,30-45 y.,male,0.28100738496496874,27727,0.27571653176576644,0.28629823816417105
2003,Yes,46-65 y.,male,0.21624692293126302,27727,0.21140108117593825,0.22109276468658778
2003,Yes,30-45 y.,female,0.1995834122325317,27727,0.1948787885329071,0.2042880359321563
2003,Yes,46-65 y.,female,0.13179322098087484,27727,0.1278115739972028,0.13577486796454688
2003,Yes,18-29 y.,female,0.0861579246354857,27727,0.08285508247436081,0.0894607667966106
2003,Yes,18-29 y.,male,0.08445370195038819,27727,0.08118064070997663,0.08772676319079975
2003,Yes,66 and older,male,0.0003787161522438932,27727,0.0001496930508643444,0.000607739253623442
2003,Yes,66 and older,female,0.0003787161522438932,27727,0.0001496930508643444,0.000607739253623442
2003,No,30-45 y.,male,0.2398753894080997,27727,0.23484918816198547,0.2449015906542139
2003,No,30-45 y.,female,0.22118380062305296,27727,0.21629841582762058,0.22606918541848534
2003,No,46-65 y.,male,0.18914107699154428,27727,0.1845314030311882,0.19375075095190036
2003,No,46-65 y.,female,0.16644414775255897,27727,0.16205978734232626,0.1708285081627917
2003,No,18-29 y.,female,0.09167779261237205,27727,0.08828109668691753,0.09507448853782657
2003,No,18-29 y.,male,0.08989764129951046,27727,0.08653079028777974,0.09326449231124118
2003,No,66 and older,male,0.0017801513128615932,27727,0.0012839633891086172,0.002276339236614569
2004,Yes,30-45 y.,male,0.2782406510366208,26790,0.27287433539377665,0.283606966679465
2004,Yes,46-65 y.,male,0.22204999031195505,26790,0.21707295251270162,0.22702702811120848
2004,Yes,30-45 y.,female,0.1829102887037396,26790,0.17828089994073948,0.18753967746673972
2004,Yes,46-65 y.,female,0.14687076148033326,26790,0.14263194317636257,0.15110957978430395
2004,Yes,18-29 y.,female,0.0879674481689595,26790,0.08457560408001948,0.09135929225789953
2004,Yes,18-29 y.,male,0.08060453400503778,26790,0.07734466139330624,0.08386440661676932
2004,Yes,66 and older,female,0.0007750435962022863,26790,0.0004417980016331092,0.0011082891907714634
2004,Yes,66 and older,male,0.0005812826971517147,26790,0.00029265556660972676,0.0008699098276937027
2004,No,30-45 y.,male,0.2323040380047506,26790,0.22724704070003549,0.23736103530946573
2004,No,30-45 y.,female,0.2180522565320665,26790,0.21310756877219167,0.22299694429194133
2004,No,46-65 y.,male,0.1990498812351544,26790,0.19426849957928974,0.20383126289101908
2004,No,46-65 y.,female,0.171021377672209,26790,0.16651251943996015,0.17553023590445788
2004,No,18-29 y.,male,0.09548693586698337,26790,0.09196769400412043,0.09900617772984631
2004,No,18-29 y.,female,0.0821852731591449,26790,0.07889642194268354,0.08547412437560625
2004,No,66 and older,male,0.0019002375296912114,26790,0.0013787299364068826,0.0024217451229755402
2005,Yes,30-45 y.,male,0.2731829573934837,25520,0.267715881678851,0.27865003310811637
2005,Yes,46-65 y.,male,0.22431077694235588,25520,0.2191929607388699,0.22942859314584185
2005,Yes,30-45 y.,female,0.18734335839598998,25520,0.18255608278165955,0.1921306340103204
2005,Yes,46-65 y.,female,0.1451545530492899,25520,0.1408326515043604,0.1494764545942194
