year,quintil_oecd,sampreg,overyn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1997,1st Quintile,West,Yes,0.58468,159,281,0.52696,0.64240
1997,1st Quintile,West,No,0.41532,122,281,0.35760,0.47304
1997,1st Quintile,East,Yes,0.59023,103,164,0.51473,0.66573
1997,1st Quintile,East,No,0.40977,61,164,0.33427,0.48527
1997,2nd Quintile,West,Yes,0.64430,309,487,0.60174,0.68686
1997,2nd Quintile,West,No,0.35570,178,487,0.31314,0.39826
1997,2nd Quintile,East,Yes,0.64994,210,329,0.59832,0.70156
1997,2nd Quintile,East,No,0.35006,119,329,0.29844,0.40168
1997,3rd Quintile,West,Yes,0.70770,435,637,0.67236,0.74305
1997,3rd Quintile,West,No,0.29230,202,637,0.25695,0.32764
1997,3rd Quintile,East,Yes,0.66700,261,375,0.61924,0.71477
1997,3rd Quintile,East,No,0.33300,114,375,0.28523,0.38076
1997,4th Quintile,West,Yes,0.70693,584,847,0.67625,0.73760
1997,4th Quintile,West,No,0.29307,263,847,0.26240,0.32375
1997,4th Quintile,East,Yes,0.72396,264,374,0.67860,0.76933
1997,4th Quintile,East,No,0.27604,110,374,0.23067,0.32140
1997,5th Quintile,West,Yes,0.76578,672,891,0.73795,0.79360
1997,5th Quintile,West,No,0.23422,219,891,0.20640,0.26205
1997,5th Quintile,East,Yes,0.79702,130,167,0.73583,0.85820
1997,5th Quintile,East,No,0.20298,37,167,0.14180,0.26417
1998,1st Quintile,West,Yes,0.62958,202,313,0.57600,0.68317
1998,1st Quintile,West,No,0.37042,111,313,0.31683,0.42400
1998,1st Quintile,East,Yes,0.58662,91,150,0.50755,0.66569
1998,1st Quintile,East,No,0.41338,59,150,0.33431,0.49245
1998,2nd Quintile,West,Yes,0.66113,327,496,0.61943,0.70283
1998,2nd Quintile,West,No,0.33887,169,496,0.29717,0.38057
1998,2nd Quintile,East,Yes,0.67510,214,313,0.62314,0.72707
1998,2nd Quintile,East,No,0.32490,99,313,0.27293,0.37686
1998,3rd Quintile,West,Yes,0.70463,392,571,0.66718,0.74208
1998,3rd Quintile,West,No,0.29537,179,571,0.25792,0.33282
1998,3rd Quintile,East,Yes,0.65481,258,398,0.60805,0.70158
1998,3rd Quintile,East,No,0.34519,140,398,0.29842,0.39195
1998,4th Quintile,West,Yes,0.71080,586,826,0.67986,0.74174
1998,4th Quintile,West,No,0.28920,240,826,0.25826,0.32014
1998,4th Quintile,East,Yes,0.69282,244,347,0.64421,0.74143
1998,4th Quintile,East,No,0.30718,103,347,0.25857,0.35579
1998,5th Quintile,West,Yes,0.80323,635,804,0.77573,0.83073
1998,5th Quintile,West,No,0.19677,169,804,0.16927,0.22427
1998,5th Quintile,East,Yes,0.71459,144,203,0.65231,0.77687
1998,5th Quintile,East,No,0.28541,59,203,0.22313,0.34769
1999,1st Quintile,West,Yes,0.61263,216,339,0.56069,0.66456
1999,1st Quintile,West,No,0.38737,123,339,0.33544,0.43931
1999,1st Quintile,East,Yes,0.63170,143,216,0.56722,0.69617
1999,1st Quintile,East,No,0.36830,73,216,0.30383,0.43278
1999,2nd Quintile,West,Yes,0.67540,343,529,0.63546,0.71534
1999,2nd Quintile,West,No,0.32460,186,529,0.28466,0.36454
1999,2nd Quintile,East,Yes,0.61488,257,392,0.56664,0.66311
1999,2nd Quintile,East,No,0.38512,135,392,0.33689,0.43336
1999,3rd Quintile,West,Yes,0.71802,483,677,0.68410,0.75194
1999,3rd Quintile,West,No,0.28198,194,677,0.24806,0.31590
1999,3rd Quintile,East,Yes,0.67801,255,382,0.63110,0.72493
1999,3rd Quintile,East,No,0.32199,127,382,0.27507,0.36890
1999,4th Quintile,West,Yes,0.74661,661,888,0.71798,0.77523
1999,4th Quintile,West,No,0.25339,227,888,0.22477,0.28202
1999,4th Quintile,East,Yes,0.75502,237,316,0.70752,0.80251
1999,4th Quintile,East,No,0.24498,79,316,0.19749,0.29248
1999,5th Quintile,West,Yes,0.77150,759,971,0.74508,0.79792
1999,5th Quintile,West,No,0.22850,212,971,0.20208,0.25492
1999,5th Quintile,East,Yes,0.71939,139,190,0.65533,0.78344
1999,5th Quintile,East,No,0.28061,51,190,0.21656,0.34467
2000,1st Quintile,West,Yes,0.57963,173,280,0.52171,0.63756
2000,1st Quintile,West,No,0.42037,107,280,0.36244,0.47829
2000,1st Quintile,East,Yes,0.58406,111,177,0.51124,0.65688
2000,1st Quintile,East,No,0.41594,66,177,0.34312,0.48876
2000,2nd Quintile,West,Yes,0.65798,324,486,0.61576,0.70020
2000,2nd Quintile,West,No,0.34202,162,486,0.29980,0.38424
2000,2nd Quintile,East,Yes,0.65630,230,337,0.60551,0.70708
2000,2nd Quintile,East,No,0.34370,107,337,0.29292,0.39449
2000,3rd Quintile,West,Yes,0.67972,438,654,0.64394,0.71551
2000,3rd Quintile,West,No,0.32028,216,654,0.28449,0.35606
2000,3rd Quintile,East,Yes,0.65670,268,402,0.61023,0.70317
2000,3rd Quintile,East,No,0.34330,134,402,0.29683,0.38977
2000,4th Quintile,West,Yes,0.70920,636,881,0.67919,0.73920
2000,4th Quintile,West,No,0.29080,245,881,0.26080,0.32081
2000,4th Quintile,East,Yes,0.68080,230,335,0.63081,0.73080
2000,4th Quintile,East,No,0.31920,105,335,0.26920,0.36919
2000,5th Quintile,West,Yes,0.76035,739,953,0.73324,0.78747
2000,5th Quintile,West,No,0.23965,214,953,0.21253,0.26676
2000,5th Quintile,East,Yes,0.72181,124,169,0.65405,0.78957
2000,5th Quintile,East,No,0.27819,45,169,0.21043,0.34595
2002,1st Quintile,West,Yes,0.58999,213,355,0.53875,0.64123
2002,1st Quintile,West,No,0.41001,142,355,0.35877,0.46125
2002,1st Quintile,East,Yes,0.51539,107,203,0.44647,0.58431
2002,1st Quintile,East,No,0.48461,96,203,0.41569,0.55353
2002,2nd Quintile,West,Yes,0.64822,458,697,0.61274,0.68370
2002,2nd Quintile,West,No,0.35178,239,697,0.31630,0.38726
2002,2nd Quintile,East,Yes,0.67073,230,350,0.62142,0.72003
2002,2nd Quintile,East,No,0.32927,120,350,0.27997,0.37858
2002,3rd Quintile,West,Yes,0.67940,649,949,0.64969,0.70911
2002,3rd Quintile,West,No,0.32060,300,949,0.29089,0.35031
2002,3rd Quintile,East,Yes,0.60304,258,430,0.55674,0.64934
2002,3rd Quintile,East,No,0.39696,172,430,0.35066,0.44326
2002,4th Quintile,West,Yes,0.70180,928,1318,0.67709,0.72651
2002,4th Quintile,West,No,0.29820,390,1318,0.27349,0.32291
2002,4th Quintile,East,Yes,0.71030,342,489,0.67005,0.75055
2002,4th Quintile,East,No,0.28970,147,489,0.24945,0.32995
2002,5th Quintile,West,Yes,0.75536,1420,1864,0.73584,0.77488
2002,5th Quintile,West,No,0.24464,444,1864,0.22512,0.26416
2002,5th Quintile,East,Yes,0.76032,283,359,0.71610,0.80454
