year,overyn,bula_h,quintil_oecd,proportion,n,lower_confidence,upper_confidence
1986,Yes,North Rhine-Westphalia,1st Quintile,0.1004343105320304,13742,0.09540870274704834,0.10545991831701247
1986,Yes,Baden-Wuerttemberg,1st Quintile,0.08686210640608034,13742,0.08215326069753648,0.09157095211462421
1986,Yes,Baden-Wuerttemberg,2nd Quintile,0.07654723127035831,13742,0.07210190966281896,0.08099255287789767
1986,Yes,North Rhine-Westphalia,2nd Quintile,0.07600434310532031,13742,0.07157351125296235,0.08043517495767827
1986,Yes,Bavaria,1st Quintile,0.06731813246471227,13742,0.06312861605601232,0.07150764887341222
1986,Yes,Bavaria,2nd Quintile,0.06514657980456026,13742,0.0610203950511425,0.06927276455797803
1986,Yes,Lower Saxony,1st Quintile,0.05211726384364821,13742,0.04840106272607159,0.05583346496122483
1986,Yes,Hesse,1st Quintile,0.041802388707926165,13742,0.03845613249268962,0.04514864492316271
1986,Yes,North Rhine-Westphalia,3rd Quintile,0.038002171552660155,13742,0.03480532086779709,0.04119902223752322
1986,Yes,Baden-Wuerttemberg,3rd Quintile,0.035830618892508145,13742,0.032722948702501815,0.038938289082514475
1986,Yes,Hesse,2nd Quintile,0.03474484256243214,13742,0.031682897891981136,0.037806787232883145
1986,Yes,Lower Saxony,2nd Quintile,0.033659066232356136,13742,0.030643649646353913,0.03667448281835836
1986,Yes,"Rhineland-Palatinate, Saarland",1st Quintile,0.031487513572204126,13742,0.02856771497758165,0.034407312166826604
1986,Yes,Bavaria,3rd Quintile,0.024429967426710098,13742,0.021848766758666562,0.027011168094753634
1986,Yes,Hesse,3rd Quintile,0.021715526601520086,13742,0.019278564011347393,0.02415248919169278
1986,Yes,Lower Saxony,3rd Quintile,0.018458197611292075,13742,0.01620769176753021,0.02070870345505394
1986,Yes,"Rhineland-Palatinate, Saarland",2nd Quintile,0.018458197611292075,13742,0.01620769176753021,0.02070870345505394
1986,Yes,North Rhine-Westphalia,4th Quintile,0.017915309446254073,13742,0.01569753320429222,0.020133085688215924
1986,Yes,Schleswig-Holstein,1st Quintile,0.016829533116178068,13742,0.01467882464616006,0.018980241586196076
1986,Yes,Berlin,2nd Quintile,0.015743756786102063,13742,0.01366243430897636,0.017825079263227767
1986,Yes,Bavaria,4th Quintile,0.01248642779587405,13742,0.010629813283046673,0.014343042308701428
1986,Yes,Baden-Wuerttemberg,4th Quintile,0.011943539630836048,13742,0.01012723576292097,0.013759843498751126
1986,Yes,Schleswig-Holstein,2nd Quintile,0.011400651465798045,13742,0.009625619846710237,0.013175683084885854
1986,Yes,"Rhineland-Palatinate, Saarland",3rd Quintile,0.011400651465798045,13742,0.009625619846710237,0.013175683084885854
1986,Yes,Hamburg,2nd Quintile,0.009771986970684038,13742,0.008127273903303239,0.011416700038064838
1986,Yes,Hesse,4th Quintile,0.007057546145494028,13742,0.005657894360695604,0.008457197930292452
1986,Yes,Berlin,1st Quintile,0.006514657980456026,13742,0.005169548476358614,0.00785976748455344
1986,Yes,Hamburg,3rd Quintile,0.005971769815418024,13742,0.00468357369132312,0.007259965939512928
1986,Yes,Berlin,3rd Quintile,0.0054288816503800215,13742,0.004200299480946796,0.006657463819813247
1986,Yes,Schleswig-Holstein,3rd Quintile,0.004885993485342019,13742,0.0037201400396801964,0.006051846931003841
1986,Yes,Hamburg,4th Quintile,0.004343105320304018,13742,0.003243628361350347,0.005442582279257688
1986,Yes,"Rhineland-Palatinate, Saarland",4th Quintile,0.003800217155266015,13742,0.0027714702833025314,0.004828964027229499
1986,Yes,Berlin,4th Quintile,0.003800217155266015,13742,0.0027714702833025314,0.004828964027229499
1986,Yes,Bremen,1st Quintile,0.003800217155266015,13742,0.0027714702833025314,0.004828964027229499
1986,Yes,Lower Saxony,4th Quintile,0.003800217155266015,13742,0.0027714702833025314,0.004828964027229499
1986,Yes,North Rhine-Westphalia,5th Quintile,0.003257328990228013,13742,0.0023046349749873025,0.004210023005468724
1986,Yes,Hamburg,1st Quintile,0.003257328990228013,13742,0.0023046349749873025,0.004210023005468724
1986,Yes,Hamburg,5th Quintile,0.0027144408251900108,13742,0.0018445173437432487,0.003584364306636773
1986,Yes,Bavaria,5th Quintile,0.0027144408251900108,13742,0.0018445173437432487,0.003584364306636773
1986,Yes,Bremen,2nd Quintile,0.0027144408251900108,13742,0.0018445173437432487,0.003584364306636773
1986,Yes,Schleswig-Holstein,4th Quintile,0.0016286644951140066,13742,0.0009544579483088365,0.0023028710419191766
1986,Yes,Schleswig-Holstein,5th Quintile,0.0016286644951140066,13742,0.0009544579483088365,0.0023028710419191766
1986,Yes,Baden-Wuerttemberg,5th Quintile,0.0016286644951140066,13742,0.0009544579483088365,0.0023028710419191766
1986,Yes,Lower Saxony,5th Quintile,0.0005428881650380022,13742,0.00015342322550923837,0.000932353104566766
1986,No,North Rhine-Westphalia,1st Quintile,0.13120150482012696,13742,0.12555655562797144,0.1368464540122825
1986,No,Baden-Wuerttemberg,1st Quintile,0.104867152598166,13742,0.09974450377587518,0.1099898014204568
1986,No,Bavaria,1st Quintile,0.08347049141782271,13742,0.07884592724349292,0.08809505559215251
1986,No,North Rhine-Westphalia,2nd Quintile,0.07782741594168822,13742,0.07334818444747328,0.08230664743590317
1986,No,Baden-Wuerttemberg,2nd Quintile,0.061368445802962614,13742,0.05735561141498108,0.06538128019094415
1986,No,Bavaria,2nd Quintile,0.05572537032682812,13742,0.051890004965812614,0.05956073568784363
1986,No,Hesse,1st Quintile,0.04561486009875382,13742,0.04212630081911373,0.04910341937839391
1986,No,Lower Saxony,1st Quintile,0.044439219374559136,13742,0.04099378907797541,0.047884649671142865
1986,No,North Rhine-Westphalia,3rd Quintile,0.039736656477780394,13742,0.03647061319734031,0.04300269975822048
1986,No,Hesse,2nd Quintile,0.032682812132612274,13742,0.029709946637510216,0.035655677627714336
1986,No,"Rhineland-Palatinate, Saarland",1st Quintile,0.03244768398777333,13742,0.029485171569396548,0.03541019640615012
1986,No,Lower Saxony,2nd Quintile,0.02703973665647778,13742,0.024327797886151963,0.029751675426803598
1986,No,Baden-Wuerttemberg,3rd Quintile,0.02703973665647778,13742,0.024327797886151963,0.029751675426803598
1986,No,Bavaria,3rd Quintile,0.023512814483893724,13742,0.020979339139666507,0.02604628982812094
1986,No,"Rhineland-Palatinate, Saarland",2nd Quintile,0.022572301904537972,13742,0.020088818024957697,0.025055785784118247
1986,No,Berlin,1st Quintile,0.020691276745826475,13742,0.018311235104906967,0.023071318386745983
1986,No,Schleswig-Holstein,1st Quintile,0.015518457559369857,13742,0.013451844522389119,0.017585070596350595
1986,No,Hesse,3rd Quintile,0.015048201269691983,13742,0.013012655445251365,0.0170837470941326
1986,No,Lower Saxony,3rd Quintile,0.014813073124853044,13742,0.01279325156899017,0.01683289468071592
1986,No,North Rhine-Westphalia,4th Quintile,0.012932047966141547,13742,0.011043020474450702,0.014821075457832393
1986,No,Hamburg,1st Quintile,0.010345638372913237,13742,0.008653828645657759,0.012037448100168716
1986,No,Berlin,2nd Quintile,0.0101105102280743,13742,0.008437837437622765,0.011783183018525836
