year,age_gr,bula_h,overyn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1997,17-29 y.,Lower Saxony,Yes,0.69470,80,112,0.60903,0.78038
1997,17-29 y.,Lower Saxony,No,0.30530,32,112,0.21962,0.39097
1997,17-29 y.,North Rhine-Westphalia,Yes,0.68948,130,189,0.62333,0.75562
1997,17-29 y.,North Rhine-Westphalia,No,0.31052,59,189,0.24438,0.37667
1997,17-29 y.,Hesse,Yes,0.75074,56,56,0.63642,0.86507
1997,17-29 y.,"Rhineland-Palatinate, Saarland",Yes,0.55143,36,36,0.38666,0.71620
1997,17-29 y.,Baden-Wuerttemberg,Yes,0.68105,111,168,0.61036,0.75174
1997,17-29 y.,Baden-Wuerttemberg,No,0.31895,57,168,0.24826,0.38964
1997,17-29 y.,Bavaria,Yes,0.67921,100,165,0.60777,0.75065
1997,17-29 y.,Bavaria,No,0.32079,65,165,0.24935,0.39223
1997,17-29 y.,Saxony,Yes,0.60083,53,89,0.49851,0.70315
1997,17-29 y.,Saxony,No,0.39917,36,89,0.29685,0.50149
1997,17-29 y.,Saxony-Anhalt,Yes,0.70170,43,43,0.56333,0.84007
1997,17-29 y.,Thuringa,Yes,0.77726,41,41,0.64832,0.90621
1997,30-45 y.,Schleswig-Holstein,Yes,0.64631,32,32,0.47801,0.81462
1997,30-45 y.,Lower Saxony,Yes,0.71347,138,195,0.64985,0.77710
1997,30-45 y.,Lower Saxony,No,0.28653,57,195,0.22290,0.35015
1997,30-45 y.,North Rhine-Westphalia,Yes,0.74017,289,402,0.69725,0.78310
1997,30-45 y.,North Rhine-Westphalia,No,0.25983,113,402,0.21690,0.30275
1997,30-45 y.,Hesse,Yes,0.65633,81,125,0.57273,0.73992
1997,30-45 y.,Hesse,No,0.34367,44,125,0.26008,0.42727
1997,30-45 y.,"Rhineland-Palatinate, Saarland",Yes,0.75278,89,121,0.67560,0.82997
1997,30-45 y.,"Rhineland-Palatinate, Saarland",No,0.24722,32,121,0.17003,0.32440
1997,30-45 y.,Baden-Wuerttemberg,Yes,0.75473,194,271,0.70341,0.80605
1997,30-45 y.,Baden-Wuerttemberg,No,0.24527,77,271,0.19395,0.29659
1997,30-45 y.,Bavaria,Yes,0.68138,180,276,0.62631,0.73645
1997,30-45 y.,Bavaria,No,0.31862,96,276,0.26355,0.37369
1997,30-45 y.,Berlin,Yes,0.79240,82,82,0.70407,0.88073
1997,30-45 y.,Brandenburg,Yes,0.68050,72,108,0.59215,0.76886
1997,30-45 y.,Brandenburg,No,0.31950,36,108,0.23114,0.40785
1997,30-45 y.,Mecklenburg-Western Pomerania,Yes,0.69009,48,48,0.55788,0.82231
1997,30-45 y.,Saxony,Yes,0.64202,137,197,0.57490,0.70914
1997,30-45 y.,Saxony,No,0.35798,60,197,0.29086,0.42510
1997,30-45 y.,Saxony-Anhalt,Yes,0.72523,81,116,0.64364,0.80682
1997,30-45 y.,Saxony-Anhalt,No,0.27477,35,116,0.19318,0.35636
1997,30-45 y.,Thuringa,Yes,0.69260,91,128,0.61235,0.77285
1997,30-45 y.,Thuringa,No,0.30740,37,128,0.22715,0.38765
1997,46-65 y.,Lower Saxony,Yes,0.66207,58,89,0.56324,0.76089
1997,46-65 y.,Lower Saxony,No,0.33793,31,89,0.23911,0.43676
1997,46-65 y.,North Rhine-Westphalia,Yes,0.73941,147,213,0.68032,0.79850
1997,46-65 y.,North Rhine-Westphalia,No,0.26059,66,213,0.20150,0.31968
1997,46-65 y.,Hesse,Yes,0.82563,57,57,0.72625,0.92501
1997,46-65 y.,Baden-Wuerttemberg,Yes,0.74283,94,129,0.66711,0.81855
1997,46-65 y.,Baden-Wuerttemberg,No,0.25717,35,129,0.18145,0.33289
1997,46-65 y.,Bavaria,Yes,0.68696,98,151,0.61275,0.76117
1997,46-65 y.,Bavaria,No,0.31304,53,151,0.23883,0.38725
1997,46-65 y.,Berlin,Yes,0.67454,47,47,0.53914,0.80994
1997,46-65 y.,Brandenburg,Yes,0.58723,45,45,0.44176,0.73271
1997,46-65 y.,Saxony,Yes,0.74114,97,133,0.66642,0.81587
1997,46-65 y.,Saxony,No,0.25886,36,133,0.18413,0.33358
1997,46-65 y.,Saxony-Anhalt,Yes,0.64682,53,53,0.51691,0.77673
1997,46-65 y.,Thuringa,Yes,0.65445,54,54,0.52642,0.78248
1998,17-29 y.,Lower Saxony,Yes,0.68550,80,111,0.59873,0.77227
1998,17-29 y.,Lower Saxony,No,0.31450,31,111,0.22773,0.40127
1998,17-29 y.,North Rhine-Westphalia,Yes,0.69872,140,198,0.63465,0.76279
1998,17-29 y.,North Rhine-Westphalia,No,0.30128,58,198,0.23721,0.36535
1998,17-29 y.,Hesse,Yes,0.88134,60,60,0.79882,0.96386
1998,17-29 y.,"Rhineland-Palatinate, Saarland",Yes,0.71107,43,43,0.57399,0.84815
1998,17-29 y.,Baden-Wuerttemberg,Yes,0.73549,111,153,0.66537,0.80561
1998,17-29 y.,Baden-Wuerttemberg,No,0.26451,42,153,0.19439,0.33463
1998,17-29 y.,Bavaria,Yes,0.67689,105,155,0.60302,0.75075
1998,17-29 y.,Bavaria,No,0.32311,50,155,0.24925,0.39698
1998,17-29 y.,Brandenburg,Yes,0.61748,32,32,0.44639,0.78857
1998,17-29 y.,Saxony,Yes,0.62692,66,108,0.53529,0.71856
1998,17-29 y.,Saxony,No,0.37308,42,108,0.28144,0.46471
1998,17-29 y.,Saxony-Anhalt,Yes,0.71637,49,49,0.58885,0.84389
1998,17-29 y.,Thuringa,Yes,0.66059,47,47,0.52375,0.79743
1998,30-45 y.,Schleswig-Holstein,Yes,0.69326,44,44,0.55543,0.83110
1998,30-45 y.,Lower Saxony,Yes,0.71933,157,224,0.66036,0.77831
1998,30-45 y.,Lower Saxony,No,0.28067,67,224,0.22169,0.33964
1998,30-45 y.,North Rhine-Westphalia,Yes,0.76080,344,464,0.72194,0.79965
1998,30-45 y.,North Rhine-Westphalia,No,0.23920,120,464,0.20035,0.27806
1998,30-45 y.,Hesse,Yes,0.71596,103,147,0.64281,0.78911
1998,30-45 y.,Hesse,No,0.28404,44,147,0.21089,0.35719
1998,30-45 y.,"Rhineland-Palatinate, Saarland",Yes,0.68554,95,132,0.60603,0.76505
1998,30-45 y.,"Rhineland-Palatinate, Saarland",No,0.31446,37,132,0.23495,0.39397
1998,30-45 y.,Baden-Wuerttemberg,Yes,0.72289,216,300,0.67216,0.77362
1998,30-45 y.,Baden-Wuerttemberg,No,0.27711,84,300,0.22638,0.32784
1998,30-45 y.,Bavaria,Yes,0.75540,230,316,0.70792,0.80287
1998,30-45 y.,Bavaria,No,0.24460,86,316,0.19713,0.29208
1998,30-45 y.,Berlin,Yes,0.60520,67,103,0.51034,0.70007
1998,30-45 y.,Berlin,No,0.39480,36,103,0.29993,0.48966
1998,30-45 y.,Brandenburg,Yes,0.70046,74,109,0.61407,0.78685
1998,30-45 y.,Brandenburg,No,0.29954,35,109,0.21315,0.38593
1998,30-45 y.,Mecklenburg-Western Pomerania,Yes,0.75343,59,59,0.64251,0.86436
1998,30-45 y.,Saxony,Yes,0.69955,167,227,0.63978,0.75932
1998,30-45 y.,Saxony,No,0.30045,60,227,0.24068,0.36022
1998,30-45 y.,Saxony-Anhalt,Yes,0.72395,88,126,0.64558,0.80232
1998,30-45 y.,Saxony-Anhalt,No,0.27605,38,126,0.19768,0.35442
1998,30-45 y.,Thuringa,Yes,0.63710,88,134,0.55538,0.71882
1998,30-45 y.,Thuringa,No,0.36290,46,134,0.28118,0.44462
1998,46-65 y.,Lower Saxony,Yes,0.62072,74,115,0.53165,0.70979
1998,46-65 y.,Lower Saxony,No,0.37928,41,115,0.29021,0.46835
1998,46-65 y.,North Rhine-Westphalia,Yes,0.73987,175,246,0.68493,0.79480
1998,46-65 y.,North Rhine-Westphalia,No,0.26013,71,246,0.20520,0.31507
1998,46-65 y.,Hesse,Yes,0.64379,61,98,0.54848,0.73909
1998,46-65 y.,Hesse,No,0.35621,37,98,0.26091,0.45152
1998,46-65 y.,Baden-Wuerttemberg,Yes,0.68882,103,153,0.61522,0.76242
1998,46-65 y.,Baden-Wuerttemberg,No,0.31118,50,153,0.23758,0.38478
1998,46-65 y.,Bavaria,Yes,0.72896,125,174,0.66273,0.79520
1998,46-65 y.,Bavaria,No,0.27104,49,174,0.20480,0.33727
1998,46-65 y.,Berlin,Yes,0.80009,44,44,0.68055,0.91962
1998,46-65 y.,Brandenburg,Yes,0.65984,38,38,0.50718,0.81250
1998,46-65 y.,Mecklenburg-Western Pomerania,Yes,0.66471,35,35,0.50602,0.82339
1998,46-65 y.,Saxony,Yes,0.63469,101,152,0.55788,0.71149
1998,46-65 y.,Saxony,No,0.36531,51,152,0.28851,0.44212
1998,46-65 y.,Saxony-Anhalt,Yes,0.70651,55,55,0.58505,0.82796
1998,46-65 y.,Thuringa,Yes,0.69625,51,51,0.56878,0.82372
1999,17-29 y.,Lower Saxony,Yes,0.70163,81,112,0.61651,0.78675
1999,17-29 y.,Lower Saxony,No,0.29837,31,112,0.21325,0.38349
1999,17-29 y.,North Rhine-Westphalia,Yes,0.74348,145,191,0.68138,0.80558
1999,17-29 y.,North Rhine-Westphalia,No,0.25652,46,191,0.19442,0.31862
1999,17-29 y.,Hesse,Yes,0.79346,54,54,0.68447,0.90245
1999,17-29 y.,Baden-Wuerttemberg,Yes,0.86289,117,117,0.80029,0.92548
1999,17-29 y.,Bavaria,Yes,0.61071,111,167,0.53654,0.68489
1999,17-29 y.,Bavaria,No,0.38929,56,167,0.31511,0.46346
1999,17-29 y.,Saxony,Yes,0.65454,73,107,0.56402,0.74507
1999,17-29 y.,Saxony,No,0.34546,34,107,0.25493,0.43598
1999,17-29 y.,Saxony-Anhalt,Yes,0.58739,43,43,0.43850,0.73628
1999,17-29 y.,Thuringa,Yes,0.68411,43,43,0.54352,0.82471
1999,30-45 y.,Schleswig-Holstein,Yes,0.58290,38,38,0.42402,0.74178
1999,30-45 y.,Lower Saxony,Yes,0.69878,155,232,0.63962,0.75795
1999,30-45 y.,Lower Saxony,No,0.30122,77,232,0.24205,0.36038
1999,30-45 y.,North Rhine-Westphalia,Yes,0.75620,346,447,0.71635,0.79605
1999,30-45 y.,North Rhine-Westphalia,No,0.24380,101,447,0.20395,0.28365
1999,30-45 y.,Hesse,Yes,0.82667,110,142,0.76419,0.88915
1999,30-45 y.,Hesse,No,0.17333,32,142,0.11085,0.23581
1999,30-45 y.,"Rhineland-Palatinate, Saarland",Yes,0.67934,91,136,0.60061,0.75807
1999,30-45 y.,"Rhineland-Palatinate, Saarland",No,0.32066,45,136,0.24193,0.39939
1999,30-45 y.,Baden-Wuerttemberg,Yes,0.75761,230,305,0.70944,0.80578
1999,30-45 y.,Baden-Wuerttemberg,No,0.24239,75,305,0.19422,0.29056
1999,30-45 y.,Bavaria,Yes,0.72734,240,335,0.67958,0.77510
1999,30-45 y.,Bavaria,No,0.27266,95,335,0.22490,0.32042
1999,30-45 y.,Berlin,Yes,0.72005,74,74,0.61706,0.82305
1999,30-45 y.,Brandenburg,Yes,0.74013,70,70,0.63665,0.84361
1999,30-45 y.,Mecklenburg-Western Pomerania,Yes,0.63812,55,55,0.50995,0.76629
1999,30-45 y.,Saxony,Yes,0.73539,166,225,0.67762,0.79316
1999,30-45 y.,Saxony,No,0.26461,59,225,0.20684,0.32238
1999,30-45 y.,Saxony-Anhalt,Yes,0.61814,78,121,0.53121,0.70506
1999,30-45 y.,Saxony-Anhalt,No,0.38186,43,121,0.29494,0.46879
1999,30-45 y.,Thuringa,Yes,0.71269,107,150,0.64003,0.78535
1999,30-45 y.,Thuringa,No,0.28731,43,150,0.21465,0.35997
1999,46-65 y.,Lower Saxony,Yes,0.69699,76,108,0.60991,0.78407
1999,46-65 y.,Lower Saxony,No,0.30301,32,108,0.21593,0.39009
1999,46-65 y.,North Rhine-Westphalia,Yes,0.68803,181,253,0.63083,0.74523
1999,46-65 y.,North Rhine-Westphalia,No,0.31197,72,253,0.25477,0.36917
1999,46-65 y.,Hesse,Yes,0.61360,52,86,0.51008,0.71712
1999,46-65 y.,Hesse,No,0.38640,34,86,0.28288,0.48992
1999,46-65 y.,"Rhineland-Palatinate, Saarland",Yes,0.68118,31,31,0.51442,0.84794
1999,46-65 y.,Baden-Wuerttemberg,Yes,0.69673,94,132,0.61801,0.77545
1999,46-65 y.,Baden-Wuerttemberg,No,0.30327,38,132,0.22455,0.38199
1999,46-65 y.,Bavaria,Yes,0.72549,106,152,0.65431,0.79667
1999,46-65 y.,Bavaria,No,0.27451,46,152,0.20333,0.34569
1999,46-65 y.,Berlin,Yes,0.85849,46,46,0.75665,0.96033
1999,46-65 y.,Brandenburg,Yes,0.55123,39,39,0.39309,0.70937
1999,46-65 y.,Saxony,Yes,0.78128,96,133,0.71076,0.85180
1999,46-65 y.,Saxony,No,0.21872,37,133,0.14820,0.28924
1999,46-65 y.,Saxony-Anhalt,Yes,0.75434,59,59,0.64355,0.86513
1999,46-65 y.,Thuringa,Yes,0.62720,52,52,0.49449,0.75991
2000,17-29 y.,Lower Saxony,Yes,0.64137,100,150,0.56437,0.71838
2000,17-29 y.,Lower Saxony,No,0.35863,50,150,0.28162,0.43563
2000,17-29 y.,North Rhine-Westphalia,Yes,0.70101,211,307,0.64971,0.75231
2000,17-29 y.,North Rhine-Westphalia,No,0.29899,96,307,0.24769,0.35029
2000,17-29 y.,Hesse,Yes,0.80095,90,90,0.71799,0.88390
2000,17-29 y.,"Rhineland-Palatinate, Saarland",Yes,0.54517,32,32,0.36987,0.72046
2000,17-29 y.,Baden-Wuerttemberg,Yes,0.81437,168,205,0.76101,0.86772
2000,17-29 y.,Baden-Wuerttemberg,No,0.18563,37,205,0.13228,0.23899
2000,17-29 y.,Bavaria,Yes,0.64670,160,245,0.58672,0.70668
2000,17-29 y.,Bavaria,No,0.35330,85,245,0.29332,0.41328
2000,17-29 y.,Brandenburg,Yes,0.66154,50,50,0.52905,0.79403
2000,17-29 y.,Saxony,Yes,0.60749,85,133,0.52418,0.69079
2000,17-29 y.,Saxony,No,0.39251,48,133,0.30921,0.47582
2000,17-29 y.,Saxony-Anhalt,Yes,0.67545,53,53,0.54818,0.80271
2000,17-29 y.,Thuringa,Yes,0.55549,47,79,0.44522,0.66577
2000,17-29 y.,Thuringa,No,0.44451,32,79,0.33423,0.55478
2000,30-45 y.,Schleswig-Holstein,Yes,0.68361,72,106,0.59465,0.77256
2000,30-45 y.,Schleswig-Holstein,No,0.31639,34,106,0.22744,0.40535
2000,30-45 y.,Hamburg,Yes,0.58971,31,31,0.41369,0.76573
2000,30-45 y.,Lower Saxony,Yes,0.68531,276,397,0.63957,0.73105
2000,30-45 y.,Lower Saxony,No,0.31469,121,397,0.26895,0.36043
2000,30-45 y.,North Rhine-Westphalia,Yes,0.70838,587,828,0.67740,0.73936
2000,30-45 y.,North Rhine-Westphalia,No,0.29162,241,828,0.26064,0.32260
2000,30-45 y.,Hesse,Yes,0.72199,188,261,0.66753,0.77645
2000,30-45 y.,Hesse,No,0.27801,73,261,0.22355,0.33247
2000,30-45 y.,"Rhineland-Palatinate, Saarland",Yes,0.68183,182,265,0.62565,0.73802
2000,30-45 y.,"Rhineland-Palatinate, Saarland",No,0.31817,83,265,0.26198,0.37435
2000,30-45 y.,Baden-Wuerttemberg,Yes,0.76087,400,528,0.72446,0.79729
2000,30-45 y.,Baden-Wuerttemberg,No,0.23913,128,528,0.20271,0.27554
2000,30-45 y.,Bavaria,Yes,0.73150,440,594,0.69583,0.76717
2000,30-45 y.,Bavaria,No,0.26850,154,594,0.23283,0.30417
2000,30-45 y.,Berlin,Yes,0.67115,102,149,0.59546,0.74684
2000,30-45 y.,Berlin,No,0.32885,47,149,0.25316,0.40454
2000,30-45 y.,Brandenburg,Yes,0.65989,108,162,0.58671,0.73307
2000,30-45 y.,Brandenburg,No,0.34011,54,162,0.26693,0.41329
2000,30-45 y.,Mecklenburg-Western Pomerania,Yes,0.63503,58,90,0.53501,0.73505
2000,30-45 y.,Mecklenburg-Western Pomerania,No,0.36497,32,90,0.26495,0.46499
2000,30-45 y.,Saxony,Yes,0.68057,225,319,0.62933,0.73182
2000,30-45 y.,Saxony,No,0.31943,94,319,0.26818,0.37067
2000,30-45 y.,Saxony-Anhalt,Yes,0.68307,110,167,0.61229,0.75385
2000,30-45 y.,Saxony-Anhalt,No,0.31693,57,167,0.24615,0.38771
2000,30-45 y.,Thuringa,Yes,0.69096,138,204,0.62739,0.75453
2000,30-45 y.,Thuringa,No,0.30904,66,204,0.24547,0.37261
2000,46-65 y.,Schleswig-Holstein,Yes,0.72844,61,61,0.61590,0.84098
2000,46-65 y.,Lower Saxony,Yes,0.61812,118,195,0.54975,0.68649
2000,46-65 y.,Lower Saxony,No,0.38188,77,195,0.31351,0.45025
2000,46-65 y.,North Rhine-Westphalia,Yes,0.66085,320,485,0.61867,0.70302
2000,46-65 y.,North Rhine-Westphalia,No,0.33915,165,485,0.29698,0.38133
2000,46-65 y.,Hesse,Yes,0.59358,112,176,0.52081,0.66635
2000,46-65 y.,Hesse,No,0.40642,64,176,0.33365,0.47919
2000,46-65 y.,"Rhineland-Palatinate, Saarland",Yes,0.71322,74,109,0.62792,0.79851
2000,46-65 y.,"Rhineland-Palatinate, Saarland",No,0.28678,35,109,0.20149,0.37208
2000,46-65 y.,Baden-Wuerttemberg,Yes,0.66874,185,272,0.61271,0.72478
2000,46-65 y.,Baden-Wuerttemberg,No,0.33126,87,272,0.27522,0.38729
2000,46-65 y.,Bavaria,Yes,0.66645,231,338,0.61611,0.71679
2000,46-65 y.,Bavaria,No,0.33355,107,338,0.28321,0.38389
2000,46-65 y.,Berlin,Yes,0.61391,57,92,0.51388,0.71394
2000,46-65 y.,Berlin,No,0.38609,35,92,0.28606,0.48612
2000,46-65 y.,Brandenburg,Yes,0.65874,73,108,0.56890,0.74858
2000,46-65 y.,Brandenburg,No,0.34126,35,108,0.25142,0.43110
2000,46-65 y.,Mecklenburg-Western Pomerania,Yes,0.60668,42,42,0.45715,0.75620
2000,46-65 y.,Saxony,Yes,0.71297,124,168,0.64436,0.78158
2000,46-65 y.,Saxony,No,0.28703,44,168,0.21842,0.35564
2000,46-65 y.,Saxony-Anhalt,Yes,0.64603,86,130,0.56351,0.72855
2000,46-65 y.,Saxony-Anhalt,No,0.35397,44,130,0.27145,0.43649
2000,46-65 y.,Thuringa,Yes,0.66325,70,112,0.57533,0.75117
2000,46-65 y.,Thuringa,No,0.33675,42,112,0.24883,0.42467
2002,17-29 y.,Schleswig-Holstein,Yes,0.80404,31,31,0.66200,0.94608
2002,17-29 y.,Lower Saxony,Yes,0.73186,94,135,0.65685,0.80686
2002,17-29 y.,Lower Saxony,No,0.26814,41,135,0.19314,0.34315
2002,17-29 y.,North Rhine-Westphalia,Yes,0.75312,170,228,0.69703,0.80921
2002,17-29 y.,North Rhine-Westphalia,No,0.24688,58,228,0.19079,0.30297
2002,17-29 y.,Hesse,Yes,0.61268,58,58,0.48621,0.73914
2002,17-29 y.,"Rhineland-Palatinate, Saarland",Yes,0.74140,53,53,0.62239,0.86042
2002,17-29 y.,Baden-Wuerttemberg,Yes,0.73782,121,167,0.67091,0.80473
2002,17-29 y.,Baden-Wuerttemberg,No,0.26218,46,167,0.19527,0.32909
2002,17-29 y.,Bavaria,Yes,0.66602,150,220,0.60355,0.72848
2002,17-29 y.,Bavaria,No,0.33398,70,220,0.27152,0.39645
2002,17-29 y.,Brandenburg,Yes,0.65326,44,44,0.51100,0.79551
2002,17-29 y.,Saxony,Yes,0.70558,77,112,0.62079,0.79037
2002,17-29 y.,Saxony,No,0.29442,35,112,0.20963,0.37921
2002,17-29 y.,Saxony-Anhalt,Yes,0.54182,38,38,0.38127,0.70236
2002,17-29 y.,Thuringa,Yes,0.61388,44,44,0.46836,0.75940
2002,30-45 y.,Schleswig-Holstein,Yes,0.66854,66,66,0.55410,0.78298
2002,30-45 y.,Hamburg,Yes,0.69857,36,36,0.54655,0.85060
2002,30-45 y.,Lower Saxony,Yes,0.70798,246,344,0.65986,0.75610
2002,30-45 y.,Lower Saxony,No,0.29202,98,344,0.24390,0.34014
2002,30-45 y.,North Rhine-Westphalia,Yes,0.73534,567,773,0.70422,0.76646
2002,30-45 y.,North Rhine-Westphalia,No,0.26466,206,773,0.23354,0.29578
2002,30-45 y.,Hesse,Yes,0.72440,216,305,0.67417,0.77463
2002,30-45 y.,Hesse,No,0.27560,89,305,0.22537,0.32583
2002,30-45 y.,"Rhineland-Palatinate, Saarland",Yes,0.67584,155,216,0.61328,0.73841
2002,30-45 y.,"Rhineland-Palatinate, Saarland",No,0.32416,61,216,0.26159,0.38672
2002,30-45 y.,Baden-Wuerttemberg,Yes,0.76544,395,516,0.72885,0.80204
2002,30-45 y.,Baden-Wuerttemberg,No,0.23456,121,516,0.19796,0.27115
2002,30-45 y.,Bavaria,Yes,0.68198,397,564,0.64351,0.72045
2002,30-45 y.,Bavaria,No,0.31802,167,564,0.27955,0.35649
2002,30-45 y.,Berlin,Yes,0.69593,90,128,0.61593,0.77594
2002,30-45 y.,Berlin,No,0.30407,38,128,0.22406,0.38407
2002,30-45 y.,Brandenburg,Yes,0.60511,88,141,0.52414,0.68609
2002,30-45 y.,Brandenburg,No,0.39489,53,141,0.31391,0.47586
2002,30-45 y.,Mecklenburg-Western Pomerania,Yes,0.54746,49,86,0.44164,0.65327
2002,30-45 y.,Mecklenburg-Western Pomerania,No,0.45254,37,86,0.34673,0.55836
2002,30-45 y.,Saxony,Yes,0.73078,219,290,0.67964,0.78192
2002,30-45 y.,Saxony,No,0.26922,71,290,0.21808,0.32036
2002,30-45 y.,Saxony-Anhalt,Yes,0.58899,98,155,0.51128,0.66670
2002,30-45 y.,Saxony-Anhalt,No,0.41101,57,155,0.33330,0.48872
2002,30-45 y.,Thuringa,Yes,0.63392,107,163,0.55974,0.70810
2002,30-45 y.,Thuringa,No,0.36608,56,163,0.29190,0.44026
2002,46-65 y.,Schleswig-Holstein,Yes,0.70954,74,74,0.60539,0.81368
2002,46-65 y.,Hamburg,Yes,0.61035,35,35,0.44643,0.77428
2002,46-65 y.,Lower Saxony,Yes,0.62749,149,216,0.56286,0.69211
2002,46-65 y.,Lower Saxony,No,0.37251,67,216,0.30789,0.43714
2002,46-65 y.,North Rhine-Westphalia,Yes,0.66634,381,541,0.62657,0.70611
2002,46-65 y.,North Rhine-Westphalia,No,0.33366,160,541,0.29389,0.37343
2002,46-65 y.,Hesse,Yes,0.69818,146,209,0.63579,0.76057
2002,46-65 y.,Hesse,No,0.30182,63,209,0.23943,0.36421
2002,46-65 y.,"Rhineland-Palatinate, Saarland",Yes,0.66514,97,139,0.58640,0.74388
2002,46-65 y.,"Rhineland-Palatinate, Saarland",No,0.33486,42,139,0.25612,0.41360
2002,46-65 y.,Baden-Wuerttemberg,Yes,0.65110,213,315,0.59838,0.70382
2002,46-65 y.,Baden-Wuerttemberg,No,0.34890,102,315,0.29618,0.40162
2002,46-65 y.,Bavaria,Yes,0.66998,253,369,0.62193,0.71802
2002,46-65 y.,Bavaria,No,0.33002,116,369,0.28198,0.37807
2002,46-65 y.,Berlin,Yes,0.67938,82,82,0.57774,0.78102
2002,46-65 y.,Brandenburg,Yes,0.74551,80,80,0.64945,0.84156
2002,46-65 y.,Mecklenburg-Western Pomerania,Yes,0.57939,43,43,0.43009,0.72869
2002,46-65 y.,Saxony,Yes,0.72312,159,211,0.66260,0.78364
2002,46-65 y.,Saxony,No,0.27688,52,211,0.21636,0.33740
2002,46-65 y.,Saxony-Anhalt,Yes,0.59294,85,133,0.50913,0.67675
2002,46-65 y.,Saxony-Anhalt,No,0.40706,48,133,0.32325,0.49087
2002,46-65 y.,Thuringa,Yes,0.74621,84,84,0.65259,0.83983
2003,17-29 y.,Lower Saxony,Yes,0.72081,89,125,0.64185,0.79977
2003,17-29 y.,Lower Saxony,No,0.27919,36,125,0.20023,0.35815
2003,17-29 y.,North Rhine-Westphalia,Yes,0.74149,171,236,0.68551,0.79747
2003,17-29 y.,North Rhine-Westphalia,No,0.25851,65,236,0.20253,0.31449
2003,17-29 y.,Hesse,Yes,0.69399,68,68,0.58365,0.80434
2003,17-29 y.,"Rhineland-Palatinate, Saarland",Yes,0.57551,37,37,0.41405,0.73697
2003,17-29 y.,Baden-Wuerttemberg,Yes,0.67486,118,172,0.60465,0.74507
2003,17-29 y.,Baden-Wuerttemberg,No,0.32514,54,172,0.25493,0.39535
2003,17-29 y.,Bavaria,Yes,0.71382,145,212,0.65283,0.77481
2003,17-29 y.,Bavaria,No,0.28618,67,212,0.22519,0.34717
2003,17-29 y.,Berlin,Yes,0.50767,31,31,0.32877,0.68657
2003,17-29 y.,Brandenburg,Yes,0.57583,36,36,0.41209,0.73956
2003,17-29 y.,Saxony,Yes,0.61037,65,101,0.51478,0.70595
2003,17-29 y.,Saxony,No,0.38963,36,101,0.29405,0.48522
2003,17-29 y.,Saxony-Anhalt,Yes,0.69454,31,31,0.52971,0.85936
2003,17-29 y.,Thuringa,Yes,0.72202,58,58,0.60572,0.83833
2003,30-45 y.,Schleswig-Holstein,Yes,0.69858,54,54,0.57504,0.82212
2003,30-45 y.,Hamburg,Yes,0.71208,36,36,0.56207,0.86209
2003,30-45 y.,Lower Saxony,Yes,0.72433,239,344,0.67704,0.77162
2003,30-45 y.,Lower Saxony,No,0.27567,105,344,0.22838,0.32296
2003,30-45 y.,North Rhine-Westphalia,Yes,0.72551,528,717,0.69283,0.75820
2003,30-45 y.,North Rhine-Westphalia,No,0.27449,189,717,0.24180,0.30717
2003,30-45 y.,Hesse,Yes,0.72390,191,270,0.67047,0.77732
2003,30-45 y.,Hesse,No,0.27610,79,270,0.22268,0.32953
