year,quintil_oecd,sex,overyn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1986,1st Quintile,male,Yes,0.26237,120,496,0.22361,0.30112
1986,1st Quintile,male,No,0.73763,376,496,0.69888,0.77639
1986,1st Quintile,female,Yes,0.22084,46,270,0.17127,0.27041
1986,1st Quintile,female,No,0.77916,224,270,0.72959,0.82873
1986,2nd Quintile,male,Yes,0.35331,235,712,0.31817,0.38844
1986,2nd Quintile,male,No,0.64669,477,712,0.61156,0.68183
1986,2nd Quintile,female,Yes,0.19251,50,355,0.15144,0.23358
1986,2nd Quintile,female,No,0.80749,305,355,0.76642,0.84856
1986,3rd Quintile,male,Yes,0.37409,280,777,0.34004,0.40813
1986,3rd Quintile,male,No,0.62591,497,777,0.59187,0.65996
1986,3rd Quintile,female,Yes,0.23579,104,515,0.19909,0.27249
1986,3rd Quintile,female,No,0.76421,411,515,0.72751,0.80091
1986,4th Quintile,male,Yes,0.42616,357,912,0.39405,0.45827
1986,4th Quintile,male,No,0.57384,555,912,0.54173,0.60595
1986,4th Quintile,female,Yes,0.29089,142,597,0.25443,0.32736
1986,4th Quintile,female,No,0.70911,455,597,0.67264,0.74557
1986,5th Quintile,male,Yes,0.40297,347,871,0.37037,0.43556
1986,5th Quintile,male,No,0.59703,524,871,0.56444,0.62963
1986,5th Quintile,female,Yes,0.26641,165,645,0.23226,0.30055
1986,5th Quintile,female,No,0.73359,480,645,0.69945,0.76774
1988,1st Quintile,male,Yes,0.29828,133,479,0.25726,0.33929
1988,1st Quintile,male,No,0.70172,346,479,0.66071,0.74274
1988,1st Quintile,female,Yes,0.22981,54,256,0.17817,0.28145
1988,1st Quintile,female,No,0.77019,202,256,0.71855,0.82183
1988,2nd Quintile,male,Yes,0.37358,234,644,0.33618,0.41097
1988,2nd Quintile,male,No,0.62642,410,644,0.58903,0.66382
1988,2nd Quintile,female,Yes,0.24019,88,395,0.19801,0.28237
1988,2nd Quintile,female,No,0.75981,307,395,0.71763,0.80199
1988,3rd Quintile,male,Yes,0.34056,255,745,0.30651,0.37462
1988,3rd Quintile,male,No,0.65944,490,745,0.62538,0.69349
1988,3rd Quintile,female,Yes,0.25215,106,479,0.21322,0.29108
1988,3rd Quintile,female,No,0.74785,373,479,0.70892,0.78678
1988,4th Quintile,male,Yes,0.41653,312,856,0.38348,0.44957
1988,4th Quintile,male,No,0.58347,544,856,0.55043,0.61652
1988,4th Quintile,female,Yes,0.25706,121,544,0.22030,0.29382
1988,4th Quintile,female,No,0.74294,423,544,0.70618,0.77970
1988,5th Quintile,male,Yes,0.42343,339,826,0.38972,0.45715
1988,5th Quintile,male,No,0.57657,487,826,0.54285,0.61028
1988,5th Quintile,female,Yes,0.32962,191,618,0.29253,0.36671
1988,5th Quintile,female,No,0.67038,427,618,0.63329,0.70747
1989,1st Quintile,male,Yes,0.30328,130,476,0.26194,0.34462
1989,1st Quintile,male,No,0.69672,346,476,0.65538,0.73806
1989,1st Quintile,female,Yes,0.22673,59,267,0.17641,0.27705
1989,1st Quintile,female,No,0.77327,208,267,0.72295,0.82359
1989,2nd Quintile,male,Yes,0.34466,218,662,0.30842,0.38089
1989,2nd Quintile,male,No,0.65534,444,662,0.61911,0.69158
1989,2nd Quintile,female,Yes,0.23763,86,395,0.19560,0.27966
1989,2nd Quintile,female,No,0.76237,309,395,0.72034,0.80440
1989,3rd Quintile,male,Yes,0.40917,293,722,0.37328,0.44506
1989,3rd Quintile,male,No,0.59083,429,722,0.55494,0.62672
1989,3rd Quintile,female,Yes,0.29307,120,461,0.25148,0.33467
1989,3rd Quintile,female,No,0.70693,341,461,0.66533,0.74852
1989,4th Quintile,male,Yes,0.44370,321,807,0.40940,0.47800
1989,4th Quintile,male,No,0.55630,486,807,0.52200,0.59060
1989,4th Quintile,female,Yes,0.32040,171,574,0.28219,0.35861
1989,4th Quintile,female,No,0.67960,403,574,0.64139,0.71781
1989,5th Quintile,male,Yes,0.44978,339,795,0.41518,0.48438
1989,5th Quintile,male,No,0.55022,456,795,0.51562,0.58482
1989,5th Quintile,female,Yes,0.31318,171,588,0.27566,0.35070
1989,5th Quintile,female,No,0.68682,417,588,0.64930,0.72434
1990,1st Quintile,male,Yes,0.30996,146,482,0.26863,0.35129
1990,1st Quintile,male,No,0.69004,336,482,0.64871,0.73137
1990,1st Quintile,female,Yes,0.22923,51,268,0.17881,0.27965
1990,1st Quintile,female,No,0.77077,217,268,0.72035,0.82119
1990,2nd Quintile,male,Yes,0.39828,233,632,0.36008,0.43648
1990,2nd Quintile,male,No,0.60172,399,632,0.56352,0.63992
1990,2nd Quintile,female,Yes,0.26430,90,381,0.21996,0.30864
1990,2nd Quintile,female,No,0.73570,291,381,0.69136,0.78004
1990,3rd Quintile,male,Yes,0.41307,280,695,0.37643,0.44970
1990,3rd Quintile,male,No,0.58693,415,695,0.55030,0.62357
1990,3rd Quintile,female,Yes,0.27972,119,483,0.23964,0.31979
1990,3rd Quintile,female,No,0.72028,364,483,0.68021,0.76036
1990,4th Quintile,male,Yes,0.43866,318,785,0.40393,0.47340
1990,4th Quintile,male,No,0.56134,467,785,0.52660,0.59607
1990,4th Quintile,female,Yes,0.31134,150,577,0.27352,0.34915
1990,4th Quintile,female,No,0.68866,427,577,0.65085,0.72648
1990,5th Quintile,male,Yes,0.49496,377,779,0.45983,0.53009
1990,5th Quintile,male,No,0.50504,402,779,0.46991,0.54017
