year,regtyp,sampreg,overyn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1986,Urban regions,West,Yes,0.14991,1466,4873,0.13988,0.15993
1986,Urban regions,West,No,0.29402,3407,4873,0.28123,0.30681
1986,Rural regions,West,Yes,0.12794,381,1278,0.10962,0.14626
1986,Rural regions,West,No,0.29773,897,1278,0.27265,0.32281
1988,Urban regions,West,Yes,0.15923,1471,4645,0.14870,0.16975
1988,Urban regions,West,No,0.29527,3174,4645,0.28215,0.30839
1988,Rural regions,West,Yes,0.12812,362,1198,0.10919,0.14706
1988,Rural regions,West,No,0.29684,836,1198,0.27096,0.32272
1989,Urban regions,West,Yes,0.16974,1531,4593,0.15888,0.18060
1989,Urban regions,West,No,0.29267,3062,4593,0.27951,0.30583
1989,Rural regions,West,Yes,0.14459,377,1154,0.12429,0.16490
1989,Rural regions,West,No,0.28398,777,1154,0.25796,0.31001
1990,Urban regions,West,Yes,0.17864,1565,4474,0.16741,0.18987
1990,Urban regions,West,No,0.28805,2909,4474,0.27478,0.30133
1990,Urban regions,East,Yes,0.18412,382,1121,0.16142,0.20682
1990,Urban regions,East,No,0.36490,739,1121,0.33671,0.39310
1990,Rural regions,West,Yes,0.15851,386,1176,0.13763,0.17940
1990,Rural regions,West,No,0.29020,790,1176,0.26425,0.31615
1990,Rural regions,East,Yes,0.16362,668,2163,0.14803,0.17921
1990,Rural regions,East,No,0.38084,1495,2163,0.36037,0.40131
1991,Urban regions,West,Yes,0.18818,1641,4549,0.17682,0.19954
1991,Urban regions,West,No,0.28183,2908,4549,0.26875,0.29490
1991,Urban regions,East,Yes,0.16088,307,924,0.13718,0.18459
1991,Urban regions,East,No,0.35111,617,924,0.32032,0.38190
1991,Rural regions,West,Yes,0.16996,441,1210,0.14878,0.19113
1991,Rural regions,West,No,0.28174,769,1210,0.25638,0.30710
1991,Rural regions,East,Yes,0.12339,482,1796,0.10818,0.13861
1991,Rural regions,East,No,0.35845,1314,1796,0.33627,0.38064
