year,age_gr,quintil_oecd,overyn,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
1986,17-29 y.,1st Quintile,Yes,0.26544683836681,63,6121,0.26463742281965913,0.26625625391396085
1986,17-29 y.,1st Quintile,No,0.7345531616331901,217,6121,0.7337437460860392,0.7353625771803409
1986,17-29 y.,2nd Quintile,Yes,0.2817555846944907,80,6121,0.28099076730368605,0.28252040208529533
1986,17-29 y.,2nd Quintile,No,0.7182444153055092,263,6121,0.7174795979147046,0.7190092326963138
1986,17-29 y.,3rd Quintile,Yes,0.30294864745279054,115,6121,0.30226744677632467,0.3036298481292564
1986,17-29 y.,3rd Quintile,No,0.6970513525472094,283,6121,0.6963701518707435,0.6977325532236753
1986,17-29 y.,4th Quintile,Yes,0.3881354985020174,164,6121,0.3874817414810865,0.3887892555229483
1986,17-29 y.,4th Quintile,No,0.6118645014979828,331,6121,0.6112107444770518,0.6125182585189137
1986,17-29 y.,5th Quintile,Yes,0.36636205320485854,135,6121,0.3656495225021628,0.36707458390755426
1986,17-29 y.,5th Quintile,No,0.6336379467951415,234,6121,0.6329254160924458,0.6343504774978372
1986,30-45 y.,1st Quintile,Yes,0.24780003663911548,66,6121,0.24693026277293117,0.2486698105052998
1986,30-45 y.,1st Quintile,No,0.7521999633608845,237,6121,0.7513301894947001,0.7530697372270688
1986,30-45 y.,2nd Quintile,Yes,0.37324044262631056,149,6121,0.37248702185438837,0.37399386339823276
1986,30-45 y.,2nd Quintile,No,0.6267595573736895,299,6121,0.6260061366017673,0.6275129781456117
1986,30-45 y.,3rd Quintile,Yes,0.3392568111697337,151,6121,0.33859433802763017,0.33991928431183727
1986,30-45 y.,3rd Quintile,No,0.6607431888302663,350,6121,0.6600807156881627,0.6614056619723698
1986,30-45 y.,4th Quintile,Yes,0.4165578832091286,188,6121,0.41590522466373864,0.4172105417545186
1986,30-45 y.,4th Quintile,No,0.5834421167908713,325,6121,0.5827894582454813,0.5840947753362613
1986,30-45 y.,5th Quintile,Yes,0.36463923310586915,205,6121,0.36407094993758304,0.36520751627415526
1986,30-45 y.,5th Quintile,No,0.6353607668941308,379,6121,0.6347924837258446,0.635929050062417
1986,46-65 y.,1st Quintile,Yes,0.18831401843882856,36,6121,0.18731574845224488,0.18931228842541223
1986,46-65 y.,1st Quintile,No,0.8116859815611714,146,6121,0.8106877115745877,0.8126842515477551
1986,46-65 y.,2nd Quintile,Yes,0.2358501471228714,57,6121,0.2350753256994379,0.23662496854630488
1986,46-65 y.,2nd Quintile,No,0.7641498528771286,205,6121,0.7633750314536951,0.764924674300562
1986,46-65 y.,3rd Quintile,Yes,0.305572271192671,113,6121,0.3048816409623913,0.3062629014229507
1986,46-65 y.,3rd Quintile,No,0.6944277288073288,280,6121,0.6937370985770491,0.6951183590376085
1986,46-65 y.,4th Quintile,Yes,0.3226144872667607,147,6121,0.3220134140938519,0.3232155604396694
1986,46-65 y.,4th Quintile,No,0.6773855127332392,349,6121,0.6767844395603304,0.677986585906148
1986,46-65 y.,5th Quintile,Yes,0.3291701368069519,177,6121,0.32863168035586726,0.32970859325803653
1986,46-65 y.,5th Quintile,No,0.6708298631930482,377,6121,0.6702914067419635,0.6713683196441328
1988,17-29 y.,1st Quintile,Yes,0.3236936499778556,81,5808,0.3228019392297229,0.3245853607259883
1988,17-29 y.,1st Quintile,No,0.6763063500221443,204,5808,0.6754146392740117,0.677198060770277
1988,17-29 y.,2nd Quintile,Yes,0.33397060478159324,105,5808,0.333124721143016,0.3348164884201705
1988,17-29 y.,2nd Quintile,No,0.6660293952184068,226,5808,0.6651835115798295,0.666875278856984
1988,17-29 y.,3rd Quintile,Yes,0.3182500734606446,125,5808,0.3175657924535388,0.3189343544677504
1988,17-29 y.,3rd Quintile,No,0.6817499265393554,268,5808,0.6810656455322496,0.6824342075464612
1988,17-29 y.,4th Quintile,Yes,0.3454852034291811,130,5808,0.34482499508208087,0.34614541177628133
1988,17-29 y.,4th Quintile,No,0.6545147965708188,307,5808,0.6538545882237186,0.655175004917919
1988,17-29 y.,5th Quintile,Yes,0.41751089360106747,133,5808,0.41678127988337443,0.4182405073187605
1988,17-29 y.,5th Quintile,No,0.5824891063989325,204,5808,0.5817594926812395,0.5832187201166255
1988,30-45 y.,1st Quintile,Yes,0.2942943010207215,72,5808,0.29337832659561625,0.2952102754458268
1988,30-45 y.,1st Quintile,No,0.7057056989792786,202,5808,0.7047897245541733,0.7066216734043839
1988,30-45 y.,2nd Quintile,Yes,0.3471279063458952,147,5808,0.346430521546444,0.3478252911453464
1988,30-45 y.,2nd Quintile,No,0.6528720936541048,301,5808,0.6521747088546537,0.653569478453556
1988,30-45 y.,3rd Quintile,Yes,0.302422708256685,138,5808,0.3017854977516231,0.30305991876174687
1988,30-45 y.,3rd Quintile,No,0.6975772917433151,321,5808,0.6969400812382531,0.698214502248377
1988,30-45 y.,4th Quintile,Yes,0.4132257080211015,163,5808,0.41257637299389,0.41387504304831296
1988,30-45 y.,4th Quintile,No,0.5867742919788984,301,5808,0.586124956951687,0.5874236270061098
1988,30-45 y.,5th Quintile,Yes,0.3981800127111477,207,5808,0.39761425217868046,0.398745773243615
1988,30-45 y.,5th Quintile,No,0.6018199872888522,330,5808,0.601254226756385,0.6023857478213195
1988,46-65 y.,1st Quintile,Yes,0.19056776709359655,35,5808,0.18963915821597102,0.19149637597122207
1988,46-65 y.,1st Quintile,No,0.8094322329064034,134,5808,0.808503624028778,0.8103608417840289
1988,46-65 y.,2nd Quintile,Yes,0.2816734344822616,69,5808,0.280810376184345,0.28253649278017823
1988,46-65 y.,2nd Quintile,No,0.7183265655177383,185,5808,0.7174635072198218,0.7191896238156549
1988,46-65 y.,3rd Quintile,Yes,0.29460400716003243,105,5808,0.293958362919777,0.29524965140028786
1988,46-65 y.,3rd Quintile,No,0.7053959928399677,277,5808,0.7047503485997123,0.706041637080223
1988,46-65 y.,4th Quintile,Yes,0.32210428542473823,138,5808,0.3215117805781138,0.32269679027136267
1988,46-65 y.,4th Quintile,No,0.6778957145752618,349,5808,0.6773032097286373,0.6784882194218862
1988,46-65 y.,5th Quintile,Yes,0.35107786795617096,182,5808,0.35055444182589945,0.3516012940864425
1988,46-65 y.,5th Quintile,No,0.648922132043829,369,5808,0.6483987059135574,0.6494455581741005
1989,17-29 y.,1st Quintile,Yes,0.2373475520524807,68,5714,0.23656483016434182,0.23813027394061959
1989,17-29 y.,1st Quintile,No,0.7626524479475192,226,5714,0.7618697260593803,0.7634351698356581
1989,17-29 y.,2nd Quintile,Yes,0.3543085406759204,108,5714,0.35352989856488704,0.3550871827869537
1989,17-29 y.,2nd Quintile,No,0.6456914593240796,247,5714,0.6449128172130462,0.646470101435113
1989,17-29 y.,3rd Quintile,Yes,0.3610777431114701,125,5714,0.3603388725987246,0.36181661362421563
1989,17-29 y.,3rd Quintile,No,0.6389222568885298,235,5714,0.6381833863757842,0.6396611274012753
1989,17-29 y.,4th Quintile,Yes,0.43934470419822463,188,5714,0.4386854945664588,0.4400039138299905
1989,17-29 y.,4th Quintile,No,0.5606552958017754,282,5714,0.5599960861700095,0.5613145054335413
1989,17-29 y.,5th Quintile,Yes,0.4464663081342909,126,5714,0.4457183192790546,0.4472142969895272
1989,17-29 y.,5th Quintile,No,0.5535336918657091,196,5714,0.5527857030104728,0.5542816807209454
1989,30-45 y.,1st Quintile,Yes,0.32448474554690204,82,5714,0.3235870921515047,0.32538239894229937
1989,30-45 y.,1st Quintile,No,0.675515254453098,201,5714,0.6746176010577007,0.6764129078484953
1989,30-45 y.,2nd Quintile,Yes,0.3185586155631412,133,5714,0.3178738720592284,0.319243359067054
1989,30-45 y.,2nd Quintile,No,0.6814413844368586,295,5714,0.6807566409329459,0.6821261279407714
1989,30-45 y.,3rd Quintile,Yes,0.42339121591162193,186,5714,0.4227381239724655,0.42404430785077835
