year,quintil_oecd,regtyp,overyn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1986,1st Quintile,Urban regions,Yes,0.26204,130,602,0.22688,0.29720
1986,1st Quintile,Urban regions,No,0.73796,472,602,0.70280,0.77312
1986,1st Quintile,Rural regions,Yes,0.19901,36,164,0.13772,0.26030
1986,1st Quintile,Rural regions,No,0.80099,128,164,0.73970,0.86228
1986,2nd Quintile,Urban regions,Yes,0.30459,216,808,0.27283,0.33634
1986,2nd Quintile,Urban regions,No,0.69541,592,808,0.66366,0.72717
1986,2nd Quintile,Rural regions,Yes,0.28340,69,259,0.22841,0.33839
1986,2nd Quintile,Rural regions,No,0.71660,190,259,0.66161,0.77159
1986,3rd Quintile,Urban regions,Yes,0.31173,293,1026,0.28337,0.34008
1986,3rd Quintile,Urban regions,No,0.68827,733,1026,0.65992,0.71663
1986,3rd Quintile,Rural regions,Yes,0.33131,91,266,0.27464,0.38798
1986,3rd Quintile,Rural regions,No,0.66869,175,266,0.61202,0.72536
1986,4th Quintile,Urban regions,Yes,0.37539,401,1223,0.34824,0.40254
1986,4th Quintile,Urban regions,No,0.62461,822,1223,0.59746,0.65176
1986,4th Quintile,Rural regions,Yes,0.36591,98,286,0.30998,0.42183
1986,4th Quintile,Rural regions,No,0.63409,188,286,0.57817,0.69002
1986,5th Quintile,Urban regions,Yes,0.36445,425,1213,0.33736,0.39155
1986,5th Quintile,Urban regions,No,0.63555,788,1213,0.60845,0.66264
1986,5th Quintile,Rural regions,Yes,0.27502,87,303,0.22465,0.32538
1986,5th Quintile,Rural regions,No,0.72498,216,303,0.67462,0.77535
1988,1st Quintile,Urban regions,Yes,0.27678,147,580,0.24034,0.31323
1988,1st Quintile,Urban regions,No,0.72322,433,580,0.68677,0.75966
1988,1st Quintile,Rural regions,Yes,0.25169,40,155,0.18314,0.32023
1988,1st Quintile,Rural regions,No,0.74831,115,155,0.67977,0.81686
1988,2nd Quintile,Urban regions,Yes,0.33033,261,824,0.29820,0.36247
1988,2nd Quintile,Urban regions,No,0.66967,563,824,0.63753,0.70180
1988,2nd Quintile,Rural regions,Yes,0.28970,61,215,0.22892,0.35048
1988,2nd Quintile,Rural regions,No,0.71030,154,215,0.64952,0.77108
1988,3rd Quintile,Urban regions,Yes,0.32608,289,962,0.29644,0.35572
1988,3rd Quintile,Urban regions,No,0.67392,673,962,0.64428,0.70356
1988,3rd Quintile,Rural regions,Yes,0.24301,72,262,0.19098,0.29505
1988,3rd Quintile,Rural regions,No,0.75699,190,262,0.70495,0.80902
1988,4th Quintile,Urban regions,Yes,0.35443,325,1082,0.32591,0.38294
1988,4th Quintile,Urban regions,No,0.64557,757,1082,0.61706,0.67409
1988,4th Quintile,Rural regions,Yes,0.35709,108,318,0.30434,0.40983
1988,4th Quintile,Rural regions,No,0.64291,210,318,0.59017,0.69566
1988,5th Quintile,Urban regions,Yes,0.39578,449,1196,0.36806,0.42351
1988,5th Quintile,Urban regions,No,0.60422,747,1196,0.57649,0.63194
1988,5th Quintile,Rural regions,Yes,0.32709,81,248,0.26858,0.38560
1988,5th Quintile,Rural regions,No,0.67291,167,248,0.61440,0.73142
1989,1st Quintile,Urban regions,Yes,0.27761,155,605,0.24189,0.31332
1989,1st Quintile,Urban regions,No,0.72239,450,605,0.68668,0.75811
1989,1st Quintile,Rural regions,Yes,0.23880,34,138,0.16740,0.31019
1989,1st Quintile,Rural regions,No,0.76120,104,138,0.68981,0.83260
1989,2nd Quintile,Urban regions,Yes,0.30183,232,829,0.27057,0.33310
1989,2nd Quintile,Urban regions,No,0.69817,597,829,0.66690,0.72943
1989,2nd Quintile,Rural regions,Yes,0.30992,72,228,0.24976,0.37009
1989,2nd Quintile,Rural regions,No,0.69008,156,228,0.62991,0.75024
1989,3rd Quintile,Urban regions,Yes,0.36818,326,929,0.33715,0.39922
1989,3rd Quintile,Urban regions,No,0.63182,603,929,0.60078,0.66285
1989,3rd Quintile,Rural regions,Yes,0.35445,87,254,0.29550,0.41339
1989,3rd Quintile,Rural regions,No,0.64555,167,254,0.58661,0.70450
1989,4th Quintile,Urban regions,Yes,0.38970,386,1100,0.36087,0.41854
1989,4th Quintile,Urban regions,No,0.61030,714,1100,0.58146,0.63913
1989,4th Quintile,Rural regions,Yes,0.40640,106,281,0.34887,0.46393
1989,4th Quintile,Rural regions,No,0.59360,175,281,0.53607,0.65113
1989,5th Quintile,Urban regions,Yes,0.40996,432,1130,0.38127,0.43865
1989,5th Quintile,Urban regions,No,0.59004,698,1130,0.56135,0.61873
1989,5th Quintile,Rural regions,Yes,0.31801,78,253,0.26051,0.37551
1989,5th Quintile,Rural regions,No,0.68199,175,253,0.62449,0.73949
1990,1st Quintile,Urban regions,Yes,0.25490,141,580,0.21940,0.29039
1990,1st Quintile,Urban regions,No,0.74510,439,580,0.70961,0.78060
1990,1st Quintile,Rural regions,Yes,0.33188,56,170,0.26089,0.40288
1990,1st Quintile,Rural regions,No,0.66812,114,170,0.59712,0.73911
1990,2nd Quintile,Urban regions,Yes,0.35213,254,789,0.31878,0.38548
1990,2nd Quintile,Urban regions,No,0.64787,535,789,0.61452,0.68122
1990,2nd Quintile,Rural regions,Yes,0.33205,69,224,0.27023,0.39386
1990,2nd Quintile,Rural regions,No,0.66795,155,224,0.60614,0.72977
1990,3rd Quintile,Urban regions,Yes,0.36755,339,974,0.33725,0.39784
1990,3rd Quintile,Urban regions,No,0.63245,635,974,0.60216,0.66275
1990,3rd Quintile,Rural regions,Yes,0.32051,60,204,0.25631,0.38471
1990,3rd Quintile,Rural regions,No,0.67949,144,204,0.61529,0.74369
1990,4th Quintile,Urban regions,Yes,0.40067,366,1026,0.37067,0.43067
1990,4th Quintile,Urban regions,No,0.59933,660,1026,0.56933,0.62933
1990,4th Quintile,Rural regions,Yes,0.33501,102,336,0.28447,0.38555
1990,4th Quintile,Rural regions,No,0.66499,234,336,0.61445,0.71553
1990,5th Quintile,Urban regions,Yes,0.43709,465,1105,0.40783,0.46635
1990,5th Quintile,Urban regions,No,0.56291,640,1105,0.53365,0.59217
1990,5th Quintile,Rural regions,Yes,0.43073,99,242,0.36821,0.49325
1990,5th Quintile,Rural regions,No,0.56927,143,242,0.50675,0.63179
1991,1st Quintile,Urban regions,Yes,0.27793,149,578,0.24137,0.31448
1991,1st Quintile,Urban regions,No,0.72207,429,578,0.68552,0.75863
1991,1st Quintile,Rural regions,Yes,0.29931,45,168,0.22985,0.36877
1991,1st Quintile,Rural regions,No,0.70069,123,168,0.63123,0.77015
1991,2nd Quintile,Urban regions,Yes,0.36675,269,814,0.33362,0.39988
1991,2nd Quintile,Urban regions,No,0.63325,545,814,0.60012,0.66638
1991,2nd Quintile,Rural regions,Yes,0.34936,86,238,0.28866,0.41006
1991,2nd Quintile,Rural regions,No,0.65064,152,238,0.58994,0.71134
1991,3rd Quintile,Urban regions,Yes,0.38940,343,946,0.35831,0.42049
1991,3rd Quintile,Urban regions,No,0.61060,603,946,0.57951,0.64169
1991,3rd Quintile,Rural regions,Yes,0.35865,81,227,0.29612,0.42118
1991,3rd Quintile,Rural regions,No,0.64135,146,227,0.57882,0.70388
1991,4th Quintile,Urban regions,Yes,0.40724,366,1031,0.37724,0.43725
1991,4th Quintile,Urban regions,No,0.59276,665,1031,0.56275,0.62276
