year,age_gr,overyn,proportion,n,proportion_lower_confidence,proportion_upper_confidence
1986,17-29 y.,No,0.704135737009544,13742,0.6965043136365056,0.7117671603825825
1986,17-29 y.,Yes,0.295864262990456,13742,0.28823283961741747,0.3034956863634945
1986,30-45 y.,No,0.6768837803320562,13742,0.669064486512499,0.6847030741516135
1986,30-45 y.,Yes,0.3231162196679438,13742,0.3152969258483865,0.3309355134875011
1986,46-65 y.,No,0.7191308956014838,13742,0.7116166210717332,0.7266451701312344
1986,46-65 y.,Yes,0.28086910439851615,13742,0.27335482986876547,0.2883833789282668
1986,66 and older,No,1.0,13742,1.0,1.0
1988,17-29 y.,No,0.6782511210762332,12817,0.6701635770004686,0.6863386651519978
1988,17-29 y.,Yes,0.3217488789237668,12817,0.3136613348480022,0.3298364229995314
1988,30-45 y.,No,0.6668194317140238,12817,0.658659118375757,0.6749797450522906
1988,30-45 y.,Yes,0.33318056828597614,12817,0.3250202549477093,0.341340881624243
1988,46-65 y.,No,0.7129679869777537,12817,0.7051361603926588,0.7207998135628485
1988,46-65 y.,Yes,0.28703201302224635,12817,0.2792001864371515,0.2948638396073412
1988,66 and older,No,0.9117647058823529,12817,0.9068542090363443,0.9166752027283616
1988,66 and older,Yes,0.08823529411764706,12817,0.08332479727163847,0.09314579096365566
1989,17-29 y.,No,0.6585230427540255,12393,0.6501740509236316,0.6668720345844195
1989,17-29 y.,Yes,0.34147695724597443,12393,0.3331279654155805,0.3498259490763684
1989,30-45 y.,No,0.6443202979515829,12393,0.6358918367141887,0.652748759188977
1989,30-45 y.,Yes,0.35567970204841715,12393,0.347251240811023,0.3641081632858113
1989,46-65 y.,No,0.7008498583569405,12393,0.692788189632394,0.708911527081487
1989,46-65 y.,Yes,0.2991501416430595,12393,0.2910884729185129,0.30721181036760603
1989,66 and older,No,0.9696969696969697,12393,0.9666789025644955,0.9727150368294439
1989,66 and older,Yes,0.030303030303030304,12393,0.027284963170556075,0.033321097435504536
1990,17-29 y.,No,0.6720492118415994,18165,0.6652220020592372,0.6788764216239616
1990,17-29 y.,Yes,0.3279507881584006,18165,0.32112357837603844,0.3347779979407628
1990,30-45 y.,No,0.6375069871436557,18165,0.6305161261820857,0.6444978481052257
1990,30-45 y.,Yes,0.36249301285634433,18165,0.3555021518947744,0.36948387381791425
1990,46-65 y.,No,0.6849117752970831,18165,0.678156053244177,0.6916674973499892
1990,46-65 y.,Yes,0.3150882247029168,18165,0.30833250265001066,0.32184394675582295
1990,66 and older,No,0.9361702127659575,18165,0.9326153120335922,0.9397251134983228
1990,66 and older,Yes,0.06382978723404255,18165,0.06027488650167729,0.0673846879664078
1991,17-29 y.,No,0.6555238483489605,17756,0.6485341677336965,0.6625135289642244
1991,17-29 y.,Yes,0.34447615165103956,17756,0.3374864710357756,0.3514658322663035
1991,30-45 y.,No,0.6335704125177809,17756,0.6264831876285681,0.6406576374069937
1991,30-45 y.,Yes,0.36642958748221904,17756,0.35934236259300634,0.37351681237143175
1991,46-65 y.,No,0.7003154574132492,17756,0.6935769683034674,0.707053946523031
1991,46-65 y.,Yes,0.2996845425867508,17756,0.29294605347696895,0.3064230316965327
1991,66 and older,No,0.972972972972973,17756,0.9705877277788137,0.9753582181671323
1991,66 and older,Yes,0.02702702702702703,17756,0.024641781832867745,0.029412272221186312
1992,17-29 y.,No,0.6143790849673203,17350,0.6071363126400642,0.6216218572945764
1992,17-29 y.,Yes,0.38562091503267976,17350,0.37837814270542364,0.3928636873599359
1992,30-45 y.,No,0.6032786885245902,17350,0.5959990789236039,0.6105582981255765
1992,30-45 y.,Yes,0.39672131147540984,17350,0.38944170187442356,0.4040009210763961
1992,46-65 y.,No,0.6758739749676306,17350,0.6689093754991221,0.682838574436139
1992,46-65 y.,Yes,0.3241260250323694,17350,0.317161425563861,0.33109062450087784
1992,66 and older,No,1.0,17350,1.0,1.0
1993,17-29 y.,No,0.6265822784810127,16993,0.6193093794420739,0.6338551775199515
1993,17-29 y.,Yes,0.37341772151898733,16993,0.36614482248004854,0.38069062055792613
1993,30-45 y.,No,0.6184726833685481,16993,0.6111689632426945,0.6257764034944017
1993,30-45 y.,Yes,0.38152731663145184,16993,0.37422359650559833,0.38883103675730535
1993,46-65 y.,No,0.6713444997736533,16993,0.6642819062369576,0.678407093310349
1993,46-65 y.,Yes,0.32865550022634676,16993,0.32159290668965107,0.33571809376304246
1993,66 and older,No,1.0,16993,1.0,1.0
1994,17-29 y.,No,0.6023334953816237,16642,0.5948976333025427,0.6097693574607047
1994,17-29 y.,Yes,0.39766650461837627,16642,0.39023064253929524,0.4051023666974573
1994,30-45 y.,No,0.591640866873065,16642,0.5841728802476661,0.599108853498464
1994,30-45 y.,Yes,0.408359133126935,16642,0.40089114650153607,0.41582711975233394
1994,46-65 y.,No,0.655076495132128,16642,0.6478544413857407,0.6622985488785152
1994,46-65 y.,Yes,0.34492350486787204,16642,0.33770145112148475,0.35214555861425934
1994,66 and older,No,1.0,16642,1.0,1.0
1995,17-29 y.,No,0.5792296440760605,17246,0.5718614706685374,0.5865978174835835
1995,17-29 y.,Yes,0.4207703559239395,17246,0.41340218251641647,0.42813852933146257
1995,30-45 y.,No,0.5567786790266512,17246,0.5493644926252647,0.5641928654280378
1995,30-45 y.,Yes,0.44322132097334876,17246,0.4358071345719622,0.45063550737473534
1995,46-65 y.,No,0.6461883408071749,17246,0.6390519683327979,0.653324713281552
1995,46-65 y.,Yes,0.3538116591928251,17246,0.34667528671844805,0.36094803166720213
1995,66 and older,No,1.0,17246,1.0,1.0
