year,bula_h,pgisced97,overyn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1986,Schleswig-Holstein,Upper Secondary Level,Yes,0.23606,42,119,0.15944,0.31268
1986,Schleswig-Holstein,Upper Secondary Level,No,0.39946,77,119,0.31109,0.48783
1986,Hamburg,Upper Secondary Level,No,0.30854,45,45,0.17206,0.44502
1986,Lower Saxony,Lower Secondary Level,Yes,0.09502,32,120,0.04233,0.14770
1986,Lower Saxony,Lower Secondary Level,No,0.22375,88,120,0.14887,0.29863
1986,Lower Saxony,Upper Secondary Level,Yes,0.18778,107,326,0.14532,0.23024
1986,Lower Saxony,Upper Secondary Level,No,0.38470,219,326,0.33180,0.43759
1986,Lower Saxony,Second Stage of Tertiary Education,No,0.37336,35,35,0.21077,0.53595
1986,North Rhine-Westphalia,Primary Level,No,0.34051,106,106,0.24987,0.43115
1986,North Rhine-Westphalia,Lower Secondary Level,Yes,0.06164,57,327,0.03553,0.08774
1986,North Rhine-Westphalia,Lower Secondary Level,No,0.30322,270,327,0.25332,0.35311
1986,North Rhine-Westphalia,Upper Secondary Level,Yes,0.16623,240,775,0.14001,0.19246
1986,North Rhine-Westphalia,Upper Secondary Level,No,0.35678,535,775,0.32303,0.39053
1986,North Rhine-Westphalia,Post-secondary Non-tertiary Level,No,0.40024,37,37,0.24019,0.56029
1986,North Rhine-Westphalia,First Stage of Tertiary Education,Yes,0.19898,32,95,0.11827,0.27969
1986,North Rhine-Westphalia,First Stage of Tertiary Education,No,0.40931,63,95,0.30991,0.50872
1986,North Rhine-Westphalia,Second Stage of Tertiary Education,Yes,0.27664,56,165,0.20818,0.34511
1986,North Rhine-Westphalia,Second Stage of Tertiary Education,No,0.46556,109,165,0.38922,0.54191
1986,Hesse,Primary Level,No,0.40090,37,37,0.24081,0.56099
1986,Hesse,Lower Secondary Level,No,0.29589,115,115,0.21210,0.37967
1986,Hesse,Upper Secondary Level,Yes,0.20068,95,299,0.15520,0.24615
1986,Hesse,Upper Secondary Level,No,0.37238,204,299,0.31749,0.42726
1986,Hesse,Second Stage of Tertiary Education,Yes,0.36102,34,34,0.19714,0.52489
1986,"Rhineland-Palatinate, Saarland",Lower Secondary Level,No,0.25757,81,81,0.16174,0.35339
1986,"Rhineland-Palatinate, Saarland",Upper Secondary Level,Yes,0.17922,70,227,0.12922,0.22923
1986,"Rhineland-Palatinate, Saarland",Upper Secondary Level,No,0.40058,157,227,0.33670,0.46447
1986,Baden-Wuerttemberg,Primary Level,No,0.44963,105,105,0.35403,0.54524
1986,Baden-Wuerttemberg,Lower Secondary Level,Yes,0.11334,89,345,0.07984,0.14684
1986,Baden-Wuerttemberg,Lower Secondary Level,No,0.35272,256,345,0.30222,0.40321
1986,Baden-Wuerttemberg,Upper Secondary Level,Yes,0.22544,191,589,0.19167,0.25922
1986,Baden-Wuerttemberg,Upper Secondary Level,No,0.40143,398,589,0.36181,0.44105
1986,Baden-Wuerttemberg,First Stage of Tertiary Education,Yes,0.28940,33,69,0.18162,0.39719
1986,Baden-Wuerttemberg,First Stage of Tertiary Education,No,0.32985,36,69,0.21810,0.44160
1986,Baden-Wuerttemberg,Second Stage of Tertiary Education,Yes,0.41508,48,91,0.31328,0.51688
1986,Baden-Wuerttemberg,Second Stage of Tertiary Education,No,0.36384,43,91,0.26445,0.46324
