year,bula_h,sex,overyn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1986,Schleswig-Holstein,male,Yes,0.22100,40,117,0.14550,0.29651
1986,Schleswig-Holstein,male,No,0.37145,77,117,0.28352,0.45939
1986,Schleswig-Holstein,female,No,0.21689,47,47,0.09779,0.33599
1986,Hamburg,male,Yes,0.23695,31,86,0.14655,0.32735
1986,Hamburg,male,No,0.33021,55,86,0.23023,0.43019
1986,Hamburg,female,No,0.21040,39,39,0.08080,0.33999
1986,Lower Saxony,male,Yes,0.22136,145,361,0.17847,0.26425
1986,Lower Saxony,male,No,0.31260,216,361,0.26472,0.36049
1986,Lower Saxony,female,Yes,0.08444,55,236,0.04889,0.11998
1986,Lower Saxony,female,No,0.23350,181,236,0.17941,0.28759
1986,North Rhine-Westphalia,male,Yes,0.19482,336,1021,0.17051,0.21913
1986,North Rhine-Westphalia,male,No,0.35062,685,1021,0.32134,0.37991
1986,North Rhine-Westphalia,female,Yes,0.06076,98,550,0.04078,0.08075
1986,North Rhine-Westphalia,female,No,0.23111,452,550,0.19585,0.26638
1986,Hesse,male,Yes,0.23554,143,370,0.19225,0.27884
1986,Hesse,male,No,0.30068,227,370,0.25390,0.34747
1986,Hesse,female,Yes,0.09405,52,248,0.05765,0.13046
1986,Hesse,female,No,0.26809,196,248,0.21284,0.32333
1986,"Rhineland-Palatinate, Saarland",male,Yes,0.18476,92,262,0.13768,0.23185
1986,"Rhineland-Palatinate, Saarland",male,No,0.35511,170,262,0.29705,0.41317
1986,"Rhineland-Palatinate, Saarland",female,No,0.24733,128,128,0.17229,0.32237
1986,Baden-Wuerttemberg,male,Yes,0.23440,291,774,0.20454,0.26427
1986,Baden-Wuerttemberg,male,No,0.34021,483,774,0.30681,0.37361
1986,Baden-Wuerttemberg,female,Yes,0.10380,103,498,0.07699,0.13062
1986,Baden-Wuerttemberg,female,No,0.28052,395,498,0.24103,0.32002
1986,Bavaria,male,Yes,0.20231,213,618,0.17061,0.23401
1986,Bavaria,male,No,0.35236,405,618,0.31467,0.39006
1986,Bavaria,female,Yes,0.08988,106,459,0.06368,0.11607
1986,Bavaria,female,No,0.27688,353,459,0.23590,0.31786
1986,Berlin,male,Yes,0.22710,42,133,0.15563,0.29858
1986,Berlin,male,No,0.39777,91,133,0.31427,0.48126
1986,Berlin,female,No,0.26311,69,69,0.15845,0.36777
1988,Schleswig-Holstein,male,Yes,0.20859,40,114,0.13367,0.28350
1988,Schleswig-Holstein,male,No,0.33352,74,114,0.24659,0.42045
1988,Schleswig-Holstein,female,No,0.18146,44,44,0.06626,0.29665
1988,Hamburg,male,Yes,0.38907,34,70,0.27404,0.50411
1988,Hamburg,male,No,0.24177,36,70,0.14074,0.34280
1988,Lower Saxony,male,Yes,0.21699,136,355,0.17405,0.25993
1988,Lower Saxony,male,No,0.33965,219,355,0.29032,0.38899
1988,Lower Saxony,female,Yes,0.07601,52,232,0.04183,0.11019
1988,Lower Saxony,female,No,0.25763,180,232,0.20123,0.31403
1988,North Rhine-Westphalia,male,Yes,0.20572,331,935,0.17979,0.23164
1988,North Rhine-Westphalia,male,No,0.33442,604,935,0.30417,0.36468
1988,North Rhine-Westphalia,female,Yes,0.08994,142,562,0.06627,0.11362
1988,North Rhine-Westphalia,female,No,0.23647,420,562,0.20131,0.27163
