year,sampreg,sex,overyn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1986,West,male,Yes,0.21037,1340,3769,0.19735,0.22338
1986,West,male,No,0.34257,2429,3769,0.32742,0.35773
1986,West,female,Yes,0.08428,507,2382,0.07312,0.09544
1986,West,female,No,0.25132,1875,2382,0.23390,0.26875
1988,West,male,Yes,0.21275,1273,3551,0.19929,0.22621
1988,West,male,No,0.34147,2278,3551,0.32587,0.35707
1988,West,female,Yes,0.09506,560,2292,0.08305,0.10707
1988,West,female,No,0.25305,1732,2292,0.23525,0.27085
1989,West,male,Yes,0.22862,1301,3462,0.21463,0.24261
1989,West,male,No,0.33095,2161,3462,0.31527,0.34662
1989,West,female,Yes,0.10343,607,2285,0.09095,0.11592
1989,West,female,No,0.25304,1678,2285,0.23521,0.27087
1990,West,male,Yes,0.24181,1354,3373,0.22736,0.25626
1990,West,male,No,0.32208,2019,3373,0.30631,0.33785
1990,West,female,Yes,0.11027,597,2277,0.09741,0.12314
1990,West,female,No,0.25721,1680,2277,0.23926,0.27517
1990,East,male,Yes,0.20825,616,1757,0.18926,0.22724
1990,East,male,No,0.39855,1141,1757,0.37565,0.42145
1990,East,female,Yes,0.13755,461,1596,0.12064,0.15445
1990,East,female,No,0.35131,1135,1596,0.32788,0.37474
1991,West,male,Yes,0.25149,1423,3401,0.23691,0.26608
1991,West,male,No,0.31115,1978,3401,0.29559,0.32671
1991,West,female,Yes,0.12077,662,2361,0.10762,0.13391
1991,West,female,No,0.25416,1699,2361,0.23659,0.27173
1991,East,male,Yes,0.17420,478,1497,0.15498,0.19342
1991,East,male,No,0.38749,1019,1497,0.36280,0.41217
1991,East,female,Yes,0.10173,331,1282,0.08517,0.11828
1991,East,female,No,0.32282,951,1282,0.29721,0.34842
1992,West,male,Yes,0.24177,1327,3311,0.22718,0.25635
1992,West,male,No,0.31190,1984,3311,0.29612,0.32769
1992,West,female,Yes,0.12175,686,2292,0.10836,0.13514
1992,West,female,No,0.24420,1606,2292,0.22661,0.26179
1992,East,male,Yes,0.22886,572,1304,0.20605,0.25167
1992,East,male,No,0.28297,732,1304,0.25852,0.30743
1992,East,female,Yes,0.12904,382,1084,0.10907,0.14900
1992,East,female,No,0.23886,702,1084,0.21347,0.26426
1993,West,male,Yes,0.21943,1223,3239,0.20518,0.23369
1993,West,male,No,0.32794,2016,3239,0.31177,0.34411
1993,West,female,Yes,0.10951,628,2299,0.09674,0.12228
1993,West,female,No,0.26132,1671,2299,0.24336,0.27928
1993,East,male,Yes,0.22671,557,1206,0.20307,0.25035
1993,East,male,No,0.25991,649,1206,0.23515,0.28468
1993,East,female,Yes,0.14064,408,1016,0.11925,0.16202
1993,East,female,No,0.21574,608,1016,0.19043,0.24104
1994,West,male,Yes,0.22188,1222,3073,0.20718,0.23657
1994,West,male,No,0.31124,1851,3073,0.29487,0.32761
1994,West,female,Yes,0.11510,645,2205,0.10177,0.12842
1994,West,female,No,0.24221,1560,2205,0.22432,0.26009
1994,East,male,Yes,0.24653,593,1192,0.22206,0.27101
1994,East,male,No,0.24668,599,1192,0.22220,0.27116
1994,East,female,Yes,0.14580,421,999,0.12390,0.16769
1994,East,female,No,0.20722,578,999,0.18207,0.23237
1995,West,male,Yes,0.23825,1419,3245,0.22359,0.25291
1995,West,male,No,0.28810,1826,3245,0.27252,0.30369
1995,West,female,Yes,0.12631,757,2328,0.11281,0.13980
1995,West,female,No,0.22672,1571,2328,0.20971,0.24374
1995,East,male,Yes,0.24977,589,1186,0.22513,0.27442
1995,East,male,No,0.26188,597,1186,0.23685,0.28692
1995,East,female,Yes,0.14727,417,1005,0.12535,0.16919
1995,East,female,No,0.21563,588,1005,0.19019,0.24106
1996,West,male,Yes,0.23839,1383,3155,0.22352,0.25326
1996,West,male,No,0.28504,1772,3155,0.26928,0.30079
1996,West,female,Yes,0.12769,776,2290,0.11402,0.14136
1996,West,female,No,0.22719,1514,2290,0.21002,0.24435
1996,East,male,Yes,0.23756,563,1136,0.21280,0.26231
1996,East,male,No,0.24809,573,1136,0.22296,0.27322
1996,East,female,Yes,0.14375,395,984,0.12182,0.16569
1996,East,female,No,0.21639,589,984,0.19065,0.24213
1997,West,male,Yes,0.24522,1370,1953,0.22613,0.26431
1997,West,male,No,0.09167,583,1953,0.07887,0.10447
1997,West,female,Yes,0.13304,789,1190,0.11373,0.15234
1997,West,female,No,0.06414,401,1190,0.05021,0.07807
1997,East,male,Yes,0.23111,544,797,0.20182,0.26039
1997,East,male,No,0.11449,253,797,0.09237,0.13661
1997,East,female,Yes,0.16393,424,612,0.13458,0.19329
1997,East,female,No,0.06851,188,612,0.04848,0.08854
1998,West,male,Yes,0.24547,1574,2153,0.22729,0.26365
1998,West,male,No,0.08530,579,2153,0.07350,0.09710
1998,West,female,Yes,0.13002,891,1322,0.11188,0.14815
1998,West,female,No,0.06199,431,1322,0.04899,0.07499
1998,East,male,Yes,0.23471,576,859,0.20635,0.26307
1998,East,male,No,0.11671,283,859,0.09522,0.13819
1998,East,female,Yes,0.16465,460,668,0.13651,0.19280
1998,East,female,No,0.07403,208,668,0.05416,0.09390
1999,West,male,Yes,0.24370,1545,2086,0.22527,0.26212
1999,West,male,No,0.08414,541,2086,0.07222,0.09605
1999,West,female,Yes,0.14109,917,1318,0.12229,0.15989
1999,West,female,No,0.06043,401,1318,0.04756,0.07329
1999,East,male,Yes,0.23679,582,849,0.20818,0.26540
1999,East,male,No,0.11997,267,849,0.09810,0.14183
1999,East,female,Yes,0.16384,449,647,0.13529,0.19238
1999,East,female,No,0.07232,198,647,0.05234,0.09229
2000,West,male,Yes,0.23892,2687,3744,0.22526,0.25259
2000,West,male,No,0.09859,1057,3744,0.08904,0.10814
2000,West,female,Yes,0.13085,1543,2317,0.11712,0.14459
2000,West,female,No,0.06710,774,2317,0.05691,0.07729
2000,East,male,Yes,0.21330,789,1160,0.18971,0.23688
2000,East,male,No,0.10932,371,1160,0.09135,0.12728
2000,East,female,Yes,0.14512,599,908,0.12220,0.16805
2000,East,female,No,0.07506,309,908,0.05792,0.09221
2001,West,male,Yes,0.23966,2440,2440,0.22272,0.25660
2001,West,female,Yes,0.14064,1507,1507,0.12308,0.15820
2001,East,male,Yes,0.21900,728,728,0.18894,0.24906
2001,East,female,Yes,0.16847,616,616,0.13889,0.19805
2002,West,male,Yes,0.22458,2570,3538,0.21083,0.23834
2002,West,male,No,0.09260,968,3538,0.08305,0.10215
2002,West,female,Yes,0.13740,1702,2430,0.12371,0.15109
2002,West,female,No,0.06253,728,2430,0.05291,0.07216
2002,East,male,Yes,0.20065,711,1062,0.17655,0.22475
2002,East,male,No,0.10616,351,1062,0.08763,0.12470
2002,East,female,Yes,0.15317,613,899,0.12962,0.17673
2002,East,female,No,0.07918,286,899,0.06152,0.09684
2003,West,male,Yes,0.22711,2401,3280,0.21277,0.24145
2003,West,male,No,0.08679,879,3280,0.07715,0.09643
2003,West,female,Yes,0.14010,1624,2418,0.12626,0.15394
2003,West,female,No,0.06846,794,2418,0.05839,0.07853
2003,East,male,Yes,0.19788,683,980,0.17292,0.22283
2003,East,male,No,0.09645,297,980,0.07796,0.11495
2003,East,female,Yes,0.15858,591,878,0.13441,0.18276
2003,East,female,No,0.07800,287,878,0.06025,0.09574
2004,West,male,Yes,0.22793,2353,3179,0.21335,0.24252
2004,West,male,No,0.08511,826,3179,0.07541,0.09481
2004,West,female,Yes,0.13854,1564,2295,0.12441,0.15268
2004,West,female,No,0.06722,731,2295,0.05697,0.07747
2004,East,male,Yes,0.19628,650,940,0.17087,0.22168
2004,East,male,No,0.09019,290,940,0.07187,0.10852
2004,East,female,Yes,0.15547,601,866,0.13133,0.17962
2004,East,female,No,0.07438,265,866,0.05689,0.09186
2005,West,male,Yes,0.22708,2178,2895,0.21182,0.24235
2005,West,male,No,0.08207,717,2895,0.07207,0.09207
2005,West,female,Yes,0.14183,1470,2165,0.12713,0.15653
2005,West,female,No,0.06959,695,2165,0.05887,0.08031
2005,East,male,Yes,0.19347,603,898,0.16762,0.21932
2005,East,male,No,0.10059,295,898,0.08090,0.12027
2005,East,female,Yes,0.15478,546,789,0.12952,0.18003
2005,East,female,No,0.07192,243,789,0.05388,0.08996
2006,West,male,Yes,0.24033,2394,3126,0.22534,0.25531
2006,West,male,No,0.08157,732,3126,0.07197,0.09116
2006,West,female,Yes,0.15865,1764,2509,0.14435,0.17294
2006,West,female,No,0.06762,745,2509,0.05779,0.07745
2006,East,male,Yes,0.20283,652,925,0.17691,0.22876
2006,East,male,No,0.09919,273,925,0.07992,0.11846
2006,East,female,Yes,0.16891,631,890,0.14428,0.19354
2006,East,female,No,0.06912,259,890,0.05245,0.08580
2007,West,male,Yes,0.25456,2286,2913,0.23874,0.27039
2007,West,male,No,0.06951,627,2913,0.06027,0.07875
2007,West,female,Yes,0.15828,1618,2251,0.14320,0.17336
2007,West,female,No,0.06317,633,2251,0.05312,0.07322
2007,East,male,Yes,0.20350,642,910,0.17733,0.22968
2007,East,male,No,0.10141,268,910,0.08178,0.12103
2007,East,female,Yes,0.18421,602,869,0.15842,0.20999
2007,East,female,No,0.07644,267,869,0.05876,0.09411
2008,West,male,Yes,0.25828,2130,2797,0.24205,0.27450
2008,West,male,No,0.08221,667,2797,0.07203,0.09239
2008,West,female,Yes,0.17056,1620,2290,0.15515,0.18597
2008,West,female,No,0.07143,670,2290,0.06088,0.08198
2008,East,male,Yes,0.21903,620,888,0.19181,0.24625
2008,East,male,No,0.11068,268,888,0.09003,0.13132
2008,East,female,Yes,0.18973,595,849,0.16334,0.21612
2008,East,female,No,0.08473,254,849,0.06599,0.10347
2009,West,male,Yes,0.24191,1776,2437,0.22491,0.25892
2009,West,male,No,0.08635,661,2437,0.07519,0.09750
2009,West,female,Yes,0.16615,1420,2030,0.14996,0.18235
2009,West,female,No,0.07372,610,2030,0.06235,0.08509
2009,East,male,Yes,0.20237,544,798,0.17448,0.23027
2009,East,male,No,0.09871,254,798,0.07800,0.11942
