,Unnamed: 0,year,bula_h,overyn,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1986,Schleswig-Holstein,Yes,0.378,67,6139,0.34589,0.41322
1,1,1986,Schleswig-Holstein,No,0.622,124,6139,0.57447,0.66678
2,2,1986,Hamburg,Yes,0.40578,48,6139,0.3646,0.44173
3,3,1986,Hamburg,No,0.59422,94,6139,0.50379,0.68776
4,4,1986,Lower Saxony,Yes,0.35371,200,6139,0.33356,0.37713
5,5,1986,Lower Saxony,No,0.64629,397,6139,0.61153,0.67678
6,6,1986,Bremen,No,1.0,35,6139,0.8486,1.22291
7,7,1986,North Rhine-Westphalia,Yes,0.3024,434,6139,0.28904,0.31487
8,8,1986,North Rhine-Westphalia,No,0.6976,1137,6139,0.67264,0.72521
9,9,1986,Hesse,Yes,0.36718,195,6139,0.33824,0.39461
10,10,1986,Hesse,No,0.63282,423,6139,0.58512,0.67662
11,11,1986,"Rhineland-Palatinate, Saarland",Yes,0.28805,120,6139,0.26948,0.31024
12,12,1986,"Rhineland-Palatinate, Saarland",No,0.71195,298,6139,0.66974,0.75371
13,13,1986,Baden-Wuerttemberg,Yes,0.34993,394,6139,0.32768,0.37045
14,14,1986,Baden-Wuerttemberg,No,0.65007,878,6139,0.61615,0.68402
15,15,1986,Bavaria,Yes,0.31366,319,6139,0.29935,0.32958
16,16,1986,Bavaria,No,0.68634,758,6139,0.65767,0.71253
17,17,1986,Berlin,Yes,0.31681,58,6139,0.28708,0.3483
18,18,1986,Berlin,No,0.68319,160,6139,0.60599,0.73959
19,19,1988,Schleswig-Holstein,Yes,0.38612,65,5797,0.33942,0.42762
20,20,1988,Schleswig-Holstein,No,0.61388,118,5797,0.55638,0.6769
21,21,1988,Hamburg,Yes,0.56694,52,5797,0.48817,0.62939
22,22,1988,Hamburg,No,0.43306,63,5797,0.35247,0.51586
23,23,1988,Lower Saxony,Yes,0.32458,188,5797,0.30137,0.34688
24,24,1988,Lower Saxony,No,0.67542,399,5797,0.63677,0.70987
25,25,1988,North Rhine-Westphalia,Yes,0.33929,473,5797,0.32322,0.35316
26,26,1988,North Rhine-Westphalia,No,0.66071,1024,5797,0.63342,0.68414
27,27,1988,Hesse,Yes,0.32293,156,5797,0.29296,0.35729
28,28,1988,Hesse,No,0.67707,430,5797,0.61305,0.72327
29,29,1988,"Rhineland-Palatinate, Saarland",Yes,0.32901,123,5797,0.30319,0.357
30,30,1988,"Rhineland-Palatinate, Saarland",No,0.67099,265,5797,0.62477,0.71046
31,31,1988,Baden-Wuerttemberg,Yes,0.35964,392,5797,0.33776,0.38298
32,32,1988,Baden-Wuerttemberg,No,0.64036,803,5797,0.59779,0.67695
33,33,1988,Bavaria,Yes,0.30712,304,5797,0.28885,0.32457
