year,rentown,sampreg,hlc0178,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,Owner,West,Yes,0.02516,152,5137,0.02087,0.02944
2016,Owner,West,No,0.97265,4985,5137,0.96819,0.97711
2016,Owner,East,No,0.97606,1127,1127,0.96713,0.98498
2016,Tenant,West,Yes,0.01476,102,6072,0.01173,0.01779
2016,Tenant,West,No,0.98286,5970,6072,0.97960,0.98613
2016,Tenant,East,No,0.98192,1890,1890,0.97591,0.98793
2017,Owner,West,Yes,0.03239,200,5743,0.02781,0.03697
2017,Owner,West,No,0.96605,5543,5743,0.96137,0.97073
2017,Owner,East,Yes,0.02762,39,1311,0.01874,0.03649
2017,Owner,East,No,0.96984,1272,1311,0.96058,0.97910
2017,Tenant,West,Yes,0.01843,105,6501,0.01516,0.02170
2017,Tenant,West,No,0.97156,6396,6501,0.96751,0.97560
2017,Tenant,East,No,0.98018,2074,2074,0.97418,0.98618
2018,Owner,West,Yes,0.03493,199,5495,0.03007,0.03978
2018,Owner,West,No,0.96381,5296,5495,0.95887,0.96875
2018,Owner,East,Yes,0.01943,31,1252,0.01178,0.02708
2018,Owner,East,No,0.97850,1221,1252,0.97046,0.98654
2018,Tenant,West,Yes,0.01346,92,6512,0.01066,0.01626
2018,Tenant,West,No,0.97058,6420,6512,0.96647,0.97468
2018,Tenant,East,No,0.98041,2148,2148,0.97455,0.98627
2019,Owner,West,Yes,0.03233,240,6302,0.02796,0.03670
2019,Owner,West,No,0.96618,6062,6302,0.96172,0.97064
2019,Owner,East,Yes,0.01654,37,1548,0.01019,0.02290
2019,Owner,East,No,0.98270,1511,1548,0.97620,0.98920
2019,Tenant,West,Yes,0.01487,100,6165,0.01185,0.01790
2019,Tenant,West,No,0.96752,6065,6165,0.96309,0.97195
2019,Tenant,East,Yes,0.01148,31,2040,0.00686,0.01611
2019,Tenant,East,No,0.97735,2009,2040,0.97089,0.98381
2020,Owner,West,Yes,0.03585,222,5585,0.03097,0.04073
2020,Owner,West,No,0.95835,5363,5585,0.95311,0.96359
2020,Owner,East,Yes,0.03654,50,1357,0.02655,0.04652
2020,Owner,East,No,0.95729,1307,1357,0.94652,0.96805
2020,Tenant,West,Yes,0.01640,100,7246,0.01347,0.01932
2020,Tenant,West,No,0.96181,7146,7246,0.95739,0.96622
2020,Tenant,East,No,0.97466,2055,2055,0.96787,0.98146
2021,Owner,West,Yes,0.03399,172,4121,0.02845,0.03952
2021,Owner,West,No,0.96336,3949,4121,0.95763,0.96910
2021,Owner,East,No,0.96824,920,920,0.95690,0.97957
2021,Tenant,West,Yes,0.01703,95,4549,0.01327,0.02079
2021,Tenant,West,No,0.95986,4454,4549,0.95416,0.96556
2021,Tenant,East,No,0.97054,1414,1414,0.96173,0.97936
2022,Owner,West,Yes,0.03875,278,6265,0.03397,0.04353
2022,Owner,West,No,0.95724,5987,6265,0.95223,0.96225
2022,Owner,East,Yes,0.03098,50,1538,0.02232,0.03964
2022,Owner,East,No,0.96212,1488,1538,0.95257,0.97166
2022,Tenant,West,Yes,0.02085,201,8692,0.01785,0.02386
2022,Tenant,West,No,0.95458,8491,8692,0.95020,0.95895
2022,Tenant,East,Yes,0.01134,46,2643,0.00730,0.01538
2022,Tenant,East,No,0.96687,2597,2643,0.96005,0.97370
