year,sampreg,hlc0178,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,West,Yes,0.01968,254,11210,0.01711,0.02225
2016,West,No,0.97277,10956,11210,0.96976,0.97579
2016,East,Yes,0.01612,50,3067,0.01166,0.02057
2016,East,No,0.97444,3017,3067,0.96885,0.98003
2017,West,Yes,0.02514,305,12244,0.02237,0.02792
2017,West,No,0.96719,11939,12244,0.96404,0.97035
2017,East,Yes,0.01735,67,3413,0.01297,0.02173
2017,East,No,0.97534,3346,3413,0.97014,0.98055
2018,West,Yes,0.02389,291,12007,0.02116,0.02662
2018,West,No,0.96729,11716,12007,0.96411,0.97047
2018,East,Yes,0.01271,57,3426,0.00896,0.01646
2018,East,No,0.97971,3369,3426,0.97499,0.98443
2019,West,Yes,0.02332,340,12467,0.02067,0.02597
2019,West,No,0.96687,12127,12467,0.96373,0.97001
2019,East,Yes,0.01339,68,3588,0.00963,0.01716
2019,East,No,0.97937,3520,3588,0.97472,0.98402
2020,West,Yes,0.02581,322,12831,0.02307,0.02855
2020,West,No,0.96013,12509,12831,0.95675,0.96352
2020,East,Yes,0.02115,78,3440,0.01634,0.02596
2020,East,No,0.96814,3362,3440,0.96226,0.97401
2021,West,Yes,0.02524,267,8673,0.02193,0.02854
2021,West,No,0.96143,8406,8673,0.95738,0.96548
2021,East,Yes,0.01863,56,2391,0.01321,0.02405
2021,East,No,0.96968,2335,2391,0.96280,0.97655
2022,West,Yes,0.02950,479,14969,0.02679,0.03221
2022,West,No,0.95589,14490,14969,0.95260,0.95918
2022,East,Yes,0.01867,96,4183,0.01456,0.02277
2022,East,No,0.96511,4087,4183,0.95955,0.97067
