,Unnamed: 0,year,bula_h,hlc0178,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,2016,Schleswig-Holstein,No,1.0,489,14155,0.92426,1.09125
1,1,2016,Hamburg,No,1.0,260,14155,0.88264,1.12498
2,2,2016,Lower Saxony,Yes,0.01694,31,14155,0.01311,0.02216
3,3,2016,Lower Saxony,No,0.98306,1315,14155,0.92263,1.03771
4,4,2016,Bremen,No,1.0,103,14155,0.78199,1.21274
5,5,2016,North Rhine-Westphalia,Yes,0.01483,46,14155,0.01135,0.01926
6,6,2016,North Rhine-Westphalia,No,0.98517,2855,14155,0.94331,1.02578
7,7,2016,Hesse,No,1.0,953,14155,0.93662,1.08282
8,8,2016,"Rhineland-Palatinate, Saarland",No,1.0,832,14155,0.93586,1.05961
9,9,2016,Baden-Wuerttemberg,Yes,0.03386,53,14155,0.02558,0.04309
10,10,2016,Baden-Wuerttemberg,No,0.96614,1571,14155,0.91429,1.00864
11,11,2016,Bavaria,Yes,0.01805,52,14155,0.01349,0.02191
12,12,2016,Bavaria,No,0.98195,2244,14155,0.93549,1.02943
13,13,2016,Berlin,No,1.0,591,14155,0.93341,1.08418
14,14,2016,Brandenburg,No,1.0,554,14155,0.91011,1.09397
15,15,2016,Mecklenburg-Western Pomerania,No,1.0,321,14155,0.88352,1.12356
16,16,2016,Saxony,No,1.0,847,14155,0.92269,1.07236
17,17,2016,Saxony-Anhalt,No,1.0,502,14155,0.90908,1.10611
18,18,2016,Thuringa,No,1.0,536,14155,0.90449,1.10096
19,19,2017,Schleswig-Holstein,No,1.0,553,15513,0.9043,1.0903
20,20,2017,Hamburg,No,1.0,289,15513,0.87079,1.11041
21,21,2017,Lower Saxony,Yes,0.02396,44,15513,0.01574,0.03469
22,22,2017,Lower Saxony,No,0.97604,1493,15513,0.91909,1.02142
23,23,2017,Bremen,No,1.0,124,15513,0.82884,1.18509
24,24,2017,North Rhine-Westphalia,Yes,0.0196,65,15513,0.01511,0.02456
25,25,2017,North Rhine-Westphalia,No,0.9804,3119,15513,0.94449,1.02388
26,26,2017,Hesse,No,1.0,1025,15513,0.94372,1.06191
27,27,2017,"Rhineland-Palatinate, Saarland",No,1.0,864,15513,0.93434,1.06702
28,28,2017,Baden-Wuerttemberg,Yes,0.03566,57,15513,0.02739,0.04655
29,29,2017,Baden-Wuerttemberg,No,0.96434,1668,15513,0.92236,1.01001
30,30,2017,Bavaria,Yes,0.02976,62,15513,0.02213,0.03875
31,31,2017,Bavaria,No,0.97024,2438,15513,0.92573,1.00839
32,32,2017,Berlin,No,1.0,649,15513,0.93577,1.07767
33,33,2017,Brandenburg,No,1.0,606,15513,0.91398,1.07087
34,34,2017,Mecklenburg-Western Pomerania,No,1.0,359,15513,0.90383,1.10978
35,35,2017,Saxony,No,1.0,965,15513,0.94903,1.05922
36,36,2017,Saxony-Anhalt,No,1.0,555,15513,0.92154,1.08991
37,37,2017,Thuringa,No,1.0,578,15513,0.91503,1.09438
38,38,2018,Schleswig-Holstein,No,1.0,537,15336,0.90521,1.08559
39,39,2018,Hamburg,No,1.0,321,15336,0.89412,1.10913
40,40,2018,Lower Saxony,Yes,0.01867,33,15336,0.01274,0.02552
41,41,2018,Lower Saxony,No,0.98133,1445,15336,0.92808,1.03275
42,42,2018,Bremen,No,1.0,134,15336,0.83576,1.18665
43,43,2018,North Rhine-Westphalia,Yes,0.02279,75,15336,0.0174,0.02911
44,44,2018,North Rhine-Westphalia,No,0.97721,3104,15336,0.94086,1.01816
45,45,2018,Hesse,Yes,0.0334,32,15336,0.02213,0.0442
46,46,2018,Hesse,No,0.9666,973,15336,0.89876,1.02687
47,47,2018,"Rhineland-Palatinate, Saarland",No,1.0,869,15336,0.93602,1.07519
48,48,2018,Baden-Wuerttemberg,Yes,0.02628,48,15336,0.01917,0.03574
49,49,2018,Baden-Wuerttemberg,No,0.97372,1576,15336,0.93178,1.0161
50,50,2018,Bavaria,Yes,0.02473,63,15336,0.01907,0.03222
51,51,2018,Bavaria,No,0.97527,2343,15336,0.93674,1.02219
52,52,2018,Berlin,No,1.0,678,15336,0.9295,1.06226
53,53,2018,Brandenburg,No,1.0,633,15336,0.92367,1.08031
54,54,2018,Mecklenburg-Western Pomerania,No,1.0,371,15336,0.8992,1.11794
55,55,2018,Saxony,No,1.0,964,15336,0.93624,1.06304
56,56,2018,Saxony-Anhalt,No,1.0,568,15336,0.92843,1.09799
57,57,2018,Thuringa,No,1.0,569,15336,0.90283,1.10886
58,58,2019,Schleswig-Holstein,No,1.0,573,15957,0.90516,1.10066
59,59,2019,Hamburg,No,1.0,349,15957,0.8666,1.11541
