year,quintil_oecd_hh,rentown,hlc0178,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,1st Quintile,Owner,No,0.97829,389,389,0.96380,0.99279
2016,1st Quintile,Tenant,No,0.98922,2670,2670,0.98531,0.99314
2016,2nd Quintile,Owner,No,0.98121,999,999,0.97279,0.98964
2016,2nd Quintile,Tenant,No,0.98840,1986,1986,0.98369,0.99311
2016,3rd Quintile,Owner,No,0.98195,1313,1313,0.97475,0.98916
2016,3rd Quintile,Tenant,No,0.98008,1379,1379,0.97270,0.98746
2016,4th Quintile,Owner,Yes,0.02646,49,1558,0.01849,0.03443
2016,4th Quintile,Owner,No,0.97002,1509,1558,0.96155,0.97849
2016,4th Quintile,Tenant,No,0.97916,1070,1070,0.97059,0.98772
2016,5th Quintile,Owner,Yes,0.03553,74,1976,0.02737,0.04370
2016,5th Quintile,Owner,No,0.96417,1902,1976,0.95597,0.97237
2016,5th Quintile,Tenant,No,0.96352,752,752,0.95012,0.97693
2017,1st Quintile,Owner,No,0.99302,385,385,0.98469,1.00135
2017,1st Quintile,Tenant,No,0.96446,2790,2790,0.95758,0.97133
2017,2nd Quintile,Owner,No,0.96763,1070,1070,0.95702,0.97824
2017,2nd Quintile,Tenant,No,0.98409,2107,2107,0.97875,0.98944
2017,3rd Quintile,Owner,Yes,0.04223,54,1530,0.03215,0.05231
2017,3rd Quintile,Owner,No,0.95692,1476,1530,0.94675,0.96710
2017,3rd Quintile,Tenant,No,0.98163,1527,1527,0.97489,0.98837
2017,4th Quintile,Owner,Yes,0.02670,62,1795,0.01924,0.03416
2017,4th Quintile,Owner,No,0.97145,1733,1795,0.96375,0.97916
2017,4th Quintile,Tenant,Yes,0.02932,31,1248,0.01996,0.03869
2017,4th Quintile,Tenant,No,0.97051,1217,1248,0.96112,0.97990
2017,5th Quintile,Owner,Yes,0.03537,91,2242,0.02772,0.04301
2017,5th Quintile,Owner,No,0.96418,2151,2242,0.95649,0.97188
2017,5th Quintile,Tenant,No,0.96922,825,825,0.95742,0.98101
2018,1st Quintile,Owner,No,0.97189,366,366,0.95493,0.98885
2018,1st Quintile,Tenant,No,0.95595,2904,2904,0.94848,0.96341
2018,2nd Quintile,Owner,Yes,0.02875,32,1083,0.01880,0.03871
2018,2nd Quintile,Owner,No,0.96560,1051,1083,0.95474,0.97646
2018,2nd Quintile,Tenant,No,0.98969,2191,2191,0.98545,0.99392
2018,3rd Quintile,Owner,Yes,0.02664,39,1403,0.01821,0.03507
2018,3rd Quintile,Owner,No,0.97327,1364,1403,0.96482,0.98171
2018,3rd Quintile,Tenant,No,0.98119,1511,1511,0.97433,0.98804
2018,4th Quintile,Owner,Yes,0.03115,53,1709,0.02291,0.03939
2018,4th Quintile,Owner,No,0.96780,1656,1709,0.95943,0.97617
2018,4th Quintile,Tenant,No,0.98054,1145,1145,0.97253,0.98854
2018,5th Quintile,Owner,Yes,0.04180,93,2173,0.03338,0.05021
2018,5th Quintile,Owner,No,0.95820,2080,2173,0.94979,0.96662
2018,5th Quintile,Tenant,No,0.96881,812,812,0.95685,0.98078
2019,1st Quintile,Owner,No,0.98487,384,384,0.97265,0.99710
2019,1st Quintile,Tenant,No,0.94818,2528,2528,0.93953,0.95682
2019,2nd Quintile,Owner,No,0.96596,1001,1001,0.95472,0.97720
2019,2nd Quintile,Tenant,No,0.98878,1988,1988,0.98415,0.99341
2019,3rd Quintile,Owner,Yes,0.02754,50,1408,0.01899,0.03609
2019,3rd Quintile,Owner,No,0.97226,1358,1408,0.96368,0.98084
2019,3rd Quintile,Tenant,Yes,0.01338,31,1465,0.00749,0.01926
2019,3rd Quintile,Tenant,No,0.98588,1434,1465,0.97984,0.99193
2019,4th Quintile,Owner,Yes,0.02766,51,1780,0.02004,0.03528
2019,4th Quintile,Owner,No,0.97234,1729,1780,0.96472,0.97996
2019,4th Quintile,Tenant,Yes,0.04021,38,1145,0.02882,0.05159
2019,4th Quintile,Tenant,No,0.95955,1107,1145,0.94813,0.97097
2019,5th Quintile,Owner,Yes,0.03635,142,3256,0.02992,0.04278
2019,5th Quintile,Owner,No,0.96075,3114,3256,0.95408,0.96742
2019,5th Quintile,Tenant,No,0.98067,1060,1060,0.97238,0.98896
2020,1st Quintile,Owner,No,0.95551,304,304,0.93229,0.97872
2020,1st Quintile,Tenant,No,0.93667,3094,3094,0.92809,0.94526
2020,2nd Quintile,Owner,No,0.96280,956,956,0.95079,0.97480
2020,2nd Quintile,Tenant,No,0.98718,2336,2336,0.98262,0.99174
2020,3rd Quintile,Owner,Yes,0.03219,44,1293,0.02257,0.04182
2020,3rd Quintile,Owner,No,0.96254,1249,1293,0.95219,0.97290
2020,3rd Quintile,Tenant,No,0.98376,1557,1557,0.97748,0.99004
2020,4th Quintile,Owner,Yes,0.03478,56,1614,0.02584,0.04373
2020,4th Quintile,Owner,No,0.96038,1558,1614,0.95086,0.96990
2020,4th Quintile,Tenant,No,0.97706,1224,1224,0.96867,0.98545
2020,5th Quintile,Owner,Yes,0.04620,138,2739,0.03834,0.05406
2020,5th Quintile,Owner,No,0.95152,2601,2739,0.94347,0.95956
2020,5th Quintile,Tenant,Yes,0.03380,34,999,0.02259,0.04501
2020,5th Quintile,Tenant,No,0.95776,965,999,0.94528,0.97024
2021,1st Quintile,Owner,No,0.91798,256,256,0.88430,0.95166
2021,1st Quintile,Tenant,No,0.93488,1747,1747,0.92331,0.94645
2021,2nd Quintile,Owner,No,0.97893,663,663,0.96799,0.98987
2021,2nd Quintile,Tenant,No,0.96956,1476,1476,0.96079,0.97833
2021,3rd Quintile,Owner,No,0.98278,901,901,0.97429,0.99128
2021,3rd Quintile,Tenant,No,0.97453,1078,1078,0.96512,0.98394
2021,4th Quintile,Owner,Yes,0.02998,49,1211,0.02037,0.03959
2021,4th Quintile,Owner,No,0.96928,1162,1211,0.95956,0.97900
2021,4th Quintile,Tenant,No,0.98358,851,851,0.97503,0.99212
2021,5th Quintile,Owner,Yes,0.04693,101,1983,0.03762,0.05624
2021,5th Quintile,Owner,No,0.95108,1882,1983,0.94158,0.96057
2021,5th Quintile,Tenant,No,0.97876,702,702,0.96809,0.98943
2022,1st Quintile,Owner,Yes,0.05401,49,967,0.03976,0.06827
2022,1st Quintile,Owner,No,0.92958,918,967,0.91345,0.94571
2022,1st Quintile,Tenant,Yes,0.01371,69,3493,0.00986,0.01757
2022,1st Quintile,Tenant,No,0.93856,3424,3493,0.93059,0.94652
2022,2nd Quintile,Owner,No,0.96879,1081,1081,0.95842,0.97916
2022,2nd Quintile,Tenant,Yes,0.01286,38,2756,0.00865,0.01706
2022,2nd Quintile,Tenant,No,0.96225,2718,2756,0.95513,0.96937
2022,3rd Quintile,Owner,Yes,0.03077,52,1405,0.02174,0.03980
2022,3rd Quintile,Owner,No,0.96793,1353,1405,0.95871,0.97714
2022,3rd Quintile,Tenant,Yes,0.01584,47,1983,0.01034,0.02133
2022,3rd Quintile,Tenant,No,0.97531,1936,1983,0.96848,0.98214
2022,4th Quintile,Owner,Yes,0.03667,76,1745,0.02785,0.04549
2022,4th Quintile,Owner,No,0.95891,1669,1745,0.94960,0.96823
2022,4th Quintile,Tenant,Yes,0.02928,49,1667,0.02118,0.03738
2022,4th Quintile,Tenant,No,0.96475,1618,1667,0.95589,0.97360
2022,5th Quintile,Owner,Yes,0.04087,127,2572,0.03322,0.04853
2022,5th Quintile,Owner,No,0.95666,2445,2572,0.94879,0.96453
2022,5th Quintile,Tenant,Yes,0.03711,42,1249,0.02662,0.04760
2022,5th Quintile,Tenant,No,0.95394,1207,1249,0.94231,0.96557
