,Unnamed: 0,year,bula_h,rentown,hlc0178,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,2016,Schleswig-Holstein,Owner,No,1.0,224,14039,0.87824,1.13892
1,1,2016,Schleswig-Holstein,Tenant,No,1.0,265,14039,0.87724,1.14878
2,2,2016,Hamburg,Owner,No,1.0,73,14039,0.81083,1.22026
3,3,2016,Hamburg,Tenant,No,1.0,187,14039,0.89514,1.14015
4,4,2016,Lower Saxony,Owner,No,1.0,672,14039,0.91169,1.07829
5,5,2016,Lower Saxony,Tenant,No,1.0,643,14039,0.9101,1.09183
6,6,2016,Bremen,Owner,No,1.0,33,14039,0.52267,1.42475
7,7,2016,Bremen,Tenant,No,1.0,70,14039,0.75154,1.29125
8,8,2016,North Rhine-Westphalia,Owner,No,1.0,1187,14039,0.9455,1.05313
9,9,2016,North Rhine-Westphalia,Tenant,No,1.0,1668,14039,0.94366,1.05916
10,10,2016,Hesse,Owner,No,1.0,412,14039,0.89924,1.09587
11,11,2016,Hesse,Tenant,No,1.0,541,14039,0.91046,1.1104
12,12,2016,"Rhineland-Palatinate, Saarland",Owner,No,1.0,432,14039,0.90479,1.09567
13,13,2016,"Rhineland-Palatinate, Saarland",Tenant,No,1.0,400,14039,0.88432,1.09365
14,14,2016,Baden-Wuerttemberg,Owner,Yes,0.03749,35,14039,0.02703,0.05122
15,15,2016,Baden-Wuerttemberg,Owner,No,0.96251,818,14039,0.88666,1.0226
16,16,2016,Baden-Wuerttemberg,Tenant,No,1.0,753,14039,0.92513,1.06434
17,17,2016,Bavaria,Owner,Yes,0.02425,32,14039,0.01748,0.03215
18,18,2016,Bavaria,Owner,No,0.97575,1064,14039,0.90917,1.048
19,19,2016,Bavaria,Tenant,No,1.0,1179,14039,0.92987,1.06936
20,20,2016,Berlin,Owner,No,1.0,105,14039,0.84585,1.19608
21,21,2016,Berlin,Tenant,No,1.0,486,14039,0.91755,1.09097
22,22,2016,Brandenburg,Owner,No,1.0,249,14039,0.8722,1.14213
23,23,2016,Brandenburg,Tenant,No,1.0,305,14039,0.87593,1.12341
24,24,2016,Mecklenburg-Western Pomerania,Owner,No,1.0,103,14039,0.78937,1.2154
25,25,2016,Mecklenburg-Western Pomerania,Tenant,No,1.0,218,14039,0.87908,1.14265
26,26,2016,Saxony,Owner,No,1.0,296,14039,0.87678,1.13388
27,27,2016,Saxony,Tenant,No,1.0,551,14039,0.90609,1.10184
28,28,2016,Saxony-Anhalt,Owner,No,1.0,207,14039,0.8778,1.15615
29,29,2016,Saxony-Anhalt,Tenant,No,1.0,295,14039,0.88468,1.13542
30,30,2016,Thuringa,Owner,No,1.0,237,14039,0.8478,1.17194
31,31,2016,Thuringa,Tenant,No,1.0,299,14039,0.86694,1.12116
32,32,2017,Schleswig-Holstein,Owner,No,1.0,272,15441,0.89011,1.13145
33,33,2017,Schleswig-Holstein,Tenant,No,1.0,281,15441,0.87447,1.1177
34,34,2017,Hamburg,Owner,No,1.0,81,15441,0.81499,1.1906
35,35,2017,Hamburg,Tenant,No,1.0,208,15441,0.89819,1.14049
36,36,2017,Lower Saxony,Owner,Yes,0.03306,32,15441,0.0213,0.04879
37,37,2017,Lower Saxony,Owner,No,0.96694,779,15441,0.89749,1.03769
38,38,2017,Lower Saxony,Tenant,No,1.0,714,15441,0.92334,1.07653
39,39,2017,Bremen,Owner,No,1.0,42,15441,0.6352,1.372
40,40,2017,Bremen,Tenant,No,1.0,82,15441,0.81632,1.21477
41,41,2017,North Rhine-Westphalia,Owner,Yes,0.02788,45,15441,0.02071,0.03605
42,42,2017,North Rhine-Westphalia,Owner,No,0.97212,1354,15441,0.91283,1.03776
43,43,2017,North Rhine-Westphalia,Tenant,No,1.0,1765,15441,0.94848,1.05335
44,44,2017,Hesse,Owner,No,1.0,451,15441,0.91195,1.08858
45,45,2017,Hesse,Tenant,No,1.0,574,15441,0.91314,1.09926
46,46,2017,"Rhineland-Palatinate, Saarland",Owner,No,1.0,453,15441,0.92824,1.09235
47,47,2017,"Rhineland-Palatinate, Saarland",Tenant,No,1.0,411,15441,0.90458,1.09396
48,48,2017,Baden-Wuerttemberg,Owner,Yes,0.03824,40,15441,0.02761,0.05253
49,49,2017,Baden-Wuerttemberg,Owner,No,0.96176,883,15441,0.90283,1.02058
50,50,2017,Baden-Wuerttemberg,Tenant,No,1.0,785,15441,0.94356,1.07607
51,51,2017,Bavaria,Owner,Yes,0.03261,39,15441,0.02189,0.04507
52,52,2017,Bavaria,Owner,No,0.96739,1155,15441,0.91012,1.02831
53,53,2017,Bavaria,Tenant,No,1.0,1283,15441,0.94069,1.05715
54,54,2017,Berlin,Owner,No,1.0,113,15441,0.81388,1.2026
55,55,2017,Berlin,Tenant,No,1.0,536,15441,0.91701,1.08304
56,56,2017,Brandenburg,Owner,No,1.0,274,15441,0.89657,1.10209
57,57,2017,Brandenburg,Tenant,No,1.0,332,15441,0.87566,1.10789
58,58,2017,Mecklenburg-Western Pomerania,Owner,No,1.0,125,15441,0.85174,1.19142
59,59,2017,Mecklenburg-Western Pomerania,Tenant,No,1.0,234,15441,0.88163,1.14573
60,60,2017,Saxony,Owner,No,1.0,345,15441,0.86983,1.11095
61,61,2017,Saxony,Tenant,No,1.0,620,15441,0.92379,1.09154
62,62,2017,Saxony-Anhalt,Owner,No,1.0,227,15441,0.87186,1.13114
63,63,2017,Saxony-Anhalt,Tenant,No,1.0,328,15441,0.89975,1.11168
64,64,2017,Thuringa,Owner,No,1.0,261,15441,0.86222,1.15566
65,65,2017,Thuringa,Tenant,No,1.0,317,15441,0.87293,1.12055
66,66,2018,Schleswig-Holstein,Owner,No,1.0,258,15213,0.88497,1.124
67,67,2018,Schleswig-Holstein,Tenant,No,1.0,279,15213,0.87355,1.13903
68,68,2018,Hamburg,Owner,No,1.0,76,15213,0.7905,1.22633
69,69,2018,Hamburg,Tenant,No,1.0,245,15213,0.87652,1.14944
70,70,2018,Lower Saxony,Owner,No,1.0,740,15213,0.92943,1.07523
71,71,2018,Lower Saxony,Tenant,No,1.0,705,15213,0.92238,1.07205
72,72,2018,Bremen,Owner,No,1.0,52,15213,0.69643,1.35502
73,73,2018,Bremen,Tenant,No,1.0,82,15213,0.7779,1.2279
74,74,2018,North Rhine-Westphalia,Owner,Yes,0.03287,48,15213,0.02298,0.04362
75,75,2018,North Rhine-Westphalia,Owner,No,0.96713,1289,15213,0.90969,1.02331
76,76,2018,North Rhine-Westphalia,Tenant,No,1.0,1815,15213,0.9468,1.04835
77,77,2018,Hesse,Owner,No,1.0,424,15213,0.90684,1.11444
78,78,2018,Hesse,Tenant,No,1.0,549,15213,0.91647,1.09231
79,79,2018,"Rhineland-Palatinate, Saarland",Owner,No,1.0,437,15213,0.90902,1.08863
80,80,2018,"Rhineland-Palatinate, Saarland",Tenant,No,1.0,432,15213,0.89612,1.11286
81,81,2018,Baden-Wuerttemberg,Owner,Yes,0.04355,37,15213,0.03039,0.05685
82,82,2018,Baden-Wuerttemberg,Owner,No,0.95645,838,15213,0.8951,1.02961
83,83,2018,Baden-Wuerttemberg,Tenant,No,1.0,738,15213,0.92616,1.07061
84,84,2018,Bavaria,Owner,Yes,0.03366,43,15213,0.02337,0.04541
85,85,2018,Bavaria,Owner,No,0.96634,1107,15213,0.90439,1.03091
86,86,2018,Bavaria,Tenant,No,1.0,1236,15213,0.94016,1.05755
87,87,2018,Berlin,Owner,No,1.0,107,15213,0.8375,1.16683
88,88,2018,Berlin,Tenant,No,1.0,571,15213,0.90246,1.08287
89,89,2018,Brandenburg,Owner,No,1.0,263,15213,0.88793,1.11733
