year,bula_h,sampreg,hlc0178,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,Schleswig-Holstein,West,No,0.97259,489,489,0.95811,0.98708
2016,Hamburg,West,No,0.99053,260,260,0.97873,1.00232
2016,Lower Saxony,West,Yes,0.01686,31,1346,0.00998,0.02375
2016,Lower Saxony,West,No,0.97334,1315,1346,0.96474,0.98195
2016,Bremen,West,No,0.97904,103,103,0.95124,1.00684
2016,North Rhine-Westphalia,West,Yes,0.01346,46,2901,0.00926,0.01765
2016,North Rhine-Westphalia,West,No,0.97671,2855,2901,0.97122,0.98220
2016,Hesse,West,No,0.97428,953,953,0.96423,0.98434
2016,"Rhineland-Palatinate, Saarland",West,No,0.97222,832,832,0.96104,0.98339
2016,Baden-Wuerttemberg,West,Yes,0.03338,53,1624,0.02464,0.04212
2016,Baden-Wuerttemberg,West,No,0.95871,1571,1624,0.94903,0.96839
2016,Bavaria,West,Yes,0.01777,52,2296,0.01237,0.02318
2016,Bavaria,West,No,0.97805,2244,2296,0.97205,0.98404
2016,Berlin,West,No,0.95568,334,334,0.93358,0.97779
2016,Berlin,East,No,0.98831,257,257,0.97515,1.00148
2016,Brandenburg,East,No,0.96290,554,554,0.94715,0.97866
2016,Mecklenburg-Western Pomerania,East,No,0.97860,321,321,0.96274,0.99445
2016,Saxony,East,No,0.97520,847,847,0.96472,0.98568
2016,Saxony-Anhalt,East,No,0.96998,502,502,0.95504,0.98493
2016,Thuringa,East,No,0.97721,536,536,0.96456,0.98985
2017,Schleswig-Holstein,West,No,0.95273,553,553,0.93503,0.97043
2017,Hamburg,West,No,0.97445,289,289,0.95623,0.99268
2017,Lower Saxony,West,Yes,0.02402,44,1537,0.01636,0.03167
2017,Lower Saxony,West,No,0.96639,1493,1537,0.95738,0.97540
2017,Bremen,West,No,0.96187,124,124,0.92803,0.99572
2017,North Rhine-Westphalia,West,Yes,0.01828,65,3184,0.01362,0.02293
2017,North Rhine-Westphalia,West,No,0.97051,3119,3184,0.96464,0.97639
2017,Hesse,West,No,0.96301,1025,1025,0.95146,0.97457
2017,"Rhineland-Palatinate, Saarland",West,No,0.97785,864,864,0.96803,0.98767
2017,Baden-Wuerttemberg,West,Yes,0.03542,57,1725,0.02670,0.04415
2017,Baden-Wuerttemberg,West,No,0.95958,1668,1725,0.95028,0.96887
2017,Bavaria,West,Yes,0.02971,62,2500,0.02305,0.03636
2017,Bavaria,West,No,0.96627,2438,2500,0.95919,0.97335
2017,Berlin,West,No,0.98643,366,366,0.97456,0.99830
2017,Berlin,East,No,0.98618,283,283,0.97255,0.99981
2017,Brandenburg,East,No,0.97209,606,606,0.95897,0.98522
2017,Mecklenburg-Western Pomerania,East,No,0.98669,359,359,0.97481,0.99856
2017,Saxony,East,No,0.97367,965,965,0.96356,0.98377
2017,Saxony-Anhalt,East,No,0.96348,555,555,0.94786,0.97910
2017,Thuringa,East,No,0.97848,578,578,0.96664,0.99032
2018,Schleswig-Holstein,West,No,0.94562,537,537,0.92642,0.96482
2018,Hamburg,West,No,0.98310,321,321,0.96897,0.99722
2018,Lower Saxony,West,Yes,0.01873,33,1478,0.01182,0.02565
2018,Lower Saxony,West,No,0.97227,1445,1478,0.96390,0.98065
2018,Bremen,West,No,0.98240,134,134,0.96005,1.00475
2018,North Rhine-Westphalia,West,Yes,0.02272,75,3179,0.01754,0.02790
2018,North Rhine-Westphalia,West,No,0.96626,3104,3179,0.95998,0.97253
2018,Hesse,West,Yes,0.03336,32,1005,0.02225,0.04447
2018,Hesse,West,No,0.95842,973,1005,0.94607,0.97077
2018,"Rhineland-Palatinate, Saarland",West,No,0.96809,869,869,0.95639,0.97978
2018,Baden-Wuerttemberg,West,Yes,0.02612,48,1624,0.01836,0.03388
2018,Baden-Wuerttemberg,West,No,0.96598,1576,1624,0.95717,0.97480
2018,Bavaria,West,Yes,0.02456,63,2406,0.01837,0.03074
2018,Bavaria,West,No,0.96981,2343,2406,0.96298,0.97665
