year,bula_h,regtyp,hlc0178,proportion,n,N,proportion_lower_confidence,proportion_lower_confidence,proportion_upper_confidence,proportion_upper_confidence
2018,"Rhineland-Palatinate, Saarland",Urban regions,No,1.00000,656,15236,0,0.92926,0,1.06710
2018,"Rhineland-Palatinate, Saarland",Rural regions,No,1.00000,213,15236,0,0.83923,0,1.16680
2018,Baden-Wuerttemberg,Urban regions,Yes,0.02648,43,15236,0,0.01861,0,0.03561
2018,Baden-Wuerttemberg,Urban regions,No,0.97352,1405,15236,0,0.91684,0,1.02932
2018,Baden-Wuerttemberg,Rural regions,No,1.00000,171,15236,0,0.83383,0,1.18125
2018,Bavaria,Urban regions,Yes,0.02761,34,15236,0,0.01857,0,0.04135
2018,Bavaria,Urban regions,No,0.97239,1117,15236,0,0.91370,0,1.04049
2018,Bavaria,Rural regions,No,1.00000,1226,15236,0,0.93546,0,1.06562
2018,Berlin,Urban regions,No,1.00000,678,15236,0,0.93263,0,1.07791
2018,Brandenburg,Urban regions,No,1.00000,59,15236,0,0.81185,0,1.23996
2018,Brandenburg,Rural regions,No,1.00000,574,15236,0,0.91744,0,1.08812
2018,Mecklenburg-Western Pomerania,Urban regions,No,1.00000,62,15236,0,0.78912,0,1.25709
2018,Mecklenburg-Western Pomerania,Rural regions,No,1.00000,309,15236,0,0.88023,0,1.11518
2018,Saxony,Urban regions,No,1.00000,519,15236,0,0.91136,0,1.10075
2018,Saxony,Rural regions,No,1.00000,445,15236,0,0.91186,0,1.10574
2018,Saxony-Anhalt,Urban regions,No,1.00000,127,15236,0,0.85430,0,1.18241
2018,Saxony-Anhalt,Rural regions,No,1.00000,441,15236,0,0.89868,0,1.10528
2018,Thuringa,Urban regions,No,1.00000,190,15236,0,0.83989,0,1.19431
2018,Thuringa,Rural regions,No,1.00000,379,15236,0,0.89956,0,1.10696
2019,Schleswig-Holstein,Urban regions,No,1.00000,210,15420,0,0.83005,0,1.17040
2019,Schleswig-Holstein,Rural regions,No,1.00000,348,15420,0,0.88692,0,1.12857
2019,Hamburg,Urban regions,No,1.00000,331,15420,0,0.87742,0,1.12513
2019,Lower Saxony,Urban regions,No,1.00000,624,15420,0,0.90412,0,1.07134
