year,rentown,hlc0178,proportion,n,N,proportion_lower_confidence,proportion_lower_confidence,proportion_upper_confidence,proportion_upper_confidence
2016,Owner,Yes,0.02532,178,14276,0,0.02129,0,0.02839
2016,Owner,No,0.97468,6112,14276,0,0.94952,0,1.00262
2016,Tenant,Yes,0.01466,126,14276,0,0.01164,0,0.01709
2016,Tenant,No,0.98534,7860,14276,0,0.95916,0,1.00912
2017,Owner,Yes,0.03199,239,15657,0,0.02775,0,0.03635
2017,Owner,No,0.96801,6815,15657,0,0.94612,0,0.99504
2017,Tenant,Yes,0.01718,133,15657,0,0.01402,0,0.02019
2017,Tenant,No,0.98282,8470,15657,0,0.96015,0,1.00374
2018,Owner,Yes,0.03271,230,15433,0,0.02930,0,0.03783
2018,Owner,No,0.96729,6517,15433,0,0.94436,0,0.98985
2018,Tenant,Yes,0.01255,118,15433,0,0.01001,0,0.01509
2018,Tenant,No,0.98745,8568,15433,0,0.96532,0,1.01398
2019,Owner,Yes,0.03002,279,16117,0,0.02594,0,0.03506
2019,Owner,No,0.96998,7586,16117,0,0.94156,0,0.99693
2019,Tenant,Yes,0.01431,131,16117,0,0.01164,0,0.01710
2019,Tenant,No,0.98569,8121,16117,0,0.96050,0,1.01111
2020,Owner,Yes,0.03625,272,16271,0,0.03097,0,0.04177
2020,Owner,No,0.96375,6670,16271,0,0.94233,0,0.99138
2020,Tenant,Yes,0.01575,128,16271,0,0.01287,0,0.01886
2020,Tenant,No,0.98425,9201,16271,0,0.95554,0,1.00451
2021,Owner,Yes,0.03245,201,11060,0,0.02651,0,0.03831
2021,Owner,No,0.96755,4869,11060,0,0.93921,0,1.00126
2021,Tenant,Yes,0.01663,122,11060,0,0.01327,0,0.02058
2021,Tenant,No,0.98337,5868,11060,0,0.94825,0,1.01686
