,Unnamed: 0,year,bula_h,quintil_oecd_hh,hlc0178,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,2016,Schleswig-Holstein,1st Quintile,No,1.0,127,13905,0.81711,1.20272
1,1,2016,Schleswig-Holstein,2nd Quintile,No,1.0,105,13905,0.80911,1.25383
2,2,2016,Schleswig-Holstein,3rd Quintile,No,1.0,98,13905,0.7961,1.20455
3,3,2016,Schleswig-Holstein,4th Quintile,No,1.0,85,13905,0.82419,1.22079
4,4,2016,Schleswig-Holstein,5th Quintile,No,1.0,74,13905,0.78555,1.22099
5,5,2016,Hamburg,1st Quintile,No,1.0,49,13905,0.77019,1.2715
6,6,2016,Hamburg,2nd Quintile,No,1.0,49,13905,0.77298,1.28961
7,7,2016,Hamburg,3rd Quintile,No,1.0,44,13905,0.70236,1.33708
8,8,2016,Hamburg,4th Quintile,No,1.0,54,13905,0.7734,1.20438
9,9,2016,Hamburg,5th Quintile,No,1.0,63,13905,0.71909,1.26652
10,10,2016,Lower Saxony,1st Quintile,No,1.0,304,13905,0.86741,1.13646
11,11,2016,Lower Saxony,2nd Quintile,No,1.0,255,13905,0.87944,1.15886
12,12,2016,Lower Saxony,3rd Quintile,No,1.0,227,13905,0.86323,1.14048
13,13,2016,Lower Saxony,4th Quintile,No,1.0,274,13905,0.89003,1.11627
14,14,2016,Lower Saxony,5th Quintile,No,1.0,255,13905,0.87551,1.14709
15,15,2016,Bremen,1st Quintile,No,1.0,38,13905,0.65247,1.44956
16,16,2016,North Rhine-Westphalia,1st Quintile,No,1.0,669,13905,0.90567,1.11084
17,17,2016,North Rhine-Westphalia,2nd Quintile,No,1.0,587,13905,0.90841,1.10051
18,18,2016,North Rhine-Westphalia,3rd Quintile,No,1.0,509,13905,0.9008,1.09096
19,19,2016,North Rhine-Westphalia,4th Quintile,No,1.0,529,13905,0.90048,1.08327
20,20,2016,North Rhine-Westphalia,5th Quintile,No,1.0,560,13905,0.92092,1.0723
21,21,2016,Hesse,1st Quintile,No,1.0,191,13905,0.85081,1.17377
22,22,2016,Hesse,2nd Quintile,No,1.0,187,13905,0.84677,1.17265
23,23,2016,Hesse,3rd Quintile,No,1.0,165,13905,0.87131,1.16031
24,24,2016,Hesse,4th Quintile,No,1.0,167,13905,0.85321,1.17891
25,25,2016,Hesse,5th Quintile,No,1.0,242,13905,0.85644,1.10332
26,26,2016,"Rhineland-Palatinate, Saarland",1st Quintile,No,1.0,192,13905,0.86853,1.13991
27,27,2016,"Rhineland-Palatinate, Saarland",2nd Quintile,No,1.0,187,13905,0.86723,1.1395
28,28,2016,"Rhineland-Palatinate, Saarland",3rd Quintile,No,1.0,157,13905,0.83723,1.18821
29,29,2016,"Rhineland-Palatinate, Saarland",4th Quintile,No,1.0,148,13905,0.85961,1.16242
30,30,2016,"Rhineland-Palatinate, Saarland",5th Quintile,No,1.0,148,13905,0.83569,1.16377
31,31,2016,Baden-Wuerttemberg,1st Quintile,No,1.0,213,13905,0.87318,1.13452
32,32,2016,Baden-Wuerttemberg,2nd Quintile,No,1.0,302,13905,0.86044,1.12649
33,33,2016,Baden-Wuerttemberg,3rd Quintile,No,1.0,314,13905,0.88635,1.1225
34,34,2016,Baden-Wuerttemberg,4th Quintile,No,1.0,356,13905,0.90732,1.09666
35,35,2016,Baden-Wuerttemberg,5th Quintile,No,1.0,386,13905,0.89059,1.10696
36,36,2016,Bavaria,1st Quintile,No,1.0,362,13905,0.88484,1.12218
37,37,2016,Bavaria,2nd Quintile,No,1.0,495,13905,0.89653,1.10785
38,38,2016,Bavaria,3rd Quintile,No,1.0,448,13905,0.89827,1.11321
39,39,2016,Bavaria,4th Quintile,No,1.0,439,13905,0.90885,1.08883
40,40,2016,Bavaria,5th Quintile,No,1.0,500,13905,0.91606,1.1081
41,41,2016,Berlin,1st Quintile,No,1.0,149,13905,0.83837,1.17033
42,42,2016,Berlin,2nd Quintile,No,1.0,111,13905,0.83508,1.19057
43,43,2016,Berlin,3rd Quintile,No,1.0,107,13905,0.80821,1.16841
44,44,2016,Berlin,4th Quintile,No,1.0,123,13905,0.83566,1.18362
45,45,2016,Berlin,5th Quintile,No,1.0,101,13905,0.84451,1.21227
46,46,2016,Brandenburg,1st Quintile,No,1.0,135,13905,0.81667,1.19964
47,47,2016,Brandenburg,2nd Quintile,No,1.0,145,13905,0.83584,1.19113
48,48,2016,Brandenburg,3rd Quintile,No,1.0,133,13905,0.80695,1.21967
49,49,2016,Brandenburg,4th Quintile,No,1.0,73,13905,0.76285,1.21158
50,50,2016,Brandenburg,5th Quintile,No,1.0,68,13905,0.75126,1.3336
51,51,2016,Mecklenburg-Western Pomerania,1st Quintile,No,1.0,101,13905,0.77993,1.19925
52,52,2016,Mecklenburg-Western Pomerania,2nd Quintile,No,1.0,81,13905,0.779,1.19508
53,53,2016,Mecklenburg-Western Pomerania,3rd Quintile,No,1.0,69,13905,0.70965,1.31931
54,54,2016,Mecklenburg-Western Pomerania,4th Quintile,No,1.0,37,13905,0.68748,1.33869
55,55,2016,Mecklenburg-Western Pomerania,5th Quintile,No,1.0,33,13905,0.7805,1.25978
56,56,2016,Saxony,1st Quintile,No,1.0,204,13905,0.87506,1.13502
57,57,2016,Saxony,2nd Quintile,No,1.0,240,13905,0.88985,1.14953
58,58,2016,Saxony,3rd Quintile,No,1.0,202,13905,0.87969,1.13554
59,59,2016,Saxony,4th Quintile,No,1.0,122,13905,0.82152,1.24509
60,60,2016,Saxony,5th Quintile,No,1.0,79,13905,0.80494,1.30528
61,61,2016,Saxony-Anhalt,1st Quintile,No,1.0,161,13905,0.8182,1.21602
62,62,2016,Saxony-Anhalt,2nd Quintile,No,1.0,131,13905,0.85022,1.169
63,63,2016,Saxony-Anhalt,3rd Quintile,No,1.0,90,13905,0.82556,1.17175
64,64,2016,Saxony-Anhalt,4th Quintile,No,1.0,75,13905,0.79418,1.24824
65,65,2016,Saxony-Anhalt,5th Quintile,No,1.0,45,13905,0.68878,1.37832
66,66,2016,Thuringa,1st Quintile,No,1.0,138,13905,0.77935,1.23536
67,67,2016,Thuringa,2nd Quintile,No,1.0,145,13905,0.8447,1.1646
68,68,2016,Thuringa,3rd Quintile,No,1.0,115,13905,0.8477,1.16307
69,69,2016,Thuringa,4th Quintile,No,1.0,83,13905,0.80291,1.26281
70,70,2016,Thuringa,5th Quintile,No,1.0,55,13905,0.66969,1.40517
71,71,2017,Schleswig-Holstein,1st Quintile,No,1.0,124,15192,0.85974,1.22972
72,72,2017,Schleswig-Holstein,2nd Quintile,No,1.0,122,15192,0.83551,1.16937
73,73,2017,Schleswig-Holstein,3rd Quintile,No,1.0,112,15192,0.81082,1.21053
74,74,2017,Schleswig-Holstein,4th Quintile,No,1.0,100,15192,0.8241,1.23384
75,75,2017,Schleswig-Holstein,5th Quintile,No,1.0,95,15192,0.81257,1.22462
76,76,2017,Hamburg,1st Quintile,No,1.0,55,15192,0.79611,1.24627
77,77,2017,Hamburg,2nd Quintile,No,1.0,51,15192,0.72712,1.2891
78,78,2017,Hamburg,3rd Quintile,No,1.0,44,15192,0.7586,1.19906
79,79,2017,Hamburg,4th Quintile,No,1.0,58,15192,0.76331,1.21868
80,80,2017,Hamburg,5th Quintile,No,1.0,81,15192,0.78045,1.21224
81,81,2017,Lower Saxony,1st Quintile,No,1.0,318,15192,0.85054,1.12285
82,82,2017,Lower Saxony,2nd Quintile,No,1.0,306,15192,0.8746,1.12393
83,83,2017,Lower Saxony,3rd Quintile,No,1.0,274,15192,0.88485,1.12291
84,84,2017,Lower Saxony,4th Quintile,No,1.0,300,15192,0.89024,1.10611
85,85,2017,Lower Saxony,5th Quintile,No,1.0,295,15192,0.88677,1.10744
86,86,2017,Bremen,1st Quintile,No,1.0,35,15192,0.64286,1.46428
87,87,2017,North Rhine-Westphalia,1st Quintile,No,1.0,696,15192,0.91958,1.09139
88,88,2017,North Rhine-Westphalia,2nd Quintile,No,1.0,584,15192,0.91444,1.08629
89,89,2017,North Rhine-Westphalia,3rd Quintile,No,1.0,589,15192,0.91699,1.07501
90,90,2017,North Rhine-Westphalia,4th Quintile,No,1.0,604,15192,0.91706,1.0884
91,91,2017,North Rhine-Westphalia,5th Quintile,No,1.0,645,15192,0.92506,1.08483
92,92,2017,Hesse,1st Quintile,No,1.0,205,15192,0.84816,1.14679
93,93,2017,Hesse,2nd Quintile,No,1.0,168,15192,0.84547,1.17307
94,94,2017,Hesse,3rd Quintile,No,1.0,204,15192,0.88316,1.12719
95,95,2017,Hesse,4th Quintile,No,1.0,189,15192,0.84781,1.14351
96,96,2017,Hesse,5th Quintile,No,1.0,258,15192,0.89242,1.1167
97,97,2017,"Rhineland-Palatinate, Saarland",1st Quintile,No,1.0,176,15192,0.86861,1.15901
98,98,2017,"Rhineland-Palatinate, Saarland",2nd Quintile,No,1.0,200,15192,0.87214,1.13324
99,99,2017,"Rhineland-Palatinate, Saarland",3rd Quintile,No,1.0,160,15192,0.84328,1.13202
100,100,2017,"Rhineland-Palatinate, Saarland",4th Quintile,No,1.0,174,15192,0.85694,1.13511
101,101,2017,"Rhineland-Palatinate, Saarland",5th Quintile,No,1.0,154,15192,0.86288,1.13517
102,102,2017,Baden-Wuerttemberg,1st Quintile,No,1.0,214,15192,0.8711,1.16125
103,103,2017,Baden-Wuerttemberg,2nd Quintile,No,1.0,293,15192,0.88757,1.1215
104,104,2017,Baden-Wuerttemberg,3rd Quintile,No,1.0,323,15192,0.91138,1.09441
105,105,2017,Baden-Wuerttemberg,4th Quintile,No,1.0,394,15192,0.90481,1.09183
106,106,2017,Baden-Wuerttemberg,5th Quintile,No,1.0,443,15192,0.89395,1.09885
107,107,2017,Bavaria,1st Quintile,No,1.0,383,15192,0.92173,1.10071
108,108,2017,Bavaria,2nd Quintile,No,1.0,488,15192,0.87595,1.10416
