year,quintil_oecd_hh,sampreg,hlf0613,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,1st Quintile,West,Yes,0.43270,1512,3977,0.41730,0.44810
2016,1st Quintile,West,No,0.56730,2465,3977,0.55190,0.58270
2016,1st Quintile,East,Yes,0.41528,450,1207,0.38746,0.44309
2016,1st Quintile,East,No,0.58472,757,1207,0.55691,0.61254
2016,2nd Quintile,West,Yes,0.50110,1270,2235,0.48036,0.52183
2016,2nd Quintile,West,No,0.49890,965,2235,0.47817,0.51964
2016,2nd Quintile,East,Yes,0.45644,401,797,0.42184,0.49104
2016,2nd Quintile,East,No,0.54356,396,797,0.50896,0.57816
2016,3rd Quintile,West,Yes,0.60704,1363,2069,0.58599,0.62809
2016,3rd Quintile,West,No,0.39296,706,2069,0.37191,0.41401
2016,3rd Quintile,East,Yes,0.61904,401,668,0.58218,0.65589
2016,3rd Quintile,East,No,0.38096,267,668,0.34411,0.41782
2016,4th Quintile,West,Yes,0.67803,1602,2196,0.65848,0.69758
2016,4th Quintile,West,No,0.32197,594,2196,0.30242,0.34152
2016,4th Quintile,East,Yes,0.67980,313,455,0.63688,0.72271
2016,4th Quintile,East,No,0.32020,142,455,0.27729,0.36312
2016,5th Quintile,West,Yes,0.75879,1926,2426,0.74176,0.77582
2016,5th Quintile,West,No,0.24121,500,2426,0.22418,0.25824
2016,5th Quintile,East,Yes,0.73334,250,326,0.68527,0.78142
2016,5th Quintile,East,No,0.26666,76,326,0.21858,0.31473
2017,1st Quintile,West,Yes,0.46674,1673,4406,0.45201,0.48147
2017,1st Quintile,West,No,0.53326,2733,4406,0.51853,0.54799
2017,1st Quintile,East,Yes,0.41911,459,1221,0.39142,0.44680
2017,1st Quintile,East,No,0.58089,762,1221,0.55320,0.60858
2017,2nd Quintile,West,Yes,0.54154,1409,2396,0.52158,0.56149
2017,2nd Quintile,West,No,0.45846,987,2396,0.43851,0.47842
2017,2nd Quintile,East,Yes,0.55388,510,926,0.52185,0.58592
2017,2nd Quintile,East,No,0.44612,416,926,0.41408,0.47815
2017,3rd Quintile,West,Yes,0.64337,1671,2379,0.62412,0.66263
2017,3rd Quintile,West,No,0.35663,708,2379,0.33737,0.37588
2017,3rd Quintile,East,Yes,0.59793,457,723,0.56216,0.63369
2017,3rd Quintile,East,No,0.40207,266,723,0.36631,0.43784
2017,4th Quintile,West,Yes,0.70886,1918,2512,0.69109,0.72663
2017,4th Quintile,West,No,0.29114,594,2512,0.27337,0.30891
2017,4th Quintile,East,Yes,0.68917,364,528,0.64966,0.72869
2017,4th Quintile,East,No,0.31083,164,528,0.27131,0.35034
2017,5th Quintile,West,Yes,0.80557,2239,2713,0.79067,0.82046
