year,bula_h,regtyp,hlf0613,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,Schleswig-Holstein,Urban regions,Yes,0.54183,109,236,0.47813,0.60554
2016,Schleswig-Holstein,Urban regions,No,0.45817,127,236,0.39446,0.52187
2016,Schleswig-Holstein,Rural regions,Yes,0.53996,217,392,0.49056,0.58937
2016,Schleswig-Holstein,Rural regions,No,0.46004,175,392,0.41063,0.50944
2016,Hamburg,Urban regions,Yes,0.62413,186,287,0.56800,0.68026
2016,Hamburg,Urban regions,No,0.37587,101,287,0.31974,0.43200
2016,Lower Saxony,Urban regions,Yes,0.59241,401,709,0.55622,0.62861
2016,Lower Saxony,Urban regions,No,0.40759,308,709,0.37139,0.44378
2016,Lower Saxony,Rural regions,Yes,0.60398,529,861,0.57130,0.63667
2016,Lower Saxony,Rural regions,No,0.39602,332,861,0.36333,0.42870
2016,Bremen,Urban regions,Yes,0.54769,69,129,0.46146,0.63391
2016,Bremen,Urban regions,No,0.45231,60,129,0.36609,0.53854
2016,North Rhine-Westphalia,Urban regions,Yes,0.60206,1952,3291,0.58534,0.61879
2016,North Rhine-Westphalia,Urban regions,No,0.39794,1339,3291,0.38121,0.41466
2016,North Rhine-Westphalia,Rural regions,Yes,0.52066,33,78,0.40907,0.63225
2016,North Rhine-Westphalia,Rural regions,No,0.47934,45,78,0.36775,0.59093
2016,Hesse,Urban regions,Yes,0.62392,552,906,0.59236,0.65548
2016,Hesse,Urban regions,No,0.37608,354,906,0.34452,0.40764
2016,Hesse,Rural regions,Yes,0.50905,114,217,0.44238,0.57572
2016,Hesse,Rural regions,No,0.49095,103,217,0.42428,0.55762
2016,"Rhineland-Palatinate, Saarland",Urban regions,Yes,0.55855,405,789,0.52388,0.59322
2016,"Rhineland-Palatinate, Saarland",Urban regions,No,0.44145,384,789,0.40678,0.47612
2016,"Rhineland-Palatinate, Saarland",Rural regions,Yes,0.53208,127,242,0.46908,0.59508
2016,"Rhineland-Palatinate, Saarland",Rural regions,No,0.46792,115,242,0.40492,0.53092
2016,Baden-Wuerttemberg,Urban regions,Yes,0.61190,990,1644,0.58833,0.63546
2016,Baden-Wuerttemberg,Urban regions,No,0.38810,654,1644,0.36454,0.41167
2016,Baden-Wuerttemberg,Rural regions,Yes,0.61739,128,220,0.55302,0.68176
2016,Baden-Wuerttemberg,Rural regions,No,0.38261,92,220,0.31824,0.44698
2016,Bavaria,Urban regions,Yes,0.67194,803,1166,0.64498,0.69890
2016,Bavaria,Urban regions,No,0.32806,363,1166,0.30110,0.35502
