"year","mean","median","n","lower_confidence_mean","upper_confidence_mean"
"1984","19917.83","18105.5","16176","19745.89","20089.77"
"1985","20267.5","18501","14598","20091.01","20443.99"
"1986","20662.16","19177","13894","20472.8","20851.52"
"1987","21591.21","19893.5","13642","21401.63","21780.79"
"1988","22197","20418.5","13013","21994.49","22399.51"
"1989","23276.59","21382.5","12594","23056.18","23497"
"1990","24328.76","22171","12433","24085.41","24572.11"
"1991","26129.49","23812.5","12427","25882.6","26376.38"
"1992","25344.05","22991","17842","25144.79","25543.31"
"1993","26841.65","24415","17528","26629.34","27053.96"
"1994","27908.21","25585.5","17138","27687.17","28129.25"
"1995","27853.66","25240","17712","27632.28","28075.04"
"1996","28434.37","25943.5","17339","28212.49","28656.25"
"1997","29030.99","26573","17007","28805.94","29256.04"
"1998","29070.99","26626","18756","28850.92","29291.06"
"1999","30075.39","27185.5","17988","29844.61","30306.17"
"2000","30903.26","27988.5","31807","30711.82","31094.7"
"2001","31621.31","28671","28728","31412.62","31830"
"2002","32190.22","28610.5","30116","31883.55","32496.89"
"2003","33023.67","30008","28792","32720.61","33326.73"
"2004","32813.84","29472","27931","32443.66","33184.02"
"2005","33531.64","29847","26706","33124.56","33938.72"
"2006","33746.99","29598","28668","33399.55","34094.43"
"2007","34651.05","30540.5","26618","34297.34","35004.76"
"2008","35653.21","31162.5","24877","35246.33","36060.09"
"2009","36144.39","31694.5","23221","35748.15","36540.63"
"2010","36441.01","31816.5","37468","36173.91","36708.11"
"2011","37572.34","32892.5","44001","37314.51","37830.17"
"2012","38036.05","33048.5","42406","37738.8","38333.3"
"2013","38464.88","33236.5","47665","38193.12","38736.64"
"2014","39229.58","33750","41507","38931.17","39527.99"
"2015","39511.22","34410.5","41052","39244.35","39778.09"
"2016","40973.13","35881.5","36790","40644.11","41302.15"
"2017","42155.81","36757.5","44647","41837.44","42474.18"
"2018","42962.03","37646.5","46486","42661.38","43262.68"
"2019","45448.77","39318","47513","44514.5","46383.04"
"2020","47434.28","41122","46550","46395.01","48473.55"
