"year","regtyp","mean","median","n","lower_confidence_mean","upper_confidence_mean"
"1985","Laendlicher Raum","19783.58","18568.5","3140","19412.1","20155.06"
"1985","Staedtischer Raum","20429.91","18444","11458","20229.4","20630.42"
"1986","Laendlicher Raum","20996.79","19500.5","2998","20533.03","21460.55"
"1986","Staedtischer Raum","20551.29","18973.5","10896","20346.3","20756.28"
"1987","Laendlicher Raum","21256.09","19745","2939","20857.37","21654.81"
"1987","Staedtischer Raum","21701.04","19947.5","10703","21485.6","21916.48"
"1988","Laendlicher Raum","21908.54","20485","2757","21497.8","22319.28"
"1988","Staedtischer Raum","22289.53","20344","10256","22057.48","22521.58"
"1989","Laendlicher Raum","23244.17","21211","2613","22766.15","23722.19"
"1989","Staedtischer Raum","23286.64","21494.5","9981","23038.26","23535.02"
"1990","Laendlicher Raum","23566.8","21719.5","2594","23110.67","24022.93"
"1990","Staedtischer Raum","24560.83","22283","9839","24277.83","24843.83"
"1991","Laendlicher Raum","25257.06","23294.5","2653","24754.3","25759.82"
"1991","Staedtischer Raum","26408.1","24019","9774","26125.46","26690.74"
"1992","Laendlicher Raum","23060.44","20925.5","6141","22768.55","23352.33"
"1992","Staedtischer Raum","26456.52","24093.5","11522","26195.3","26717.74"
"1993","Laendlicher Raum","24542.8","22285.5","6119","24226.26","24859.34"
"1993","Staedtischer Raum","27922.93","25576.5","11409","27647.36","28198.5"
"1994","Laendlicher Raum","26170.56","24436.5","5997","25818.06","26523.06"
"1994","Staedtischer Raum","28726.38","26358.5","11141","28445.48","29007.28"
"1995","Laendlicher Raum","26510.14","24157","6204","26147.34","26872.94"
"1995","Staedtischer Raum","28494.44","25863","11508","28216.04","28772.84"
"1996","Laendlicher Raum","27407.09","24825","6074","27056.3","27757.88"
"1996","Staedtischer Raum","28911.52","26459.5","11265","28627.54","29195.5"
"1997","Laendlicher Raum","27914.58","25446","5973","27539.06","28290.1"
"1997","Staedtischer Raum","29561.7","27163.5","11033","29280.9","29842.5"
"1998","Laendlicher Raum","27828.6","25748","6619","27488.88","28168.32"
"1998","Staedtischer Raum","29656.03","27070.5","12137","29371.26","29940.8"
"1999","Laendlicher Raum","28298.71","26371.5","6371","27939.05","28658.37"
"1999","Staedtischer Raum","30906.61","27791.5","11617","30609.32","31203.9"
"2000","Laendlicher Raum","29324.71","26889.5","11149","29021.46","29627.96"
"2000","Staedtischer Raum","31649.98","28646","20658","31405.44","31894.52"
"2001","Laendlicher Raum","30025.93","27966","9976","29710.95","30340.91"
"2001","Staedtischer Raum","32368.44","29055","18752","32096.88","32640"
"2002","Laendlicher Raum","30479.71","27934","10123","30074","30885.42"
"2002","Staedtischer Raum","33001.83","29075.5","19993","32590.34","33413.32"
"2003","Laendlicher Raum","31513.51","29329","9640","31100.68","31926.34"
"2003","Staedtischer Raum","33732.52","30207.5","19152","33329.11","34135.93"
"2004","Laendlicher Raum","31503.16","28645","9366","30735.55","32270.77"
"2004","Staedtischer Raum","33427.63","29801.5","18565","33028.71","33826.55"
"2005","Laendlicher Raum","32249.83","28847.5","8954","31378.06","33121.6"
"2005","Staedtischer Raum","34136.96","30288","17752","33712.27","34561.65"
"2006","Laendlicher Raum","31785.79","28321.5","9853","31274.48","32297.1"
"2006","Staedtischer Raum","34686.08","30116.5","18815","34231.7","35140.46"
"2007","Laendlicher Raum","32365.31","29220.5","9163","31895.45","32835.17"
"2007","Staedtischer Raum","35747.03","31182.5","17455","35270.31","36223.75"
"2008","Laendlicher Raum","33711.63","29448.5","8563","32991.41","34431.85"
"2008","Staedtischer Raum","36583.53","31802","16314","36094.07","37072.99"
"2009","Laendlicher Raum","33681.43","30728.5","8182","33149.4","34213.46"
"2009","Staedtischer Raum","37341.1","32177.5","15039","36805.21","37876.99"
"2010","Laendlicher Raum","33596.35","30329","13142","33243.83","33948.87"
"2010","Staedtischer Raum","37784.35","32739","24326","37422.24","38146.46"
"2011","Laendlicher Raum","35049.35","31536.5","15821","34705.28","35393.42"
"2011","Staedtischer Raum","38790.84","33562.5","28180","38439.68","39142"
"2012","Laendlicher Raum","34949.82","31600","15455","34612.66","35286.98"
"2012","Staedtischer Raum","39531.61","33898","26951","39108.01","39955.21"
"2013","Laendlicher Raum","35288.04","31186.5","16152","34938.99","35637.09"
"2013","Staedtischer Raum","39999.29","34355.5","31513","39630.44","40368.14"
"2014","Laendlicher Raum","35744.65","31982.5","14364","35363.05","36126.25"
"2014","Staedtischer Raum","40876.87","34893.5","27143","40469.3","41284.44"
"2015","Laendlicher Raum","36367.47","32388","14124","36009.08","36725.86"
"2015","Staedtischer Raum","41002","35425","26928","40642.58","41361.42"
"2016","Laendlicher Raum","38111.77","34148.5","12782","37625.36","38598.18"
"2016","Staedtischer Raum","42313.12","36823.5","24008","41882.12","42744.12"
"2017","Laendlicher Raum","39706.66","35045","15191","39236.98","40176.34"
"2017","Staedtischer Raum","43264.91","37732","29456","42848.44","43681.38"
"2018","Laendlicher Raum","39778.47","35945.5","15352","39366.29","40190.65"
"2018","Staedtischer Raum","44395.52","38572","31134","43995.79","44795.25"
"2019","Laendlicher Raum","42178.88","37585.5","15495","41485.46","42872.3"
"2019","Staedtischer Raum","46993.5","40331","31216","45616.96","48370.04"
"2020","Laendlicher Raum","43581.37","38843","15196","42471.89","44690.85"
"2020","Staedtischer Raum","49222.08","42284","31354","47776.34","50667.82"
