"year","regtyp","sampreg","mean","median","n","lower_confidence","upper_confidence"
"1985","Laendlicher Raum","Ostdeutschland","","","","",""
"1985","Laendlicher Raum","Westdeutschland","19783.58","18568.5","3140","19412.1","20155.06"
"1985","Staedtischer Raum","Ostdeutschland","","","","",""
"1985","Staedtischer Raum","Westdeutschland","20429.91","18444","11458","20229.4","20630.42"
"1986","Laendlicher Raum","Ostdeutschland","","","","",""
"1986","Laendlicher Raum","Westdeutschland","20996.79","19500.5","2998","20533.03","21460.55"
"1986","Staedtischer Raum","Ostdeutschland","","","","",""
"1986","Staedtischer Raum","Westdeutschland","20551.29","18973.5","10896","20346.3","20756.28"
"1987","Laendlicher Raum","Ostdeutschland","","","","",""
"1987","Laendlicher Raum","Westdeutschland","21256.09","19745","2939","20857.37","21654.81"
"1987","Staedtischer Raum","Ostdeutschland","","","","",""
"1987","Staedtischer Raum","Westdeutschland","21701.04","19947.5","10703","21485.6","21916.48"
"1988","Laendlicher Raum","Ostdeutschland","","","","",""
"1988","Laendlicher Raum","Westdeutschland","21908.54","20485","2757","21497.8","22319.28"
"1988","Staedtischer Raum","Ostdeutschland","","","","",""
"1988","Staedtischer Raum","Westdeutschland","22289.53","20344","10256","22057.48","22521.58"
"1989","Laendlicher Raum","Ostdeutschland","","","","",""
"1989","Laendlicher Raum","Westdeutschland","23244.17","21211","2613","22766.15","23722.19"
"1989","Staedtischer Raum","Ostdeutschland","","","","",""
"1989","Staedtischer Raum","Westdeutschland","23286.64","21494.5","9981","23038.26","23535.02"
"1990","Laendlicher Raum","Ostdeutschland","","","","",""
"1990","Laendlicher Raum","Westdeutschland","23566.8","21719.5","2594","23110.67","24022.93"
"1990","Staedtischer Raum","Ostdeutschland","","","","",""
"1990","Staedtischer Raum","Westdeutschland","24560.83","22283","9839","24277.83","24843.83"
"1991","Laendlicher Raum","Ostdeutschland","","","","",""
"1991","Laendlicher Raum","Westdeutschland","25257.06","23294.5","2653","24754.3","25759.82"
"1991","Staedtischer Raum","Ostdeutschland","","","","",""
"1991","Staedtischer Raum","Westdeutschland","26408.1","24019","9774","26125.46","26690.74"
"1992","Laendlicher Raum","Ostdeutschland","17260.35","16700","3460","16996.46","17524.24"
"1992","Laendlicher Raum","Westdeutschland","26692.23","24784.5","2681","26178.47","27205.99"
"1992","Staedtischer Raum","Ostdeutschland","17881.24","16659.5","1782","17474.46","18288.02"
"1992","Staedtischer Raum","Westdeutschland","27439.5","24990","9740","27148.16","27730.84"
"1993","Laendlicher Raum","Ostdeutschland","20043.12","19563","3415","19728.04","20358.2"
"1993","Laendlicher Raum","Westdeutschland","27510.77","25283","2704","26953.24","28068.3"
"1993","Staedtischer Raum","Ostdeutschland","21430.62","19857.5","1752","20935.25","21925.99"
"1993","Staedtischer Raum","Westdeutschland","28672.36","26177.5","9657","28363.73","28980.99"
"1994","Laendlicher Raum","Ostdeutschland","22425.24","21398","3312","22031.13","22819.35"
"1994","Laendlicher Raum","Westdeutschland","28559.41","26141.5","2685","27962.88","29155.94"
"1994","Staedtischer Raum","Ostdeutschland","23678.35","22216.5","1720","23097.14","24259.56"
"1994","Staedtischer Raum","Westdeutschland","29300.84","26829","9421","28988.4","29613.28"
"1995","Laendlicher Raum","Ostdeutschland","22988.9","21892.5","3283","22592.54","23385.26"
"1995","Laendlicher Raum","Westdeutschland","28700.82","26456.5","2921","28086.3","29315.34"
"1995","Staedtischer Raum","Ostdeutschland","24202.07","22066","1578","23588.12","24816.02"
"1995","Staedtischer Raum","Westdeutschland","28939.86","26294.5","9930","28633.55","29246.17"
"1996","Laendlicher Raum","Ostdeutschland","23742.99","22300","3195","23345.78","24140.2"
"1996","Laendlicher Raum","Westdeutschland","29627.99","27253","2879","29046.99","30208.99"
"1996","Staedtischer Raum","Ostdeutschland","25018.03","22633","1602","24419","25617.06"
"1996","Staedtischer Raum","Westdeutschland","29327.61","26818","9663","29012.8","29642.42"
"1997","Laendlicher Raum","Ostdeutschland","24511.46","22840.5","3137","24043.8","24979.12"
"1997","Laendlicher Raum","Westdeutschland","29984.21","27289.5","2836","29396.97","30571.45"
"1997","Staedtischer Raum","Ostdeutschland","25427.23","23409.5","1546","24805.01","26049.45"
"1997","Staedtischer Raum","Westdeutschland","29993.17","27374.5","9487","29683.99","30302.35"
"1998","Laendlicher Raum","Ostdeutschland","24392.64","22974.5","3349","23975.48","24809.8"
"1998","Laendlicher Raum","Westdeutschland","29963.24","27832","3270","29435.89","30490.59"
"1998","Staedtischer Raum","Ostdeutschland","26214.67","23629.5","1585","25545.56","26883.78"
"1998","Staedtischer Raum","Westdeutschland","29999.79","27416","10552","29688.8","30310.78"
"1999","Laendlicher Raum","Ostdeutschland","24922.4","23630","3228","24482.82","25361.98"
"1999","Laendlicher Raum","Westdeutschland","30321.68","28379.5","3143","29761.5","30881.86"
"1999","Staedtischer Raum","Ostdeutschland","27681.08","24730","1543","26906.36","28455.8"
"1999","Staedtischer Raum","Westdeutschland","31224.55","28185","10074","30903.74","31545.36"
"2000","Laendlicher Raum","Ostdeutschland","26091.51","24267","5019","25672.84","26510.18"
"2000","Laendlicher Raum","Westdeutschland","31322.5","28673.5","6130","30897.04","31747.96"
"2000","Staedtischer Raum","Ostdeutschland","27631.09","24119.5","2338","26978.25","28283.93"
"2000","Staedtischer Raum","Westdeutschland","32038","29096.5","18320","31776.26","32299.74"
"2001","Laendlicher Raum","Ostdeutschland","26420.75","24610.5","4564","26037.64","26803.86"
"2001","Laendlicher Raum","Westdeutschland","32187.58","29977","5412","31714.56","32660.6"
"2001","Staedtischer Raum","Ostdeutschland","27398.25","24264.5","2174","26737.62","28058.88"
"2001","Staedtischer Raum","Westdeutschland","32851.95","29646.5","16578","32558.65","33145.25"
"2002","Laendlicher Raum","Ostdeutschland","26601.51","24679.5","4521","26091.69","27111.33"
"2002","Laendlicher Raum","Westdeutschland","32770.47","30481.5","5602","32176.71","33364.23"
"2002","Staedtischer Raum","Ostdeutschland","27534.72","24437","2183","26642.05","28427.39"
"2002","Staedtischer Raum","Westdeutschland","33531.11","29635","17810","33084.51","33977.71"
"2003","Laendlicher Raum","Ostdeutschland","27538.06","25329.5","4413","27031.37","28044.75"
"2003","Laendlicher Raum","Westdeutschland","33948.19","32446","5227","33333.89","34562.49"
"2003","Staedtischer Raum","Ostdeutschland","27897.04","25493","2134","27013.73","28780.35"
"2003","Staedtischer Raum","Westdeutschland","34278.61","30628.5","17018","33840.82","34716.4"
"2004","Laendlicher Raum","Ostdeutschland","27404.91","24770.5","4261","26901.68","27908.14"
"2004","Laendlicher Raum","Westdeutschland","33924.22","31280.5","5105","32588.94","35259.5"
"2004","Staedtischer Raum","Ostdeutschland","27242.23","24934.5","2117","26404.57","28079.89"
"2004","Staedtischer Raum","Westdeutschland","34029.04","30459.5","16448","33594.59","34463.49"
"2005","Laendlicher Raum","Ostdeutschland","27510.88","24677.5","4100","26960.39","28061.37"
"2005","Laendlicher Raum","Westdeutschland","35008.04","31904.5","4854","33476.89","36539.19"
"2005","Staedtischer Raum","Ostdeutschland","27705.47","24689.5","2051","26792.41","28618.53"
"2005","Staedtischer Raum","Westdeutschland","34779.78","30966.5","15701","34317.47","35242.09"
"2006","Laendlicher Raum","Ostdeutschland","26961.66","23616","4391","26417.59","27505.73"
"2006","Laendlicher Raum","Westdeutschland","34545.21","31021","5462","33744.56","35345.86"
"2006","Staedtischer Raum","Ostdeutschland","27132.07","23771","2149","26202.67","28061.47"
"2006","Staedtischer Raum","Westdeutschland","35423.15","30743","16666","34927.24","35919.06"
"2007","Laendlicher Raum","Ostdeutschland","27839.06","24953","4102","27264.65","28413.47"
"2007","Laendlicher Raum","Westdeutschland","34965.88","32076.5","5061","34267.2","35664.56"
"2007","Staedtischer Raum","Ostdeutschland","28020.21","24408.5","2022","27012.57","29027.85"
"2007","Staedtischer Raum","Westdeutschland","36498.13","31780","15433","35978.48","37017.78"
"2008","Laendlicher Raum","Ostdeutschland","28713.21","25128.5","3867","28122.92","29303.5"
"2008","Laendlicher Raum","Westdeutschland","36522.29","33038","4696","35312.83","37731.75"
"2008","Staedtischer Raum","Ostdeutschland","27744.12","25543.5","1954","26669.98","28818.26"
"2008","Staedtischer Raum","Westdeutschland","37453.99","32567","14360","36921.47","37986.51"
"2009","Laendlicher Raum","Ostdeutschland","29468.68","25901","3722","28824.32","30113.04"
"2009","Laendlicher Raum","Westdeutschland","36118.21","33436","4460","35314.26","36922.16"
"2009","Staedtischer Raum","Ostdeutschland","29272.16","26037.5","1860","28271.39","30272.93"
"2009","Staedtischer Raum","Westdeutschland","38151.56","32918","13179","37561.07","38742.05"
"2010","Laendlicher Raum","Ostdeutschland","29312.26","25454.5","5197","28810.29","29814.23"
"2010","Laendlicher Raum","Westdeutschland","35942.6","33114.5","7945","35467.84","36417.36"
"2010","Staedtischer Raum","Ostdeutschland","29386.37","25293.5","2733","28584.16","30188.58"
"2010","Staedtischer Raum","Westdeutschland","38599.49","33652.5","21593","38206.87","38992.11"
"2011","Laendlicher Raum","Ostdeutschland","29876.14","25869.5","5936","29367.97","30384.31"
"2011","Laendlicher Raum","Westdeutschland","37764.07","34261.5","9885","37313.26","38214.88"
"2011","Staedtischer Raum","Ostdeutschland","29713.47","26564.5","3210","29075.31","30351.63"
"2011","Staedtischer Raum","Westdeutschland","39674.78","34449","24970","39289.59","40059.97"
"2012","Laendlicher Raum","Ostdeutschland","29549.62","26101","5795","29063.57","30035.67"
"2012","Laendlicher Raum","Westdeutschland","37731.77","34273.5","9660","37286.64","38176.9"
"2012","Staedtischer Raum","Ostdeutschland","30757.41","26855.5","3075","30042.66","31472.16"
"2012","Staedtischer Raum","Westdeutschland","40367.84","34852","23876","39900.85","40834.83"
"2013","Laendlicher Raum","Ostdeutschland","30436","26855","5702","29942.84","30929.16"
"2013","Laendlicher Raum","Westdeutschland","37835.47","33801","10450","37374.55","38296.39"
"2013","Staedtischer Raum","Ostdeutschland","31406.51","27340","3134","30695.32","32117.7"
"2013","Staedtischer Raum","Westdeutschland","40792.95","35026","28379","40392.43","41193.47"
"2014","Laendlicher Raum","Ostdeutschland","30784.51","26859","5192","30235.6","31333.42"
"2014","Laendlicher Raum","Westdeutschland","38329.47","34348","9172","37827.1","38831.84"
"2014","Staedtischer Raum","Ostdeutschland","31983.63","27798.5","2830","31238.99","32728.27"
"2014","Staedtischer Raum","Westdeutschland","41724.55","35796","24313","41279.95","42169.15"
"2015","Laendlicher Raum","Ostdeutschland","31095.91","27462","4945","30581.07","31610.75"
"2015","Laendlicher Raum","Westdeutschland","39062.28","35154.5","9179","38593.65","39530.91"
"2015","Staedtischer Raum","Ostdeutschland","32594.69","28611","2778","31888.35","33301.03"
"2015","Staedtischer Raum","Westdeutschland","41821.03","36416","24150","41430.63","42211.43"
"2016","Laendlicher Raum","Ostdeutschland","32907.21","28635","4616","32137.87","33676.55"
"2016","Laendlicher Raum","Westdeutschland","40788.51","36754.5","8166","40170.63","41406.39"
"2016","Staedtischer Raum","Ostdeutschland","33852.34","29397","2539","32951.14","34753.54"
"2016","Staedtischer Raum","Westdeutschland","43113.03","37497.5","21469","42645.28","43580.78"
"2017","Laendlicher Raum","Ostdeutschland","33633.06","29594","5574","33104.56","34161.56"
"2017","Laendlicher Raum","Westdeutschland","42841.34","37654.5","9617","42172.67","43510.01"
"2017","Staedtischer Raum","Ostdeutschland","34537.41","30387.5","3075","33734.2","35340.62"
"2017","Staedtischer Raum","Westdeutschland","44078.3","38638","26381","43624.16","44532.44"
"2018","Laendlicher Raum","Ostdeutschland","34183.23","31025.5","5639","33635.3","34731.16"
"2018","Laendlicher Raum","Westdeutschland","42690.95","38081","9713","42128.92","43252.98"
"2018","Staedtischer Raum","Ostdeutschland","34831.15","31654","3334","34032.03","35630.27"
"2018","Staedtischer Raum","Westdeutschland","45297.52","39592.5","27800","44861.53","45733.51"
"2019","Laendlicher Raum","Ostdeutschland","37047.1","33234.5","5877","35821.73","38272.47"
"2019","Laendlicher Raum","Westdeutschland","44842.28","39592","9618","44013.86","45670.7"
"2019","Staedtischer Raum","Ostdeutschland","37671.62","33979.5","3367","35851.96","39491.28"
"2019","Staedtischer Raum","Westdeutschland","47851.72","41071.5","27849","46325.08","49378.36"
"2020","Laendlicher Raum","Ostdeutschland","38222.77","33401","5528","37026.22","39419.32"
"2020","Laendlicher Raum","Westdeutschland","46301.75","41022.5","9668","44698.35","47905.15"
"2020","Staedtischer Raum","Ostdeutschland","39311.15","35572.5","3266","37013.81","41608.49"
"2020","Staedtischer Raum","Westdeutschland","50152.37","43124.5","28088","48561.1","51743.64"
