"year","sampreg","mean","median","n","lower_confidence","upper_confidence"
"1984","Ostdeutschland","","","","",""
"1984","Westdeutschland","19917.83","18105.5","16176","19745.89","20089.77"
"1985","Ostdeutschland","","","","",""
"1985","Westdeutschland","20267.5","18501","14598","20091.01","20443.99"
"1986","Ostdeutschland","","","","",""
"1986","Westdeutschland","20662.16","19177","13894","20472.8","20851.52"
"1987","Ostdeutschland","","","","",""
"1987","Westdeutschland","21591.21","19893.5","13642","21401.63","21780.79"
"1988","Ostdeutschland","","","","",""
"1988","Westdeutschland","22197","20418.5","13013","21994.49","22399.51"
"1989","Ostdeutschland","","","","",""
"1989","Westdeutschland","23276.59","21382.5","12594","23056.18","23497"
"1990","Ostdeutschland","","","","",""
"1990","Westdeutschland","24328.76","22171","12433","24085.41","24572.11"
"1991","Ostdeutschland","","","","",""
"1991","Westdeutschland","26129.49","23812.5","12427","25882.6","26376.38"
"1992","Ostdeutschland","17533.23","16718.5","5401","17313.23","17753.23"
"1992","Westdeutschland","27256.29","24951.5","12441","27002.46","27510.12"
"1993","Ostdeutschland","20537.52","19590.5","5167","20269.43","20805.61"
"1993","Westdeutschland","28393.35","25999.5","12361","28123.15","28663.55"
"1994","Ostdeutschland","22873.64","21701.5","5032","22546.75","23200.53"
"1994","Westdeutschland","29121.01","26622.5","12106","28844.24","29397.78"
"1995","Ostdeutschland","23400.74","21917","4861","23066.94","23734.54"
"1995","Westdeutschland","28881.29","26358","12851","28606.48","29156.1"
"1996","Ostdeutschland","24195.85","22382","4797","23864.14","24527.56"
"1996","Westdeutschland","29400.45","26877.5","12542","29123.66","29677.24"
"1997","Ostdeutschland","24830.18","23053","4683","24455.7","25204.66"
"1997","Westdeutschland","29983.93","27348.5","12324","29710.21","30257.65"
"1998","Ostdeutschland","25002.64","23202","4934","24647.04","25358.24"
"1998","Westdeutschland","29990.94","27562","13822","29722.76","30259.12"
"1999","Ostdeutschland","25856.39","23887.5","4771","25467.21","26245.57"
"1999","Westdeutschland","31004.95","28240.5","13217","30726.53","31283.37"
"2000","Ostdeutschland","26595.98","24194.5","7357","26243.04","26948.92"
"2000","Westdeutschland","31864.29","28990","24450","31641.02","32087.56"
"2001","Ostdeutschland","26748.77","24474.5","6738","26413.03","27084.51"
"2001","Westdeutschland","32690.41","29716.5","21990","32440.51","32940.31"
"2002","Ostdeutschland","26912.98","24591.5","6704","26462.68","27363.28"
"2002","Westdeutschland","33343.6","29825.5","23412","32974.95","33712.25"
"2003","Ostdeutschland","27654.48","25446","6547","27207.83","28101.13"
"2003","Westdeutschland","34198.82","31124","22245","33833.87","34563.77"
"2004","Ostdeutschland","27350","24804.5","6378","26913.85","27786.15"
"2004","Westdeutschland","34003.45","30747","21553","33545.25","34461.65"
"2005","Ostdeutschland","27577.7","24689.5","6151","27101.02","28054.38"
"2005","Westdeutschland","34836.2","31179.5","20555","34330.78","35341.62"
"2006","Ostdeutschland","27019.23","23674.5","6540","26543.2","27495.26"
"2006","Westdeutschland","35203.18","30851.5","22128","34780.25","35626.11"
"2007","Ostdeutschland","27899.96","24896","6124","27391.37","28408.55"
"2007","Westdeutschland","36114.39","31872","20494","35686.08","36542.7"
"2008","Ostdeutschland","28381.75","25344","5821","27849.22","28914.28"
"2008","Westdeutschland","37219.2","32570.5","19056","36719.02","37719.38"
"2009","Ostdeutschland","29402.08","26001","5582","28858.26","29945.9"
"2009","Westdeutschland","37637.06","33090","17639","37150.43","38123.69"
"2010","Ostdeutschland","29337.91","25371.5","7930","28908.24","29767.58"
"2010","Westdeutschland","37933.16","33514.5","29538","37618.19","38248.13"
"2011","Ostdeutschland","29819.52","26285.5","9146","29420.9","30218.14"
"2011","Westdeutschland","39181.95","34375.5","34855","38877.23","39486.67"
"2012","Ostdeutschland","29967.03","26390.5","8870","29564.15","30369.91"
"2012","Westdeutschland","39683.96","34646.5","33536","39326.93","40040.99"
"2013","Ostdeutschland","30763.14","27012","8836","30357.06","31169.22"
"2013","Westdeutschland","40032.75","34565","38829","39714.53","40350.97"
"2014","Ostdeutschland","31203.65","27384","8022","30761.88","31645.42"
"2014","Westdeutschland","40862.4","35356.5","33485","40511.04","41213.76"
"2015","Ostdeutschland","31629.85","27663.5","7723","31213.73","32045.97"
"2015","Westdeutschland","41114.36","36070","33329","40803.09","41425.63"
"2016","Ostdeutschland","33239.85","29038.5","7155","32649.54","33830.16"
"2016","Westdeutschland","42525.18","37210.5","29635","42145.54","42904.82"
"2017","Ostdeutschland","33955.09","29815.5","8649","33510.56","34399.62"
"2017","Westdeutschland","43773.82","38361.5","35998","43395.99","44151.65"
"2018","Ostdeutschland","34415.57","31204","8973","33960.98","34870.16"
"2018","Westdeutschland","44659.57","39087.5","37513","44305.15","45013.99"
"2019","Ostdeutschland","37249.32","33740.5","9360","36237.43","38261.21"
"2019","Westdeutschland","47072.55","40725.5","38057","45933.84","48211.26"
"2020","Ostdeutschland","38608.61","34259.5","8794","37471.41","39745.81"
"2020","Westdeutschland","49182.53","42443","37756","47929.34","50435.72"
