year,sex,plh0033,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,male,Very concerned,0.15294,1262,5876,0.14373,0.16214
1984,male,Somewhat concerned,0.34510,2566,5876,0.33295,0.35726
1984,male,Not concerned at all,0.30305,2048,5876,0.29130,0.31480
1984,female,Very concerned,0.14813,1250,6130,0.13923,0.15702
1984,female,Somewhat concerned,0.34435,2636,6130,0.33246,0.35625
1984,female,Not concerned at all,0.33600,2244,6130,0.32417,0.34782
1985,male,Very concerned,0.16170,1157,5346,0.15183,0.17157
1985,male,Somewhat concerned,0.34805,2367,5346,0.33528,0.36082
1985,male,Not concerned at all,0.30575,1822,5346,0.29339,0.31810
1985,female,Very concerned,0.14747,1074,5511,0.13811,0.15683
1985,female,Somewhat concerned,0.36935,2500,5511,0.35660,0.38209
1985,female,Not concerned at all,0.31645,1937,5511,0.30417,0.32873
1986,male,Very concerned,0.13336,981,5160,0.12408,0.14263
1986,male,Somewhat concerned,0.32900,2163,5160,0.31618,0.34182
1986,male,Not concerned at all,0.35305,2016,5160,0.34001,0.36610
1986,female,Very concerned,0.12330,888,5251,0.11441,0.13219
1986,female,Somewhat concerned,0.33439,2227,5251,0.32163,0.34715
1986,female,Not concerned at all,0.36979,2136,5251,0.35673,0.38285
1987,male,Very concerned,0.12705,893,5103,0.11791,0.13618
1987,male,Somewhat concerned,0.36436,2371,5103,0.35115,0.37756
1987,male,Not concerned at all,0.31871,1839,5103,0.30592,0.33150
1987,female,Very concerned,0.12313,889,5182,0.11419,0.13208
1987,female,Somewhat concerned,0.36197,2366,5182,0.34889,0.37506
1987,female,Not concerned at all,0.34304,1927,5182,0.33012,0.35597
1988,male,Very concerned,0.12760,906,4877,0.11824,0.13697
1988,male,Somewhat concerned,0.35961,2244,4877,0.34614,0.37308
1988,male,Not concerned at all,0.32834,1727,4877,0.31516,0.34153
1988,female,Very concerned,0.12561,862,4959,0.11639,0.13484
1988,female,Somewhat concerned,0.37065,2322,4959,0.35721,0.38409
1988,female,Not concerned at all,0.33220,1775,4959,0.31909,0.34531
1989,male,Very concerned,0.10521,762,4701,0.09644,0.11398
1989,male,Somewhat concerned,0.33783,2015,4701,0.32431,0.35135
1989,male,Not concerned at all,0.37283,1924,4701,0.35900,0.38665
1989,female,Very concerned,0.10187,703,4810,0.09332,0.11042
1989,female,Somewhat concerned,0.36306,2221,4810,0.34947,0.37665
1989,female,Not concerned at all,0.36263,1886,4810,0.34904,0.37621
1990,male,Very concerned,0.12660,1329,6723,0.11865,0.13455
1990,male,Somewhat concerned,0.34999,3161,6723,0.33858,0.36139
1990,male,Not concerned at all,0.32958,2233,6723,0.31834,0.34081
1990,female,Very concerned,0.12780,1421,7021,0.11999,0.13561
1990,female,Somewhat concerned,0.37522,3429,7021,0.36389,0.38654
1990,female,Not concerned at all,0.31554,2171,7021,0.30467,0.32642
1991,male,Very concerned,0.13130,1359,6588,0.12314,0.13945
1991,male,Somewhat concerned,0.34857,3020,6588,0.33706,0.36007
1991,male,Not concerned at all,0.32566,2209,6588,0.31434,0.33697
1991,female,Very concerned,0.13341,1441,6879,0.12538,0.14145
1991,female,Somewhat concerned,0.37005,3293,6879,0.35864,0.38146
1991,female,Not concerned at all,0.31884,2145,6879,0.30783,0.32985
1992,male,Very concerned,0.12927,1281,6417,0.12106,0.13748
1992,male,Somewhat concerned,0.39094,3175,6417,0.37900,0.40288
1992,male,Not concerned at all,0.28778,1961,6417,0.27670,0.29885
1992,female,Very concerned,0.14475,1447,6768,0.13637,0.15313
1992,female,Somewhat concerned,0.40537,3455,6768,0.39367,0.41707
1992,female,Not concerned at all,0.27069,1866,6768,0.26010,0.28128
1993,male,Very concerned,0.14072,1311,6325,0.13215,0.14929
1993,male,Somewhat concerned,0.40855,3251,6325,0.39643,0.42067
1993,male,Not concerned at all,0.25902,1763,6325,0.24822,0.26982
1993,female,Very concerned,0.13798,1358,6675,0.12970,0.14625
1993,female,Somewhat concerned,0.40956,3458,6675,0.39776,0.42136
1993,female,Not concerned at all,0.27346,1859,6675,0.26277,0.28415
1994,male,Very concerned,0.15496,1352,6183,0.14593,0.16398
1994,male,Somewhat concerned,0.40936,3263,6183,0.39710,0.42162
1994,male,Not concerned at all,0.24129,1568,6183,0.23062,0.25195
1994,female,Very concerned,0.15386,1446,6613,0.14517,0.16256
1994,female,Somewhat concerned,0.42220,3515,6613,0.41030,0.43411
1994,female,Not concerned at all,0.24922,1652,6613,0.23880,0.25965
1995,male,Very concerned,0.14230,1314,6358,0.13372,0.15089
1995,male,Somewhat concerned,0.39496,3273,6358,0.38295,0.40698
1995,male,Not concerned at all,0.26498,1771,6358,0.25414,0.27583
1995,female,Very concerned,0.13961,1375,6801,0.13138,0.14785
1995,female,Somewhat concerned,0.40156,3509,6801,0.38991,0.41321
1995,female,Not concerned at all,0.27952,1917,6801,0.26885,0.29019
1996,male,Very concerned,0.13830,1278,6273,0.12975,0.14684
1996,male,Somewhat concerned,0.42014,3367,6273,0.40792,0.43235
1996,male,Not concerned at all,0.24823,1628,6273,0.23754,0.25892
1996,female,Very concerned,0.13689,1308,6722,0.12868,0.14511
1996,female,Somewhat concerned,0.43802,3666,6722,0.42615,0.44988
1996,female,Not concerned at all,0.25291,1748,6722,0.24251,0.26330
1997,male,Very concerned,0.16409,1401,6194,0.15486,0.17331
1997,male,Somewhat concerned,0.43921,3461,6194,0.42685,0.45157
1997,male,Not concerned at all,0.20718,1332,6194,0.19709,0.21727
1997,female,Very concerned,0.15968,1451,6584,0.15083,0.16853
1997,female,Somewhat concerned,0.45407,3727,6584,0.44204,0.46610
1997,female,Not concerned at all,0.21534,1406,6584,0.20541,0.22527
