year,age_gr,bula_h,plh0033,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,17-29 y.,Schleswig-Holstein,Somewhat concerned,0.47639,48,80,0.36625,0.58653
1984,17-29 y.,Schleswig-Holstein,Not concerned at all,0.32870,32,80,0.22512,0.43229
1984,17-29 y.,Lower Saxony,Very concerned,0.23294,80,333,0.18747,0.27841
1984,17-29 y.,Lower Saxony,Somewhat concerned,0.48406,165,333,0.43030,0.53781
1984,17-29 y.,Lower Saxony,Not concerned at all,0.27715,88,333,0.22900,0.32529
1984,17-29 y.,North Rhine-Westphalia,Very concerned,0.23142,242,955,0.20465,0.25818
1984,17-29 y.,North Rhine-Westphalia,Somewhat concerned,0.46802,451,955,0.43635,0.49968
1984,17-29 y.,North Rhine-Westphalia,Not concerned at all,0.28768,262,955,0.25896,0.31641
1984,17-29 y.,Hesse,Very concerned,0.22591,92,374,0.18347,0.26835
1984,17-29 y.,Hesse,Somewhat concerned,0.41727,172,374,0.36722,0.46731
1984,17-29 y.,Hesse,Not concerned at all,0.34284,110,374,0.29467,0.39101
1984,17-29 y.,"Rhineland-Palatinate, Saarland",Very concerned,0.21684,55,244,0.16503,0.26866
1984,17-29 y.,"Rhineland-Palatinate, Saarland",Somewhat concerned,0.61012,146,244,0.54880,0.67144
1984,17-29 y.,"Rhineland-Palatinate, Saarland",Not concerned at all,0.16380,43,244,0.11726,0.21033
1984,17-29 y.,Baden-Wuerttemberg,Very concerned,0.17350,139,643,0.14421,0.20279
1984,17-29 y.,Baden-Wuerttemberg,Somewhat concerned,0.48862,299,643,0.44995,0.52729
1984,17-29 y.,Baden-Wuerttemberg,Not concerned at all,0.32429,205,643,0.28808,0.36050
1984,17-29 y.,Bavaria,Very concerned,0.18126,126,555,0.14918,0.21334
1984,17-29 y.,Bavaria,Somewhat concerned,0.49356,265,555,0.45193,0.53519
1984,17-29 y.,Bavaria,Not concerned at all,0.29319,164,555,0.25529,0.33110
1984,17-29 y.,Berlin,Somewhat concerned,0.46567,48,48,0.32306,0.60828
1984,30-45 y.,Schleswig-Holstein,Somewhat concerned,0.39859,59,112,0.30751,0.48968
1984,30-45 y.,Schleswig-Holstein,Not concerned at all,0.39459,53,112,0.30366,0.48552
1984,30-45 y.,Hamburg,Very concerned,0.24993,36,121,0.17246,0.32739
1984,30-45 y.,Hamburg,Somewhat concerned,0.37982,48,121,0.29298,0.46666
1984,30-45 y.,Hamburg,Not concerned at all,0.35810,37,121,0.27232,0.44389
1984,30-45 y.,Lower Saxony,Very concerned,0.19944,82,383,0.15937,0.23951
1984,30-45 y.,Lower Saxony,Somewhat concerned,0.44641,170,383,0.39656,0.49627
1984,30-45 y.,Lower Saxony,Not concerned at all,0.33243,131,383,0.28519,0.37967
1984,30-45 y.,North Rhine-Westphalia,Very concerned,0.22167,268,1079,0.19687,0.24646
1984,30-45 y.,North Rhine-Westphalia,Somewhat concerned,0.43794,474,1079,0.40832,0.46756
1984,30-45 y.,North Rhine-Westphalia,Not concerned at all,0.32902,337,1079,0.30097,0.35707
1984,30-45 y.,Hesse,Very concerned,0.20414,82,365,0.16273,0.24555
1984,30-45 y.,Hesse,Somewhat concerned,0.39931,151,365,0.34900,0.44963
1984,30-45 y.,Hesse,Not concerned at all,0.38128,132,365,0.33138,0.43118
1984,30-45 y.,"Rhineland-Palatinate, Saarland",Very concerned,0.25152,54,206,0.19212,0.31092
1984,30-45 y.,"Rhineland-Palatinate, Saarland",Somewhat concerned,0.43873,92,206,0.37080,0.50666
1984,30-45 y.,"Rhineland-Palatinate, Saarland",Not concerned at all,0.30243,60,206,0.23956,0.36531
1984,30-45 y.,Baden-Wuerttemberg,Very concerned,0.13052,124,735,0.10615,0.15489
1984,30-45 y.,Baden-Wuerttemberg,Somewhat concerned,0.47844,337,735,0.44231,0.51458
1984,30-45 y.,Baden-Wuerttemberg,Not concerned at all,0.38274,274,735,0.34758,0.41791
1984,30-45 y.,Bavaria,Very concerned,0.16061,115,665,0.13268,0.18853
1984,30-45 y.,Bavaria,Somewhat concerned,0.46515,318,665,0.42721,0.50309
1984,30-45 y.,Bavaria,Not concerned at all,0.36554,232,665,0.32891,0.40217
1984,30-45 y.,Berlin,Somewhat concerned,0.51913,69,106,0.42356,0.61470
1984,30-45 y.,Berlin,Not concerned at all,0.29484,37,106,0.20762,0.38206
1984,46-65 y.,Schleswig-Holstein,Somewhat concerned,0.34942,37,92,0.25145,0.44738
1984,46-65 y.,Schleswig-Holstein,Not concerned at all,0.55159,55,92,0.44940,0.65377
1984,46-65 y.,Lower Saxony,Very concerned,0.17130,66,344,0.13143,0.21117
1984,46-65 y.,Lower Saxony,Somewhat concerned,0.45281,163,344,0.40013,0.50549
1984,46-65 y.,Lower Saxony,Not concerned at all,0.34053,115,344,0.29038,0.39069
1984,46-65 y.,North Rhine-Westphalia,Very concerned,0.23880,227,900,0.21092,0.26667
1984,46-65 y.,North Rhine-Westphalia,Somewhat concerned,0.41221,384,900,0.38003,0.44439
