year,plh0033,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Very concerned,0.15043,2512,12006,0.14403,0.15682
1984,Somewhat concerned,0.34471,5202,12006,0.33621,0.35321
1984,Not concerned at all,0.32026,4292,12006,0.31191,0.32860
1985,Very concerned,0.15426,2231,10857,0.14746,0.16105
1985,Somewhat concerned,0.35919,4867,10857,0.35016,0.36821
1985,Not concerned at all,0.31135,3759,10857,0.30264,0.32006
1986,Very concerned,0.12811,1869,10411,0.12169,0.13453
1986,Somewhat concerned,0.33182,4390,10411,0.32277,0.34086
1986,Not concerned at all,0.36179,4152,10411,0.35256,0.37102
1987,Very concerned,0.12501,1782,10285,0.11862,0.13140
1987,Somewhat concerned,0.36312,4737,10285,0.35382,0.37241
1987,Not concerned at all,0.33137,3766,10285,0.32227,0.34047
1988,Very concerned,0.12657,1768,9836,0.12000,0.13314
1988,Somewhat concerned,0.36533,4566,9836,0.35582,0.37485
1988,Not concerned at all,0.33034,3502,9836,0.32105,0.33964
1989,Very concerned,0.10348,1465,9511,0.09736,0.10960
1989,Somewhat concerned,0.35089,4236,9511,0.34130,0.36048
1989,Not concerned at all,0.36755,3810,9511,0.35786,0.37724
1990,Very concerned,0.12718,2750,13744,0.12161,0.13275
1990,Somewhat concerned,0.36289,6590,13744,0.35485,0.37093
1990,Not concerned at all,0.32224,4404,13744,0.31443,0.33005
1991,Very concerned,0.13239,2800,13467,0.12666,0.13811
1991,Somewhat concerned,0.35965,6313,13467,0.35154,0.36775
1991,Not concerned at all,0.32214,4354,13467,0.31425,0.33003
1992,Very concerned,0.13723,2728,13185,0.13136,0.14311
1992,Somewhat concerned,0.39836,6630,13185,0.39000,0.40672
1992,Not concerned at all,0.27899,3827,13185,0.27133,0.28664
1993,Very concerned,0.13931,2669,13000,0.13336,0.14526
1993,Somewhat concerned,0.40907,6709,13000,0.40062,0.41752
1993,Not concerned at all,0.26643,3622,13000,0.25883,0.27403
1994,Very concerned,0.15439,2798,12796,0.14813,0.16066
1994,Somewhat concerned,0.41595,6778,12796,0.40741,0.42449
1994,Not concerned at all,0.24536,3220,12796,0.23790,0.25281
1995,Very concerned,0.14093,2689,13159,0.13498,0.14687
1995,Somewhat concerned,0.39834,6782,13159,0.38998,0.40671
1995,Not concerned at all,0.27243,3688,13159,0.26483,0.28004
1996,Very concerned,0.13758,2586,12995,0.13166,0.14350
1996,Somewhat concerned,0.42929,7033,12995,0.42078,0.43780
1996,Not concerned at all,0.25063,3376,12995,0.24317,0.25808
1997,Very concerned,0.16183,2852,12778,0.15545,0.16822
1997,Somewhat concerned,0.44681,7188,12778,0.43819,0.45543
1997,Not concerned at all,0.21135,2738,12778,0.20427,0.21843
1998,Very concerned,0.18939,3577,14162,0.18294,0.19584
