year,sampreg,plh0033,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,West,Very concerned,0.15043,2512,12006,0.14403,0.15682
1984,West,Somewhat concerned,0.34471,5202,12006,0.33621,0.35321
1984,West,Not concerned at all,0.32026,4292,12006,0.31191,0.32860
1985,West,Very concerned,0.15426,2231,10857,0.14746,0.16105
1985,West,Somewhat concerned,0.35919,4867,10857,0.35016,0.36821
1985,West,Not concerned at all,0.31135,3759,10857,0.30264,0.32006
1986,West,Very concerned,0.12811,1869,10411,0.12169,0.13453
1986,West,Somewhat concerned,0.33182,4390,10411,0.32277,0.34086
1986,West,Not concerned at all,0.36179,4152,10411,0.35256,0.37102
1987,West,Very concerned,0.12501,1782,10285,0.11862,0.13140
1987,West,Somewhat concerned,0.36312,4737,10285,0.35382,0.37241
1987,West,Not concerned at all,0.33137,3766,10285,0.32227,0.34047
1988,West,Very concerned,0.12657,1768,9836,0.12000,0.13314
1988,West,Somewhat concerned,0.36533,4566,9836,0.35582,0.37485
1988,West,Not concerned at all,0.33034,3502,9836,0.32105,0.33964
1989,West,Very concerned,0.10348,1465,9511,0.09736,0.10960
1989,West,Somewhat concerned,0.35089,4236,9511,0.34130,0.36048
1989,West,Not concerned at all,0.36755,3810,9511,0.35786,0.37724
1990,West,Very concerned,0.10265,1438,9336,0.09650,0.10881
1990,West,Somewhat concerned,0.34023,4026,9336,0.33062,0.34984
1990,West,Not concerned at all,0.37840,3872,9336,0.36856,0.38824
1990,East,Very concerned,0.22094,1312,4408,0.20869,0.23319
1990,East,Somewhat concerned,0.44953,2564,4408,0.43484,0.46422
1990,East,Not concerned at all,0.10756,532,4408,0.09841,0.11670
1991,West,Very concerned,0.08708,1196,9347,0.08137,0.09280
1991,West,Somewhat concerned,0.34697,4196,9347,0.33732,0.35662
1991,West,Not concerned at all,0.38283,3955,9347,0.37298,0.39269
1991,East,Very concerned,0.30517,1604,4120,0.29111,0.31923
1991,East,Somewhat concerned,0.40801,2117,4120,0.39300,0.42302
1991,East,Not concerned at all,0.09068,399,4120,0.08191,0.09944
1992,West,Very concerned,0.10896,1477,9243,0.10261,0.11531
1992,West,Somewhat concerned,0.38612,4417,9243,0.37619,0.39604
1992,West,Not concerned at all,0.32185,3349,9243,0.31233,0.33138
1992,East,Very concerned,0.24754,1251,3942,0.23406,0.26101
1992,East,Somewhat concerned,0.44613,2213,3942,0.43061,0.46165
1992,East,Not concerned at all,0.11175,478,3942,0.10191,0.12159
1993,West,Very concerned,0.11707,1599,9190,0.11050,0.12364
1993,West,Somewhat concerned,0.40088,4582,9190,0.39086,0.41090
1993,West,Not concerned at all,0.29823,3009,9190,0.28887,0.30758
1993,East,Very concerned,0.22698,1070,3810,0.21368,0.24028
1993,East,Somewhat concerned,0.44133,2127,3810,0.42556,0.45710
1993,East,Not concerned at all,0.14109,613,3810,0.13003,0.15214
1994,West,Very concerned,0.14129,1805,9033,0.13411,0.14847
1994,West,Somewhat concerned,0.40179,4535,9033,0.39168,0.41191
1994,West,Not concerned at all,0.27275,2693,9033,0.26357,0.28194
1994,East,Very concerned,0.20712,993,3763,0.19417,0.22007
1994,East,Somewhat concerned,0.47288,2243,3763,0.45693,0.48884
1994,East,Not concerned at all,0.13516,527,3763,0.12424,0.14609
1995,West,Very concerned,0.12802,1790,9501,0.12130,0.13474
1995,West,Somewhat concerned,0.38522,4692,9501,0.37543,0.39500
1995,West,Not concerned at all,0.29731,3019,9501,0.28812,0.30650
1995,East,Very concerned,0.19490,899,3658,0.18206,0.20774
1995,East,Somewhat concerned,0.45322,2090,3658,0.43709,0.46936
1995,East,Not concerned at all,0.16843,669,3658,0.15630,0.18056
1996,West,Very concerned,0.12546,1719,9320,0.11874,0.13219
1996,West,Somewhat concerned,0.42191,4897,9320,0.41189,0.43194
1996,West,Not concerned at all,0.26793,2704,9320,0.25894,0.27692
1996,East,Very concerned,0.18946,867,3675,0.17678,0.20213
1996,East,Somewhat concerned,0.46085,2136,3675,0.44473,0.47697
1996,East,Not concerned at all,0.17654,672,3675,0.16421,0.18887
1997,West,Very concerned,0.14932,1903,9157,0.14202,0.15662
1997,West,Somewhat concerned,0.43695,4983,9157,0.42679,0.44711
1997,West,Not concerned at all,0.23055,2271,9157,0.22192,0.23918
1997,East,Very concerned,0.21595,949,3621,0.20255,0.22935
1997,East,Somewhat concerned,0.48944,2205,3621,0.47315,0.50572
1997,East,Not concerned at all,0.12832,467,3621,0.11743,0.13922
1998,West,Very concerned,0.17391,2373,10310,0.16659,0.18122
1998,West,Somewhat concerned,0.40932,5257,10310,0.39983,0.41881
1998,West,Not concerned at all,0.23409,2680,10310,0.22591,0.24226
1998,East,Very concerned,0.25560,1204,3852,0.24183,0.26938
1998,East,Somewhat concerned,0.43499,2065,3852,0.41933,0.45065
1998,East,Not concerned at all,0.14355,583,3852,0.13247,0.15462
1999,West,Very concerned,0.12914,1731,9848,0.12252,0.13577
1999,West,Somewhat concerned,0.39708,4937,9848,0.38742,0.40675
1999,West,Not concerned at all,0.29289,3180,9848,0.28390,0.30188
1999,East,Very concerned,0.18097,862,3773,0.16868,0.19325
1999,East,Somewhat concerned,0.47796,2212,3773,0.46202,0.49390
1999,East,Not concerned at all,0.18492,699,3773,0.17253,0.19731
2000,West,Very concerned,0.12148,2825,18075,0.11671,0.12624
2000,West,Somewhat concerned,0.37041,8365,18075,0.36337,0.37745
2000,West,Not concerned at all,0.32083,6885,18075,0.31402,0.32763
2000,East,Very concerned,0.19777,1417,5805,0.18753,0.20802
2000,East,Somewhat concerned,0.43239,3093,5805,0.41965,0.44514
2000,East,Not concerned at all,0.21155,1295,5805,0.20104,0.22206
2001,West,Very concerned,0.11695,2407,16344,0.11203,0.12188
2001,West,Somewhat concerned,0.37128,7632,16344,0.36387,0.37869
2001,West,Not concerned at all,0.32553,6305,16344,0.31834,0.33271
2001,East,Very concerned,0.20733,1315,5399,0.19652,0.21815
2001,East,Somewhat concerned,0.42622,2855,5399,0.41303,0.43941
2001,East,Not concerned at all,0.21744,1229,5399,0.20643,0.22844
2002,West,Very concerned,0.13927,2744,17498,0.13414,0.14440
2002,West,Somewhat concerned,0.40809,8510,17498,0.40081,0.41537
2002,West,Not concerned at all,0.27037,6244,17498,0.26379,0.27696
2002,East,Very concerned,0.24063,1427,5400,0.22923,0.25204
2002,East,Somewhat concerned,0.44639,2908,5400,0.43313,0.45966
2002,East,Not concerned at all,0.17195,1065,5400,0.16189,0.18202
2003,West,Very concerned,0.18164,3484,16706,0.17579,0.18749
2003,West,Somewhat concerned,0.40700,8274,16706,0.39955,0.41445
2003,West,Not concerned at all,0.22960,4948,16706,0.22322,0.23598
2003,East,Very concerned,0.28222,1631,5328,0.27013,0.29430
2003,East,Somewhat concerned,0.43599,2822,5328,0.42267,0.44931
2003,East,Not concerned at all,0.14700,875,5328,0.13749,0.15651
2004,West,Very concerned,0.20259,3667,16290,0.19642,0.20876
2004,West,Somewhat concerned,0.41705,8207,16290,0.40948,0.42463
2004,West,Not concerned at all,0.20285,4416,16290,0.19667,0.20902
2004,East,Very concerned,0.31116,1712,5198,0.29857,0.32375
2004,East,Somewhat concerned,0.43480,2743,5198,0.42132,0.44828
2004,East,Not concerned at all,0.12057,743,5198,0.11172,0.12943
2005,West,Very concerned,0.21016,3613,15586,0.20376,0.21656
2005,West,Somewhat concerned,0.42004,7859,15586,0.41230,0.42779
2005,West,Not concerned at all,0.19870,4114,15586,0.19243,0.20496
2005,East,Very concerned,0.31016,1623,5017,0.29736,0.32296
2005,East,Somewhat concerned,0.43362,2658,5017,0.41991,0.44734
2005,East,Not concerned at all,0.12604,736,5017,0.11685,0.13522
2006,West,Very concerned,0.21370,3837,16578,0.20746,0.21994
2006,West,Somewhat concerned,0.39551,8035,16578,0.38807,0.40295
2006,West,Not concerned at all,0.20916,4706,16578,0.20297,0.21535
2006,East,Very concerned,0.27395,1558,5251,0.26189,0.28601
2006,East,Somewhat concerned,0.43827,2780,5251,0.42485,0.45170
2006,East,Not concerned at all,0.14737,913,5251,0.13779,0.15696
2007,West,Very concerned,0.19290,3234,15393,0.18666,0.19913
2007,West,Somewhat concerned,0.40066,7465,15393,0.39292,0.40840
2007,West,Not concerned at all,0.22452,4694,15393,0.21793,0.23111
2007,East,Very concerned,0.27804,1442,4981,0.26560,0.29048
2007,East,Somewhat concerned,0.43880,2659,4981,0.42502,0.45258
2007,East,Not concerned at all,0.15140,880,4981,0.14144,0.16135
2008,West,Very concerned,0.16658,2568,14481,0.16051,0.17265
2008,West,Somewhat concerned,0.41432,7096,14481,0.40630,0.42234
2008,West,Not concerned at all,0.24611,4817,14481,0.23909,0.25313
2008,East,Very concerned,0.24520,1199,4754,0.23297,0.25743
2008,East,Somewhat concerned,0.46875,2606,4754,0.45456,0.48293
2008,East,Not concerned at all,0.15871,949,4754,0.14833,0.16910
2009,West,Very concerned,0.19044,2796,13405,0.18379,0.19709
2009,West,Somewhat concerned,0.43739,6912,13405,0.42899,0.44579
2009,West,Not concerned at all,0.20377,3697,13405,0.19695,0.21059
2009,East,Very concerned,0.26011,1244,4534,0.24734,0.27288
2009,East,Somewhat concerned,0.46559,2522,4534,0.45107,0.48012
2009,East,Not concerned at all,0.14173,768,4534,0.13157,0.15188
