year,age_gr,quintil_oecd,plh0033,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,17-29 y.,1st Quintile,Very concerned,0.32843,269,793,0.29572,0.36113
1984,17-29 y.,1st Quintile,Somewhat concerned,0.46785,372,793,0.43310,0.50260
1984,17-29 y.,1st Quintile,Not concerned at all,0.18819,152,793,0.16097,0.21541
1984,17-29 y.,2nd Quintile,Very concerned,0.25208,184,666,0.21907,0.28508
1984,17-29 y.,2nd Quintile,Somewhat concerned,0.51296,334,666,0.47497,0.55095
1984,17-29 y.,2nd Quintile,Not concerned at all,0.22324,148,666,0.19159,0.25490
1984,17-29 y.,3rd Quintile,Very concerned,0.18258,135,654,0.15295,0.21222
1984,17-29 y.,3rd Quintile,Somewhat concerned,0.49790,325,654,0.45955,0.53625
1984,17-29 y.,3rd Quintile,Not concerned at all,0.30423,194,654,0.26894,0.33952
1984,17-29 y.,4th Quintile,Very concerned,0.15138,125,721,0.12520,0.17756
1984,17-29 y.,4th Quintile,Somewhat concerned,0.49304,350,721,0.45652,0.52956
1984,17-29 y.,4th Quintile,Not concerned at all,0.34258,246,721,0.30792,0.37725
1984,17-29 y.,5th Quintile,Very concerned,0.13636,81,542,0.10744,0.16528
1984,17-29 y.,5th Quintile,Somewhat concerned,0.44168,246,542,0.39984,0.48353
1984,17-29 y.,5th Quintile,Not concerned at all,0.39878,215,542,0.35752,0.44004
1984,30-45 y.,1st Quintile,Very concerned,0.34242,272,779,0.30907,0.37576
1984,30-45 y.,1st Quintile,Somewhat concerned,0.44874,348,779,0.41379,0.48369
1984,30-45 y.,1st Quintile,Not concerned at all,0.20252,159,779,0.17428,0.23076
1984,30-45 y.,2nd Quintile,Very concerned,0.25042,208,781,0.22002,0.28083
1984,30-45 y.,2nd Quintile,Somewhat concerned,0.50087,386,781,0.46578,0.53596
1984,30-45 y.,2nd Quintile,Not concerned at all,0.24082,187,781,0.21081,0.27083
1984,30-45 y.,3rd Quintile,Very concerned,0.17248,151,730,0.14505,0.19990
1984,30-45 y.,3rd Quintile,Somewhat concerned,0.47976,348,730,0.44350,0.51603
1984,30-45 y.,3rd Quintile,Not concerned at all,0.31800,231,730,0.28419,0.35181
1984,30-45 y.,4th Quintile,Very concerned,0.14024,116,790,0.11601,0.16447
1984,30-45 y.,4th Quintile,Somewhat concerned,0.43829,335,790,0.40367,0.47291
1984,30-45 y.,4th Quintile,Not concerned at all,0.41707,339,790,0.38267,0.45148
1984,30-45 y.,5th Quintile,Very concerned,0.11317,93,781,0.09094,0.13540
1984,30-45 y.,5th Quintile,Somewhat concerned,0.37250,304,781,0.33857,0.40643
1984,30-45 y.,5th Quintile,Not concerned at all,0.50682,384,781,0.47174,0.54191
1984,46-65 y.,1st Quintile,Very concerned,0.32298,185,540,0.28351,0.36246
1984,46-65 y.,1st Quintile,Somewhat concerned,0.40273,224,540,0.36133,0.44414
1984,46-65 y.,1st Quintile,Not concerned at all,0.26296,131,540,0.22580,0.30013
1984,46-65 y.,2nd Quintile,Very concerned,0.24633,168,652,0.21323,0.27943
1984,46-65 y.,2nd Quintile,Somewhat concerned,0.46181,302,652,0.42352,0.50011
1984,46-65 y.,2nd Quintile,Not concerned at all,0.28249,182,652,0.24790,0.31707
1984,46-65 y.,3rd Quintile,Very concerned,0.18009,139,703,0.15166,0.20852
1984,46-65 y.,3rd Quintile,Somewhat concerned,0.45297,322,703,0.41614,0.48979
1984,46-65 y.,3rd Quintile,Not concerned at all,0.35586,242,703,0.32045,0.39128
1984,46-65 y.,4th Quintile,Very concerned,0.15284,127,753,0.12712,0.17855
1984,46-65 y.,4th Quintile,Somewhat concerned,0.41297,316,753,0.37778,0.44816
1984,46-65 y.,4th Quintile,Not concerned at all,0.42092,310,753,0.38564,0.45621
1984,46-65 y.,5th Quintile,Very concerned,0.13532,122,857,0.11241,0.15824
1984,46-65 y.,5th Quintile,Somewhat concerned,0.34036,307,857,0.30862,0.37211
1984,46-65 y.,5th Quintile,Not concerned at all,0.50854,428,857,0.47504,0.54203
