year,bula_h,plb0195_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Schleswig-Holstein,Comp. time,0.27800,38,99,0.18930,0.36670
1984,Schleswig-Holstein,Paid,0.39114,61,99,0.29452,0.48776
1984,Hamburg,Comp. time,0.35584,35,82,0.25157,0.46010
1984,Hamburg,Paid,0.38789,47,82,0.28178,0.49401
1984,Lower Saxony,Comp. time,0.30727,131,447,0.26445,0.35009
1984,Lower Saxony,Some of both,0.11000,50,447,0.08096,0.13904
1984,Lower Saxony,Paid,0.33458,158,447,0.29079,0.37837
1984,Lower Saxony,Not compensated,0.24815,108,447,0.20806,0.28823
1984,North Rhine-Westphalia,Comp. time,0.25073,248,1138,0.22554,0.27593
1984,North Rhine-Westphalia,Some of both,0.11554,124,1138,0.09696,0.13413
1984,North Rhine-Westphalia,Paid,0.38254,526,1138,0.35429,0.41079
1984,North Rhine-Westphalia,Not compensated,0.25118,240,1138,0.22597,0.27639
1984,Hesse,Comp. time,0.30884,115,459,0.26653,0.35116
1984,Hesse,Some of both,0.10450,48,459,0.07648,0.13252
1984,Hesse,Paid,0.33145,191,459,0.28833,0.37456
1984,Hesse,Not compensated,0.25521,105,459,0.21528,0.29514
1984,"Rhineland-Palatinate, Saarland",Comp. time,0.27027,70,243,0.21432,0.32623
1984,"Rhineland-Palatinate, Saarland",Paid,0.38707,113,243,0.32570,0.44844
1984,"Rhineland-Palatinate, Saarland",Not compensated,0.24438,60,243,0.19024,0.29852
1984,Baden-Wuerttemberg,Comp. time,0.23107,151,806,0.20195,0.26019
1984,Baden-Wuerttemberg,Some of both,0.10078,77,806,0.07998,0.12157
1984,Baden-Wuerttemberg,Paid,0.40648,403,806,0.37255,0.44041
1984,Baden-Wuerttemberg,Not compensated,0.26168,175,806,0.23131,0.29204
1984,Bavaria,Comp. time,0.31280,229,776,0.28016,0.34545
1984,Bavaria,Some of both,0.13121,98,776,0.10744,0.15498
1984,Bavaria,Paid,0.28617,267,776,0.25435,0.31800
1984,Bavaria,Not compensated,0.26982,182,776,0.23857,0.30107
1984,Berlin,Comp. time,0.39097,54,120,0.30329,0.47864
1984,Berlin,Paid,0.34420,66,120,0.25884,0.42956
1985,Schleswig-Holstein,Comp. time,0.28496,38,104,0.19778,0.37213
1985,Schleswig-Holstein,Paid,0.43575,66,104,0.33999,0.53151
1985,Hamburg,Paid,0.30460,33,33,0.14513,0.46406
1985,Lower Saxony,Comp. time,0.30907,111,365,0.26159,0.35654
1985,Lower Saxony,Some of both,0.08621,31,365,0.05738,0.11504
1985,Lower Saxony,Paid,0.32358,124,365,0.27552,0.37164
1985,Lower Saxony,Not compensated,0.28114,99,365,0.23496,0.32733
1985,North Rhine-Westphalia,Comp. time,0.25486,215,988,0.22767,0.28205
1985,North Rhine-Westphalia,Some of both,0.10772,100,988,0.08838,0.12706
1985,North Rhine-Westphalia,Paid,0.35665,432,988,0.32677,0.38654
1985,North Rhine-Westphalia,Not compensated,0.28076,241,988,0.25273,0.30880
1985,Hesse,Comp. time,0.29870,96,381,0.25268,0.34472
1985,Hesse,Some of both,0.12110,42,381,0.08829,0.15390
1985,Hesse,Paid,0.28684,145,381,0.24136,0.33232
1985,Hesse,Not compensated,0.29336,98,381,0.24758,0.33914
1985,"Rhineland-Palatinate, Saarland",Comp. time,0.24321,45,186,0.18139,0.30504
1985,"Rhineland-Palatinate, Saarland",Paid,0.37578,89,186,0.30599,0.44557
1985,"Rhineland-Palatinate, Saarland",Not compensated,0.25904,52,186,0.19591,0.32217
1985,Baden-Wuerttemberg,Comp. time,0.21814,132,699,0.18751,0.24878
1985,Baden-Wuerttemberg,Some of both,0.13198,83,699,0.10687,0.15709
1985,Baden-Wuerttemberg,Paid,0.37148,317,699,0.33563,0.40732
1985,Baden-Wuerttemberg,Not compensated,0.27840,167,699,0.24515,0.31165
1985,Bavaria,Comp. time,0.29356,192,686,0.25946,0.32766
1985,Bavaria,Some of both,0.11921,81,686,0.09494,0.14347
1985,Bavaria,Paid,0.28459,226,686,0.25080,0.31838
1985,Bavaria,Not compensated,0.30264,187,686,0.26824,0.33704
1985,Berlin,Comp. time,0.35309,40,77,0.24563,0.46054
1985,Berlin,Paid,0.27844,37,77,0.17766,0.37921
1986,Schleswig-Holstein,Comp. time,0.34751,39,96,0.25175,0.44326
1986,Schleswig-Holstein,Paid,0.39303,57,96,0.29481,0.49125
1986,Lower Saxony,Comp. time,0.33775,129,385,0.29044,0.38505
1986,Lower Saxony,Some of both,0.14226,50,385,0.10732,0.17720
1986,Lower Saxony,Paid,0.33569,135,385,0.28846,0.38293
1986,Lower Saxony,Not compensated,0.18430,71,385,0.14552,0.22308
1986,North Rhine-Westphalia,Comp. time,0.27354,211,890,0.24423,0.30284
1986,North Rhine-Westphalia,Some of both,0.10670,88,890,0.08641,0.12699
1986,North Rhine-Westphalia,Paid,0.38686,412,890,0.35484,0.41887
1986,North Rhine-Westphalia,Not compensated,0.23291,179,890,0.20512,0.26069
1986,Hesse,Comp. time,0.33940,101,354,0.29000,0.38880
1986,Hesse,Some of both,0.14240,45,354,0.10594,0.17885
1986,Hesse,Paid,0.32686,145,354,0.27793,0.37580
1986,Hesse,Not compensated,0.19134,63,354,0.15030,0.23237
1986,"Rhineland-Palatinate, Saarland",Comp. time,0.25516,53,204,0.19519,0.31513
1986,"Rhineland-Palatinate, Saarland",Paid,0.47033,107,204,0.40167,0.53899
1986,"Rhineland-Palatinate, Saarland",Not compensated,0.19708,44,204,0.14236,0.25180
1986,Baden-Wuerttemberg,Comp. time,0.25784,147,677,0.22487,0.29082
1986,Baden-Wuerttemberg,Some of both,0.10591,65,677,0.08272,0.12911
1986,Baden-Wuerttemberg,Paid,0.41121,341,677,0.37412,0.44831
1986,Baden-Wuerttemberg,Not compensated,0.22503,124,677,0.19355,0.25651
1986,Bavaria,Comp. time,0.37673,219,605,0.33808,0.41537
1986,Bavaria,Some of both,0.12129,75,605,0.09525,0.14732
1986,Bavaria,Paid,0.30148,198,605,0.26488,0.33808
1986,Bavaria,Not compensated,0.20051,113,605,0.16857,0.23244
1986,Berlin,Comp. time,0.30613,38,82,0.20576,0.40650
1986,Berlin,Paid,0.36351,44,82,0.25876,0.46826
1988,Schleswig-Holstein,Comp. time,0.36130,44,96,0.26470,0.45790
1988,Schleswig-Holstein,Paid,0.35138,52,96,0.25538,0.44738
1988,Lower Saxony,Comp. time,0.36680,131,377,0.31809,0.41551
1988,Lower Saxony,Some of both,0.13656,55,377,0.10185,0.17127
1988,Lower Saxony,Paid,0.29873,125,377,0.25247,0.34499
1988,Lower Saxony,Not compensated,0.19791,66,377,0.15764,0.23818
1988,North Rhine-Westphalia,Comp. time,0.31755,250,907,0.28724,0.34786
1988,North Rhine-Westphalia,Some of both,0.09141,79,907,0.07264,0.11018
1988,North Rhine-Westphalia,Paid,0.37577,412,907,0.34423,0.40730
1988,North Rhine-Westphalia,Not compensated,0.21528,166,907,0.18851,0.24204
1988,Hesse,Comp. time,0.34342,101,312,0.29064,0.39619
1988,Hesse,Some of both,0.14405,42,312,0.10503,0.18308
1988,Hesse,Paid,0.30046,117,312,0.24951,0.35142
1988,Hesse,Not compensated,0.21207,52,312,0.16664,0.25750
1988,"Rhineland-Palatinate, Saarland",Comp. time,0.23857,53,185,0.17698,0.30015
1988,"Rhineland-Palatinate, Saarland",Paid,0.43124,93,185,0.35968,0.50280
1988,"Rhineland-Palatinate, Saarland",Not compensated,0.18229,39,185,0.12650,0.23807
1988,Baden-Wuerttemberg,Comp. time,0.27636,151,667,0.24239,0.31032
1988,Baden-Wuerttemberg,Some of both,0.13802,80,667,0.11183,0.16422
1988,Baden-Wuerttemberg,Paid,0.39134,331,667,0.35428,0.42841
1988,Baden-Wuerttemberg,Not compensated,0.19428,105,667,0.16423,0.22432
1988,Bavaria,Comp. time,0.36062,212,617,0.32270,0.39854
1988,Bavaria,Some of both,0.14775,91,617,0.11973,0.17578
1988,Bavaria,Paid,0.30331,211,617,0.26701,0.33961
1988,Bavaria,Not compensated,0.18832,103,617,0.15744,0.21919
1988,Berlin,Comp. time,0.40094,47,89,0.29854,0.50334
1988,Berlin,Paid,0.28667,42,89,0.19219,0.38115
1989,Schleswig-Holstein,Comp. time,0.38468,44,89,0.28303,0.48633
1989,Schleswig-Holstein,Paid,0.33203,45,89,0.23364,0.43043
1989,Lower Saxony,Comp. time,0.35031,136,401,0.30356,0.39706
1989,Lower Saxony,Some of both,0.15782,64,401,0.12209,0.19354
