,Unnamed: 0,year,pgisced97,quintil_oecd,plb0195_h,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1984,Primary Level,1st Quintile,Paid,1.0,52,3470,0.83811,1.23387
1,1,1984,Primary Level,2nd Quintile,Paid,1.0,49,3470,0.70195,1.28352
2,2,1984,Primary Level,3rd Quintile,Paid,1.0,32,3470,0.61285,1.52297
3,3,1984,Primary Level,4th Quintile,Paid,1.0,50,3470,0.75212,1.2672
4,4,1984,Lower Secondary Level,1st Quintile,Paid,1.0,91,3470,0.83066,1.184
5,5,1984,Lower Secondary Level,2nd Quintile,Comp. time,0.42238,43,3470,0.36745,0.47205
6,6,1984,Lower Secondary Level,2nd Quintile,Paid,0.57762,94,3470,0.50065,0.66273
7,7,1984,Lower Secondary Level,3rd Quintile,Comp. time,0.35795,47,3470,0.30613,0.40589
8,8,1984,Lower Secondary Level,3rd Quintile,Paid,0.64205,110,3470,0.56691,0.73649
9,9,1984,Lower Secondary Level,4th Quintile,Comp. time,0.35264,36,3470,0.31335,0.39255
10,10,1984,Lower Secondary Level,4th Quintile,Paid,0.64736,98,3470,0.5522,0.74156
11,11,1984,Lower Secondary Level,5th Quintile,Comp. time,0.27555,31,3470,0.24192,0.31083
12,12,1984,Lower Secondary Level,5th Quintile,Paid,0.40042,52,3470,0.33603,0.45767
13,13,1984,Lower Secondary Level,5th Quintile,Not compensated,0.32403,33,3470,0.28806,0.36256
14,14,1984,Upper Secondary Level,1st Quintile,Comp. time,0.30952,50,3470,0.27213,0.34236
15,15,1984,Upper Secondary Level,1st Quintile,Paid,0.69048,142,3470,0.62456,0.76808
16,16,1984,Upper Secondary Level,2nd Quintile,Comp. time,0.30608,108,3470,0.28943,0.31899
17,17,1984,Upper Secondary Level,2nd Quintile,Some of both,0.11935,47,3470,0.10583,0.13603
18,18,1984,Upper Secondary Level,2nd Quintile,Paid,0.43189,192,3470,0.40064,0.46286
19,19,1984,Upper Secondary Level,2nd Quintile,Not compensated,0.14268,55,3470,0.13029,0.15377
20,20,1984,Upper Secondary Level,3rd Quintile,Comp. time,0.35891,164,3470,0.34146,0.37811
21,21,1984,Upper Secondary Level,3rd Quintile,Some of both,0.14445,69,3470,0.13423,0.15471
22,22,1984,Upper Secondary Level,3rd Quintile,Paid,0.39885,210,3470,0.37428,0.4249
23,23,1984,Upper Secondary Level,3rd Quintile,Not compensated,0.09779,48,3470,0.08792,0.10686
24,24,1984,Upper Secondary Level,4th Quintile,Comp. time,0.31662,176,3470,0.3008,0.32994
25,25,1984,Upper Secondary Level,4th Quintile,Some of both,0.11548,63,3470,0.10882,0.12268
26,26,1984,Upper Secondary Level,4th Quintile,Paid,0.38451,239,3470,0.36135,0.41057
27,27,1984,Upper Secondary Level,4th Quintile,Not compensated,0.18339,104,3470,0.17131,0.19445
28,28,1984,Upper Secondary Level,5th Quintile,Comp. time,0.28938,178,3470,0.28026,0.29837
29,29,1984,Upper Secondary Level,5th Quintile,Some of both,0.0925,61,3470,0.08615,0.09887
30,30,1984,Upper Secondary Level,5th Quintile,Paid,0.30488,209,3470,0.28918,0.31957
31,31,1984,Upper Secondary Level,5th Quintile,Not compensated,0.31323,191,3470,0.30256,0.32389
32,32,1984,First Stage of Tertiary Education,4th Quintile,Comp. time,1.0,31,3470,0.93907,1.06251
33,33,1984,First Stage of Tertiary Education,5th Quintile,Comp. time,0.42469,40,3470,0.38678,0.45405
34,34,1984,First Stage of Tertiary Education,5th Quintile,Not compensated,0.57531,50,3470,0.53689,0.614
35,35,1984,Second Stage of Tertiary Education,4th Quintile,Not compensated,1.0,61,3470,0.96073,1.04621
36,36,1984,Second Stage of Tertiary Education,5th Quintile,Comp. time,0.19796,31,3470,0.17561,0.21532
37,37,1984,Second Stage of Tertiary Education,5th Quintile,Not compensated,0.80204,133,3470,0.77003,0.82912
38,38,1985,Primary Level,1st Quintile,Paid,1.0,38,2832,0.7229,1.38694
39,39,1985,Lower Secondary Level,1st Quintile,Paid,1.0,73,2832,0.81666,1.22171
40,40,1985,Lower Secondary Level,2nd Quintile,Paid,1.0,89,2832,0.85212,1.16606
