"plb0195_h","year","bildungsniveau","n","percent","lower_confidence_percent","upper_confidence_percent"
"Abgefeiert","1984","(noch) kein Abschluss","21","","",""
"Abgefeiert","1984","Hauptschule","610","0.266174139165625","0.249003611835703","0.283344666495548"
"Abgefeiert","1984","Realschule","302","0.392434433670891","0.35790037594121","0.426968491400573"
"Abgefeiert","1984","(Fach-)Abitur","83","0.334957389065522","0.280729697888118","0.389185080242927"
"Abgefeiert","1984","AkademikerIn","60","0.15081275099982","0.116829567960627","0.184795934039012"
"Teils, teils","1984","(noch) kein Abschluss","20","","",""
"Teils, teils","1984","Hauptschule","256","","",""
"Teils, teils","1984","Realschule","95","0.118138905566646","0.0953111063443122","0.14096670478898"
"Teils, teils","1984","(Fach-)Abitur","29","","",""
"Teils, teils","1984","AkademikerIn","60","0.119450778621268","0.0886533396952056","0.150248217547331"
"Bezahlt","1984","(noch) kein Abschluss","236","","",""
"Bezahlt","1984","Hauptschule","1273","","",""
"Bezahlt","1984","Realschule","156","","",""
"Bezahlt","1984","(Fach-)Abitur","105","","",""
"Bezahlt","1984","AkademikerIn","68","0.141415263059525","0.108326310762375","0.174504215356674"
"Nicht abgegolten","1984","(noch) kein Abschluss","14","","",""
"Nicht abgegolten","1984","Hauptschule","406","0.171103371847362","0.156472046477974","0.18573469721675"
"Nicht abgegolten","1984","Realschule","215","","",""
"Nicht abgegolten","1984","(Fach-)Abitur","74","0.315883384142423","0.262472464364491","0.369294303920356"
"Nicht abgegolten","1984","AkademikerIn","238","","",""
"Abgefeiert","1985","(noch) kein Abschluss","13","","",""
"Abgefeiert","1985","Hauptschule","472","0.246833762468936","0.228462543962443","0.265204980975428"
"Abgefeiert","1985","Realschule","269","","",""
"Abgefeiert","1985","(Fach-)Abitur","73","0.368792900081675","0.306303326196781","0.431282473966569"
"Abgefeiert","1985","AkademikerIn","67","0.172589715082434","0.136144461312987","0.209034968851881"
"Teils, teils","1985","(noch) kein Abschluss","12","","",""
"Teils, teils","1985","Hauptschule","224","","",""
"Teils, teils","1985","Realschule","94","0.128377202187914","0.104144558629413","0.152609845746416"
"Teils, teils","1985","(Fach-)Abitur","19","","",""
