,Unnamed: 0,year,age_gr,bula_h,plb0195_h,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1984,17-29 y.,Lower Saxony,Comp. time,0.5076,45,3521,0.46027,0.5572
1,1,1984,17-29 y.,Lower Saxony,Paid,0.4924,43,3521,0.44948,0.54051
2,2,1984,17-29 y.,North Rhine-Westphalia,Comp. time,0.32829,93,3521,0.30577,0.34971
3,3,1984,17-29 y.,North Rhine-Westphalia,Some of both,0.12834,39,3521,0.11311,0.14231
4,4,1984,17-29 y.,North Rhine-Westphalia,Paid,0.403,155,3521,0.36635,0.43974
5,5,1984,17-29 y.,North Rhine-Westphalia,Not compensated,0.14037,42,3521,0.12667,0.15596
6,6,1984,17-29 y.,Hesse,Comp. time,0.52035,39,3521,0.45291,0.58435
7,7,1984,17-29 y.,Hesse,Paid,0.47965,55,3521,0.37777,0.58375
8,8,1984,17-29 y.,"Rhineland-Palatinate, Saarland",Comp. time,1.0,31,3521,0.85466,1.12508
9,9,1984,17-29 y.,Baden-Wuerttemberg,Comp. time,0.35797,55,3521,0.30757,0.39627
10,10,1984,17-29 y.,Baden-Wuerttemberg,Paid,0.64203,126,3521,0.56671,0.72045
11,11,1984,17-29 y.,Bavaria,Comp. time,0.35741,76,3521,0.33736,0.3798
12,12,1984,17-29 y.,Bavaria,Some of both,0.19264,42,3521,0.17071,0.21306
13,13,1984,17-29 y.,Bavaria,Paid,0.28803,70,3521,0.25263,0.31898
14,14,1984,17-29 y.,Bavaria,Not compensated,0.16193,33,3521,0.15032,0.17231
15,15,1984,30-45 y.,Schleswig-Holstein,Paid,1.0,31,3521,0.8516,1.13045
16,16,1984,30-45 y.,Lower Saxony,Comp. time,0.32921,53,3521,0.30803,0.35031
17,17,1984,30-45 y.,Lower Saxony,Paid,0.34438,63,3521,0.2957,0.38642
18,18,1984,30-45 y.,Lower Saxony,Not compensated,0.32641,53,3521,0.30472,0.34306
19,19,1984,30-45 y.,North Rhine-Westphalia,Comp. time,0.23422,98,3521,0.22273,0.24598
20,20,1984,30-45 y.,North Rhine-Westphalia,Some of both,0.1166,54,3521,0.10359,0.12862
21,21,1984,30-45 y.,North Rhine-Westphalia,Paid,0.38986,223,3521,0.35474,0.42225
22,22,1984,30-45 y.,North Rhine-Westphalia,Not compensated,0.25932,104,3521,0.24568,0.27326
23,23,1984,30-45 y.,Hesse,Comp. time,0.31784,39,3521,0.27765,0.34877
24,24,1984,30-45 y.,Hesse,Paid,0.34843,76,3521,0.28691,0.40617
25,25,1984,30-45 y.,Hesse,Not compensated,0.33374,47,3521,0.28886,0.37379
26,26,1984,30-45 y.,"Rhineland-Palatinate, Saarland",Paid,1.0,44,3521,0.85969,1.1189
