,Unnamed: 0,year,quintil_oecd,plb0195_h,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1984,1st Quintile,Comp. time,0.2315,90,4340,0.20251,0.25225
1,1,1984,1st Quintile,Some of both,0.075,33,4340,0.06048,0.09359
2,2,1984,1st Quintile,Paid,0.52397,313,4340,0.47873,0.57052
3,3,1984,1st Quintile,Not compensated,0.16954,65,4340,0.15288,0.18598
4,4,1984,2nd Quintile,Comp. time,0.29745,177,4340,0.28501,0.31179
5,5,1984,2nd Quintile,Some of both,0.11697,79,4340,0.10694,0.12839
6,6,1984,2nd Quintile,Paid,0.41882,361,4340,0.38521,0.44489
7,7,1984,2nd Quintile,Not compensated,0.16676,105,4340,0.15541,0.17737
8,8,1984,3rd Quintile,Comp. time,0.32469,256,4340,0.30769,0.33786
9,9,1984,3rd Quintile,Some of both,0.13287,107,4340,0.12374,0.13938
10,10,1984,3rd Quintile,Paid,0.40219,403,4340,0.37987,0.42209
11,11,1984,3rd Quintile,Not compensated,0.14025,123,4340,0.13098,0.1497
12,12,1984,4th Quintile,Comp. time,0.28724,267,4340,0.27526,0.29784
13,13,1984,4th Quintile,Some of both,0.1126,111,4340,0.10372,0.12036
14,14,1984,4th Quintile,Paid,0.34954,428,4340,0.32585,0.3698
15,15,1984,4th Quintile,Not compensated,0.25062,226,4340,0.24111,0.26013
16,16,1984,5th Quintile,Comp. time,0.25581,290,4340,0.24892,0.26274
17,17,1984,5th Quintile,Some of both,0.10141,131,4340,0.09377,0.10853
18,18,1984,5th Quintile,Paid,0.2551,347,4340,0.24381,0.26868
19,19,1984,5th Quintile,Not compensated,0.38767,428,4340,0.37775,0.39717
20,20,1985,1st Quintile,Comp. time,0.23545,88,3706,0.21241,0.26229
21,21,1985,1st Quintile,Some of both,0.09978,36,3706,0.08143,0.11614
22,22,1985,1st Quintile,Paid,0.43045,228,3706,0.38194,0.47114
23,23,1985,1st Quintile,Not compensated,0.23432,80,3706,0.20814,0.25856
24,24,1985,2nd Quintile,Comp. time,0.25584,134,3706,0.24011,0.27429
25,25,1985,2nd Quintile,Some of both,0.113,62,3706,0.0977,0.12837
26,26,1985,2nd Quintile,Paid,0.45574,316,3706,0.42649,0.4958
27,27,1985,2nd Quintile,Not compensated,0.17543,90,3706,0.16515,0.18643
28,28,1985,3rd Quintile,Comp. time,0.29436,181,3706,0.27915,0.31031
29,29,1985,3rd Quintile,Some of both,0.11709,78,3706,0.10751,0.12763
30,30,1985,3rd Quintile,Paid,0.36713,325,3706,0.34099,0.3919
31,31,1985,3rd Quintile,Not compensated,0.22142,144,3706,0.21222,0.23072
32,32,1985,4th Quintile,Comp. time,0.27694,233,3706,0.26533,0.28929
33,33,1985,4th Quintile,Some of both,0.12754,113,3706,0.11761,0.13659
34,34,1985,4th Quintile,Paid,0.34668,359,3706,0.32817,0.36702
35,35,1985,4th Quintile,Not compensated,0.24884,213,3706,0.23968,0.26013
36,36,1985,5th Quintile,Comp. time,0.27279,267,3706,0.26405,0.28309
37,37,1985,5th Quintile,Some of both,0.11052,114,3706,0.10073,0.1174
38,38,1985,5th Quintile,Paid,0.21714,254,3706,0.20175,0.23166
39,39,1985,5th Quintile,Not compensated,0.39955,391,3706,0.38661,0.41182
40,40,1986,1st Quintile,Comp. time,0.26448,74,3471,0.23446,0.30114
41,41,1986,1st Quintile,Paid,0.59074,231,3471,0.53967,0.64347
42,42,1986,1st Quintile,Not compensated,0.14477,40,3471,0.11788,0.17742
43,43,1986,2nd Quintile,Comp. time,0.29069,147,3471,0.26793,0.31352
