year,age_gr,sampreg,plb0195_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,17-29 y.,West,Comp. time,0.33635,373,1234,0.30997,0.36272
1984,17-29 y.,West,Some of both,0.13579,158,1234,0.11667,0.15491
1984,17-29 y.,West,Paid,0.37448,527,1234,0.34746,0.40150
1984,17-29 y.,West,Not compensated,0.15339,176,1234,0.13327,0.17350
1984,30-45 y.,West,Comp. time,0.26237,422,1834,0.24223,0.28251
1984,30-45 y.,West,Some of both,0.11640,202,1834,0.10172,0.13108
1984,30-45 y.,West,Paid,0.35314,785,1834,0.33126,0.37502
1984,30-45 y.,West,Not compensated,0.26809,425,1834,0.24781,0.28837
1984,46-65 y.,West,Comp. time,0.25867,282,1255,0.23443,0.28291
1984,46-65 y.,West,Some of both,0.08257,101,1255,0.06734,0.09780
1984,46-65 y.,West,Paid,0.35313,538,1255,0.32668,0.37959
1984,46-65 y.,West,Not compensated,0.30563,334,1255,0.28013,0.33113
1985,17-29 y.,West,Comp. time,0.33456,322,1063,0.30619,0.36294
1985,17-29 y.,West,Some of both,0.14011,139,1063,0.11923,0.16098
1985,17-29 y.,West,Paid,0.34272,420,1063,0.31417,0.37127
1985,17-29 y.,West,Not compensated,0.18261,182,1063,0.15937,0.20584
1985,30-45 y.,West,Comp. time,0.25230,338,1522,0.23048,0.27413
1985,30-45 y.,West,Some of both,0.10898,159,1522,0.09332,0.12464
1985,30-45 y.,West,Paid,0.35392,641,1522,0.32989,0.37796
1985,30-45 y.,West,Not compensated,0.28480,384,1522,0.26211,0.30748
1985,46-65 y.,West,Comp. time,0.24244,243,1112,0.21723,0.26764
1985,46-65 y.,West,Some of both,0.10255,105,1112,0.08471,0.12038
1985,46-65 y.,West,Paid,0.31243,420,1112,0.28517,0.33968
1985,46-65 y.,West,Not compensated,0.34259,344,1112,0.31469,0.37050
1986,17-29 y.,West,Comp. time,0.32348,316,1071,0.29545,0.35151
1986,17-29 y.,West,Some of both,0.15286,145,1071,0.13129,0.17442
1986,17-29 y.,West,Paid,0.37159,450,1071,0.34264,0.40055
1986,17-29 y.,West,Not compensated,0.15207,160,1071,0.13055,0.17359
1986,30-45 y.,West,Comp. time,0.31503,395,1406,0.29074,0.33932
1986,30-45 y.,West,Some of both,0.11443,159,1406,0.09779,0.13108
1986,30-45 y.,West,Paid,0.35055,579,1406,0.32560,0.37550
1986,30-45 y.,West,Not compensated,0.21999,273,1406,0.19833,0.24165
1986,46-65 y.,West,Comp. time,0.28241,255,1022,0.25480,0.31002
1986,46-65 y.,West,Some of both,0.09451,90,1022,0.07657,0.11246
1986,46-65 y.,West,Paid,0.37576,452,1022,0.34605,0.40547
1986,46-65 y.,West,Not compensated,0.24732,225,1022,0.22085,0.27378
1988,17-29 y.,West,Comp. time,0.36234,355,1079,0.33364,0.39103
1988,17-29 y.,West,Some of both,0.12315,131,1079,0.10353,0.14276
1988,17-29 y.,West,Paid,0.34933,434,1079,0.32087,0.37779
1988,17-29 y.,West,Not compensated,0.16519,159,1079,0.14302,0.18736
1988,30-45 y.,West,Comp. time,0.30023,370,1359,0.27585,0.32461
1988,30-45 y.,West,Some of both,0.12866,169,1359,0.11086,0.14647
1988,30-45 y.,West,Paid,0.36223,585,1359,0.33667,0.38779
1988,30-45 y.,West,Not compensated,0.20887,235,1359,0.18725,0.23049
1988,46-65 y.,West,Comp. time,0.32435,291,1011,0.29548,0.35322
1988,46-65 y.,West,Some of both,0.12527,117,1011,0.10486,0.14569
1988,46-65 y.,West,Paid,0.33111,408,1011,0.30208,0.36013
1988,46-65 y.,West,Not compensated,0.21927,195,1011,0.19375,0.24479
1989,17-29 y.,West,Comp. time,0.34464,354,1131,0.31693,0.37235
1989,17-29 y.,West,Some of both,0.14501,166,1131,0.12448,0.16554
1989,17-29 y.,West,Paid,0.37070,470,1131,0.34254,0.39886
1989,17-29 y.,West,Not compensated,0.13966,141,1131,0.11945,0.15987
1989,30-45 y.,West,Comp. time,0.29944,400,1434,0.27573,0.32316
1989,30-45 y.,West,Some of both,0.16703,222,1434,0.14771,0.18634
1989,30-45 y.,West,Paid,0.35571,590,1434,0.33093,0.38050
1989,30-45 y.,West,Not compensated,0.17782,222,1434,0.15802,0.19762
1989,46-65 y.,West,Comp. time,0.30987,286,1077,0.28224,0.33750
1989,46-65 y.,West,Some of both,0.13079,138,1077,0.11064,0.15093
1989,46-65 y.,West,Paid,0.33415,448,1077,0.30596,0.36233
1989,46-65 y.,West,Not compensated,0.22520,205,1077,0.20024,0.25016
1990,17-29 y.,West,Comp. time,0.35392,377,1156,0.32634,0.38150
1990,17-29 y.,West,Some of both,0.15149,184,1156,0.13081,0.17217
1990,17-29 y.,West,Paid,0.36708,475,1156,0.33928,0.39488
1990,17-29 y.,West,Not compensated,0.12751,120,1156,0.10827,0.14675
1990,17-29 y.,East,Comp. time,0.35488,220,589,0.31621,0.39356
1990,17-29 y.,East,Some of both,0.15766,103,589,0.12821,0.18712
1990,17-29 y.,East,Paid,0.43732,266,589,0.39723,0.47742
1990,30-45 y.,West,Comp. time,0.32614,402,1389,0.30148,0.35081
1990,30-45 y.,West,Some of both,0.16576,219,1389,0.14620,0.18533
