year,sampreg,sex,plb0195_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,West,male,Comp. time,0.09027,569,2984,0.07998,0.10055
1984,West,male,Some of both,0.04561,319,2984,0.03812,0.05310
1984,West,male,Paid,0.16616,1442,2984,0.15280,0.17952
1984,West,male,Not compensated,0.10366,654,2984,0.09272,0.11460
1984,West,female,Comp. time,0.07218,511,1358,0.05841,0.08595
1984,West,female,Some of both,0.01902,142,1358,0.01175,0.02628
1984,West,female,Paid,0.04502,412,1358,0.03398,0.05605
1984,West,female,Not compensated,0.04205,293,1358,0.03137,0.05272
1985,West,male,Comp. time,0.07893,456,2502,0.06836,0.08950
1985,West,male,Some of both,0.04486,278,2502,0.03675,0.05297
1985,West,male,Paid,0.14692,1136,2502,0.13304,0.16079
1985,West,male,Not compensated,0.11007,632,2502,0.09781,0.12234
1985,West,female,Comp. time,0.07133,447,1204,0.05679,0.08587
1985,West,female,Some of both,0.01995,125,1204,0.01205,0.02786
1985,West,female,Paid,0.04334,346,1204,0.03183,0.05484
1985,West,female,Not compensated,0.04517,286,1204,0.03344,0.05691
1986,West,male,Comp. time,0.08773,510,2369,0.07634,0.09913
1986,West,male,Some of both,0.04619,273,2369,0.03774,0.05465
1986,West,male,Paid,0.15551,1163,2369,0.14092,0.17011
1986,West,male,Not compensated,0.07360,423,2369,0.06308,0.08412
1986,West,female,Comp. time,0.07592,456,1133,0.06049,0.09135
1986,West,female,Some of both,0.01876,121,1133,0.01085,0.02666
1986,West,female,Paid,0.04338,320,1133,0.03151,0.05525
1986,West,female,Not compensated,0.03833,236,1133,0.02714,0.04951
1988,West,male,Comp. time,0.09599,533,2287,0.08391,0.10806
1988,West,male,Some of both,0.05125,299,2287,0.04221,0.06029
1988,West,male,Paid,0.15141,1073,2287,0.13672,0.16611
1988,West,male,Not compensated,0.07462,382,2287,0.06385,0.08539
1988,West,female,Comp. time,0.08622,485,1167,0.07011,0.10233
1988,West,female,Some of both,0.01999,119,1167,0.01195,0.02802
1988,West,female,Paid,0.04575,354,1167,0.03376,0.05774
1988,West,female,Not compensated,0.03743,209,1167,0.02653,0.04832
1989,West,male,Comp. time,0.09993,520,2367,0.08785,0.11202
1989,West,male,Some of both,0.06577,370,2367,0.05578,0.07576
1989,West,male,Paid,0.16176,1107,2367,0.14692,0.17660
1989,West,male,Not compensated,0.07397,370,2367,0.06343,0.08452
1989,West,female,Comp. time,0.09267,521,1282,0.07679,0.10855
1989,West,female,Some of both,0.02621,156,1282,0.01746,0.03495
1989,West,female,Paid,0.05736,403,1282,0.04462,0.07009
1989,West,female,Not compensated,0.03884,202,1282,0.02826,0.04943
1990,West,male,Comp. time,0.10697,540,2333,0.09443,0.11952
1990,West,male,Some of both,0.06367,367,2333,0.05376,0.07358
1990,West,male,Paid,0.16296,1087,2333,0.14797,0.17795
1990,West,male,Not compensated,0.07184,339,2333,0.06136,0.08233
1990,West,female,Comp. time,0.10010,533,1274,0.08362,0.11659
1990,West,female,Some of both,0.02796,170,1274,0.01890,0.03702
1990,West,female,Paid,0.05773,397,1274,0.04492,0.07054
1990,West,female,Not compensated,0.03541,174,1274,0.02526,0.04557
1990,East,male,Comp. time,0.12641,366,1396,0.10897,0.14385
1990,East,male,Some of both,0.07632,230,1396,0.06238,0.09025
1990,East,male,Paid,0.22517,648,1396,0.20325,0.24709
1990,East,male,Not compensated,0.05169,152,1396,0.04007,0.06331
1990,East,female,Comp. time,0.16473,533,1135,0.14314,0.18632
1990,East,female,Some of both,0.04532,153,1135,0.03321,0.05743
1990,East,female,Paid,0.10706,360,1135,0.08907,0.12506
1990,East,female,Not compensated,0.02583,89,1135,0.01660,0.03506
1991,West,male,Comp. time,0.10555,570,2455,0.09339,0.11771
1991,West,male,Some of both,0.06895,393,2455,0.05893,0.07898
1991,West,male,Paid,0.17232,1166,2455,0.15738,0.18726
1991,West,male,Not compensated,0.06976,326,2455,0.05968,0.07984
1991,West,female,Comp. time,0.10569,592,1413,0.08965,0.12172
1991,West,female,Some of both,0.02920,184,1413,0.02042,0.03798
1991,West,female,Paid,0.06749,454,1413,0.05440,0.08057
1991,West,female,Not compensated,0.03596,183,1413,0.02625,0.04567
1991,East,male,Comp. time,0.15310,405,1023,0.13102,0.17518
1991,East,male,Some of both,0.05231,147,1023,0.03866,0.06596
1991,East,male,Paid,0.12120,316,1023,0.10119,0.14121
1991,East,male,Not compensated,0.05598,155,1023,0.04189,0.07008
1991,East,female,Comp. time,0.14610,448,823,0.12196,0.17025
1991,East,female,Some of both,0.03179,92,823,0.01980,0.04379
1991,East,female,Paid,0.05142,155,823,0.03632,0.06652
1991,East,female,Not compensated,0.04148,128,823,0.02785,0.05511
1992,West,male,Comp. time,0.10730,570,2314,0.09469,0.11991
1992,West,male,Some of both,0.07163,402,2314,0.06112,0.08214
1992,West,male,Paid,0.15711,1040,2314,0.14228,0.17195
1992,West,male,Not compensated,0.06042,302,2314,0.05071,0.07013
1992,West,female,Comp. time,0.10847,601,1376,0.09204,0.12491
1992,West,female,Some of both,0.03474,208,1376,0.02506,0.04442
1992,West,female,Paid,0.05795,392,1376,0.04560,0.07030
1992,West,female,Not compensated,0.03401,175,1376,0.02443,0.04359
1992,East,male,Comp. time,0.11252,312,974,0.09266,0.13238
1992,East,male,Some of both,0.06991,179,974,0.05389,0.08593
1992,East,male,Paid,0.12905,318,974,0.10798,0.15011
1992,East,male,Not compensated,0.06809,165,974,0.05226,0.08392
1992,East,female,Comp. time,0.12163,361,716,0.09767,0.14559
1992,East,female,Some of both,0.03419,99,716,0.02087,0.04751
1992,East,female,Paid,0.04347,126,716,0.02853,0.05842
1992,East,female,Not compensated,0.04220,130,716,0.02746,0.05693
1993,West,male,Comp. time,0.10490,553,2237,0.09220,0.11761
1993,West,male,Some of both,0.07015,403,2237,0.05956,0.08073
1993,West,male,Paid,0.14795,955,2237,0.13324,0.16267
1993,West,male,Not compensated,0.06838,326,2237,0.05792,0.07884
1993,West,female,Comp. time,0.10493,613,1372,0.08871,0.12116
1993,West,female,Some of both,0.03264,204,1372,0.02324,0.04205
1993,West,female,Paid,0.05878,374,1372,0.04633,0.07123
1993,West,female,Not compensated,0.03526,181,1372,0.02550,0.04502
1993,East,male,Comp. time,0.09475,248,920,0.07582,0.11369
1993,East,male,Some of both,0.07373,193,920,0.05683,0.09062
1993,East,male,Paid,0.12728,310,920,0.10573,0.14883
1993,East,male,Not compensated,0.07120,169,920,0.05457,0.08782
1993,East,female,Comp. time,0.13563,382,727,0.11072,0.16053
1993,East,female,Some of both,0.03402,99,727,0.02083,0.04720
1993,East,female,Paid,0.03797,119,727,0.02407,0.05187
1993,East,female,Not compensated,0.04336,127,727,0.02855,0.05818
1994,West,male,Comp. time,0.11269,595,2150,0.09932,0.12606
1994,West,male,Some of both,0.07343,407,2150,0.06240,0.08446
1994,West,male,Paid,0.13355,833,2150,0.11916,0.14793
1994,West,male,Not compensated,0.06695,315,2150,0.05638,0.07752
