"plb0195_h","year","bildungsniveau","quintil_oecd","n","percent","lower_confidence_percent","upper_confidence_percent"
"Abgefeiert","1995","(noch) kein Abschluss","1 Einkommensschwächstes Quintil","11","","",""
"Abgefeiert","1995","(noch) kein Abschluss","2","12","","",""
"Abgefeiert","1995","(noch) kein Abschluss","3","4","","",""
"Abgefeiert","1995","(noch) kein Abschluss","4","4","","",""
"Abgefeiert","1995","(noch) kein Abschluss","5 Einkommensstärkstes Quintil","2","","",""
"Abgefeiert","1995","Hauptschule","1 Einkommensschwächstes Quintil","191","0.342820592034021","0.306161594809263","0.379479589258778"
"Abgefeiert","1995","Hauptschule","2","243","0.374038143732706","0.337829028369055","0.410247259096357"
"Abgefeiert","1995","Hauptschule","3","130","0.296914571613341","0.254746899657766","0.339082243568915"
"Abgefeiert","1995","Hauptschule","4","90","0.349923562449775","0.294257264098136","0.405589860801413"
"Abgefeiert","1995","Hauptschule","5 Einkommensstärkstes Quintil","25","","",""
"Abgefeiert","1995","Realschule","1 Einkommensschwächstes Quintil","200","0.424598195059562","0.380053888505367","0.469142501613757"
"Abgefeiert","1995","Realschule","2","218","0.426226591200486","0.383349223067805","0.469103959333166"
"Abgefeiert","1995","Realschule","3","140","0.443775122408903","0.39000786925188","0.497542375565926"
"Abgefeiert","1995","Realschule","4","118","0.464866770725877","0.403769287646253","0.525964253805501"
"Abgefeiert","1995","Realschule","5 Einkommensstärkstes Quintil","47","0.416532609707315","0.322238136318612","0.510827083096019"
"Abgefeiert","1995","(Fach-)Abitur","1 Einkommensschwächstes Quintil","35","0.354345397955797","0.261521130843808","0.447169665067785"
"Abgefeiert","1995","(Fach-)Abitur","2","50","0.477385100039731","0.387262770103277","0.567507429976184"
"Abgefeiert","1995","(Fach-)Abitur","3","44","0.533125146211246","0.426435254733914","0.639815037688579"
"Abgefeiert","1995","(Fach-)Abitur","4","43","0.496874988573915","0.387311810985998","0.606438166161831"
"Abgefeiert","1995","(Fach-)Abitur","5 Einkommensstärkstes Quintil","17","","",""
"Abgefeiert","1995","AkademikerIn","1 Einkommensschwächstes Quintil","72","0.460545723348588","0.381044590992872","0.540046855704304"
"Abgefeiert","1995","AkademikerIn","2","111","0.408991067167068","0.349796876381758","0.468185257952378"
"Abgefeiert","1995","AkademikerIn","3","79","0.338947692966395","0.27764005225491","0.40025533367788"
"Abgefeiert","1995","AkademikerIn","4","55","0.252890963570456","0.193961349323055","0.311820577817857"
"Abgefeiert","1995","AkademikerIn","5 Einkommensstärkstes Quintil","41","0.246922001419414","0.176974607673406","0.316869395165422"
"Teils, teils","1995","(noch) kein Abschluss","1 Einkommensschwächstes Quintil","11","","",""
"Teils, teils","1995","(noch) kein Abschluss","2","4","","",""
"Teils, teils","1995","(noch) kein Abschluss","3","3","","",""
"Teils, teils","1995","(noch) kein Abschluss","4","4","","",""
"Teils, teils","1995","(noch) kein Abschluss","5 Einkommensstärkstes Quintil","","","",""
"Teils, teils","1995","Hauptschule","1 Einkommensschwächstes Quintil","103","0.155105159738428","0.127146290112349","0.183064029364508"
"Teils, teils","1995","Hauptschule","2","100","0.147046575963956","0.120544728514093","0.17354842341382"
"Teils, teils","1995","Hauptschule","3","84","0.185022263726385","0.149184187607552","0.220860339845217"
"Teils, teils","1995","Hauptschule","4","62","0.22885984501298","0.179828365767489","0.277891324258472"
"Teils, teils","1995","Hauptschule","5 Einkommensstärkstes Quintil","11","","",""
"Teils, teils","1995","Realschule","1 Einkommensschwächstes Quintil","88","0.189043510947491","0.153757937117154","0.224329084777829"
"Teils, teils","1995","Realschule","2","97","0.190927172310762","0.156849861202622","0.225004483418902"
"Teils, teils","1995","Realschule","3","76","0.210258440773821","0.16615927384754","0.254357607700102"
"Teils, teils","1995","Realschule","4","56","0.184338059072845","0.136838375906062","0.231837742239629"
"Teils, teils","1995","Realschule","5 Einkommensstärkstes Quintil","24","","",""
"Teils, teils","1995","(Fach-)Abitur","1 Einkommensschwächstes Quintil","19","","",""
"Teils, teils","1995","(Fach-)Abitur","2","17","","",""
"Teils, teils","1995","(Fach-)Abitur","3","20","","",""
"Teils, teils","1995","(Fach-)Abitur","4","18","","",""
"Teils, teils","1995","(Fach-)Abitur","5 Einkommensstärkstes Quintil","5","","",""
"Teils, teils","1995","AkademikerIn","1 Einkommensschwächstes Quintil","20","","",""
"Teils, teils","1995","AkademikerIn","2","46","0.147641350375719","0.104930290876301","0.190352409875137"
"Teils, teils","1995","AkademikerIn","3","34","0.151127873798507","0.104737937877086","0.197517809719929"
"Teils, teils","1995","AkademikerIn","4","40","0.194331052780576","0.140686656483037","0.247975449078115"
"Teils, teils","1995","AkademikerIn","5 Einkommensstärkstes Quintil","23","","",""
"Bezahlt","1995","(noch) kein Abschluss","1 Einkommensschwächstes Quintil","48","0.724978614027339","0.621838484186445","0.828118743868234"
"Bezahlt","1995","(noch) kein Abschluss","2","16","","",""
"Bezahlt","1995","(noch) kein Abschluss","3","19","","",""
"Bezahlt","1995","(noch) kein Abschluss","4","5","","",""
"Bezahlt","1995","(noch) kein Abschluss","5 Einkommensstärkstes Quintil","1","","",""
"Bezahlt","1995","Hauptschule","1 Einkommensschwächstes Quintil","303","0.418454745655156","0.380355080035461","0.456554411274852"
"Bezahlt","1995","Hauptschule","2","301","0.416885304336154","0.379989981099458","0.453780627572851"
