year,bula_h,regtyp,plb0195_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,Schleswig-Holstein,Urban regions,Paid,0.13944,34,34,0.02125,0.25763
1985,Schleswig-Holstein,Rural regions,Paid,0.13165,32,32,0.01263,0.25068
1985,Hamburg,Urban regions,Paid,0.09037,32,32,-0.01056,0.19130
1985,Lower Saxony,Urban regions,Comp. time,0.09147,52,153,0.04564,0.13730
1985,Lower Saxony,Urban regions,Paid,0.09087,56,153,0.04518,0.13656
1985,Lower Saxony,Urban regions,Not compensated,0.08231,45,153,0.03861,0.12600
1985,Lower Saxony,Rural regions,Comp. time,0.07959,59,181,0.04005,0.11913
1985,Lower Saxony,Rural regions,Paid,0.08703,68,181,0.04585,0.12821
1985,Lower Saxony,Rural regions,Not compensated,0.07308,54,181,0.03506,0.11110
1985,North Rhine-Westphalia,Urban regions,Comp. time,0.06809,208,963,0.05217,0.08401
1985,North Rhine-Westphalia,Urban regions,Some of both,0.02925,99,963,0.01860,0.03990
1985,North Rhine-Westphalia,Urban regions,Paid,0.09581,426,963,0.07721,0.11441
1985,North Rhine-Westphalia,Urban regions,Not compensated,0.07345,230,963,0.05696,0.08993
1985,Hesse,Urban regions,Comp. time,0.08746,82,324,0.05665,0.11827
1985,Hesse,Urban regions,Some of both,0.04092,40,324,0.01931,0.06252
1985,Hesse,Urban regions,Paid,0.07893,117,324,0.04952,0.10833
1985,Hesse,Urban regions,Not compensated,0.08778,85,324,0.05692,0.11864
1985,"Rhineland-Palatinate, Saarland",Urban regions,Comp. time,0.06002,38,158,0.02286,0.09717
1985,"Rhineland-Palatinate, Saarland",Urban regions,Paid,0.09328,79,158,0.04779,0.13878
1985,"Rhineland-Palatinate, Saarland",Urban regions,Not compensated,0.05858,41,158,0.02185,0.09531
1985,Baden-Wuerttemberg,Urban regions,Comp. time,0.06714,115,592,0.04696,0.08732
1985,Baden-Wuerttemberg,Urban regions,Some of both,0.04135,76,592,0.02530,0.05740
1985,Baden-Wuerttemberg,Urban regions,Paid,0.10611,265,592,0.08128,0.13094
1985,Baden-Wuerttemberg,Urban regions,Not compensated,0.07682,136,592,0.05535,0.09829
1985,Baden-Wuerttemberg,Rural regions,Paid,0.11475,52,83,0.04576,0.18373
1985,Baden-Wuerttemberg,Rural regions,Not compensated,0.10016,31,83,0.03518,0.16514
1985,Bavaria,Urban regions,Comp. time,0.09463,112,369,0.06473,0.12454
1985,Bavaria,Urban regions,Some of both,0.03758,45,369,0.01815,0.05701
1985,Bavaria,Urban regions,Paid,0.07711,114,369,0.04985,0.10437
1985,Bavaria,Urban regions,Not compensated,0.08878,98,369,0.05972,0.11784
1985,Bavaria,Rural regions,Comp. time,0.07295,80,317,0.04428,0.10162
1985,Bavaria,Rural regions,Some of both,0.03044,36,317,0.01150,0.04938
1985,Bavaria,Rural regions,Paid,0.08476,112,317,0.05405,0.11547
