year,bula_h,pgisced97,plb0195_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Schleswig-Holstein,Upper Secondary Level,Paid,0.16459,39,39,0.04669,0.28249
1984,Lower Saxony,Lower Secondary Level,Paid,0.07905,35,35,-0.01165,0.16974
1984,Lower Saxony,Upper Secondary Level,Comp. time,0.13922,81,254,0.09657,0.18188
1984,Lower Saxony,Upper Secondary Level,Some of both,0.05298,32,254,0.02538,0.08058
1984,Lower Saxony,Upper Secondary Level,Paid,0.15980,99,254,0.11465,0.20495
1984,Lower Saxony,Upper Secondary Level,Not compensated,0.06909,42,254,0.03784,0.10034
1984,North Rhine-Westphalia,Primary Level,Paid,0.21103,62,62,0.10863,0.31343
1984,North Rhine-Westphalia,Lower Secondary Level,Comp. time,0.04566,37,169,0.01409,0.07722
1984,North Rhine-Westphalia,Lower Secondary Level,Paid,0.09760,132,169,0.05272,0.14248
1984,North Rhine-Westphalia,Upper Secondary Level,Comp. time,0.10069,154,606,0.07671,0.12467
1984,North Rhine-Westphalia,Upper Secondary Level,Some of both,0.04455,70,606,0.02811,0.06099
1984,North Rhine-Westphalia,Upper Secondary Level,Paid,0.15611,278,606,0.12719,0.18503
1984,North Rhine-Westphalia,Upper Secondary Level,Not compensated,0.06893,104,606,0.04874,0.08911
1984,North Rhine-Westphalia,Second Stage of Tertiary Education,Not compensated,0.35930,76,76,0.25071,0.46788
1984,Hesse,Lower Secondary Level,Paid,0.08395,44,44,0.00106,0.16683
1984,Hesse,Upper Secondary Level,Comp. time,0.15562,77,214,0.10694,0.20431
1984,Hesse,Upper Secondary Level,Paid,0.13825,96,214,0.09189,0.18460
1984,Hesse,Upper Secondary Level,Not compensated,0.06799,41,214,0.03419,0.10180
1984,"Rhineland-Palatinate, Saarland",Upper Secondary Level,Comp. time,0.10658,44,141,0.05547,0.15770
1984,"Rhineland-Palatinate, Saarland",Upper Secondary Level,Paid,0.15735,63,141,0.09703,0.21767
1984,"Rhineland-Palatinate, Saarland",Upper Secondary Level,Not compensated,0.08506,34,141,0.03885,0.13127
1984,Baden-Wuerttemberg,Primary Level,Paid,0.24631,61,61,0.13729,0.35534
1984,Baden-Wuerttemberg,Lower Secondary Level,Comp. time,0.05124,31,133,0.01363,0.08886
1984,Baden-Wuerttemberg,Lower Secondary Level,Paid,0.10776,102,133,0.05486,0.16065
1984,Baden-Wuerttemberg,Upper Secondary Level,Comp. time,0.11655,96,411,0.08549,0.14761
