"plb0195_h","year","sampreg","n","percent","lower_confidence","upper_confidence"
"Abgefeiert","1989","Westdeutschland","1041","0.315358519934284","0.300282210322457","0.330434829546111"
"Abgefeiert","1989","Ostdeutschland","","","",""
"Teils, teils","1989","Westdeutschland","526","0.148588196742446","0.137047735980675","0.160128657504217"
"Teils, teils","1989","Ostdeutschland","","","",""
"Bezahlt","1989","Westdeutschland","1510","0.353079483459182","0.337572659273571","0.368586307644793"
"Bezahlt","1989","Ostdeutschland","","","",""
"Nicht abgegolten","1989","Westdeutschland","572","0.182973799864089","0.170428714964822","0.195518884763355"
"Nicht abgegolten","1989","Ostdeutschland","","","",""
"Abgefeiert","1990","Westdeutschland","1073","0.333053685988606","0.317672933605765","0.348434438371448"
"Abgefeiert","1990","Ostdeutschland","899","0.357925823617369","0.339249510924342","0.376602136310396"
"Teils, teils","1990","Westdeutschland","537","0.145754819268002","0.134239453156134","0.15727018537987"
"Teils, teils","1990","Ostdeutschland","383","0.147389654383719","0.133579109370425","0.161200199397014"
"Bezahlt","1990","Westdeutschland","1484","0.350233477818564","0.334665488893848","0.36580146674328"
"Bezahlt","1990","Ostdeutschland","1008","0.401035236390176","0.381941368121611","0.42012910465874"
"Nicht abgegolten","1990","Westdeutschland","513","0.170958016924828","0.158672087461763","0.183243946387893"
"Nicht abgegolten","1990","Ostdeutschland","241","0.0936492856087355","0.0822991148980944","0.104999456319377"
"Abgefeiert","1991","Westdeutschland","1162","0.325386083933373","0.310621133487685","0.34015103437906"
"Abgefeiert","1991","Ostdeutschland","853","0.459922714472236","0.437187312967716","0.482658115976755"
"Teils, teils","1991","Westdeutschland","577","0.149315070255625","0.138083485224804","0.160546655286446"
"Teils, teils","1991","Ostdeutschland","239","0.128446779065687","0.113183747304189","0.143709810827184"
"Bezahlt","1991","Westdeutschland","1620","0.364125689969068","0.348961606779022","0.379289773159114"
"Bezahlt","1991","Ostdeutschland","471","0.262362743955309","0.242294713720117","0.2824307741905"
