year,quintil_oecd,regtyp,plb0195_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,1st Quintile,Urban regions,Comp. time,0.02902,61,292,0.00973,0.04830
1985,1st Quintile,Urban regions,Paid,0.06150,181,292,0.03390,0.08911
1985,1st Quintile,Urban regions,Not compensated,0.02569,50,292,0.00751,0.04387
1985,1st Quintile,Rural regions,Paid,0.04869,49,49,-0.01220,0.10957
1985,2nd Quintile,Urban regions,Comp. time,0.05342,98,437,0.03231,0.07452
1985,2nd Quintile,Urban regions,Some of both,0.02408,45,437,0.00969,0.03847
1985,2nd Quintile,Urban regions,Paid,0.08736,236,437,0.06085,0.11386
1985,2nd Quintile,Urban regions,Not compensated,0.03240,58,437,0.01578,0.04903
1985,2nd Quintile,Rural regions,Comp. time,0.06097,41,142,0.02148,0.10047
1985,2nd Quintile,Rural regions,Paid,0.09541,69,142,0.04692,0.14390
1985,2nd Quintile,Rural regions,Not compensated,0.04737,32,142,0.01231,0.08244
1985,3rd Quintile,Urban regions,Comp. time,0.07939,136,568,0.05714,0.10164
1985,3rd Quintile,Urban regions,Some of both,0.03109,61,568,0.01680,0.04537
1985,3rd Quintile,Urban regions,Paid,0.10276,269,568,0.07777,0.12775
1985,3rd Quintile,Urban regions,Not compensated,0.05522,102,568,0.03642,0.07403
1985,3rd Quintile,Rural regions,Comp. time,0.07067,41,156,0.03032,0.11101
1985,3rd Quintile,Rural regions,Paid,0.10913,68,156,0.06004,0.15821
1985,3rd Quintile,Rural regions,Not compensated,0.08272,47,156,0.03935,0.12608
1985,4th Quintile,Urban regions,Comp. time,0.09902,189,754,0.07769,0.12035
1985,4th Quintile,Urban regions,Some of both,0.04868,97,754,0.03331,0.06405
1985,4th Quintile,Urban regions,Paid,0.12329,289,754,0.09981,0.14677
1985,4th Quintile,Urban regions,Not compensated,0.09151,179,754,0.07092,0.11211
1985,4th Quintile,Rural regions,Comp. time,0.09677,45,152,0.04962,0.14393
1985,4th Quintile,Rural regions,Paid,0.11815,69,152,0.06666,0.16963
1985,4th Quintile,Rural regions,Not compensated,0.08390,38,152,0.03968,0.12812
1985,5th Quintile,Urban regions,Comp. time,0.11469,215,810,0.09273,0.13665
1985,5th Quintile,Urban regions,Some of both,0.04792,95,810,0.03320,0.06263
1985,5th Quintile,Urban regions,Paid,0.08765,198,810,0.06816,0.10713
1985,5th Quintile,Urban regions,Not compensated,0.15853,302,810,0.13336,0.18370
1985,5th Quintile,Rural regions,Comp. time,0.10900,52,188,0.06433,0.15367
1985,5th Quintile,Rural regions,Paid,0.09935,54,188,0.05647,0.14222
1985,5th Quintile,Rural regions,Not compensated,0.17658,82,188,0.12193,0.23124
1986,1st Quintile,Urban regions,Comp. time,0.02823,56,277,0.00869,0.04778
1986,1st Quintile,Urban regions,Paid,0.06587,186,277,0.03661,0.09514
1986,1st Quintile,Urban regions,Not compensated,0.01842,35,277,0.00256,0.03429
1986,1st Quintile,Rural regions,Paid,0.05115,45,45,-0.01394,0.11625
1986,2nd Quintile,Urban regions,Comp. time,0.05216,99,435,0.03124,0.07308
1986,2nd Quintile,Urban regions,Some of both,0.02713,51,435,0.01184,0.04241
1986,2nd Quintile,Urban regions,Paid,0.09832,247,435,0.07031,0.12633
1986,2nd Quintile,Urban regions,Not compensated,0.01964,38,435,0.00659,0.03270
1986,2nd Quintile,Rural regions,Comp. time,0.07381,47,113,0.02539,0.12224
1986,2nd Quintile,Rural regions,Paid,0.08606,66,113,0.03412,0.13800
1986,3rd Quintile,Urban regions,Comp. time,0.08593,153,564,0.06278,0.10908
1986,3rd Quintile,Urban regions,Some of both,0.03149,67,564,0.01706,0.04591
1986,3rd Quintile,Urban regions,Paid,0.10538,262,564,0.08002,0.13074
1986,3rd Quintile,Urban regions,Not compensated,0.04486,82,564,0.02776,0.06196
1986,3rd Quintile,Rural regions,Comp. time,0.10417,61,154,0.05576,0.15258
1986,3rd Quintile,Rural regions,Paid,0.10306,62,154,0.05489,0.15124
1986,3rd Quintile,Rural regions,Not compensated,0.04613,31,154,0.01289,0.07937
1986,4th Quintile,Urban regions,Comp. time,0.11613,211,726,0.09281,0.13946
1986,4th Quintile,Urban regions,Some of both,0.05188,97,726,0.03574,0.06803
1986,4th Quintile,Urban regions,Paid,0.12275,285,726,0.09886,0.14664
1986,4th Quintile,Urban regions,Not compensated,0.07414,133,726,0.05507,0.09322
1986,4th Quintile,Rural regions,Comp. time,0.12381,58,167,0.07370,0.17391
1986,4th Quintile,Rural regions,Paid,0.14737,77,167,0.09345,0.20130
1986,4th Quintile,Rural regions,Not compensated,0.05942,32,167,0.02346,0.09538
1986,5th Quintile,Urban regions,Comp. time,0.11028,205,719,0.08737,0.13319
1986,5th Quintile,Urban regions,Some of both,0.04266,80,719,0.02788,0.05745
1986,5th Quintile,Urban regions,Paid,0.09561,206,719,0.07410,0.11712
1986,5th Quintile,Urban regions,Not compensated,0.12466,228,719,0.10050,0.14882
1986,5th Quintile,Rural regions,Comp. time,0.12909,58,155,0.07613,0.18204
1986,5th Quintile,Rural regions,Paid,0.09390,47,155,0.04783,0.13997
1986,5th Quintile,Rural regions,Not compensated,0.11007,50,155,0.06064,0.15950
1988,1st Quintile,Urban regions,Comp. time,0.03765,70,288,0.01563,0.05967
1988,1st Quintile,Urban regions,Some of both,0.01559,34,288,0.00126,0.02993
1988,1st Quintile,Urban regions,Paid,0.06085,184,288,0.03319,0.08850
1988,1st Quintile,Rural regions,Paid,0.06150,49,49,-0.00646,0.12947
1988,2nd Quintile,Urban regions,Comp. time,0.07564,137,496,0.05235,0.09894
1988,2nd Quintile,Urban regions,Some of both,0.02204,54,496,0.00910,0.03497
1988,2nd Quintile,Urban regions,Paid,0.09469,256,496,0.06890,0.12049
1988,2nd Quintile,Urban regions,Not compensated,0.02398,49,496,0.01050,0.03746
1988,2nd Quintile,Rural regions,Comp. time,0.07840,47,100,0.02545,0.13135
1988,2nd Quintile,Rural regions,Paid,0.06982,53,100,0.01962,0.12002
1988,3rd Quintile,Urban regions,Comp. time,0.09292,158,561,0.06887,0.11696
1988,3rd Quintile,Urban regions,Some of both,0.03360,62,561,0.01868,0.04853
1988,3rd Quintile,Urban regions,Paid,0.11088,256,561,0.08488,0.13689
1988,3rd Quintile,Urban regions,Not compensated,0.04731,85,561,0.02973,0.06489
1988,3rd Quintile,Rural regions,Comp. time,0.10660,52,112,0.04919,0.16401
1988,3rd Quintile,Rural regions,Paid,0.09264,60,112,0.03870,0.14657
1988,4th Quintile,Urban regions,Comp. time,0.11174,186,643,0.08737,0.13611
1988,4th Quintile,Urban regions,Some of both,0.04526,84,643,0.02918,0.06134
1988,4th Quintile,Urban regions,Paid,0.13574,265,643,0.10925,0.16224
1988,4th Quintile,Urban regions,Not compensated,0.07065,108,643,0.05083,0.09047
1988,4th Quintile,Rural regions,Comp. time,0.13089,74,171,0.08019,0.18159
1988,4th Quintile,Rural regions,Paid,0.09830,66,171,0.05354,0.14305
1988,4th Quintile,Rural regions,Not compensated,0.06123,31,171,0.02519,0.09727
1988,5th Quintile,Urban regions,Comp. time,0.12902,221,728,0.10466,0.15339
1988,5th Quintile,Urban regions,Some of both,0.05699,95,728,0.04014,0.07384
1988,5th Quintile,Urban regions,Paid,0.10143,198,728,0.07948,0.12338
1988,5th Quintile,Urban regions,Not compensated,0.13005,214,728,0.10560,0.15450
1988,5th Quintile,Rural regions,Comp. time,0.12666,50,123,0.06764,0.18568
1988,5th Quintile,Rural regions,Paid,0.09401,39,123,0.04222,0.14580
1988,5th Quintile,Rural regions,Not compensated,0.09245,34,123,0.04105,0.14386
1989,1st Quintile,Urban regions,Comp. time,0.03623,81,320,0.01573,0.05674
1989,1st Quintile,Urban regions,Some of both,0.02038,42,320,0.00487,0.03588
1989,1st Quintile,Urban regions,Paid,0.06621,197,320,0.03893,0.09350
1989,1st Quintile,Rural regions,Paid,0.05444,44,44,-0.01338,0.12225
1989,2nd Quintile,Urban regions,Comp. time,0.07408,127,491,0.05089,0.09727
1989,2nd Quintile,Urban regions,Some of both,0.03398,82,491,0.01793,0.05002
1989,2nd Quintile,Urban regions,Paid,0.09777,242,491,0.07147,0.12406
1989,2nd Quintile,Urban regions,Not compensated,0.02529,40,491,0.01139,0.03919
1989,2nd Quintile,Rural regions,Comp. time,0.08596,49,135,0.03850,0.13342
1989,2nd Quintile,Rural regions,Some of both,0.05553,32,135,0.01675,0.09431
1989,2nd Quintile,Rural regions,Paid,0.07719,54,135,0.03200,0.12238
1989,3rd Quintile,Urban regions,Comp. time,0.10182,155,597,0.07754,0.12610
1989,3rd Quintile,Urban regions,Some of both,0.04716,78,597,0.03014,0.06418
1989,3rd Quintile,Urban regions,Paid,0.13000,287,597,0.10300,0.15700
1989,3rd Quintile,Urban regions,Not compensated,0.03990,77,597,0.02419,0.05562
1989,3rd Quintile,Rural regions,Comp. time,0.09498,50,130,0.04439,0.14558
1989,3rd Quintile,Rural regions,Paid,0.14980,80,130,0.08821,0.21138
1989,4th Quintile,Urban regions,Comp. time,0.13750,228,732,0.11254,0.16246
1989,4th Quintile,Urban regions,Some of both,0.06645,111,732,0.04839,0.08450
1989,4th Quintile,Urban regions,Paid,0.14324,297,732,0.11785,0.16864
1989,4th Quintile,Urban regions,Not compensated,0.06445,96,732,0.04665,0.08225
1989,4th Quintile,Rural regions,Comp. time,0.11244,61,126,0.05706,0.16782
1989,4th Quintile,Rural regions,Paid,0.11065,65,126,0.05566,0.16565
1989,5th Quintile,Urban regions,Comp. time,0.13351,213,738,0.10896,0.15807
1989,5th Quintile,Urban regions,Some of both,0.05990,104,738,0.04277,0.07704
1989,5th Quintile,Urban regions,Paid,0.11254,199,738,0.08973,0.13536
1989,5th Quintile,Urban regions,Not compensated,0.14033,222,738,0.11525,0.16540
1989,5th Quintile,Rural regions,Comp. time,0.15254,59,146,0.09402,0.21106
1989,5th Quintile,Rural regions,Paid,0.11362,45,146,0.06197,0.16528
1989,5th Quintile,Rural regions,Not compensated,0.13319,42,146,0.07788,0.18849
1990,1st Quintile,Urban regions,Comp. time,0.03547,60,286,0.01400,0.05695
1990,1st Quintile,Urban regions,Some of both,0.01655,41,286,0.00174,0.03135
1990,1st Quintile,Urban regions,Paid,0.06794,185,286,0.03872,0.09715
1990,1st Quintile,Rural regions,Paid,0.07390,60,60,0.00715,0.14065
1990,2nd Quintile,Urban regions,Comp. time,0.07455,127,511,0.05176,0.09735
1990,2nd Quintile,Urban regions,Some of both,0.03304,71,511,0.01753,0.04855
1990,2nd Quintile,Urban regions,Paid,0.11580,270,511,0.08803,0.14357
1990,2nd Quintile,Urban regions,Not compensated,0.02672,43,511,0.01272,0.04071
1990,2nd Quintile,Rural regions,Comp. time,0.09092,48,103,0.03512,0.14671
1990,2nd Quintile,Rural regions,Paid,0.08782,55,103,0.03289,0.14275
1990,3rd Quintile,Urban regions,Comp. time,0.11380,190,629,0.08896,0.13864
1990,3rd Quintile,Urban regions,Some of both,0.04212,86,629,0.02641,0.05783
1990,3rd Quintile,Urban regions,Paid,0.12882,294,629,0.10262,0.15502
1990,3rd Quintile,Urban regions,Not compensated,0.03786,59,629,0.02294,0.05279
1990,3rd Quintile,Rural regions,Comp. time,0.12294,50,104,0.05952,0.18635
1990,3rd Quintile,Rural regions,Paid,0.11108,54,104,0.05039,0.17177
