year,age_gr,quintil_oecd,plb0195_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,17-29 y.,1st Quintile,Comp. time,0.24804,33,120,0.17045,0.32564
1984,17-29 y.,1st Quintile,Paid,0.49680,87,120,0.40697,0.58664
1984,17-29 y.,2nd Quintile,Comp. time,0.30163,51,150,0.22793,0.37532
1984,17-29 y.,2nd Quintile,Paid,0.41364,99,150,0.33456,0.49272
1984,17-29 y.,3rd Quintile,Comp. time,0.39552,96,262,0.33620,0.45484
1984,17-29 y.,3rd Quintile,Some of both,0.15938,38,262,0.11498,0.20379
1984,17-29 y.,3rd Quintile,Paid,0.32983,95,262,0.27279,0.38687
1984,17-29 y.,3rd Quintile,Not compensated,0.11527,33,262,0.07653,0.15401
1984,17-29 y.,4th Quintile,Comp. time,0.34780,103,326,0.29602,0.39959
1984,17-29 y.,4th Quintile,Some of both,0.13492,41,326,0.09778,0.17207
1984,17-29 y.,4th Quintile,Paid,0.35371,134,326,0.30173,0.40569
1984,17-29 y.,4th Quintile,Not compensated,0.16356,48,326,0.12335,0.20378
1984,17-29 y.,5th Quintile,Comp. time,0.32942,90,290,0.27524,0.38361
1984,17-29 y.,5th Quintile,Some of both,0.14845,46,290,0.10746,0.18944
1984,17-29 y.,5th Quintile,Paid,0.35780,110,290,0.30253,0.41306
1984,17-29 y.,5th Quintile,Not compensated,0.16433,44,290,0.12160,0.20705
1984,30-45 y.,1st Quintile,Comp. time,0.24424,42,197,0.18409,0.30439
1984,30-45 y.,1st Quintile,Paid,0.57674,155,197,0.50757,0.64591
1984,30-45 y.,2nd Quintile,Comp. time,0.28343,79,331,0.23481,0.33206
1984,30-45 y.,2nd Quintile,Some of both,0.11635,36,331,0.08176,0.15095
1984,30-45 y.,2nd Quintile,Paid,0.42430,166,331,0.37097,0.47762
1984,30-45 y.,2nd Quintile,Not compensated,0.17591,50,331,0.13483,0.21700
1984,30-45 y.,3rd Quintile,Comp. time,0.26606,92,381,0.22163,0.31049
1984,30-45 y.,3rd Quintile,Some of both,0.15377,52,381,0.11750,0.19004
1984,30-45 y.,3rd Quintile,Paid,0.41121,174,381,0.36173,0.46068
1984,30-45 y.,3rd Quintile,Not compensated,0.16897,63,381,0.13129,0.20664
1984,30-45 y.,4th Quintile,Comp. time,0.25161,92,414,0.20976,0.29346
1984,30-45 y.,4th Quintile,Some of both,0.11156,45,414,0.08120,0.14193
1984,30-45 y.,4th Quintile,Paid,0.34370,172,414,0.29790,0.38951
1984,30-45 y.,4th Quintile,Not compensated,0.29312,105,414,0.24922,0.33702
1984,30-45 y.,5th Quintile,Comp. time,0.26195,117,477,0.22245,0.30146
1984,30-45 y.,5th Quintile,Some of both,0.10976,55,477,0.08168,0.13784
1984,30-45 y.,5th Quintile,Paid,0.20426,118,477,0.16804,0.24048
1984,30-45 y.,5th Quintile,Not compensated,0.42402,187,477,0.37962,0.46842
1984,46-65 y.,1st Quintile,Paid,0.47773,70,70,0.35987,0.59559
1984,46-65 y.,2nd Quintile,Comp. time,0.31154,45,142,0.23510,0.38798
1984,46-65 y.,2nd Quintile,Paid,0.43269,97,142,0.35091,0.51447
1984,46-65 y.,3rd Quintile,Comp. time,0.30052,61,222,0.24007,0.36097
1984,46-65 y.,3rd Quintile,Paid,0.45875,126,222,0.39305,0.52445
1984,46-65 y.,3rd Quintile,Not compensated,0.15912,35,222,0.11090,0.20735
1984,46-65 y.,4th Quintile,Comp. time,0.26214,72,273,0.20987,0.31441
1984,46-65 y.,4th Quintile,Paid,0.36737,128,273,0.31008,0.42466
1984,46-65 y.,4th Quintile,Not compensated,0.28643,73,273,0.23270,0.34015
1984,46-65 y.,5th Quintile,Comp. time,0.22654,90,420,0.18646,0.26662
1984,46-65 y.,5th Quintile,Some of both,0.07263,32,420,0.04778,0.09748
1984,46-65 y.,5th Quintile,Paid,0.24043,117,420,0.19951,0.28135
1984,46-65 y.,5th Quintile,Not compensated,0.46040,181,420,0.41267,0.50812
1985,17-29 y.,1st Quintile,Comp. time,0.24546,34,137,0.17313,0.31779
1985,17-29 y.,1st Quintile,Paid,0.37555,69,137,0.29416,0.45694
1985,17-29 y.,1st Quintile,Not compensated,0.26173,34,137,0.18785,0.33561
1985,17-29 y.,2nd Quintile,Comp. time,0.30206,44,115,0.21778,0.38635
1985,17-29 y.,2nd Quintile,Paid,0.39406,71,115,0.30436,0.48376
1985,17-29 y.,3rd Quintile,Comp. time,0.35768,63,190,0.28935,0.42602
1985,17-29 y.,3rd Quintile,Paid,0.30002,85,190,0.23469,0.36536
1985,17-29 y.,3rd Quintile,Not compensated,0.20414,42,190,0.14668,0.26161
1985,17-29 y.,4th Quintile,Comp. time,0.33766,91,293,0.28341,0.39190
1985,17-29 y.,4th Quintile,Some of both,0.13756,38,293,0.09805,0.17707
1985,17-29 y.,4th Quintile,Paid,0.36026,117,293,0.30520,0.41533
1985,17-29 y.,4th Quintile,Not compensated,0.16452,47,293,0.12199,0.20704
1985,17-29 y.,5th Quintile,Comp. time,0.38254,90,241,0.32105,0.44403
1985,17-29 y.,5th Quintile,Some of both,0.15256,36,241,0.10707,0.19805
1985,17-29 y.,5th Quintile,Paid,0.30854,78,241,0.25010,0.36698
1985,17-29 y.,5th Quintile,Not compensated,0.15636,37,241,0.11041,0.20231
1985,30-45 y.,1st Quintile,Comp. time,0.22495,34,142,0.15602,0.29387
1985,30-45 y.,1st Quintile,Paid,0.51511,108,142,0.43262,0.59761
1985,30-45 y.,2nd Quintile,Comp. time,0.27157,66,271,0.21852,0.32463
1985,30-45 y.,2nd Quintile,Paid,0.50051,168,271,0.44087,0.56015
1985,30-45 y.,2nd Quintile,Not compensated,0.16016,37,271,0.11642,0.20391
1985,30-45 y.,3rd Quintile,Comp. time,0.23936,57,245,0.18582,0.29290
1985,30-45 y.,3rd Quintile,Paid,0.43677,133,245,0.37453,0.49900
1985,30-45 y.,3rd Quintile,Not compensated,0.22713,55,245,0.17456,0.27970
1985,30-45 y.,4th Quintile,Comp. time,0.23870,79,370,0.19520,0.28219
1985,30-45 y.,4th Quintile,Some of both,0.12604,45,370,0.09218,0.15991
1985,30-45 y.,4th Quintile,Paid,0.33707,146,370,0.28884,0.38530
1985,30-45 y.,4th Quintile,Not compensated,0.29819,100,370,0.25151,0.34487
1985,30-45 y.,5th Quintile,Comp. time,0.26857,102,408,0.22551,0.31163
1985,30-45 y.,5th Quintile,Some of both,0.12289,49,408,0.09099,0.15479
1985,30-45 y.,5th Quintile,Paid,0.18680,86,408,0.14893,0.22466
1985,30-45 y.,5th Quintile,Not compensated,0.42174,171,408,0.37376,0.46972
1985,46-65 y.,1st Quintile,Paid,0.41381,53,53,0.27994,0.54768
1985,46-65 y.,2nd Quintile,Paid,0.37646,66,66,0.25867,0.49424
1985,46-65 y.,3rd Quintile,Comp. time,0.26192,57,225,0.20434,0.31950
1985,46-65 y.,3rd Quintile,Paid,0.40272,118,225,0.33849,0.46695
1985,46-65 y.,3rd Quintile,Not compensated,0.24135,50,225,0.18532,0.29739
1985,46-65 y.,4th Quintile,Comp. time,0.26287,64,229,0.20573,0.32000
1985,46-65 y.,4th Quintile,Paid,0.33585,95,229,0.27455,0.39716
1985,46-65 y.,4th Quintile,Not compensated,0.28882,70,229,0.22999,0.34765
1985,46-65 y.,5th Quintile,Comp. time,0.22445,75,368,0.18176,0.26713
1985,46-65 y.,5th Quintile,Some of both,0.08626,33,368,0.05754,0.11499
1985,46-65 y.,5th Quintile,Paid,0.20167,88,368,0.16061,0.24272
1985,46-65 y.,5th Quintile,Not compensated,0.48762,172,368,0.43648,0.53876
1986,17-29 y.,1st Quintile,Paid,0.44394,69,69,0.32584,0.56203
1986,17-29 y.,2nd Quintile,Comp. time,0.31742,46,125,0.23549,0.39935
1986,17-29 y.,2nd Quintile,Paid,0.42249,79,125,0.33555,0.50944
1986,17-29 y.,3rd Quintile,Comp. time,0.35911,70,199,0.29228,0.42593
1986,17-29 y.,3rd Quintile,Some of both,0.15397,31,199,0.10370,0.20425
1986,17-29 y.,3rd Quintile,Paid,0.35621,98,199,0.28950,0.42291
1986,17-29 y.,4th Quintile,Comp. time,0.36638,100,300,0.31177,0.42099
1986,17-29 y.,4th Quintile,Some of both,0.15643,46,300,0.11525,0.19761
1986,17-29 y.,4th Quintile,Paid,0.33105,111,300,0.27771,0.38439
1986,17-29 y.,4th Quintile,Not compensated,0.14614,43,300,0.10610,0.18618
1986,17-29 y.,5th Quintile,Comp. time,0.30771,73,246,0.24992,0.36551
1986,17-29 y.,5th Quintile,Some of both,0.15623,34,246,0.11076,0.20169
1986,17-29 y.,5th Quintile,Paid,0.36591,93,246,0.30559,0.42623
1986,17-29 y.,5th Quintile,Not compensated,0.17015,46,246,0.12310,0.21720
1986,30-45 y.,1st Quintile,Paid,0.61232,106,106,0.51913,0.70552
