year,bula_h,pli0097_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,Schleswig-Holstein,Never,0.72280,310,310,0.67289,0.77271
1985,Hamburg,Never,0.85361,259,259,0.81048,0.89675
1985,Lower Saxony,Seldom,0.04044,51,1050,0.02852,0.05236
1985,Lower Saxony,Never,0.76024,999,1050,0.73440,0.78608
1985,Bremen,Never,0.86258,107,107,0.79703,0.92812
1985,North Rhine-Westphalia,At least once per month,0.01652,54,2910,0.01189,0.02115
1985,North Rhine-Westphalia,Seldom,0.04731,161,2910,0.03960,0.05503
1985,North Rhine-Westphalia,Never,0.74736,2695,2910,0.73157,0.76315
1985,Hesse,Seldom,0.04593,52,1078,0.03343,0.05844
1985,Hesse,Never,0.77055,1026,1078,0.74544,0.79566
1985,"Rhineland-Palatinate, Saarland",Seldom,0.04982,39,728,0.03400,0.06563
1985,"Rhineland-Palatinate, Saarland",Never,0.75659,689,728,0.72540,0.78779
1985,Baden-Wuerttemberg,Seldom,0.03206,71,1992,0.02432,0.03980
1985,Baden-Wuerttemberg,Never,0.76151,1921,1992,0.74279,0.78023
1985,Bavaria,At least once per month,0.01945,45,1848,0.01315,0.02575
1985,Bavaria,Seldom,0.04343,94,1848,0.03414,0.05273
1985,Bavaria,Never,0.75296,1709,1848,0.73329,0.77263
1985,Berlin,Never,0.77694,336,336,0.73236,0.82152
1986,Schleswig-Holstein,Never,0.73542,290,290,0.68456,0.78627
1986,Hamburg,Never,0.82112,234,234,0.77191,0.87033
1986,Lower Saxony,Seldom,0.03776,49,1068,0.02632,0.04920
1986,Lower Saxony,Never,0.78125,1019,1068,0.75644,0.80605
1986,Bremen,Never,0.86909,104,104,0.80395,0.93423
1986,North Rhine-Westphalia,At least once per month,0.01361,44,2812,0.00933,0.01789
1986,North Rhine-Westphalia,Seldom,0.04911,152,2812,0.04112,0.05710
1986,North Rhine-Westphalia,Never,0.75005,2616,2812,0.73404,0.76606
1986,Hesse,Seldom,0.04496,49,1013,0.03219,0.05772
1986,Hesse,Never,0.76726,964,1013,0.74122,0.79329
1986,"Rhineland-Palatinate, Saarland",Seldom,0.03644,32,725,0.02279,0.05009
1986,"Rhineland-Palatinate, Saarland",Never,0.76666,693,725,0.73585,0.79747
1986,Baden-Wuerttemberg,Seldom,0.03109,68,1931,0.02335,0.03883
1986,Baden-Wuerttemberg,Never,0.76615,1863,1931,0.74727,0.78504
1986,Bavaria,At least once per month,0.01891,34,1727,0.01248,0.02533
1986,Bavaria,Seldom,0.04868,102,1727,0.03853,0.05884
1986,Bavaria,Never,0.74147,1591,1727,0.72081,0.76212
1986,Berlin,Never,0.75372,316,316,0.70614,0.80130
1988,Schleswig-Holstein,Never,0.69055,283,283,0.63659,0.74450
1988,Hamburg,Never,0.81670,182,182,0.76033,0.87307
1988,Lower Saxony,Seldom,0.03597,46,1008,0.02447,0.04748
1988,Lower Saxony,Never,0.78122,962,1008,0.75569,0.80676
1988,Bremen,Never,0.81906,91,91,0.73953,0.89860
1988,North Rhine-Westphalia,Seldom,0.05145,148,2638,0.04302,0.05988
1988,North Rhine-Westphalia,Never,0.75974,2490,2638,0.74343,0.77604
1988,Hesse,Seldom,0.05600,52,972,0.04154,0.07046
1988,Hesse,Never,0.74487,920,972,0.71745,0.77229
1988,"Rhineland-Palatinate, Saarland",Seldom,0.04416,38,709,0.02903,0.05930
1988,"Rhineland-Palatinate, Saarland",Never,0.77457,671,709,0.74379,0.80535
1988,Baden-Wuerttemberg,Seldom,0.03984,74,1848,0.03092,0.04876
1988,Baden-Wuerttemberg,Never,0.76031,1774,1848,0.74084,0.77978
1988,Bavaria,Seldom,0.04822,99,1579,0.03765,0.05879
1988,Bavaria,Never,0.74235,1480,1579,0.72078,0.76393
1988,Berlin,Never,0.79621,309,309,0.75122,0.84120
1990,Schleswig-Holstein,Seldom,0.12464,44,275,0.08553,0.16375
1990,Schleswig-Holstein,Never,0.65608,231,275,0.59983,0.71233
1990,Hamburg,Never,0.76890,143,143,0.69957,0.83824
1990,Lower Saxony,Seldom,0.10830,118,940,0.08842,0.12817
1990,Lower Saxony,Never,0.71405,822,940,0.68514,0.74295
1990,Bremen,Never,0.73382,88,88,0.64095,0.82669
1990,North Rhine-Westphalia,At least once per month,0.01930,51,2525,0.01393,0.02466
1990,North Rhine-Westphalia,Seldom,0.11020,299,2525,0.09798,0.12241
1990,North Rhine-Westphalia,Never,0.68273,2175,2525,0.66457,0.70088
1990,Hesse,Seldom,0.10534,99,942,0.08573,0.12496
1990,Hesse,Never,0.69693,843,942,0.66756,0.72629
1990,"Rhineland-Palatinate, Saarland",Seldom,0.08036,60,636,0.05921,0.10150
1990,"Rhineland-Palatinate, Saarland",Never,0.72689,576,636,0.69223,0.76155
1990,Baden-Wuerttemberg,At least once per month,0.02112,38,1772,0.01442,0.02782
1990,Baden-Wuerttemberg,Seldom,0.10884,206,1772,0.09434,0.12335
1990,Baden-Wuerttemberg,Never,0.67305,1528,1772,0.65120,0.69489
1990,Bavaria,At least once per month,0.02816,41,1566,0.01996,0.03635
1990,Bavaria,Seldom,0.12250,220,1566,0.10625,0.13874
1990,Bavaria,Never,0.66530,1305,1566,0.64192,0.68868
1990,Berlin,Seldom,0.09703,64,579,0.07290,0.12117
1990,Berlin,Never,0.66958,515,579,0.63123,0.70793
1990,Brandenburg,At least once per month,0.03658,32,694,0.02260,0.05056
1990,Brandenburg,Seldom,0.07619,78,694,0.05643,0.09594
1990,Brandenburg,Never,0.62438,584,694,0.58833,0.66044
1990,Mecklenburg-Western Pomerania,At least once per month,0.04483,32,476,0.02622,0.06344
1990,Mecklenburg-Western Pomerania,Seldom,0.08949,59,476,0.06382,0.11516
1990,Mecklenburg-Western Pomerania,Never,0.60336,385,476,0.55936,0.64735
1990,Saxony,At least once per month,0.02924,53,1259,0.01993,0.03855
1990,Saxony,Seldom,0.07418,135,1259,0.05970,0.08866
1990,Saxony,Never,0.64096,1071,1259,0.61445,0.66747
1990,Saxony-Anhalt,At least once per month,0.04640,50,770,0.03153,0.06127
1990,Saxony-Anhalt,Seldom,0.06457,77,770,0.04720,0.08194
1990,Saxony-Anhalt,Never,0.64661,643,770,0.61283,0.68040
1990,Thuringa,At least once per month,0.03966,38,716,0.02536,0.05397
1990,Thuringa,Seldom,0.05578,65,716,0.03895,0.07260
1990,Thuringa,Never,0.64658,613,716,0.61154,0.68162
1992,Schleswig-Holstein,Never,0.68960,245,245,0.63155,0.74765
1992,Hamburg,Never,0.80877,140,140,0.74339,0.87415
1992,Lower Saxony,Seldom,0.04894,50,924,0.03502,0.06286
1992,Lower Saxony,Never,0.74521,874,924,0.71709,0.77332
1992,Bremen,Never,0.77966,82,82,0.68940,0.86992
1992,North Rhine-Westphalia,At least once per month,0.01617,38,2467,0.01120,0.02115
1992,North Rhine-Westphalia,Seldom,0.04298,124,2467,0.03498,0.05099
1992,North Rhine-Westphalia,Never,0.73623,2305,2467,0.71884,0.75363
1992,Hesse,Seldom,0.06183,60,922,0.04628,0.07738
1992,Hesse,Never,0.74792,862,922,0.71987,0.77596
1992,"Rhineland-Palatinate, Saarland",Seldom,0.06487,48,631,0.04564,0.08411
1992,"Rhineland-Palatinate, Saarland",Never,0.73951,583,631,0.70524,0.77378
1992,Baden-Wuerttemberg,Seldom,0.05128,90,1711,0.04083,0.06174
1992,Baden-Wuerttemberg,Never,0.72752,1621,1711,0.70642,0.74863
1992,Bavaria,Seldom,0.04719,89,1575,0.03671,0.05766
1992,Bavaria,Never,0.74056,1486,1575,0.71890,0.76221
1992,Berlin,Never,0.75320,544,544,0.71694,0.78947
1992,Brandenburg,Seldom,0.04248,40,626,0.02667,0.05830
1992,Brandenburg,Never,0.73593,586,626,0.70137,0.77049
1992,Mecklenburg-Western Pomerania,Never,0.72302,373,373,0.67754,0.76850
1992,Saxony,Seldom,0.04434,77,1106,0.03220,0.05647
1992,Saxony,Never,0.73227,1029,1106,0.70616,0.75838
1992,Saxony-Anhalt,Seldom,0.05137,56,730,0.03534,0.06739
1992,Saxony-Anhalt,Never,0.74715,674,730,0.71559,0.77870
1992,Thuringa,Seldom,0.03661,31,652,0.02219,0.05104
1992,Thuringa,Never,0.72466,621,652,0.69035,0.75898
1994,Schleswig-Holstein,Never,0.71214,256,256,0.65657,0.76771
1994,Hamburg,Never,0.84796,136,136,0.78739,0.90853
1994,Lower Saxony,Seldom,0.06546,65,932,0.04957,0.08134
1994,Lower Saxony,Never,0.73712,867,932,0.70884,0.76540
1994,Bremen,Never,0.80964,79,79,0.72252,0.89677
1994,North Rhine-Westphalia,At least once per month,0.01168,31,2410,0.00739,0.01598
1994,North Rhine-Westphalia,Seldom,0.04848,145,2410,0.03990,0.05705
1994,North Rhine-Westphalia,Never,0.73571,2234,2410,0.71810,0.75332
1994,Hesse,Seldom,0.05974,54,886,0.04413,0.07536
1994,Hesse,Never,0.74610,832,886,0.71743,0.77478
1994,"Rhineland-Palatinate, Saarland",Seldom,0.05148,38,601,0.03380,0.06916
1994,"Rhineland-Palatinate, Saarland",Never,0.72607,563,601,0.69039,0.76176
1994,Baden-Wuerttemberg,Seldom,0.05356,109,1692,0.04283,0.06430
1994,Baden-Wuerttemberg,Never,0.73328,1583,1692,0.71220,0.75436
1994,Bavaria,Seldom,0.07013,134,1529,0.05733,0.08294
1994,Bavaria,Never,0.71654,1395,1529,0.69394,0.73913
1994,Berlin,Never,0.73702,499,499,0.69836,0.77569
1994,Brandenburg,Seldom,0.04219,32,579,0.02580,0.05857
1994,Brandenburg,Never,0.74568,547,579,0.71018,0.78119
1994,Mecklenburg-Western Pomerania,Never,0.70316,368,368,0.65642,0.74990
1994,Saxony,Seldom,0.04706,68,1083,0.03444,0.05968
1994,Saxony,Never,0.74768,1015,1083,0.72180,0.77356
1994,Saxony-Anhalt,Seldom,0.04088,37,668,0.02585,0.05590
1994,Saxony-Anhalt,Never,0.75849,631,668,0.72601,0.79097
1994,Thuringa,Never,0.75332,614,614,0.71920,0.78745
1995,Schleswig-Holstein,Never,0.65752,246,246,0.59810,0.71694
1995,Hamburg,Never,0.78293,120,120,0.70886,0.85700
1995,Lower Saxony,Seldom,0.07616,80,1003,0.05974,0.09259
1995,Lower Saxony,Never,0.69644,923,1003,0.66797,0.72491
1995,Bremen,Never,0.81950,84,84,0.73676,0.90224
1995,North Rhine-Westphalia,At least once per month,0.01376,39,2542,0.00923,0.01828
1995,North Rhine-Westphalia,Seldom,0.06742,199,2542,0.05767,0.07717
1995,North Rhine-Westphalia,Never,0.72278,2304,2542,0.70538,0.74019
1995,Hesse,Seldom,0.08363,75,912,0.06566,0.10161
1995,Hesse,Never,0.72676,837,912,0.69782,0.75570
1995,"Rhineland-Palatinate, Saarland",Seldom,0.07657,65,681,0.05659,0.09656
1995,"Rhineland-Palatinate, Saarland",Never,0.68374,616,681,0.64879,0.71869
1995,Baden-Wuerttemberg,Seldom,0.06272,110,1749,0.05136,0.07409
1995,Baden-Wuerttemberg,Never,0.72400,1639,1749,0.70304,0.74495
1995,Bavaria,Seldom,0.07670,153,1626,0.06376,0.08964
1995,Bavaria,Never,0.70891,1473,1626,0.68682,0.73100
1995,Berlin,Seldom,0.04440,31,538,0.02698,0.06182
1995,Berlin,Never,0.74185,507,538,0.70484,0.77887
1995,Brandenburg,Seldom,0.06913,48,559,0.04808,0.09018
1995,Brandenburg,Never,0.71901,511,559,0.68171,0.75630
1995,Mecklenburg-Western Pomerania,Never,0.71922,366,366,0.67311,0.76532
1995,Saxony,Seldom,0.06182,82,1056,0.04729,0.07636
1995,Saxony,Never,0.73165,974,1056,0.70491,0.75839
1995,Saxony-Anhalt,Seldom,0.06970,67,662,0.05028,0.08911
1995,Saxony-Anhalt,Never,0.74652,595,662,0.71336,0.77968
1995,Thuringa,Seldom,0.04412,45,628,0.02805,0.06020
1995,Thuringa,Never,0.73953,583,628,0.70517,0.77388
1996,Schleswig-Holstein,Seldom,0.10082,33,274,0.06510,0.13654
1996,Schleswig-Holstein,Never,0.65227,241,274,0.59578,0.70877
1996,Hamburg,Never,0.79119,117,117,0.71722,0.86516
1996,Lower Saxony,Seldom,0.07050,73,1018,0.05477,0.08623
