year,sampreg,pli0097_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,West,At least once per week,0.00864,103,10868,0.00690,0.01038
1985,West,At least once per month,0.01661,199,10868,0.01421,0.01902
1985,West,Seldom,0.04241,515,10868,0.03862,0.04620
1985,West,Never,0.75882,10051,10868,0.75078,0.76687
1986,West,At least once per week,0.00812,96,10456,0.00640,0.00984
1986,West,At least once per month,0.01545,169,10456,0.01308,0.01781
1986,West,Seldom,0.04286,501,10456,0.03898,0.04675
1986,West,Never,0.75988,9690,10456,0.75169,0.76807
1988,West,At least once per week,0.00612,69,9864,0.00458,0.00766
1988,West,At least once per month,0.01220,124,9864,0.01003,0.01437
1988,West,Seldom,0.04708,509,9864,0.04290,0.05126
1988,West,Never,0.75880,9162,9864,0.75035,0.76724
1990,West,At least once per week,0.01054,105,9419,0.00848,0.01261
1990,West,At least once per month,0.02197,213,9419,0.01901,0.02493
1990,West,Seldom,0.10950,1111,9419,0.10320,0.11581
1990,West,Never,0.68823,7990,9419,0.67887,0.69758
1990,East,At least once per week,0.01473,91,4288,0.01112,0.01833
1990,East,At least once per month,0.03863,225,4288,0.03286,0.04440
1990,East,Seldom,0.07060,440,4288,0.06294,0.07827
1990,East,Never,0.63331,3532,4288,0.61888,0.64773
1992,West,At least once per week,0.00602,65,9182,0.00443,0.00760
1992,West,At least once per month,0.01525,136,9182,0.01274,0.01775
1992,West,Seldom,0.04808,493,9182,0.04370,0.05245
1992,West,Never,0.73907,8488,9182,0.73009,0.74806
1992,East,At least once per week,0.00829,46,3918,0.00545,0.01113
1992,East,At least once per month,0.01895,96,3918,0.01468,0.02322
1992,East,Seldom,0.04356,239,3918,0.03717,0.04996
1992,East,Never,0.73132,3537,3918,0.71744,0.74521
1994,West,At least once per week,0.00620,67,8983,0.00458,0.00783
1994,West,At least once per month,0.01116,124,8983,0.00899,0.01334
1994,West,Seldom,0.05620,583,8983,0.05143,0.06096
1994,West,Never,0.73466,8209,8983,0.72553,0.74379
1994,East,At least once per week,0.00752,39,3733,0.00475,0.01030
1994,East,At least once per month,0.01871,86,3733,0.01436,0.02306
1994,East,Seldom,0.04073,198,3733,0.03438,0.04707
1994,East,Never,0.74170,3410,3733,0.72766,0.75575
1995,West,At least once per week,0.00858,104,9518,0.00673,0.01043
1995,West,At least once per month,0.01578,150,9518,0.01328,0.01828
1995,West,Seldom,0.07152,732,9518,0.06634,0.07670
1995,West,Never,0.71510,8532,9518,0.70603,0.72416
1995,East,At least once per week,0.00999,45,3665,0.00677,0.01320
1995,East,At least once per month,0.01910,87,3665,0.01466,0.02353
1995,East,Seldom,0.05898,287,3665,0.05135,0.06661
1995,East,Never,0.72938,3246,3665,0.71500,0.74377
1996,West,At least once per week,0.00590,69,9305,0.00434,0.00746
1996,West,At least once per month,0.01141,116,9305,0.00925,0.01357
1996,West,Seldom,0.07335,720,9305,0.06805,0.07865
1996,West,Never,0.72137,8400,9305,0.71226,0.73048
